ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
02,Alaska,AK,02013,Aleutians East Borough,02013,"Aleutians East Borough, Alaska",6985.230948336366,3407,0,1089,86,899,88,805,169,106,58,141,28,508,137,1350,132,396,87,417,53,355,72,60,18,480,225,2871,154,39,19,75,26,46,24,225,49,1238,117,23.7,5.0,4.4,2.4,15.7,2.7,19.0,4.9,39.7,3.9,11.6,2.6,12.2,1.6,10.4,2.1,6.7,1.9,14.5,6.8,84.3,4.5,3.6,1.7,6.9,2.3,5.1,2.6,25.0,4.8,36.3,3.4,0.6897,0.2414,0.3103,1.0,1.0,3.2414,0.7586,0.2414,0.0,0.1724,0.7241,1.0,2.1379,0.1724,0.8276,0.8276,0.8276,0.5862,0.7241,0.4828,0.6897,0.9655,3.4483,0.931,9.6552,0.7931,0,0,0,1,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,1,4,2969,380,62,172,133,405,125,676,196,1248,112,10,9,345,72,15,20,42.3,5.1,5.0,3.9,11.9,3.7,19.8,5.8,36.6,3.3,0.3,0.3,10.1,2.1,0.4,0.6
02,Alaska,AK,02016,Aleutians West Census Area,02016,"Aleutians West Census Area, Alaska",4393.024164308652,5219,0,1403,123,969,117,770,163,110,59,122,49,404,107,862,151,329,76,887,104,376,107,36,20,501,148,3997,15,266,60,28,13,99,29,96,31,1519,105,15.4,3.3,3.0,1.6,12.6,4.8,10.5,2.7,17.2,3.0,6.3,1.5,17.0,2.0,7.5,2.1,3.7,2.0,10.0,3.0,76.6,0.3,19.0,3.9,2.0,0.9,10.2,2.7,9.9,2.8,29.1,2.0,0.3793,0.1034,0.1034,0.6897,0.6552,1.931,0.2759,0.0345,0.1379,0.0,0.2414,0.9655,1.3793,0.0345,0.7241,0.7241,0.7241,1.0,0.2414,0.6897,0.4828,0.8966,3.3105,0.8966,7.3449,0.4138,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,4565,216,51,201,171,802,0,2114,191,426,64,183,15,271,104,0,15,22.3,6.0,3.9,3.3,15.4,0.0,40.5,3.7,8.2,1.2,3.5,0.5,5.2,2.0,0.0,0.5
02,Alaska,AK,02020,Anchorage Municipality,02020,"Anchorage Municipality, Alaska",1706.885130116816,290674,0,118938,166,107134,887,44981,3371,7747,732,26334,1421,11202,905,29277,2044,34768,139,69388,0,31159,1471,6388,701,5593,786,130100,772,13930,949,4668,609,4776,559,6085,523,7451,200,15.8,1.2,5.2,0.5,24.6,1.3,5.8,0.5,10.5,0.7,12.0,0.1,23.9,0.0,11.2,0.5,6.0,0.7,2.1,100.0,44.8,0.3,11.8,0.8,3.9,0.5,4.5,0.5,5.7,0.5,2.6,0.1,0.4483,0.3793,0.931,0.2759,0.2414,2.2759,0.4483,0.3448,0.5862,0.2069,0.6207,0.8276,2.5862,0.5862,0.4138,0.4138,0.4138,0.8966,0.4483,0.3448,0.1379,0.1724,2.0,0.1379,7.2759,0.3793,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,304060,6760,749,14793,822,28162,0,27795,939,20464,1033,8376,389,28582,1801,1928,789,6.3,0.7,5.1,0.3,9.7,0.0,9.6,0.3,7.0,0.4,2.9,0.1,9.8,0.6,0.7,0.3
02,Alaska,AK,02050,Bethel Census Area,02050,"Bethel Census Area, Alaska",40627.12131254913,18538,0,6003,51,4565,116,7174,421,1265,120,784,142,1745,151,2547,318,1435,58,6453,22,2106,170,374,88,220,107,16906,16,289,92,227,66,1536,135,2824,148,1122,93,39.5,2.3,16.2,1.6,17.2,3.1,17.3,1.5,14.0,1.7,7.7,0.3,34.8,0.1,11.5,0.9,8.2,1.9,1.3,0.6,91.2,0.1,4.8,1.5,3.8,1.1,33.7,2.8,61.9,2.9,6.1,0.5,0.9655,0.931,0.5517,0.931,0.4138,3.793,0.9655,0.1379,0.931,0.3103,0.7586,0.6552,2.793,0.7241,0.9655,0.9655,0.9655,0.6897,0.4138,0.9655,0.931,0.5172,3.5172,0.9655,11.0687,1.0,1,1,0,1,0,3,0,1,0,0,0,1,1,1,0,0,1,1,0,2,7,18021,1037,114,214,16,399,0,260,14,15275,205,40,53,718,199,0,16,22.7,2.4,1.2,0.1,2.2,0.0,1.4,0.1,82.4,1.1,0.2,0.3,3.9,1.1,0.0,0.1
02,Alaska,AK,02060,Bristol Bay Borough,02060,"Bristol Bay Borough, Alaska",481.980356754412,854,87,875,40,284,36,88,85,12,10,21,9,32,28,160,54,108,34,163,41,125,37,6,6,0,40,475,111,20,7,57,16,13,13,29,11,128,16,10.5,10.1,2.7,2.4,7.4,3.0,5.0,4.5,19.1,6.1,12.6,4.2,19.1,3.8,14.9,4.4,2.2,2.1,0.0,5.1,55.6,11.7,2.3,0.8,6.5,1.7,4.6,4.5,10.2,3.9,15.0,1.1,0.0345,0.069,0.0345,0.1379,0.7586,1.0345,0.0345,0.4138,0.2414,0.6552,0.1379,0.0,1.4483,0.069,0.5862,0.5862,0.5862,0.3448,0.6207,0.3793,0.5172,0.7931,2.6551,0.6552,5.7241,0.0345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1693,63,25,3,4,74,41,48,42,257,51,17,17,65,31,11,27,22.2,7.7,0.4,0.5,8.7,4.8,5.6,4.9,30.1,4.9,2.0,1.9,7.6,3.3,1.3,3.1
02,Alaska,AK,02063,Chugach Census Area,02063,"Chugach Census Area, Alaska",9529.842764305977,7000,0,3760,109,2755,134,731,242,332,112,553,175,269,99,998,225,925,92,1519,88,1081,205,148,84,115,72,2066,157,380,76,587,131,155,87,158,66,250,24,10.6,3.5,8.8,3.0,20.1,6.3,5.5,2.0,14.7,3.3,13.2,1.3,21.7,1.3,15.9,3.0,5.4,3.0,1.7,1.1,29.5,2.2,10.1,2.0,15.6,3.5,5.6,3.1,5.7,2.3,3.6,0.3,0.069,0.6897,0.7241,0.2414,0.4828,2.207,0.4138,0.4828,0.4138,0.7586,0.5172,0.7586,2.931,0.7931,0.2069,0.2069,0.2069,0.8276,0.9655,0.6207,0.1379,0.3793,2.931,0.7931,8.2759,0.6207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4546,306,127,113,101,414,64,478,98,369,95,94,10,478,144,120,87,11.1,4.5,1.6,1.4,5.9,0.9,6.8,1.4,5.3,1.4,1.3,0.1,6.8,2.1,1.7,1.2
02,Alaska,AK,02066,Copper River Census Area,02066,"Copper River Census Area, Alaska",24692.124676742384,2614,0,2564,105,1090,105,551,155,78,41,145,51,136,49,508,154,449,86,692,88,493,96,67,34,0,40,1244,112,27,17,210,61,27,23,76,34,24,3,21.4,6.0,6.5,3.2,13.3,4.5,7.6,2.7,19.6,5.9,17.2,3.3,26.5,3.4,19.0,3.7,6.1,3.1,0.0,1.6,47.6,4.3,1.1,0.7,8.2,2.3,2.4,2.1,7.0,3.1,0.9,0.1,0.6207,0.4828,0.1724,0.5517,0.8621,2.6897,0.6207,0.7586,0.7241,0.8276,0.6897,0.0,3.0,0.8621,0.4828,0.4828,0.4828,0.1379,0.7931,0.1379,0.3103,0.0,1.3792,0.0,7.5517,0.4828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1311,245,79,1,5,171,64,12,19,886,114,0,10,174,79,0,10,22.5,6.6,0.0,0.2,6.5,2.4,0.5,0.7,33.9,4.4,0.0,1.0,6.7,3.0,0.0,1.0
02,Alaska,AK,02068,Denali Borough,02068,"Denali Borough, Alaska",12641.043411541365,2101,92,1385,83,525,89,191,123,26,25,82,38,56,58,61,57,296,72,272,100,235,56,7,8,9,46,520,221,44,22,93,36,21,14,17,14,894,76,9.3,6.0,1.9,1.8,15.6,6.7,3.3,3.5,3.0,2.8,14.1,3.3,12.9,4.5,11.5,2.6,1.3,1.5,0.4,2.3,24.8,10.5,3.2,1.6,6.7,2.6,4.0,2.6,3.2,2.6,42.6,3.1,0.0,0.0345,0.2759,0.0345,0.0,0.3449,0.0,0.5517,0.0345,0.3103,0.0345,0.3103,1.2413,0.0,0.1034,0.1034,0.1034,0.4828,0.6552,0.2759,0.0,1.0,2.4139,0.4483,4.1035,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2897,90,33,48,65,35,57,73,69,64,52,0,10,270,194,30,29,17.1,5.5,2.3,3.1,1.7,2.7,3.5,3.3,3.0,2.5,0.0,1.2,12.9,9.1,1.4,1.4
02,Alaska,AK,02070,Dillingham Census Area,02070,"Dillingham Census Area, Alaska",18333.985995200583,4854,0,2417,756,1384,759,1312,153,247,59,234,56,345,122,873,97,568,298,1466,69,546,166,160,40,75,44,4160,10,72,32,24,15,389,150,501,88,415,1021,27.3,3.2,11.3,2.9,16.9,10.1,11.9,4.2,18.1,2.0,11.7,6.1,30.2,1.4,11.3,3.4,11.6,7.0,1.7,1.0,85.7,0.2,3.0,0.9,1.0,0.6,28.1,18.8,36.2,30.5,8.5,21.0,0.8276,0.7931,0.5172,0.7586,0.6897,3.5862,0.8276,0.2759,0.8276,0.2414,0.931,0.7586,3.0345,0.8966,0.8621,0.8621,0.8621,0.4483,0.1034,0.8621,0.7586,0.6897,2.8621,0.7586,10.3449,0.9655,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5207,337,97,76,189,162,0,78,24,3397,190,3,5,442,159,2,5,24.3,15.6,1.6,3.9,3.3,0.0,1.6,0.5,70.0,3.9,0.1,0.1,9.1,3.3,0.0,0.1
02,Alaska,AK,02090,Fairbanks North Star Borough,02090,"Fairbanks North Star Borough, Alaska",7334.71727288966,96299,0,42772,57,35824,687,12417,1443,2458,522,8797,847,3271,514,7603,1184,11333,187,22959,0,11132,946,1997,423,694,304,31030,454,3657,496,1130,298,1720,368,1717,359,4012,89,13.4,1.6,5.5,1.2,24.6,2.3,5.3,0.8,8.6,1.3,11.8,0.2,23.8,0.0,12.6,1.1,5.6,1.2,0.8,0.3,32.2,0.5,8.5,1.2,2.6,0.7,4.8,1.0,4.8,1.0,4.2,0.1,0.2759,0.4138,0.931,0.1724,0.069,1.8621,0.2414,0.3103,0.5517,0.4138,0.5517,0.5172,2.3447,0.3448,0.2414,0.2414,0.2414,0.7586,0.3103,0.4138,0.069,0.4828,2.0345,0.1724,6.4827,0.1724,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98851,3580,616,3786,413,8038,0,2981,307,6423,762,653,25,8639,990,510,312,10.0,1.7,3.9,0.4,8.3,0.0,3.1,0.3,6.7,0.8,0.7,0.1,9.0,1.0,0.5,0.3
