ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
04,Arizona,AZ,04001,Apache County,04001942600,Census Tract 9426; Apache County; Arizona,588.902354651746,1549,338,565,83,429,83,908,264,52,46,28,30,203,100,721,162,176,84,360,115,193,95,21,15,183,107,1549,338,0,19,143,29,64,25,101,62,0,14,58.6,11.3,12.8,11.4,6.5,6.9,19.5,7.2,46.5,9.3,11.4,4.5,23.2,5.3,12.5,5.0,4.9,3.4,12.4,6.7,100.0,0.0,0.0,3.4,25.3,5.9,15.0,5.1,23.5,11.7,0.0,0.9,0.9764,0.928,0.0196,0.7973,0.996,3.7173,0.8355,0.3505,0.5641,0.4819,0.4697,0.9032,2.7694,0.6659,0.996,0.996,0.996,0.0,0.8495,0.9319,0.9746,0.0,2.756,0.6688,10.2387,0.8147,1,1,0,0,1,3,0,0,0,0,1,1,1,1,0,0,1,1,0,2,7,813,412,83,0,14,58,45,0,14,1491,329,0,14,0,14,0,14,96.0,3.7,0.0,2.7,3.7,2.7,0.0,2.7,96.3,2.7,0.0,2.7,0.0,2.7,0.0,2.7
04,Arizona,AZ,04001,Apache County,04001942700,Census Tract 9427; Apache County; Arizona,1154.534432883564,5308,443,2060,83,1439,89,2241,323,377,124,174,54,737,138,1662,249,750,114,1320,201,690,107,93,31,300,96,5238,444,0,26,335,46,200,48,143,32,42,9,42.2,5.0,21.1,6.1,12.1,3.7,22.0,3.4,31.3,3.7,14.1,2.2,24.9,2.7,13.0,2.0,6.5,2.1,6.0,1.9,98.7,1.5,0.0,1.3,16.3,2.2,13.9,3.2,9.9,2.1,0.8,0.2,0.8859,0.9879,0.0998,0.8339,0.977,3.7845,0.8568,0.4622,0.6386,0.5135,0.5961,0.7761,2.9865,0.7807,0.9822,0.9822,0.9822,0.0,0.786,0.9146,0.8113,0.7234,3.2353,0.835,10.9885,0.8984,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,4,3207,1006,85,5,9,26,30,67,65,5047,431,16,20,77,64,0,19,69.9,4.6,0.1,0.2,0.5,0.6,1.3,1.2,95.1,1.8,0.3,0.4,1.5,1.2,0.0,0.8
04,Arizona,AZ,04001,Apache County,04001944000,Census Tract 9440; Apache County; Arizona,305.566335563102,5814,741,2100,126,1556,147,2752,596,204,97,128,62,552,155,2765,640,800,187,1340,339,1122,257,97,36,104,89,5723,742,13,26,494,81,239,99,233,83,3,2,47.4,8.3,10.1,4.6,8.2,3.9,14.9,4.0,47.6,6.8,13.8,2.7,23.0,4.1,19.3,3.5,6.2,2.2,1.9,1.6,98.4,2.4,0.6,1.2,23.5,4.0,15.3,6.2,15.0,5.1,0.1,0.0,0.9291,0.8703,0.0364,0.7113,0.9965,3.5436,0.7841,0.4519,0.5556,0.7997,0.5718,0.5166,2.8956,0.734,0.9805,0.9805,0.9805,0.3633,0.8391,0.9359,0.9117,0.3442,3.3942,0.8719,10.8139,0.873,1,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,1,0,2,5,6505,903,154,38,54,136,80,47,47,5365,708,3,5,134,81,0,19,58.0,7.2,0.7,0.9,2.3,1.4,0.8,0.8,92.3,2.4,0.1,0.1,2.3,1.3,0.0,0.7
04,Arizona,AZ,04001,Apache County,04001944100,Census Tract 9441; Apache County; Arizona,706.900177224212,6100,575,2137,106,1446,110,3323,492,374,96,200,82,663,138,1012,277,716,125,1912,282,529,129,202,51,263,111,5899,590,0,26,380,63,384,101,277,58,457,86,58.9,6.4,20.7,5.0,13.8,5.6,21.3,3.5,16.6,3.8,11.7,1.9,31.3,3.2,8.7,2.0,14.0,3.4,4.6,1.9,96.7,3.2,0.0,1.2,17.8,2.7,26.6,6.7,19.2,4.1,7.5,1.2,0.9781,0.9867,0.1437,0.823,0.8071,3.7386,0.8447,0.3625,0.8751,0.2032,0.9134,0.7222,3.0764,0.8234,0.9668,0.9668,0.9668,0.0,0.7987,0.9902,0.951,0.9559,3.6958,0.9371,11.4776,0.9376,1,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,1,1,1,3,7,4234,966,123,109,136,132,74,8,11,5633,573,0,19,17,23,0,19,66.8,5.5,1.8,2.2,2.2,1.2,0.1,0.2,92.3,1.7,0.0,0.7,0.3,0.4,0.0,0.7
04,Arizona,AZ,04001,Apache County,04001944201,Census Tract 9442.01; Apache County; Arizona,193.82593374114,4187,660,1316,112,1154,117,2309,658,143,90,175,84,494,153,1508,522,517,117,1498,433,271,133,155,78,294,106,4019,666,0,19,230,83,169,91,87,46,153,14,56.7,13.3,13.3,7.7,15.2,7.1,20.9,6.7,37.1,10.2,12.3,3.7,35.8,6.4,6.7,3.0,13.4,6.6,7.9,2.6,96.0,4.9,0.0,1.4,17.5,6.4,14.6,7.7,7.5,3.9,3.7,0.7,0.9724,0.9366,0.1754,0.8196,0.9896,3.8936,0.8816,0.3946,0.9622,0.0921,0.8996,0.8259,3.1744,0.8615,0.9611,0.9611,0.9611,0.0,0.797,0.9279,0.7299,0.9118,3.3666,0.8661,11.3957,0.9342,1,1,0,0,1,3,0,1,0,0,0,1,1,1,0,0,1,0,1,2,7,6058,835,148,13,21,67,67,105,108,3599,610,0,14,235,257,0,14,72.4,8.4,0.3,0.5,1.6,1.7,2.5,2.6,86.0,6.5,0.0,1.0,5.6,5.9,0.0,1.0
04,Arizona,AZ,04001,Apache County,04001944202,Census Tract 9442.02; Apache County; Arizona,165.78025473463,3302,587,1360,173,1111,185,1614,492,39,36,110,112,329,139,1049,364,508,186,716,272,196,86,97,52,419,192,3288,587,0,19,356,131,78,50,174,70,14,5,49.1,12.1,3.4,3.4,9.9,9.9,14.6,5.6,31.9,9.1,15.4,5.6,21.7,6.2,6.0,2.9,8.8,4.4,13.2,5.6,99.6,1.6,0.0,1.4,26.2,8.6,7.0,4.3,15.7,6.8,0.4,0.1,0.9435,0.3458,0.0583,0.7045,0.9787,3.0308,0.653,0.5143,0.4966,0.0645,0.7311,0.9089,2.7154,0.6399,0.9903,0.9903,0.9903,0.0,0.8547,0.7559,0.9215,0.5756,3.1077,0.7946,9.8442,0.7771,1,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,0,1,0,1,5,1934,874,196,29,24,68,79,0,14,3161,584,0,14,30,47,0,14,78.7,8.0,0.9,0.8,2.1,2.4,0.0,1.3,95.7,3.2,0.0,1.3,0.9,1.4,0.0,1.3
04,Arizona,AZ,04001,Apache County,04001944301,Census Tract 9443.01; Apache County; Arizona,481.284503266606,2870,376,1336,93,1061,88,1687,359,59,48,171,68,355,80,1405,359,372,74,697,227,224,60,58,34,463,105,2843,376,15,22,248,66,112,55,166,37,10,5,58.9,9.9,7.8,6.2,16.1,6.3,18.6,4.5,49.0,8.0,13.0,3.3,24.3,6.2,7.8,2.6,5.5,3.2,16.9,3.1,99.1,1.8,1.1,1.6,18.6,4.7,10.5,5.1,15.6,3.6,0.3,0.2,0.9781,0.7666,0.2048,0.7824,0.9983,3.7302,0.8401,0.421,0.6111,0.1537,0.5234,0.9513,2.6605,0.6111,0.9857,0.9857,0.9857,0.4025,0.8051,0.8598,0.9198,0.5183,3.5055,0.8979,10.8819,0.8788,1,0,0,0,1,2,0,0,0,0,1,1,1,1,0,0,0,1,0,1,5,3871,888,74,0,14,54,63,15,17,2754,376,0,14,20,30,0,14,83.7,4.8,0.0,1.5,1.9,2.2,0.5,0.6,96.0,2.5,0.0,1.5,0.7,1.1,0.0,1.5
04,Arizona,AZ,04001,Apache County,04001944302,Census Tract 9443.02; Apache County; Arizona,538.3204953440099,2552,383,1158,82,819,90,1382,255,60,33,106,59,331,66,373,139,318,69,806,204,252,91,86,39,166,70,2552,383,0,19,202,59,125,42,139,53,0,14,54.5,6.0,8.4,4.8,12.9,7.1,22.9,3.9,14.6,5.2,12.5,3.3,31.6,4.7,9.9,3.2,10.5,4.6,7.1,2.8,100.0,0.0,0.0,1.6,17.4,5.0,15.2,4.8,17.0,6.0,0.0,0.5,0.9654,0.796,0.1218,0.8482,0.745,3.4764,0.7679,0.4032,0.8832,0.3005,0.8142,0.8076,3.2087,0.8777,0.996,0.996,0.996,0.0,0.7958,0.9336,0.9336,0.0,2.663,0.637,10.3441,0.8245,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2,4,1470,601,94,7,18,0,14,0,14,2545,381,0,14,0,14,0,14,73.4,8.2,0.3,0.7,0.0,1.6,0.0,1.6,99.7,0.7,0.0,1.6,0.0,1.6,0.0,1.6
04,Arizona,AZ,04001,Apache County,04001944901,Census Tract 9449.01; Apache County; Arizona,576.468042058776,3645,376,1529,63,988,74,2118,311,52,42,69,31,406,75,490,129,437,78,1174,201,416,94,121,42,153,67,3610,376,0,19,355,57,201,47,168,39,6,3,58.1,6.1,5.3,4.2,7.0,3.1,19.3,3.1,13.5,3.5,12.0,2.1,32.2,3.7,11.4,2.3,12.2,4.2,4.4,1.9,99.0,1.5,0.0,1.2,23.2,3.5,20.3,4.5,17.0,3.7,0.2,0.1,0.9752,0.5712,0.0231,0.7915,0.7075,3.0685,0.6669,0.3769,0.9026,0.4082,0.865,0.7136,3.2663,0.8984,0.9845,0.9845,0.9845,0.0,0.8374,0.9706,0.9336,0.4473,3.1889,0.824,10.5082,0.8424,1,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,2,5,3166,526,77,0,14,36,35,55,37,3480,380,0,14,36,26,3,5,53.2,5.5,0.0,1.2,1.0,1.0,1.5,1.0,95.5,1.8,0.0,1.2,1.0,0.7,0.1,0.1
04,Arizona,AZ,04001,Apache County,04001944902,Census Tract 9449.02; Apache County; Arizona,1075.728565252476,4657,379,1943,86,1313,87,2730,314,107,44,99,33,599,102,841,154,633,102,1143,169,694,113,104,25,283,90,4630,379,3,14,295,46,257,66,386,78,24,5,58.6,4.8,8.3,3.2,7.5,2.5,19.4,2.9,18.1,2.9,13.6,2.0,24.5,2.8,14.9,2.1,7.9,1.8,6.4,2.0,99.4,0.9,0.2,0.7,15.2,2.4,19.5,4.9,29.4,5.1,0.5,0.1,0.9764,0.7914,0.0271,0.7944,0.84,3.4293,0.7581,0.4416,0.622,0.6223,0.6861,0.7875,3.1595,0.8586,0.9885,0.9885,0.9885,0.3466,0.7751,0.9631,0.9902,0.6186,3.6936,0.9354,11.2709,0.9226,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2,4,2264,826,80,15,36,149,61,0,14,4425,367,19,22,22,23,0,14,62.9,4.7,0.3,0.8,3.2,1.3,0.0,0.9,95.0,1.6,0.4,0.5,0.5,0.5,0.0,0.9
04,Arizona,AZ,04001,Apache County,04001945001,Census Tract 9450.01; Apache County; Arizona,42.321297751706,3419,522,1561,125,1118,133,1166,340,116,83,92,47,255,112,598,210,468,117,889,282,290,104,139,65,55,63,3346,525,14,31,286,77,114,59,119,43,95,15,35.4,8.9,8.5,6.1,8.2,4.1,11.3,4.4,17.7,5.4,13.7,3.4,26.0,5.9,8.6,2.9,12.4,5.6,1.7,2.0,97.9,3.5,0.9,2.0,18.3,4.6,10.2,5.1,10.6,3.7,2.8,0.1,0.7995,0.8012,0.0364,0.6128,0.8307,3.0806,0.6692,0.4444,0.6838,0.1975,0.8719,0.4857,2.6833,0.622,0.9754,0.9754,0.9754,0.3858,0.8039,0.8529,0.8321,0.8923,3.767,0.9492,10.5063,0.8418,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,10646,426,89,1,3,153,109,44,49,3111,523,0,14,37,46,0,14,38.1,7.4,0.0,0.1,4.5,3.2,1.3,1.4,91.0,4.1,0.0,1.2,1.1,1.3,0.0,1.2
