ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
04,Arizona,AZ,04001,Apache County,04001,"Apache County, Arizona",11198.308288655766,66054,0,29032,57,19786,310,30481,1117,1906,225,2543,295,6751,410,15429,892,10461,51,17525,152,9126,596,1706,231,2953,292,54048,69,182,74,6744,399,2477,241,2509,232,1470,104,47.1,1.7,9.5,1.1,12.9,1.5,16.0,1.0,23.6,1.4,15.8,0.1,26.5,0.2,14.0,0.9,8.7,1.2,4.8,0.5,81.8,0.1,0.6,0.3,23.2,1.4,12.5,1.2,12.7,1.1,2.2,0.2,1.0,0.7857,0.0714,0.7857,1.0,3.6428,0.7857,0.2857,0.9286,0.4286,0.8571,0.7857,3.2857,1.0,0.9286,0.9286,0.9286,0.0714,0.7857,1.0,1.0,0.4286,3.2857,0.8571,11.1428,0.9286,1,0,0,0,1,2,0,1,0,0,0,1,1,1,0,0,1,1,0,2,6,62877,10396,442,581,78,4634,0,374,28,47415,265,71,32,936,285,37,45,52.5,2.0,0.9,0.1,7.0,0.0,0.6,0.1,71.8,0.4,0.1,0.1,1.4,0.4,0.1,0.1
04,Arizona,AZ,04003,Cochise County,04003,"Cochise County, Arizona",6209.752684843052,125504,0,59056,90,49680,691,32193,1906,3220,481,11484,887,9780,856,9045,931,29105,70,26498,125,21116,1146,3129,440,4444,495,58136,478,3741,446,11882,702,1198,207,2956,423,6019,162,27.0,1.6,6.8,1.0,23.1,1.8,11.1,1.0,7.7,0.8,23.2,0.1,21.1,0.1,17.9,1.0,6.3,0.9,3.7,0.4,46.3,0.4,6.4,0.8,20.1,1.2,2.5,0.4,6.0,0.8,4.8,0.1,0.5,0.4286,0.4286,0.2857,0.0714,1.7143,0.2857,0.7143,0.4286,0.6429,0.5,0.6429,2.9287,0.6429,0.3571,0.3571,0.3571,0.7857,0.6429,0.0714,0.6429,0.7857,2.9286,0.7143,7.9287,0.6429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114932,7325,518,4121,336,44809,0,2371,267,651,170,401,135,5500,714,283,236,14.7,1.0,3.3,0.3,35.7,0.0,1.9,0.2,0.5,0.1,0.3,0.1,4.4,0.6,0.2,0.2
04,Arizona,AZ,04005,Coconino County,04005,"Coconino County, Arizona",18616.346348048795,144705,0,69233,144,51993,724,35593,1814,5093,503,14915,1038,7406,564,16180,1297,19453,108,28779,42,18304,1076,2239,385,2922,474,68061,366,6681,621,9090,759,3711,470,2817,447,12760,346,26.7,1.4,7.0,0.7,28.7,2.0,8.5,0.7,11.2,0.9,13.4,0.1,19.9,0.1,12.7,0.7,4.3,0.7,2.1,0.3,47.0,0.3,9.7,0.9,13.1,1.1,7.1,0.9,5.4,0.8,8.8,0.2,0.4286,0.5714,1.0,0.0714,0.6429,2.7143,0.6429,0.0,0.2857,0.1429,0.1429,0.3571,0.9286,0.0,0.5,0.5,0.5,0.8571,0.2143,0.7143,0.5714,1.0,3.3571,0.9286,7.5,0.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,144770,9121,797,2107,198,21314,0,2646,265,35471,565,162,75,5802,719,559,214,17.5,1.5,1.5,0.1,14.7,0.0,1.8,0.2,24.5,0.4,0.1,0.1,4.0,0.5,0.4,0.1
04,Arizona,AZ,04007,Gila County,04007,"Gila County, Arizona",4757.575928283096,53419,0,32519,43,22714,655,15986,1500,1395,318,5486,579,5100,510,5137,775,15793,64,10347,43,11069,833,814,217,291,160,20738,141,392,150,6435,657,1004,206,1558,353,1211,64,30.6,2.9,6.9,1.6,24.2,2.5,12.9,1.3,9.8,1.5,29.6,0.1,19.4,0.1,21.2,1.6,3.6,0.9,0.6,0.3,38.8,0.3,1.2,0.5,19.8,2.0,4.4,0.9,6.9,1.5,2.3,0.1,0.6429,0.5,0.5,0.5,0.4286,2.5715,0.5714,0.7857,0.2143,0.8571,0.0714,0.0,1.9285,0.1429,0.1429,0.1429,0.1429,0.1429,0.5,0.4286,0.7857,0.5,2.3572,0.5,7.0001,0.3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49306,5375,587,354,73,10276,0,383,100,8118,419,15,26,1550,451,42,68,23.7,2.4,0.7,0.1,19.2,0.0,0.7,0.2,15.2,0.8,0.0,0.1,2.9,0.8,0.1,0.1
04,Arizona,AZ,04009,Graham County,04009,"Graham County, Arizona",4621.874902754022,38453,0,13755,67,12018,269,9131,873,893,229,2489,392,3746,503,3020,435,5401,99,10108,56,4580,441,834,176,537,202,19058,125,388,170,2697,307,702,170,594,145,3191,76,25.9,2.5,6.0,1.5,20.7,3.2,15.4,2.1,8.5,1.2,14.0,0.3,26.3,0.1,12.9,1.2,6.9,1.5,1.5,0.6,49.6,0.3,2.9,1.2,19.6,2.2,5.9,1.4,4.9,1.2,8.3,0.2,0.3571,0.2857,0.2143,0.7143,0.1429,1.7143,0.2857,0.1429,0.7857,0.2143,0.6429,0.1429,1.9287,0.2143,0.5714,0.5714,0.5714,0.5,0.4286,0.5714,0.3571,0.9286,2.7857,0.5714,7.0001,0.3571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,36340,2104,299,730,29,12885,0,241,89,4450,225,24,30,628,256,100,71,17.5,2.5,1.9,0.1,33.5,0.0,0.6,0.2,11.6,0.6,0.1,0.1,1.6,0.7,0.3,0.2
04,Arizona,AZ,04011,Greenlee County,04011,"Greenlee County, Arizona",1842.84095014722,9483,0,4409,20,3304,189,1560,443,129,84,357,140,823,206,213,111,1299,99,2589,56,1184,254,305,149,79,88,5240,21,120,81,943,187,134,94,88,70,87,11,16.5,4.7,3.0,1.9,10.8,4.2,14.1,3.5,2.3,1.2,13.7,1.0,27.3,0.6,12.5,2.7,9.2,4.5,0.9,1.0,55.3,0.2,2.8,1.8,21.4,4.2,4.1,2.8,2.7,2.1,0.9,0.1,0.0,0.0,0.0,0.5714,0.0,0.5714,0.0,0.0714,1.0,0.0714,1.0,0.0714,2.2142,0.3571,0.7143,0.7143,0.7143,0.4286,0.7143,0.2857,0.0,0.0714,1.5,0.0714,4.9999,0.0714,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,10270,472,138,171,35,4577,0,71,64,318,99,0,19,103,88,0,19,14.3,4.2,1.8,0.4,48.3,0.0,0.7,0.7,3.4,1.0,0.0,0.4,1.1,0.9,0.0,0.4
04,Arizona,AZ,04012,La Paz County,04012,"La Paz County, Arizona",4496.57731298912,16681,0,13692,85,8911,370,5060,583,657,278,1844,358,2293,394,2519,478,6748,12,2708,34,3847,451,542,143,819,352,7323,47,72,54,7608,430,817,193,424,152,187,93,30.9,3.6,10.7,4.4,20.7,3.9,17.4,3.0,15.2,2.9,40.5,0.1,16.2,0.2,23.2,2.7,6.0,1.6,5.1,2.2,43.9,0.3,0.5,0.4,55.6,3.0,9.2,2.1,4.8,1.6,1.1,0.6,0.7143,1.0,0.2143,0.8571,0.9286,3.7143,0.8571,1.0,0.0714,1.0,0.3571,0.8571,3.2856,0.9286,0.2143,0.2143,0.2143,0.0,1.0,0.7857,0.2857,0.1429,2.2143,0.4286,9.4285,0.7143,0,1,0,0,1,2,1,0,1,0,0,2,0,0,0,1,0,0,0,1,5,14268,2569,359,69,76,4699,0,153,19,2024,153,3,5,375,132,0,21,28.8,3.8,0.4,0.5,28.2,0.0,0.9,0.1,12.1,0.9,0.0,0.1,2.2,0.8,0.0,0.3
04,Arizona,AZ,04013,Maricopa County,04013,"Maricopa County, Arizona",9202.011810966736,4430871,0,1821463,483,1665560,3490,830415,14384,108652,3239,443517,6211,323350,5116,481871,7853,692770,0,1024140,0,514447,5913,107224,3011,181743,4560,2071610,2253,288083,4466,89292,2214,73108,2372,87174,2815,63726,705,19.0,0.3,4.8,0.1,26.6,0.4,10.8,0.2,11.0,0.2,15.6,0.0,23.1,0.0,11.7,0.1,6.4,0.2,4.4,100.0,46.8,0.1,15.8,0.2,4.9,0.1,4.4,0.1,5.2,0.2,1.4,0.0,0.0714,0.0714,0.7143,0.2143,0.5714,1.6428,0.2143,0.2143,0.5714,0.0,0.5714,0.7143,2.0714,0.2857,0.4286,0.4286,0.4286,1.0,0.0,0.4286,0.4286,0.2143,2.0715,0.2857,6.2143,0.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4545626,145567,3312,239826,3268,1402753,0,184817,2593,60562,1568,8260,588,158887,4848,16505,1617,8.7,0.2,5.4,0.1,31.7,0.0,4.2,0.1,1.4,0.1,0.2,0.1,3.6,0.1,0.4,0.1
04,Arizona,AZ,04015,Mohave County,04015,"Mohave County, Arizona",13332.111627993661,214229,0,118073,106,95169,1146,56798,3124,6118,765,24691,1338,20263,1421,19103,1640,66984,99,35434,41,46886,1735,4624,576,2980,629,52508,418,4981,643,29688,1258,2913,457,4205,617,3719,102,27.1,1.5,7.5,0.9,25.9,1.4,12.2,0.9,9.1,0.8,31.3,0.1,16.5,0.1,22.3,0.8,4.9,0.6,1.5,0.3,24.5,0.2,4.2,0.5,25.1,1.1,3.1,0.5,4.4,0.6,1.7,0.0,0.5714,0.6429,0.5714,0.4286,0.2143,2.4286,0.5,0.8571,0.1429,0.9286,0.2143,0.1429,2.2858,0.4286,0.0714,0.0714,0.0714,0.6429,0.8571,0.1429,0.2143,0.2857,2.1429,0.3571,6.9287,0.2857,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,191905,13641,952,2312,313,37218,0,2294,222,3215,419,442,99,6719,735,308,164,14.3,1.0,1.1,0.1,17.4,0.0,1.1,0.1,1.5,0.2,0.2,0.1,3.1,0.3,0.1,0.1
04,Arizona,AZ,04017,Navajo County,04017,"Navajo County, Arizona",9949.489724986646,107110,0,56556,82,37565,771,40532,1912,3647,437,7050,582,10137,697,15185,1425,20350,82,27769,63,18724,1019,2764,351,2457,277,62227,126,796,202,11269,633,3493,375,3175,305,2938,121,38.8,1.8,9.7,1.1,18.8,1.5,14.4,1.0,14.5,1.4,19.0,0.1,25.9,0.1,17.9,1.0,7.3,0.9,2.4,0.3,58.1,0.1,1.4,0.4,19.9,1.1,9.3,1.0,8.5,0.8,2.7,0.1,0.9286,0.8571,0.1429,0.6429,0.8571,3.4286,0.7143,0.4286,0.7143,0.6429,0.7857,0.4286,3.0001,0.7143,0.7857,0.7857,0.7857,0.2143,0.5714,0.8571,0.9286,0.5714,3.1428,0.7857,10.3572,0.8571,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,97961,11376,627,1008,166,12728,0,394,131,44591,460,152,93,3204,534,150,69,30.3,1.5,0.9,0.2,11.9,0.0,0.4,0.1,41.6,0.4,0.1,0.1,3.0,0.5,0.1,0.1
