ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
08,Colorado,CO,08001,Adams County,08001,"Adams County, Colorado",1166.738651464552,520149,0,187811,193,181211,683,86951,4142,13351,1020,52678,1836,51447,1649,55724,3103,56225,44,133106,0,57376,2233,13140,994,26720,1570,273104,850,28210,1226,11199,781,8286,803,8327,979,3698,128,16.9,0.8,4.6,0.4,29.1,1.0,15.2,0.5,10.8,0.6,10.8,0.1,25.6,0.0,11.1,0.4,7.2,0.5,5.5,0.3,52.5,0.2,15.0,0.7,6.0,0.4,4.5,0.4,4.6,0.5,0.7,0.0,0.381,0.5556,0.8889,0.9365,0.6984,3.4604,0.8254,0.0,0.9048,0.3651,0.8889,0.9365,3.0953,0.7619,0.9524,0.9524,0.9524,0.8095,0.3492,0.9206,0.5556,0.2063,2.8412,0.6825,10.3493,0.8095,0,0,0,1,0,1,0,1,0,0,1,2,1,1,0,0,1,0,0,1,5,503142,15838,1125,17428,760,215119,0,19984,875,1876,298,711,119,16001,1256,1985,669,8.7,0.6,3.4,0.1,41.4,0.0,3.8,0.2,0.4,0.1,0.1,0.1,3.1,0.2,0.4,0.1
08,Colorado,CO,08003,Alamosa County,08003,"Alamosa County, Colorado",722.645116782958,16460,0,7084,25,6471,175,4429,686,274,126,1633,273,999,237,1362,395,2387,42,3931,110,2546,416,414,159,364,167,8940,91,565,163,870,192,145,68,401,147,971,27,28.5,4.4,3.4,1.5,25.2,4.2,10.2,2.4,8.4,2.4,14.5,0.3,23.9,0.7,15.8,2.6,6.4,2.5,2.3,1.1,54.3,0.6,8.0,2.3,12.3,2.7,2.2,1.0,6.2,2.3,5.9,0.2,0.8254,0.2857,0.3968,0.6825,0.4127,2.6031,0.5238,0.1746,0.7778,0.7302,0.8095,0.6825,3.1746,0.8095,0.9683,0.9683,0.9683,0.7143,0.7302,0.5714,0.8254,0.8889,3.7302,0.9524,10.4762,0.8413,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,17360,687,184,172,130,7897,0,339,147,79,55,6,13,341,158,106,71,10.6,2.8,1.0,0.8,48.0,0.0,2.1,0.9,0.5,0.3,0.0,0.1,2.1,1.0,0.6,0.4
08,Colorado,CO,08005,Arapahoe County,08005,"Arapahoe County, Colorado",797.883626259308,654453,0,262688,172,250751,881,89321,3981,16928,1139,69820,1960,35157,1809,56448,2994,89962,47,149726,0,67778,1884,15263,1100,24856,1460,276506,899,60735,1522,2289,352,7561,738,12544,819,5462,278,13.8,0.6,4.6,0.3,27.8,0.8,7.8,0.4,8.7,0.5,13.7,0.1,22.9,0.0,10.5,0.3,6.1,0.4,4.0,0.2,42.2,0.1,23.1,0.6,0.9,0.1,3.1,0.3,5.0,0.3,0.8,0.0,0.1905,0.5556,0.7778,0.4921,0.4762,2.4922,0.4603,0.1111,0.7302,0.3175,0.7778,0.8254,2.762,0.6032,0.7937,0.7937,0.7937,0.9048,0.0317,0.7619,0.5714,0.2381,2.5079,0.4921,8.5558,0.5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,669855,15636,959,69253,1426,132163,0,39827,959,1907,289,1465,235,29668,1745,2223,618,6.2,0.4,10.6,0.2,20.2,0.0,6.1,0.1,0.3,0.1,0.2,0.1,4.5,0.3,0.3,0.1
08,Colorado,CO,08007,Archuleta County,08007,"Archuleta County, Colorado",1350.08756033083,13509,0,9591,53,5738,372,2657,503,299,159,1760,280,571,177,1477,336,3653,39,2393,0,2083,280,202,91,43,84,3278,55,284,182,820,172,154,66,141,80,181,10,19.8,3.8,4.8,2.6,30.7,4.5,5.5,1.7,11.0,2.5,27.0,0.3,17.7,0.0,15.6,2.1,3.5,1.6,0.3,0.6,24.3,0.4,3.0,1.9,8.5,1.8,2.6,1.1,2.5,1.4,1.3,0.1,0.4921,0.6508,0.9683,0.3492,0.7302,3.1906,0.7619,0.873,0.3492,0.7143,0.254,0.1429,2.3334,0.4127,0.5556,0.5556,0.5556,0.4286,0.4762,0.6508,0.2063,0.3333,2.0952,0.3175,8.1748,0.5238,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11219,594,171,47,74,2498,0,73,48,189,111,14,24,412,124,45,53,10.4,2.9,0.3,0.5,18.5,0.0,0.5,0.4,1.4,0.8,0.1,0.2,3.0,0.9,0.3,0.4
08,Colorado,CO,08009,Baca County,08009,"Baca County, Colorado",2554.991593333732,3496,0,1985,17,1586,72,1139,186,26,15,378,74,355,79,226,57,835,29,777,4,592,79,66,33,7,51,611,11,81,52,179,47,32,21,81,33,92,19,33.6,5.5,1.7,1.0,23.8,4.5,14.2,3.2,6.6,1.7,23.9,0.8,22.2,0.1,17.4,2.3,4.1,2.1,0.2,1.5,17.5,0.3,4.1,2.6,9.0,2.4,2.0,1.3,5.1,2.0,2.6,0.5,0.9524,0.0317,0.2857,0.8889,0.1587,2.3174,0.3968,0.746,0.6825,0.8095,0.381,0.0794,2.6984,0.5873,0.254,0.254,0.254,0.4762,0.5238,0.4762,0.6032,0.6825,2.7619,0.6349,8.0317,0.4921,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2474,303,83,11,17,422,0,81,49,26,22,4,6,65,34,2,3,19.1,5.2,0.3,0.5,12.1,0.0,2.3,1.4,0.7,0.6,0.1,0.2,1.9,1.0,0.1,0.1
08,Colorado,CO,08011,Bent County,08011,"Bent County, Colorado",1512.846149153096,5561,0,2151,30,1808,109,1692,266,98,55,560,127,708,186,298,135,1023,54,933,72,889,117,64,37,71,105,2538,96,68,48,282,88,66,55,143,72,1411,58,40.0,6.3,5.5,3.1,31.0,6.8,16.6,4.3,7.0,3.2,18.4,1.0,16.8,1.3,21.0,2.8,3.5,2.0,1.3,2.0,45.6,1.7,3.1,2.2,13.1,4.1,3.7,3.0,7.9,3.9,25.4,1.0,1.0,0.7619,0.9841,0.9683,0.2063,3.9206,0.9841,0.4444,0.2698,0.9524,0.254,0.4921,2.4127,0.4286,0.8413,0.8413,0.8413,0.4444,0.8095,0.873,0.9365,1.0,4.0634,1.0,11.238,0.9524,1,0,1,1,0,3,0,0,1,0,0,1,0,0,0,0,0,1,1,2,6,5080,337,94,231,114,1822,0,14,16,48,45,8,12,415,151,0,18,18.6,4.8,4.2,2.1,32.8,0.0,0.3,0.3,0.9,0.8,0.1,0.2,7.5,2.7,0.0,0.7
08,Colorado,CO,08013,Boulder County,08013,"Boulder County, Colorado",726.383545150836,328658,0,141007,128,133390,672,51494,2262,8217,727,37357,1535,9302,767,14420,1068,50239,116,59565,0,27883,1104,5879,629,4177,605,78078,740,27106,1157,3372,506,2240,389,6884,688,12793,166,16.3,0.7,4.4,0.4,28.0,1.1,4.3,0.4,4.4,0.3,15.3,0.1,18.1,0.0,8.5,0.3,4.4,0.5,1.3,0.2,23.8,0.2,19.2,0.8,2.4,0.4,1.6,0.3,5.2,0.5,3.9,0.1,0.3333,0.4762,0.8095,0.254,0.0159,1.8889,0.254,0.2381,0.4127,0.1905,0.4286,0.4921,1.762,0.2381,0.5397,0.5397,0.5397,0.873,0.1111,0.3651,0.619,0.8254,2.7936,0.6508,6.9842,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354820,7719,697,2585,356,45657,0,14988,526,838,250,182,70,12893,941,935,301,5.8,0.5,0.8,0.1,13.9,0.0,4.6,0.2,0.3,0.1,0.1,0.1,3.9,0.3,0.3,0.1
08,Colorado,CO,08014,Broomfield County,08014,"Broomfield County, Colorado",32.96796985187,73946,0,31338,47,30103,282,5601,800,1383,245,5753,500,1949,321,3790,617,10853,64,15908,0,5817,513,1392,271,908,246,18782,261,7756,519,686,147,357,118,1095,200,370,24,7.6,1.1,3.2,0.6,19.1,1.7,3.7,0.6,5.2,0.8,14.7,0.1,21.5,0.0,7.9,0.7,4.7,0.9,1.3,0.3,25.4,0.4,24.7,1.7,2.2,0.5,1.2,0.4,3.6,0.7,0.5,0.0,0.0159,0.2063,0.0952,0.2063,0.0794,0.6031,0.0317,0.1905,0.6508,0.127,0.5079,0.4921,1.9683,0.3175,0.619,0.619,0.619,0.9365,0.0952,0.1746,0.3651,0.1429,1.7143,0.1429,4.9047,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,79411,1480,242,887,166,9747,0,5110,237,111,63,0,30,2635,385,292,197,4.9,0.8,1.2,0.2,13.2,0.0,6.9,0.3,0.2,0.1,0.0,0.1,3.6,0.5,0.4,0.3
08,Colorado,CO,08015,Chaffee County,08015,"Chaffee County, Colorado",1013.407978112584,19564,0,11072,32,9066,368,3689,646,562,361,2601,441,1079,290,1487,369,5141,93,2929,91,2364,432,722,285,298,127,3019,68,159,108,980,245,314,230,362,175,1466,39,20.3,3.6,6.0,3.8,28.7,4.7,7.0,1.8,8.2,2.0,26.3,0.5,15.0,0.5,13.0,2.4,7.9,3.1,1.6,0.7,15.4,0.3,1.4,1.0,8.9,2.2,3.5,2.5,4.0,1.9,7.5,0.2,0.5556,0.8413,0.8571,0.4127,0.381,3.0477,0.7143,0.8413,0.127,0.5238,0.9206,0.6032,3.0159,0.7302,0.1587,0.1587,0.1587,0.1905,0.5079,0.8413,0.4603,0.9365,2.9365,0.7143,9.1588,0.6667,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,2,18921,1482,354,207,100,1968,0,204,28,27,24,74,74,483,145,56,69,16.3,3.7,1.1,0.5,10.1,0.0,1.0,0.1,0.1,0.1,0.4,0.4,2.5,0.7,0.3,0.4
08,Colorado,CO,08017,Cheyenne County,08017,"Cheyenne County, Colorado",1778.275370611716,1726,140,969,83,740,64,311,107,19,13,105,38,86,40,122,69,346,60,431,93,189,49,15,22,34,54,346,197,3,13,84,38,3,13,6,5,43,17,18.5,6.2,2.1,1.5,14.2,5.0,7.0,3.3,7.2,4.1,20.0,3.6,25.0,4.3,11.2,2.9,2.0,3.0,2.1,3.4,20.0,11.3,0.3,1.3,8.7,3.9,0.4,1.8,0.8,0.7,2.5,1.0,0.4127,0.0635,0.0159,0.4127,0.2381,1.1429,0.0794,0.5397,0.8571,0.381,0.0635,0.6667,2.508,0.5079,0.3333,0.3333,0.3333,0.0635,0.4921,0.0317,0.0,0.6349,1.2222,0.0794,5.2064,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1103,91,34,16,17,206,114,3,4,0,13,5,8,114,66,2,5,12.3,4.3,0.9,1.0,11.9,6.4,0.2,0.3,0.0,2.1,0.3,0.5,6.6,3.7,0.1,0.3
