ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
10,Delaware,DE,10001,Kent County,10001040100,Census Tract 401; Kent County; Delaware,48.164624879414,7343,882,2795,280,2536,211,1514,718,227,135,521,194,507,217,261,139,1047,190,1986,541,1039,447,61,77,170,148,1381,1261,1,18,639,249,53,67,43,38,0,18,20.7,9.5,6.4,3.8,20.5,7.5,10.2,3.7,3.6,1.9,14.3,3.0,27.0,5.3,14.1,5.6,2.4,3.0,2.4,2.1,18.8,17.0,0.0,0.6,22.9,8.0,2.1,2.6,1.7,1.5,0.0,0.2,0.6863,0.6745,0.3961,0.6445,0.3686,2.77,0.5529,0.2813,0.8672,0.5451,0.2431,0.707,2.6437,0.6118,0.2578,0.2578,0.2578,0.0,0.9098,0.6902,0.2314,0.0,1.8314,0.3294,7.5029,0.4824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2855,194,95,505,129,509,310,107,76,4,12,0,18,243,219,13,18,7.6,3.8,6.9,1.9,6.9,4.1,1.5,1.1,0.1,0.2,0.0,0.5,3.3,3.1,0.2,0.2
10,Delaware,DE,10001,Kent County,10001040201,Census Tract 402.01; Kent County; Delaware,3.75788443376,5132,524,2145,207,1895,208,480,182,211,112,335,98,182,93,330,174,567,93,1440,224,664,175,202,85,0,72,2092,685,74,71,102,53,41,43,52,43,4,2,9.4,3.4,7.4,3.7,17.7,4.8,5.4,2.7,6.4,3.2,11.0,2.2,28.1,3.2,13.0,3.3,10.7,4.3,0.0,1.5,40.8,12.7,3.5,3.3,4.8,2.5,2.2,2.3,2.7,2.3,0.1,0.0,0.2824,0.749,0.2667,0.3945,0.6471,2.3397,0.4431,0.1172,0.8945,0.4235,0.8157,0.0,2.2509,0.3765,0.5781,0.5781,0.5781,0.451,0.6824,0.702,0.3882,0.3906,2.6142,0.6627,7.7829,0.5176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9054,78,52,1512,401,195,118,67,82,6,14,0,18,275,136,37,57,4.1,2.7,29.5,6.5,3.8,2.4,1.3,1.6,0.1,0.3,0.0,0.7,5.4,2.6,0.7,1.1
10,Delaware,DE,10001,Kent County,10001040203,Census Tract 402.03; Kent County; Delaware,23.116592379848,5415,865,2348,263,2145,302,1343,449,48,65,689,217,267,197,345,255,1230,349,1341,333,715,289,155,118,119,122,2896,1018,24,34,244,116,40,47,133,95,5,2,25.0,7.3,1.9,2.6,32.1,9.1,7.0,4.9,6.4,4.5,22.7,5.5,24.8,4.6,13.2,5.1,7.3,5.4,2.3,2.3,53.5,16.7,1.0,1.4,10.4,5.0,1.9,2.2,6.2,4.4,0.1,0.0,0.7725,0.1529,0.7412,0.4805,0.6471,2.7942,0.5647,0.668,0.7461,0.4314,0.6824,0.6758,3.2037,0.8471,0.7617,0.7617,0.7617,0.3294,0.7804,0.6549,0.6706,0.3906,2.8259,0.7529,9.5855,0.7686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5694,265,144,2128,727,595,327,32,56,0,18,0,18,141,161,0,18,12.4,6.3,39.3,9.8,11.0,5.7,0.6,1.0,0.0,0.7,0.0,0.7,2.6,3.0,0.0,0.7
10,Delaware,DE,10001,Kent County,10001040204,Census Tract 402.04; Kent County; Delaware,2.674162529304,6265,689,1941,158,1862,186,629,276,205,139,303,133,328,159,281,148,968,181,1431,253,622,269,210,100,35,76,2968,863,0,25,50,67,32,45,86,82,182,5,10.4,4.4,6.6,4.3,16.3,7.0,7.3,3.6,4.6,2.5,15.5,3.3,22.8,3.2,10.3,4.4,11.3,5.3,0.6,1.3,47.4,12.8,0.0,1.3,2.6,3.5,1.7,2.4,4.6,4.5,2.9,0.3,0.3176,0.6784,0.2118,0.5039,0.4706,2.1823,0.3922,0.3555,0.6406,0.2118,0.8392,0.3477,2.3948,0.4745,0.6719,0.6719,0.6719,0.0,0.5804,0.6431,0.549,0.875,2.6475,0.6745,7.8965,0.5373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5555,93,87,1910,405,249,176,113,89,0,18,0,18,696,440,0,18,5.0,4.6,30.5,6.2,4.0,2.8,1.8,1.5,0.0,0.6,0.0,0.6,11.1,6.4,0.0,0.6
10,Delaware,DE,10001,Kent County,10001040205,Census Tract 402.05; Kent County; Delaware,1.289137048802,4857,611,1870,247,1870,247,947,563,188,133,559,232,420,283,161,171,653,119,1124,270,791,338,263,213,67,100,2326,812,92,105,278,180,67,87,97,100,0,13,19.5,11.3,7.1,5.4,29.9,11.8,12.4,8.0,3.3,3.5,13.4,2.3,23.1,4.6,16.3,7.2,14.1,11.2,1.6,2.3,47.9,15.6,4.9,5.6,14.9,9.5,3.6,4.6,5.2,5.3,0.0,0.3,0.6314,0.7333,0.6588,0.7422,0.3176,3.0833,0.6706,0.2109,0.6641,0.7137,0.8824,0.582,3.0531,0.7843,0.6758,0.6758,0.6758,0.5137,0.8275,0.851,0.6118,0.0,2.804,0.7373,9.6162,0.7725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3565,156,122,1578,577,482,291,96,85,0,13,0,13,170,160,0,13,8.3,6.5,32.5,10.3,9.9,6.2,2.0,1.7,0.0,0.8,0.0,0.8,3.5,3.3,0.0,0.8
10,Delaware,DE,10001,Kent County,10001040206,Census Tract 402.06; Kent County; Delaware,8.364144614488,7807,767,2758,331,2758,331,154,126,36,43,676,344,205,156,553,313,1531,221,1956,302,606,249,363,295,29,90,4020,915,0,25,12,21,14,31,64,79,181,4,2.0,1.6,1.0,1.2,24.5,12.1,3.9,2.9,7.3,3.8,19.6,3.0,25.1,3.0,8.0,3.6,13.2,10.6,0.4,1.2,51.5,10.6,0.0,0.9,0.4,0.7,0.5,1.1,2.3,3.0,2.3,0.2,0.0118,0.0627,0.5255,0.2578,0.7176,1.5754,0.2353,0.5625,0.7695,0.102,0.8745,0.2813,2.5898,0.5804,0.7461,0.7461,0.7461,0.0,0.4353,0.3882,0.3255,0.8516,2.0006,0.3961,6.9119,0.3961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3211,174,192,2680,473,740,346,354,397,4,8,0,18,242,223,0,18,6.3,7.0,34.3,5.0,9.5,4.1,4.5,5.0,0.1,0.1,0.0,0.5,3.1,2.9,0.0,0.5
10,Delaware,DE,10001,Kent County,10001040501,Census Tract 405.01; Kent County; Delaware,4.013170442936,4777,556,1988,209,1978,212,1099,456,214,118,623,206,352,179,310,202,977,185,889,187,1129,261,151,108,223,150,2310,738,308,144,218,104,7,22,58,75,2,2,23.2,9.2,8.5,4.4,31.5,9.9,10.1,5.2,6.5,4.0,20.5,3.9,18.6,3.0,23.6,4.6,7.6,5.4,4.9,3.2,48.4,14.4,15.5,7.1,11.0,5.0,0.4,1.1,2.9,3.7,0.0,0.0,0.7294,0.8431,0.7294,0.625,0.6627,3.5896,0.8275,0.5938,0.3867,0.9608,0.6941,0.8906,3.526,0.9412,0.6914,0.6914,0.6914,0.7725,0.7922,0.3725,0.4039,0.0,2.3411,0.5529,10.1481,0.8431,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,9125,274,130,1569,301,481,133,48,54,0,13,0,13,198,131,14,29,13.9,6.3,32.8,5.8,10.1,2.9,1.0,1.1,0.0,0.8,0.0,0.8,4.1,2.8,0.3,0.6
10,Delaware,DE,10001,Kent County,10001040502,Census Tract 405.02; Kent County; Delaware,12.249866648244,2647,451,1130,117,1086,126,510,184,147,135,350,112,94,56,300,177,479,79,595,140,410,92,58,35,15,63,1384,583,126,47,280,115,87,80,154,93,0,13,19.3,6.1,11.2,8.4,32.2,9.6,5.0,2.9,11.4,6.0,18.1,3.8,22.5,3.3,15.6,4.4,5.3,3.2,0.6,2.6,52.3,20.1,11.2,4.0,24.8,9.1,8.0,7.3,14.2,8.2,0.0,0.5,0.6196,0.9255,0.749,0.3516,0.8941,3.5398,0.8196,0.5078,0.6133,0.6941,0.5373,0.3477,2.7002,0.6471,0.7578,0.7578,0.7578,0.6902,0.9216,0.9765,0.8824,0.0,3.4707,0.9529,10.4685,0.8902,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,3,869,100,47,682,142,554,363,0,13,0,13,0,13,106,75,42,63,9.2,4.3,25.8,6.6,20.9,12.3,0.0,1.4,0.0,1.4,0.0,1.4,4.0,2.9,1.6,2.4
10,Delaware,DE,10001,Kent County,10001040700,Census Tract 407; Kent County; Delaware,2.355823746916,5417,711,2410,292,2241,299,1396,735,398,259,790,270,317,185,193,172,1550,446,1273,328,1000,369,240,161,37,78,2961,937,477,204,39,49,113,132,269,147,132,4,26.3,13.4,16.9,10.4,35.3,11.1,8.1,4.7,3.6,3.2,28.6,7.4,23.5,4.7,18.9,5.9,10.7,7.0,0.7,1.5,54.7,15.7,19.8,8.1,1.6,2.1,5.0,5.9,12.0,6.8,2.4,0.3,0.8,0.9765,0.8196,0.5625,0.3686,3.5272,0.8078,0.8047,0.6914,0.851,0.8157,0.3633,3.5261,0.9451,0.7813,0.7813,0.7813,0.8196,0.5373,0.9373,0.8667,0.8594,4.0203,0.9922,11.8549,0.9882,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,3670,303,148,1920,605,310,165,208,233,139,106,0,18,384,278,0,18,13.5,6.8,35.4,9.6,5.7,3.1,3.8,4.3,2.6,2.0,0.0,0.7,7.1,4.9,0.0,0.7
10,Delaware,DE,10001,Kent County,10001040900,Census Tract 409; Kent County; Delaware,0.542182575194,2334,286,1112,98,1073,102,715,266,20,21,366,131,214,118,68,81,621,102,235,109,571,99,14,19,11,54,1013,380,508,94,0,13,12,23,305,87,510,64,39.3,13.5,2.0,2.1,34.1,11.8,14.5,7.3,3.1,3.5,26.6,5.4,10.1,4.1,25.8,4.7,1.3,1.8,0.5,2.4,43.4,15.4,45.7,7.4,0.0,3.3,1.1,2.1,28.4,8.2,21.9,0.6,0.9333,0.1765,0.8,0.8242,0.2902,3.0242,0.6314,0.7695,0.125,0.9765,0.1333,0.3125,2.3168,0.4235,0.6094,0.6094,0.6094,0.9843,0.0,0.5176,0.9725,0.9727,3.4471,0.949,9.3975,0.749,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,3,5,4368,324,91,675,147,142,97,70,66,0,13,0,13,74,42,52,86,30.2,9.1,28.9,6.2,6.1,3.8,3.0,2.8,0.0,1.6,0.0,1.6,3.2,1.7,2.2,3.6
10,Delaware,DE,10001,Kent County,10001041000,Census Tract 410; Kent County; Delaware,10.331014612032,7176,704,3136,268,2918,261,1907,466,401,370,874,282,827,325,751,329,1379,256,1222,230,1762,549,295,137,545,291,4447,904,479,210,525,250,87,93,282,165,97,7,26.9,6.0,11.8,9.9,30.0,9.3,16.3,5.8,10.9,4.7,19.2,3.8,17.0,2.7,25.6,7.4,10.1,4.6,8.1,4.3,62.0,11.0,15.3,6.6,16.7,7.7,3.0,3.2,9.7,5.6,1.4,0.2,0.8157,0.9373,0.6667,0.8789,0.8824,4.181,0.9725,0.5547,0.3359,0.9686,0.7843,0.9727,3.6162,0.9647,0.8477,0.8477,0.8477,0.7686,0.851,0.8039,0.8471,0.793,4.0636,0.9961,12.7085,0.9961,0,1,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,0,0,3,8340,482,208,2576,563,1228,440,212,154,0,18,0,18,431,335,0,18,16.5,6.8,35.9,7.1,17.1,5.8,3.0,2.2,0.0,0.5,0.0,0.5,6.0,4.6,0.0,0.5
