ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
11,District of Columbia,DC,11001,District of Columbia,11001000101,Census Tract 1.01; District of Columbia; District of Columbia,0.077133913152,1097,223,841,111,738,145,47,42,0,14,122,96,12,19,22,35,317,145,78,39,55,47,0,19,0,56,298,311,525,132,0,14,4,15,293,111,0,14,4.3,3.7,0.0,6.3,16.5,12.6,1.2,1.9,2.0,3.2,28.9,12.8,7.1,3.0,5.0,4.6,0.0,2.6,0.0,5.2,27.2,27.8,62.4,13.4,0.0,5.2,0.5,2.0,39.7,12.7,0.0,1.3,0.0683,0.0,0.3005,0.1854,0.3951,0.9493,0.1133,0.9756,0.1756,0.1122,0.0,0.0,1.2634,0.1084,0.1024,0.1024,0.1024,0.6897,0.0,0.1921,0.6158,0.0,1.4976,0.2365,3.8127,0.0837,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,433,0,14,26,29,135,122,64,45,0,14,0,14,62,48,11,17,0.0,5.9,2.4,2.7,12.3,10.3,5.8,4.4,0.0,4.0,0.0,4.0,5.7,4.5,1.0,1.6
11,District of Columbia,DC,11001,District of Columbia,11001000102,Census Tract 1.02; District of Columbia; District of Columbia,0.658876885368,3127,474,2093,291,1866,316,256,185,16,26,234,150,60,70,33,54,871,217,301,146,211,146,49,59,60,87,634,621,493,190,0,14,0,19,440,155,0,14,8.2,5.8,0.8,1.2,12.5,7.8,2.2,2.5,1.1,1.7,27.9,6.3,9.6,4.1,6.7,4.7,2.6,3.1,2.0,2.9,20.3,19.6,23.6,8.5,0.0,2.1,0.0,1.0,23.6,8.3,0.0,0.4,0.2341,0.0537,0.1576,0.2634,0.2195,0.9283,0.0936,0.9561,0.2341,0.2585,0.4089,0.7171,2.5747,0.5025,0.0146,0.0146,0.0146,0.2709,0.0,0.0,0.2709,0.0,0.5418,0.0296,4.0594,0.0936,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,13442,117,98,26,32,459,241,133,120,0,14,0,14,0,14,16,26,6.3,5.2,0.8,1.0,14.7,7.1,4.3,3.6,0.0,1.4,0.0,1.4,0.0,1.4,0.5,0.8
11,District of Columbia,DC,11001,District of Columbia,11001000201,Census Tract 2.01; District of Columbia; District of Columbia,0.194983054408,2384,35,0,14,0,14,48,36,84,52,0,28,0,14,42,59,0,14,27,27,129,67,0,19,11,54,1165,171,0,19,0,14,0,19,0,14,2384,35,70.6,52.7,9.6,6.0,-999.0,-999.0,0.0,39.5,1.8,2.5,0.0,1.9,1.1,1.1,5.4,2.8,-999.0,-999.0,0.5,2.3,48.9,7.1,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,100.0,0.0,0.9902,0.6976,-999.0,0.0,0.3561,-999.0,-999.0,0.0,0.0585,0.1366,-999.0,0.4,-999.0,-999.0,0.3951,0.3951,0.3951,-999.0,-999.0,-999.0,-999.0,0.9951,-999.0,-999.0,-999.0,-999.0,1,0,-999,0,0,-999,0,0,0,-999,0,-999,0,0,-999,-999,-999,-999,1,-999,-999,20219,0,14,203,118,309,92,500,131,6,14,0,14,143,82,4,10,-999.0,-999.0,8.5,5.0,13.0,3.8,21.0,5.5,0.3,0.6,0.0,1.9,6.0,3.4,0.2,0.4
11,District of Columbia,DC,11001,District of Columbia,11001000202,Census Tract 2.02; District of Columbia; District of Columbia,0.29978310637,3919,461,1957,352,1802,360,476,174,107,62,255,111,35,43,16,23,825,235,258,58,238,119,0,19,10,54,936,664,431,132,0,14,9,19,523,355,591,19,14.5,4.9,4.2,2.5,14.2,5.5,1.4,1.7,0.4,0.6,21.1,6.0,6.6,1.5,6.1,3.1,0.0,1.1,0.3,1.4,23.9,16.7,22.0,5.5,0.0,2.3,0.5,1.0,29.0,15.4,15.1,1.8,0.478,0.4195,0.2315,0.2098,0.0976,1.4364,0.2167,0.8585,0.161,0.1902,0.0,0.322,1.5317,0.1872,0.0537,0.0537,0.0537,0.2562,0.0,0.1921,0.3941,0.9512,1.7936,0.3793,4.8154,0.1527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,11055,49,48,154,85,329,137,305,124,0,14,36,47,98,50,14,26,2.7,2.7,3.9,2.2,8.4,3.4,7.8,3.3,0.0,1.1,0.9,1.2,2.5,1.2,0.4,0.7
11,District of Columbia,DC,11001,District of Columbia,11001000300,Census Tract 3; District of Columbia; District of Columbia,0.402378515912,5979,782,2785,284,2471,264,673,223,52,47,347,137,128,148,0,20,606,181,1335,320,135,73,30,39,23,79,1992,1017,339,117,0,20,16,32,345,137,0,20,11.3,3.4,1.5,1.3,14.0,5.3,3.2,3.6,0.0,0.7,10.1,3.1,22.3,3.3,2.3,1.2,1.2,1.6,0.4,1.4,33.3,16.4,12.1,4.0,0.0,1.6,0.6,1.3,14.0,5.2,0.0,0.3,0.3512,0.1366,0.2167,0.3561,0.0,1.0606,0.1281,0.4098,0.6537,0.0195,0.2365,0.3512,1.6707,0.2217,0.2293,0.2293,0.2293,0.1576,0.0,0.2069,0.1133,0.0,0.4778,0.0246,3.4384,0.0345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4005,160,161,156,105,1253,574,278,126,0,20,0,20,279,177,26,41,6.5,6.2,2.6,1.8,21.0,8.5,4.6,2.0,0.0,0.7,0.0,0.7,4.7,3.0,0.4,0.7
11,District of Columbia,DC,11001,District of Columbia,11001000400,Census Tract 4; District of Columbia; District of Columbia,0.595075460378,1652,331,815,75,660,80,169,84,29,29,101,42,37,29,5,7,345,75,319,144,106,57,10,19,23,51,546,365,412,76,0,14,0,19,89,41,32,2,10.2,4.7,3.6,3.4,15.3,6.1,3.0,2.4,0.3,0.4,20.9,5.5,19.3,6.1,6.4,3.5,1.5,2.9,1.4,3.1,33.1,21.1,50.6,8.1,0.0,5.4,0.0,2.9,13.5,6.1,1.9,0.4,0.3171,0.3707,0.2611,0.3415,0.0878,1.3782,0.197,0.8439,0.5854,0.2244,0.3005,0.6585,2.6127,0.5222,0.2195,0.2195,0.2195,0.5911,0.0,0.0,0.1034,0.6244,1.3189,0.1823,5.5293,0.2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16934,46,56,27,16,174,119,262,247,0,14,0,14,83,53,0,14,7.0,8.4,1.6,1.0,10.5,6.5,15.9,12.9,0.0,2.7,0.0,2.7,5.0,3.3,0.0,2.7
11,District of Columbia,DC,11001,District of Columbia,11001000501,Census Tract 5.01; District of Columbia; District of Columbia,0.363032019398,3594,465,2539,311,2183,326,423,281,167,158,608,312,43,61,51,56,573,181,339,104,236,129,22,41,0,56,1479,568,2284,369,0,14,18,33,924,255,47,18,11.8,7.7,6.6,6.1,27.9,13.7,1.4,2.1,1.4,1.6,15.9,5.1,9.4,2.6,6.6,3.7,1.0,1.9,0.0,1.6,41.2,14.9,89.9,9.5,0.0,1.8,0.8,1.5,42.3,9.5,1.3,0.5,0.3756,0.561,0.5764,0.2098,0.2878,2.0106,0.3941,0.7171,0.2244,0.239,0.2266,0.0,1.4071,0.1281,0.3073,0.3073,0.3073,0.9015,0.0,0.2512,0.6502,0.5317,2.3346,0.7143,6.0596,0.3251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4868,57,82,427,272,383,209,590,375,0,14,0,14,64,82,15,20,2.6,3.7,11.9,7.4,10.7,5.7,16.4,9.6,0.0,1.2,0.0,1.2,1.8,2.3,0.4,0.6
11,District of Columbia,DC,11001,District of Columbia,11001000502,Census Tract 5.02; District of Columbia; District of Columbia,0.224521015714,3384,524,1789,208,1714,208,218,119,49,43,233,91,43,52,16,24,485,90,671,245,187,93,31,26,36,63,1056,717,1172,191,0,14,47,40,359,98,0,14,6.4,3.4,2.1,2.0,13.6,5.0,1.7,2.0,0.5,0.7,14.3,3.4,19.8,4.8,5.5,2.9,1.8,1.5,1.2,2.1,31.2,20.6,65.5,7.5,0.0,2.5,2.8,2.3,20.9,6.6,0.0,0.4,0.1561,0.2244,0.2118,0.2341,0.1171,0.9435,0.1034,0.6732,0.5902,0.1463,0.33,0.6195,2.3592,0.4138,0.1805,0.1805,0.1805,0.7044,0.0,0.5369,0.2167,0.0,1.458,0.2217,4.9412,0.1626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274,13,19,148,167,522,207,117,68,0,14,0,14,235,150,34,55,0.8,1.1,4.4,4.8,15.4,6.0,3.5,2.0,0.0,1.3,0.0,1.3,6.9,4.3,1.0,1.6
11,District of Columbia,DC,11001,District of Columbia,11001000600,Census Tract 6; District of Columbia; District of Columbia,0.55670696023,4548,564,2290,230,2206,238,195,102,75,74,356,195,170,113,43,46,882,111,934,193,364,121,90,77,0,56,966,770,1181,212,0,14,0,19,537,159,140,3,4.4,2.3,2.8,2.8,16.1,8.7,4.8,3.2,1.0,1.0,19.4,3.1,20.5,2.5,8.3,3.0,4.1,3.5,0.0,1.3,21.2,16.7,51.6,7.7,0.0,1.9,0.0,0.9,24.3,7.3,3.1,0.4,0.0732,0.2829,0.2857,0.4634,0.1902,1.2954,0.1823,0.8293,0.6146,0.3951,0.5271,0.0,2.3661,0.4187,0.0195,0.0195,0.0195,0.601,0.0,0.0,0.2956,0.7512,1.6478,0.3202,5.3288,0.2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5912,132,77,397,180,392,181,58,43,0,14,0,14,61,53,58,80,6.0,3.4,8.7,3.7,8.6,4.0,1.3,1.0,0.0,1.0,0.0,1.0,1.3,1.2,1.3,1.7
11,District of Columbia,DC,11001,District of Columbia,11001000702,Census Tract 7.02; District of Columbia; District of Columbia,0.119292776634,2921,433,2476,290,2168,319,297,139,31,39,699,237,0,14,56,50,317,209,137,100,164,109,38,48,36,71,1104,553,2052,347,0,14,65,73,723,213,0,14,10.2,4.5,1.3,1.8,32.2,9.9,0.0,1.7,1.9,1.8,10.9,6.5,4.7,3.3,5.6,3.8,1.8,2.2,1.2,2.4,37.8,18.1,82.9,10.1,0.0,1.8,3.0,3.3,33.3,10.8,0.0,0.5,0.3171,0.1073,0.7241,0.0,0.3805,1.529,0.2315,0.4927,0.1463,0.1512,0.33,0.6195,1.7397,0.2512,0.2683,0.2683,0.2683,0.8522,0.0,0.5517,0.4926,0.0,1.8965,0.4532,5.4335,0.2266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,253,181,525,257,232,150,183,96,0,14,0,14,164,133,0,14,11.7,7.5,18.0,7.9,7.9,5.2,6.3,3.1,0.0,1.5,0.0,1.5,5.6,4.4,0.0,1.5
11,District of Columbia,DC,11001,District of Columbia,11001000703,Census Tract 7.03; District of Columbia; District of Columbia,0.089628559974,2978,497,2328,249,2028,275,100,95,63,78,271,124,26,24,40,44,1558,300,108,110,547,172,0,19,0,56,958,646,2303,252,0,14,15,27,506,223,0,14,3.4,3.1,4.0,4.9,13.4,5.8,1.0,0.9,1.3,1.5,52.3,9.5,3.6,3.6,18.4,6.3,0.0,0.9,0.0,1.9,32.2,21.0,98.9,2.3,0.0,1.9,0.7,1.3,25.0,9.7,0.0,0.5,0.0439,0.4098,0.1921,0.1707,0.2537,1.0702,0.1379,1.0,0.122,0.8732,0.0,0.0,1.9952,0.2906,0.2098,0.2098,0.2098,0.9655,0.0,0.2315,0.3054,0.0,1.5024,0.2414,4.7776,0.1379,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,1196,190,138,276,169,375,291,188,159,0,14,0,14,107,100,12,19,9.4,6.6,9.3,5.8,12.6,8.7,6.3,5.3,0.0,1.5,0.0,1.5,3.6,3.3,0.4,0.6
