ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
15,Hawaii,HI,15001,Hawaii County,15001020100,Census Tract 201; Hawaii County; Hawaii,97.064446654332,4499,472,2089,161,1644,141,818,213,183,104,367,95,268,107,210,97,890,144,840,192,754,148,68,42,204,94,3555,505,6,5,10,12,83,41,89,36,18,5,18.3,4.3,7.7,3.9,22.3,5.5,8.1,3.1,4.7,2.0,19.8,3.7,18.7,3.1,16.9,3.4,4.1,2.5,4.7,2.1,79.0,7.6,0.2,0.2,0.5,0.6,5.0,2.5,5.4,2.1,0.4,0.1,0.6792,0.7725,0.4693,0.6854,0.691,3.2974,0.7844,0.4554,0.4671,0.8561,0.5613,0.6948,3.0347,0.8019,0.4014,0.4014,0.4014,0.2075,0.8278,0.3561,0.5637,0.5352,2.4903,0.6675,9.2238,0.7488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2851,318,91,5,7,542,190,1132,249,0,12,553,229,1315,342,8,10,19.3,5.4,0.1,0.1,12.0,4.0,25.2,5.0,0.0,0.7,12.3,4.8,29.2,6.2,0.2,0.2
15,Hawaii,HI,15001,Hawaii County,15001020202,Census Tract 202.02; Hawaii County; Hawaii,245.04657448345,2302,345,727,99,626,98,314,135,22,17,147,84,189,74,15,15,375,75,497,211,245,71,28,21,26,45,1545,471,0,16,2,3,19,13,32,40,520,40,17.5,6.7,2.8,2.2,23.5,12.9,11.0,4.5,0.8,0.8,16.3,3.8,21.6,6.2,13.6,4.2,4.5,3.3,1.2,2.1,67.1,17.8,0.0,2.2,0.3,0.4,3.1,2.0,5.1,6.2,22.6,3.8,0.6557,0.3033,0.5047,0.8216,0.1179,2.4032,0.4621,0.2981,0.6244,0.6627,0.6061,0.2911,2.4824,0.5071,0.2418,0.2418,0.2418,0.0,0.8042,0.2571,0.5401,0.9624,2.5638,0.6792,7.6912,0.5355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1305,94,42,22,21,324,134,468,102,0,12,285,98,446,119,0,12,15.0,6.4,1.0,0.9,14.1,5.9,20.3,4.9,0.0,1.4,12.4,4.6,19.4,5.5,0.0,1.4
15,Hawaii,HI,15001,Hawaii County,15001020300,Census Tract 203; Hawaii County; Hawaii,1.27410378133,4167,574,2008,211,1799,235,1607,339,89,53,691,190,210,116,118,80,1008,170,831,337,670,225,320,138,31,58,3162,634,893,250,0,12,178,119,428,202,290,14,40.7,6.2,5.1,3.0,38.4,9.3,7.1,3.7,3.0,2.0,24.2,4.3,19.9,6.2,16.8,5.9,17.8,7.3,0.8,1.4,75.9,11.1,44.4,11.5,0.0,1.6,9.9,6.5,23.8,9.6,7.0,1.0,0.9599,0.5758,0.8396,0.5986,0.4906,3.4645,0.8412,0.6972,0.5282,0.8514,0.9858,0.1808,3.2434,0.8821,0.3638,0.3638,0.3638,0.7925,0.0,0.6533,0.908,0.9249,3.2787,0.8939,10.3504,0.8981,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,2,4,9023,263,109,42,55,697,286,505,181,0,12,676,288,1213,490,29,35,14.6,5.9,1.0,1.3,16.7,6.7,12.1,4.7,0.0,0.8,16.2,6.5,29.1,9.8,0.7,0.8
15,Hawaii,HI,15001,Hawaii County,15001020400,Census Tract 204; Hawaii County; Hawaii,1.043258414856,3398,607,1559,183,1365,195,1164,359,91,91,471,151,112,54,139,116,670,150,816,353,488,206,194,118,80,80,2784,650,248,85,0,12,143,111,182,99,35,5,35.5,9.3,5.7,5.2,34.5,9.9,4.5,2.2,4.1,3.2,19.7,5.2,24.0,7.3,14.4,5.4,14.2,8.4,2.4,2.4,81.9,12.3,15.9,5.1,0.0,2.1,10.5,8.0,13.3,7.0,1.0,0.2,0.9316,0.628,0.7642,0.3873,0.6132,3.3243,0.7938,0.4507,0.7418,0.7217,0.9717,0.4953,3.3812,0.9387,0.4507,0.4507,0.4507,0.6156,0.0,0.6816,0.7948,0.6737,2.7657,0.7311,9.9219,0.8602,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,8655,167,87,14,23,549,287,857,206,0,12,200,125,1164,439,0,12,12.2,6.3,0.4,0.7,16.2,7.4,25.2,7.4,0.0,1.0,5.9,3.4,34.3,9.3,0.0,1.0
15,Hawaii,HI,15001,Hawaii County,15001020500,Census Tract 205; Hawaii County; Hawaii,2.352502497512,5552,758,2463,274,2059,266,2238,630,441,283,821,266,362,198,258,180,974,333,1265,317,836,315,378,186,149,142,4776,805,739,264,0,17,162,87,446,249,424,15,43.5,10.4,20.7,11.5,39.9,11.8,11.4,5.5,4.7,3.3,17.5,5.5,22.8,5.6,15.2,5.2,18.4,8.7,2.8,2.7,86.0,8.5,30.0,10.2,0.0,1.3,7.9,4.1,21.7,11.2,7.6,1.1,0.9693,0.9929,0.8608,0.8357,0.691,4.3497,0.9787,0.3427,0.6714,0.7689,0.9882,0.5469,3.3181,0.9104,0.5704,0.5704,0.5704,0.7311,0.0,0.5519,0.8915,0.9319,3.1064,0.8608,11.3446,0.955,1,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,1,4,17898,339,142,185,205,903,370,1383,516,16,19,678,438,1611,411,0,17,16.5,7.3,3.3,3.6,16.3,6.8,24.9,8.1,0.3,0.4,12.2,7.6,29.0,7.1,0.0,0.6
15,Hawaii,HI,15001,Hawaii County,15001020600,Census Tract 206; Hawaii County; Hawaii,18.643397620196,6802,653,2348,153,2147,166,1368,293,192,52,436,111,373,108,375,237,1394,214,1435,217,1261,225,82,34,67,81,6163,675,377,98,63,69,241,66,122,69,22,4,20.2,3.9,5.9,1.6,20.3,4.9,7.9,1.8,5.5,3.1,20.5,2.8,21.1,2.8,18.6,2.7,3.9,1.6,1.0,1.2,90.6,4.8,16.1,4.0,2.7,2.8,11.2,2.9,5.7,3.0,0.3,0.1,0.7335,0.6445,0.4127,0.662,0.7665,3.2192,0.7559,0.493,0.5915,0.908,0.5401,0.2394,2.772,0.6722,0.7277,0.7277,0.7277,0.6203,0.9764,0.7123,0.5731,0.4859,3.368,0.9151,10.0869,0.8815,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,9893,366,88,27,22,536,169,1191,478,4,6,2104,300,2299,358,2,4,17.0,4.1,0.4,0.3,7.9,2.3,17.5,6.2,0.1,0.1,30.9,4.5,33.8,4.4,0.0,0.1
15,Hawaii,HI,15001,Hawaii County,15001020701,Census Tract 207.01; Hawaii County; Hawaii,1.828771736898,5246,711,2123,202,1826,192,1499,507,150,87,438,134,171,82,122,73,1354,234,964,349,918,240,59,71,261,206,4780,738,50,51,0,17,146,103,34,30,23,11,28.7,8.9,6.1,3.5,24.0,6.9,4.5,2.1,2.3,1.4,25.8,3.9,18.4,5.0,17.6,4.9,3.2,3.9,5.3,4.1,91.1,6.7,2.4,2.4,0.0,1.5,8.0,5.6,1.9,1.7,0.4,0.2,0.8797,0.6588,0.5307,0.3873,0.3656,2.8221,0.609,0.7887,0.4531,0.8797,0.4528,0.7324,3.3067,0.9057,0.7535,0.7535,0.7535,0.3868,0.0,0.5566,0.2712,0.5352,1.7498,0.3797,8.6321,0.6848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4236,273,98,18,31,500,248,2685,595,0,17,397,309,1180,370,0,17,15.0,5.3,0.3,0.6,9.5,4.7,51.2,7.9,0.0,0.6,7.6,5.7,22.5,6.5,0.0,0.6
15,Hawaii,HI,15001,Hawaii County,15001020702,Census Tract 207.02; Hawaii County; Hawaii,1.1894258212,4828,580,1887,217,1786,236,452,206,152,91,347,173,106,57,43,45,1257,167,938,274,697,184,68,64,44,57,4481,592,4,15,0,12,69,49,38,39,38,7,9.4,4.1,6.0,3.4,19.4,9.3,2.9,1.5,0.9,0.9,26.0,3.6,19.4,4.0,14.4,3.8,3.8,3.5,0.9,1.2,92.8,5.1,0.2,0.8,0.0,1.7,3.8,2.7,2.1,2.2,0.8,0.1,0.3325,0.6517,0.3703,0.2559,0.1344,1.7448,0.2512,0.7934,0.5047,0.7217,0.5307,0.1972,2.7477,0.6557,0.8122,0.8122,0.8122,0.2075,0.0,0.2925,0.2877,0.6502,1.4379,0.2712,6.7426,0.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1652,156,77,18,30,659,345,2247,311,0,12,162,84,1395,309,0,12,8.7,4.3,0.4,0.6,13.6,6.2,46.5,6.1,0.0,0.7,3.4,1.7,28.9,5.5,0.0,0.7
15,Hawaii,HI,15001,Hawaii County,15001020801,Census Tract 208.01; Hawaii County; Hawaii,11.680368128753999,5274,708,1701,151,1655,162,512,261,65,47,195,83,114,48,92,109,1143,164,1263,338,575,150,24,25,138,173,4411,740,36,57,0,17,73,44,80,53,129,12,9.9,4.9,2.4,1.7,11.8,4.9,3.1,1.2,1.8,2.1,21.7,3.6,23.9,3.9,11.1,2.4,1.4,1.5,2.8,3.5,83.6,8.4,2.1,3.3,0.0,1.9,4.4,2.6,4.8,3.1,2.4,0.4,0.3467,0.2299,0.1415,0.2864,0.2783,1.2828,0.128,0.5634,0.7347,0.4434,0.2311,0.5469,2.5195,0.5236,0.4953,0.4953,0.4953,0.3632,0.0,0.3255,0.5259,0.8052,2.0198,0.4811,6.3174,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022,134,66,0,17,579,227,2098,541,0,17,299,147,1435,359,0,17,8.1,4.0,0.0,0.6,11.0,4.3,39.8,7.5,0.0,0.6,5.7,2.7,27.2,6.2,0.0,0.6
15,Hawaii,HI,15001,Hawaii County,15001020802,Census Tract 208.02; Hawaii County; Hawaii,4.12538210889,7010,848,2634,245,2372,234,591,255,293,182,257,108,360,183,119,111,1974,349,1323,466,1087,294,77,78,50,78,4904,1152,103,88,0,17,73,76,121,73,109,7,8.6,3.5,8.8,5.1,10.8,4.4,6.7,3.4,1.7,1.6,28.2,6.1,18.9,5.2,15.7,4.1,3.3,3.3,0.7,1.1,70.0,14.1,3.9,3.3,0.0,1.2,3.1,3.2,5.1,2.9,1.6,0.2,0.3066,0.8412,0.1108,0.5751,0.2571,2.0908,0.3531,0.8568,0.4765,0.809,0.467,0.1667,2.776,0.6745,0.2629,0.2629,0.2629,0.4458,0.0,0.2571,0.5401,0.7512,1.9942,0.4693,7.1239,0.4479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4242,261,122,0,17,715,307,1645,348,0,17,594,341,1950,612,0,17,11.0,5.2,0.0,0.5,10.2,4.1,23.5,5.7,0.0,0.5,8.5,5.0,27.8,7.6,0.0,0.5
15,Hawaii,HI,15001,Hawaii County,15001020900,Census Tract 209; Hawaii County; Hawaii,11.086632828418,5280,561,1885,150,1707,169,885,448,71,58,280,114,61,44,54,52,918,150,1228,337,531,163,34,42,102,93,4632,593,13,27,0,17,46,46,19,30,0,17,16.8,8.3,2.6,2.1,16.4,6.5,1.7,1.2,1.0,1.0,17.4,3.1,23.3,4.8,10.1,3.2,2.0,2.5,2.0,1.8,87.7,6.3,0.7,1.4,0.0,1.7,2.7,2.7,1.1,1.7,0.0,0.3,0.6297,0.2583,0.2736,0.1385,0.1462,1.4463,0.1872,0.338,0.7066,0.3538,0.3113,0.4437,2.1534,0.3019,0.6338,0.6338,0.6338,0.2311,0.0,0.2146,0.1934,0.0,0.6391,0.066,4.8726,0.1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903,100,53,13,21,1149,342,2068,417,0,17,240,154,1134,279,28,44,5.9,3.1,0.2,0.4,21.8,5.6,39.2,6.6,0.0,0.6,4.5,2.9,21.5,5.0,0.5,0.8
15,Hawaii,HI,15001,Hawaii County,15001021003,Census Tract 210.03; Hawaii County; Hawaii,13.074732644432,7009,737,2966,220,2729,264,2741,635,334,172,892,243,544,178,430,251,1095,297,1648,382,1593,365,354,181,101,94,5203,804,0,24,6,9,266,139,101,63,2,3,39.1,8.1,12.6,6.9,32.7,8.3,11.3,3.8,6.1,3.3,15.6,4.4,23.5,4.3,22.7,5.7,12.9,6.5,1.5,1.4,74.2,8.4,0.0,0.8,0.2,0.3,9.7,5.0,3.7,2.3,0.0,0.0,0.9481,0.9479,0.7241,0.831,0.8373,4.2884,0.9739,0.27,0.7136,0.9788,0.9434,0.3498,3.2556,0.8844,0.3333,0.3333,0.3333,0.0,0.7877,0.6392,0.4387,0.0,1.8656,0.4222,9.7429,0.8365,1,1,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,4,2629,587,205,54,63,1748,527,620,204,84,56,1179,402,1518,409,0,17,21.5,7.1,0.8,0.9,24.9,6.6,8.8,3.0,1.2,0.8,16.8,5.4,21.7,5.4,0.0,0.5
15,Hawaii,HI,15001,Hawaii County,15001021011,Census Tract 210.11; Hawaii County; Hawaii,95.11585125055,4540,811,2012,188,1551,206,1223,570,37,46,277,137,252,154,332,202,916,259,1103,417,1027,263,105,94,63,76,3256,884,0,16,0,12,135,99,25,41,16,6,26.9,11.6,1.9,2.4,17.9,8.5,8.7,5.2,7.3,4.1,20.2,6.5,24.3,6.4,22.6,4.8,6.8,6.0,1.6,1.8,71.7,14.7,0.0,0.8,0.0,1.6,8.7,6.3,1.6,2.6,0.4,0.1,0.8585,0.1682,0.316,0.7347,0.8821,2.9595,0.6611,0.4765,0.7582,0.9741,0.7807,0.3756,3.3651,0.9363,0.2911,0.2911,0.2911,0.0,0.0,0.5896,0.2382,0.5352,1.363,0.2429,7.9787,0.5877,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2149,255,137,0,12,715,373,362,243,0,12,562,405,1617,615,0,12,16.4,8.7,0.0,0.7,15.7,8.2,8.0,5.2,0.0,0.7,12.4,8.7,35.6,10.3,0.0,0.7
15,Hawaii,HI,15001,Hawaii County,15001021013,Census Tract 210.13; Hawaii County; Hawaii,51.108871549248,5059,781,1964,184,1699,173,1276,512,140,104,303,101,344,148,218,151,1260,281,1035,329,955,257,60,49,207,92,4356,804,14,10,0,17,160,83,96,50,27,4,25.3,9.4,6.3,4.3,17.8,5.7,9.2,3.2,4.3,2.7,24.9,4.9,20.5,4.5,18.9,3.9,3.5,2.9,4.2,1.8,86.1,8.7,0.7,0.5,0.0,1.6,9.5,4.8,5.7,3.0,0.5,0.0,0.8373,0.6754,0.3113,0.7559,0.6439,3.2238,0.7583,0.7347,0.5516,0.9151,0.4811,0.6596,3.3421,0.9198,0.5751,0.5751,0.5751,0.2311,0.0,0.6274,0.5731,0.5728,2.0044,0.4717,9.1454,0.7393,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,8720,275,106,0,17,253,114,1856,429,0,17,804,488,1414,394,29,47,16.2,6.7,0.0,0.6,5.0,2.2,36.7,7.9,0.0,0.6,15.9,8.2,28.0,6.3,0.6,1.0
15,Hawaii,HI,15001,Hawaii County,15001021014,Census Tract 210.14; Hawaii County; Hawaii,7.939269479444,8135,1523,2880,326,2592,325,1535,525,107,152,619,269,446,240,216,167,1504,328,1865,720,834,339,0,24,260,108,6324,1644,75,20,0,17,178,131,0,17,8,9,18.9,5.4,2.6,3.7,23.9,9.9,8.1,3.9,2.7,1.9,18.5,5.1,22.9,6.2,10.3,4.1,0.0,0.9,3.6,1.4,77.7,14.0,2.6,0.6,0.0,1.1,6.9,5.0,0.0,1.2,0.1,0.1,0.6981,0.2583,0.5259,0.6854,0.434,2.6017,0.5284,0.3873,0.6901,0.3774,0.0,0.6315,2.0863,0.2736,0.3826,0.3826,0.3826,0.4033,0.0,0.4575,0.0,0.4085,1.2693,0.2123,6.3399,0.3294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313,239,140,0,17,1305,742,2337,1437,0,17,739,533,1943,783,0,17,9.2,5.3,0.0,0.4,16.0,8.6,28.7,14.6,0.0,0.4,9.1,6.7,23.9,9.6,0.0,0.4
