ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
16,Idaho,ID,16001,Ada County,16001000101,Census Tract 1.01; Ada County; Idaho,0.607528022082,1269,341,937,274,830,280,648,331,36,37,433,277,44,32,223,272,193,60,138,99,287,94,7,17,49,59,151,475,530,103,35,56,27,37,62,41,53,8,51.1,22.2,5.1,5.3,52.2,28.3,4.3,3.5,17.6,18.0,15.2,5.7,10.9,6.7,22.6,8.8,0.8,2.0,4.1,4.8,11.9,37.3,56.6,19.9,3.7,6.0,3.3,4.3,7.5,5.1,4.2,1.3,0.989,0.7516,0.989,0.3033,0.9011,3.934,0.9297,0.4484,0.0352,0.9363,0.0967,0.8769,2.3935,0.4396,0.2967,0.2967,0.2967,0.9934,0.4505,0.6791,0.8747,0.9033,3.901,0.9648,10.5252,0.8901,1,0,1,0,1,3,0,0,1,0,0,1,0,0,1,0,0,0,1,2,6,13247,117,69,43,77,19,26,0,13,0,13,0,13,89,66,0,13,14.1,9.2,3.4,5.9,1.5,2.0,0.0,2.9,0.0,2.9,0.0,2.9,7.0,5.3,0.0,2.9
16,Idaho,ID,16001,Ada County,16001000102,Census Tract 1.02; Ada County; Idaho,0.990080586396,3071,509,2291,299,2094,313,988,319,108,74,740,222,102,91,400,164,215,79,278,94,689,270,81,66,57,71,594,647,1354,295,0,13,46,48,584,178,66,9,32.2,8.9,5.4,3.7,35.3,9.2,4.1,3.8,13.0,5.2,7.0,3.0,9.1,3.0,22.4,7.6,3.9,3.1,1.9,2.4,19.3,20.8,59.1,10.3,0.0,1.6,2.2,2.3,27.9,8.8,2.1,0.5,0.8549,0.7758,0.8857,0.2857,0.7473,3.5494,0.8593,0.0505,0.0242,0.9275,0.4659,0.7319,2.2,0.356,0.5868,0.5868,0.5868,0.9956,0.0,0.5429,1.0,0.7956,3.3341,0.8505,9.6703,0.7912,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,2,3,40036,148,108,12,7,297,158,132,124,0,13,0,13,134,105,19,35,7.1,5.2,0.4,0.2,9.7,4.6,4.3,3.8,0.0,1.2,0.0,1.2,4.4,3.3,0.6,1.2
16,Idaho,ID,16001,Ada County,16001000201,Census Tract 2.01; Ada County; Idaho,5.49559826108,3301,386,1615,191,1564,201,250,136,17,21,287,103,50,40,79,76,946,259,537,154,193,142,69,53,9,52,430,538,166,84,0,13,0,18,51,53,229,15,8.1,4.3,1.1,1.3,18.4,6.1,1.9,1.5,2.6,2.5,28.7,6.4,16.3,3.9,6.3,4.3,4.5,3.3,0.3,1.6,13.0,16.2,10.3,5.1,0.0,2.3,0.0,1.2,3.3,3.2,6.9,0.9,0.1209,0.1538,0.2967,0.1077,0.0593,0.7384,0.0418,0.9231,0.1582,0.0659,0.5516,0.3582,2.057,0.2901,0.3582,0.3582,0.3582,0.8154,0.0,0.0,0.589,0.9231,2.3275,0.4857,5.4811,0.1846,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2,2270,43,37,15,21,153,89,58,64,5,11,0,13,199,130,0,13,2.7,2.3,0.5,0.6,4.6,2.7,1.8,1.9,0.2,0.3,0.0,1.1,6.0,3.8,0.0,1.1
16,Idaho,ID,16001,Ada County,16001000202,Census Tract 2.02; Ada County; Idaho,13.094258208674,6028,627,2718,313,2580,332,452,310,158,105,419,169,81,90,224,240,1205,238,1222,201,605,253,168,117,0,72,453,903,49,48,0,18,13,26,30,33,3,2,7.5,5.1,5.0,3.0,16.2,6.2,1.8,2.0,3.7,3.9,20.0,4.1,20.3,3.2,10.0,4.0,6.5,4.5,0.0,1.2,7.5,15.0,1.8,1.8,0.0,1.4,0.5,1.0,1.2,1.3,0.0,0.0,0.0967,0.7319,0.2,0.1033,0.1165,1.2484,0.1165,0.6879,0.3187,0.2549,0.7275,0.0,1.989,0.2462,0.1165,0.1165,0.1165,0.5407,0.0,0.2374,0.2769,0.0,1.055,0.1275,4.4089,0.0725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4414,47,53,31,42,71,90,212,124,0,18,0,18,139,114,0,18,1.8,2.1,0.5,0.7,1.2,1.5,3.5,2.1,0.0,0.6,0.0,0.6,2.3,1.9,0.0,0.6
16,Idaho,ID,16001,Ada County,16001000302,Census Tract 3.02; Ada County; Idaho,0.788509473562,3664,547,1427,125,1393,118,1021,392,29,42,421,116,199,118,262,134,722,89,871,247,390,135,88,57,41,66,204,780,206,87,0,13,35,30,83,49,154,6,29.1,10.2,1.7,2.5,30.2,7.9,8.0,4.4,7.4,3.5,19.7,3.5,23.8,5.2,11.1,3.5,6.3,4.1,1.3,2.0,5.6,21.3,14.4,6.0,0.0,2.6,2.5,2.1,6.0,3.5,4.2,0.6,0.7978,0.244,0.8044,0.5868,0.3692,2.8022,0.5956,0.6703,0.4791,0.3187,0.7121,0.644,2.8242,0.6857,0.0615,0.0615,0.0615,0.8813,0.0,0.5802,0.8044,0.9033,3.1692,0.7934,8.8571,0.6571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2285,145,62,0,13,71,65,32,29,8,13,0,13,93,75,0,13,10.4,4.5,0.0,1.0,1.9,1.8,0.9,0.8,0.2,0.4,0.0,1.0,2.5,2.0,0.0,1.0
16,Idaho,ID,16001,Ada County,16001000303,Census Tract 3.03; Ada County; Idaho,0.678745308186,2036,245,1205,165,1150,155,297,173,0,13,451,140,74,58,289,109,590,154,123,41,299,119,0,18,0,52,241,329,449,142,0,13,0,18,74,77,21,11,14.6,8.3,0.0,2.9,39.2,11.0,4.3,3.3,14.3,5.1,29.0,6.5,6.0,1.9,14.7,5.7,0.0,1.6,0.0,2.6,11.8,16.1,37.3,10.6,0.0,3.1,0.0,1.6,6.4,6.7,1.0,0.5,0.367,0.0,0.9363,0.3033,0.8022,2.4088,0.4418,0.9253,0.0088,0.5758,0.0,0.0,1.5099,0.0923,0.2857,0.2857,0.2857,0.9736,0.0,0.0,0.822,0.6637,2.4593,0.5429,6.6637,0.3341,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,3,1748,57,44,0,13,36,27,111,103,13,19,0,13,81,74,0,13,5.0,3.8,0.0,1.8,1.8,1.3,5.5,5.0,0.6,0.9,0.0,1.8,4.0,3.4,0.0,1.8
16,Idaho,ID,16001,Ada County,16001000305,Census Tract 3.05; Ada County; Idaho,0.5983036592,2939,401,1323,167,1309,168,618,263,113,103,319,119,54,50,363,264,571,168,587,182,280,115,110,65,14,54,285,581,0,18,105,55,22,32,14,22,0,13,21.0,8.5,7.4,5.7,24.4,8.5,2.5,2.4,12.4,8.1,19.4,5.1,20.0,5.0,9.5,4.1,8.5,4.8,0.5,2.0,9.7,19.7,0.0,1.4,7.9,4.5,1.7,2.4,1.1,1.7,0.0,0.4,0.5978,0.8835,0.5736,0.156,0.7077,2.9186,0.6527,0.6615,0.3011,0.222,0.8791,0.4505,2.5142,0.5055,0.1956,0.1956,0.1956,0.0,0.6088,0.4484,0.2505,0.0,1.3077,0.1736,6.9361,0.378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1890,49,66,81,125,71,56,50,59,0,13,0,13,83,74,0,13,3.7,5.2,2.8,4.3,2.4,1.9,1.7,2.1,0.0,1.3,0.0,1.3,2.8,2.6,0.0,1.3
16,Idaho,ID,16001,Ada County,16001000306,Census Tract 3.06; Ada County; Idaho,0.996520767756,4176,745,1815,147,1757,149,407,162,93,60,467,159,31,33,58,56,675,167,845,459,377,133,44,60,7,51,372,1070,7,18,31,41,16,28,47,46,26,7,9.8,3.5,3.8,2.4,26.6,8.8,1.0,1.0,1.4,1.4,16.2,4.7,20.2,7.7,9.0,3.6,2.5,3.4,0.2,1.3,8.9,25.6,0.4,1.0,1.7,2.3,0.9,1.6,2.7,2.6,0.6,0.1,0.1692,0.6132,0.6769,0.0505,0.0242,1.534,0.1956,0.5077,0.3165,0.1846,0.3121,0.3099,1.6308,0.1319,0.1714,0.1714,0.1714,0.3648,0.3516,0.3077,0.5231,0.567,2.1142,0.4044,5.4504,0.1802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2108,100,59,0,13,238,135,33,45,0,13,0,13,101,102,0,13,5.7,3.3,0.0,0.9,5.7,3.5,0.8,1.1,0.0,0.9,0.0,0.9,2.4,2.5,0.0,0.9
16,Idaho,ID,16001,Ada County,16001000401,Census Tract 4.01; Ada County; Idaho,0.566881134032,2453,530,988,185,988,185,569,392,26,32,333,154,55,48,365,273,284,194,509,222,309,150,32,30,48,65,88,784,38,47,31,47,24,26,6,11,0,13,23.2,15.2,1.7,2.0,33.7,14.3,3.0,2.7,14.9,9.7,11.6,7.5,20.8,7.9,12.6,5.8,3.2,3.0,2.0,2.7,3.6,32.0,3.8,4.7,3.1,4.8,2.4,2.6,0.6,1.1,0.0,0.5,0.6527,0.244,0.8593,0.1956,0.8264,2.778,0.5912,0.2242,0.3451,0.433,0.3868,0.7451,2.1342,0.3297,0.022,0.022,0.022,0.6418,0.422,0.5626,0.1802,0.0,1.8066,0.2879,6.7408,0.3451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1676,5,9,0,13,60,97,0,13,0,13,0,13,28,32,0,13,0.5,0.9,0.0,1.5,2.4,4.4,0.0,1.5,0.0,1.5,0.0,1.5,1.1,1.4,0.0,1.5
16,Idaho,ID,16001,Ada County,16001000402,Census Tract 4.02; Ada County; Idaho,0.78017893681,3460,618,1863,271,1685,288,748,333,112,111,619,221,106,96,177,98,177,69,566,138,549,210,165,127,57,83,640,829,295,175,64,59,42,67,113,112,48,6,21.7,8.8,4.6,4.5,36.7,11.5,4.6,4.4,5.1,3.1,5.1,2.1,16.4,3.4,15.9,5.7,9.8,7.3,1.8,2.5,18.5,23.7,15.8,9.1,3.4,3.2,2.5,4.0,6.7,6.4,1.4,0.3,0.611,0.6923,0.9099,0.3297,0.2066,2.7495,0.5714,0.0198,0.167,0.6549,0.9143,0.7209,2.4769,0.4747,0.556,0.556,0.556,0.9011,0.4418,0.5802,0.8374,0.7385,3.499,0.8967,9.2814,0.7363,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3,3414,141,120,0,13,463,362,0,13,58,64,0,13,119,90,0,13,8.4,6.8,0.0,1.1,13.4,9.7,0.0,1.1,1.7,1.8,0.0,1.1,3.4,2.8,0.0,1.1
16,Idaho,ID,16001,Ada County,16001000501,Census Tract 5.01; Ada County; Idaho,0.596051140132,3095,314,1342,112,1342,112,428,229,26,29,342,146,56,49,262,147,313,83,802,153,308,109,93,86,0,52,594,505,45,57,24,37,0,18,45,42,0,13,13.8,7.3,1.5,1.7,25.5,10.7,2.7,2.4,8.6,5.2,10.1,2.7,25.9,3.4,10.1,3.5,6.9,6.4,0.0,1.9,19.2,16.2,3.3,4.2,1.8,2.7,0.0,1.3,3.4,3.1,0.0,0.4,0.3297,0.2,0.6418,0.1714,0.4593,1.8022,0.2791,0.1538,0.6132,0.2593,0.7582,0.0,1.7845,0.178,0.5846,0.5846,0.5846,0.6264,0.3604,0.0,0.6,0.0,1.5868,0.2418,5.7581,0.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1944,138,86,0,13,292,210,76,77,0,13,0,13,226,150,0,13,10.3,6.4,0.0,1.2,9.4,6.9,2.5,2.5,0.0,1.2,0.0,1.2,7.3,4.9,0.0,1.2
