ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
16,Idaho,ID,16001,Ada County,16001,"Ada County, Idaho",1052.014199331474,497494,0,198516,128,190641,964,71072,3468,8490,1096,44018,1892,15972,1154,34134,1883,76317,113,112655,0,53989,2137,10018,967,5032,713,86146,1236,16419,1092,6458,633,3436,533,6720,716,13122,200,14.7,0.7,3.2,0.4,23.1,1.0,4.7,0.3,7.0,0.4,15.3,0.1,22.6,0.0,11.1,0.4,5.3,0.5,1.1,100.0,17.3,0.2,8.3,0.6,3.3,0.3,1.8,0.3,3.5,0.4,2.6,0.0,0.0698,0.3721,0.5116,0.0698,0.0698,1.0931,0.0465,0.3256,0.4186,0.093,0.7442,0.4651,2.0465,0.2326,0.5349,0.5349,0.5349,0.9302,0.0465,0.2093,0.4651,0.7442,2.3953,0.3953,6.0698,0.2093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,546347,12312,1025,5815,551,44317,0,12672,817,1668,358,990,148,18300,1309,2384,726,6.5,0.5,1.2,0.1,8.9,0.0,2.5,0.2,0.3,0.1,0.2,0.1,3.7,0.3,0.5,0.1
16,Idaho,ID,16003,Adams County,16003,"Adams County, Idaho",1362.804512715268,4464,0,2648,17,1687,104,1057,221,167,89,366,106,208,84,553,141,1321,15,741,30,816,170,17,15,9,53,455,38,11,12,151,51,21,22,18,16,73,7,23.9,5.0,8.7,4.5,21.7,6.1,6.0,2.4,12.5,3.2,29.6,0.3,16.6,0.7,18.4,3.8,1.0,0.9,0.2,1.2,10.2,0.9,0.4,0.5,5.7,1.9,1.2,1.3,1.1,1.0,1.6,0.2,0.6047,1.0,0.3953,0.093,0.6512,2.7442,0.6279,0.9535,0.0698,0.7907,0.0233,0.0233,1.8606,0.1628,0.1628,0.1628,0.1628,0.1628,0.1395,0.093,0.0465,0.4884,0.9302,0.0,5.6978,0.1163,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3903,364,106,12,15,193,0,0,13,33,29,0,13,217,49,0,13,21.6,5.9,0.3,0.3,4.3,0.0,0.0,0.8,0.7,0.6,0.0,0.8,4.9,1.1,0.0,0.8
16,Idaho,ID,16005,Bannock County,16005,"Bannock County, Idaho",1112.489754820942,87434,0,35186,52,32704,394,19982,1682,2109,416,7344,617,3701,454,6780,732,12835,63,22345,0,13042,745,1830,324,384,163,15509,229,2060,319,2634,342,570,184,1625,297,3279,54,23.8,2.0,5.1,1.0,22.5,1.9,6.6,0.8,7.9,0.8,14.7,0.1,25.6,0.0,15.1,0.9,5.6,1.0,0.5,0.2,17.7,0.3,5.8,0.9,7.5,1.0,1.7,0.6,5.0,0.9,3.8,0.1,0.5581,0.8372,0.4419,0.1395,0.1628,2.1395,0.2791,0.3023,0.6047,0.4651,0.7907,0.2558,2.4186,0.3953,0.5581,0.5581,0.5581,0.8372,0.2093,0.1628,0.8605,0.8372,2.907,0.7209,8.0232,0.4651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83713,4111,468,751,129,8188,0,1501,211,1921,241,198,91,2803,393,147,100,12.6,1.4,0.9,0.1,9.4,0.0,1.7,0.2,2.2,0.3,0.2,0.1,3.2,0.4,0.2,0.1
16,Idaho,ID,16007,Bear Lake County,16007,"Bear Lake County, Idaho",975.72730439181,6436,0,3895,21,2323,153,1383,235,123,41,472,98,293,76,379,116,1367,46,1719,0,993,137,105,43,31,68,485,51,67,25,199,52,43,25,87,48,62,3,21.8,3.7,4.3,1.5,20.3,4.0,6.9,1.8,5.9,1.8,21.2,0.7,26.7,0.0,15.6,2.1,4.5,1.8,0.5,1.1,7.5,0.8,1.8,0.6,5.1,1.3,1.9,1.1,3.7,2.0,1.0,0.0,0.4186,0.6279,0.2791,0.2093,0.0,1.5349,0.1628,0.6512,0.6977,0.5349,0.5349,0.2558,2.6745,0.6279,0.0233,0.0233,0.0233,0.4419,0.1163,0.2558,0.5116,0.2326,1.5582,0.1395,5.7909,0.186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4920,265,73,8,13,277,0,54,48,21,30,0,18,91,58,34,50,11.4,2.9,0.1,0.2,4.3,0.0,0.8,0.7,0.3,0.5,0.0,0.6,1.4,0.9,0.5,0.8
16,Idaho,ID,16009,Benewah County,16009,"Benewah County, Idaho",776.93101396733,9731,0,4666,23,3826,173,2671,364,151,50,1040,199,1024,212,1339,327,2240,31,2166,0,2115,236,167,73,31,71,1590,39,80,43,869,199,164,75,79,37,113,22,27.9,3.8,3.8,1.2,27.2,5.1,14.9,3.1,13.9,3.4,23.0,0.3,22.3,0.0,22.0,2.5,4.4,1.9,0.3,0.8,16.3,0.4,1.7,0.9,18.6,4.3,4.3,2.0,2.1,1.0,1.2,0.2,0.8837,0.5581,0.7674,0.8372,0.7674,3.8138,0.9535,0.7209,0.3488,0.907,0.4884,0.093,2.5581,0.4419,0.4884,0.4884,0.4884,0.4186,0.8372,0.6977,0.2558,0.3023,2.5116,0.4651,9.3719,0.8372,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,9496,732,134,79,42,430,0,4,4,726,85,33,29,299,65,19,20,19.1,3.4,0.8,0.4,4.4,0.0,0.0,0.1,7.5,0.9,0.3,0.3,3.1,0.7,0.2,0.2
16,Idaho,ID,16011,Bingham County,16011,"Bingham County, Idaho",2093.731519714838,48253,0,17028,36,15627,265,10497,1256,1409,356,2944,409,3403,385,4690,816,6994,33,14446,0,7927,851,756,188,978,257,12777,132,183,110,2253,369,549,134,645,206,500,37,22.1,2.6,6.1,1.5,18.8,2.6,11.6,1.3,9.8,1.7,14.5,0.1,29.9,0.0,16.6,1.8,4.8,1.2,2.2,0.6,26.5,0.3,1.1,0.6,13.2,2.2,3.6,0.9,4.1,1.3,1.0,0.1,0.4419,0.907,0.093,0.6279,0.2791,2.3489,0.4419,0.2791,0.8372,0.6047,0.6047,0.6279,2.9536,0.814,0.7442,0.7442,0.7442,0.3488,0.6744,0.5814,0.6279,0.2326,2.4651,0.4186,8.5118,0.5349,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41876,2006,399,79,62,8786,0,175,99,2461,166,20,20,1209,230,47,41,12.8,2.5,0.2,0.1,18.2,0.0,0.4,0.2,5.1,0.3,0.0,0.1,2.5,0.5,0.1,0.1
16,Idaho,ID,16013,Blaine County,16013,"Blaine County, Idaho",2637.736756967688,24248,0,15562,30,9298,463,3067,799,326,175,2007,446,1427,381,2966,503,4922,146,4955,157,2444,414,650,264,1801,414,7017,384,1386,278,346,175,390,193,180,110,420,47,12.7,3.3,2.3,1.3,21.6,4.7,8.2,2.2,12.3,2.1,20.3,0.6,20.4,0.6,10.1,1.7,7.0,2.8,7.7,1.8,28.9,1.6,8.9,1.8,2.2,1.1,4.2,2.1,1.9,1.2,1.7,0.2,0.0,0.186,0.3721,0.3721,0.5581,1.4883,0.1163,0.6047,0.2093,0.0465,0.8837,0.9302,2.6744,0.5814,0.7674,0.7674,0.7674,0.9535,0.0,0.6512,0.2326,0.5349,2.3722,0.3721,7.3023,0.3256,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,26464,563,231,103,58,5687,0,103,168,332,262,2,5,745,389,45,61,6.1,2.4,0.4,0.2,23.5,0.0,0.4,0.7,1.4,1.1,0.0,0.1,3.1,1.6,0.2,0.3
16,Idaho,ID,16015,Boise County,16015,"Boise County, Idaho",1899.5548289090839,7809,0,5497,35,3396,246,1337,262,118,65,510,114,280,84,1041,215,2103,48,1217,0,1075,189,87,37,62,83,1071,115,9,8,723,157,108,55,97,76,63,22,17.1,3.4,3.4,1.9,15.0,3.2,4.6,1.4,13.4,2.8,26.9,0.6,15.6,0.0,13.8,2.4,2.6,1.1,0.8,1.1,13.7,1.5,0.2,0.1,13.2,2.8,3.2,1.6,2.9,2.2,0.8,0.3,0.1163,0.4419,0.0,0.0465,0.6977,1.3024,0.0698,0.8605,0.0465,0.3488,0.186,0.3953,1.8371,0.1395,0.3721,0.3721,0.3721,0.0698,0.6744,0.4884,0.3488,0.1395,1.7209,0.1628,5.2325,0.0698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5682,425,94,28,31,452,0,61,54,76,58,0,18,394,145,60,66,12.5,2.8,0.4,0.4,5.8,0.0,0.8,0.7,1.0,0.7,0.0,0.5,5.0,1.9,0.8,0.8
16,Idaho,ID,16017,Bonner County,16017,"Bonner County, Idaho",1733.21969463499,47976,0,26374,41,19228,504,10024,1291,730,232,4911,522,3134,598,4685,623,12317,94,9359,8,8251,701,781,230,121,117,4538,290,1088,238,3175,395,601,179,826,207,566,25,21.1,2.7,3.5,1.1,25.5,2.6,8.7,1.7,9.8,1.3,25.7,0.2,19.5,0.1,17.3,1.5,4.1,1.2,0.3,0.3,9.5,0.6,4.1,0.9,12.0,1.5,3.1,0.9,4.3,1.1,1.2,0.1,0.3721,0.4651,0.7209,0.4419,0.2791,2.2791,0.3721,0.7907,0.186,0.6744,0.3953,0.093,2.1394,0.2791,0.093,0.093,0.093,0.7907,0.5581,0.4651,0.6977,0.3023,2.8139,0.6744,7.3254,0.3488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43483,2796,385,141,62,1792,0,287,97,264,102,60,63,1757,287,237,132,14.5,2.0,0.3,0.1,3.7,0.0,0.6,0.2,0.6,0.2,0.1,0.1,3.7,0.6,0.5,0.3
16,Idaho,ID,16019,Bonneville County,16019,"Bonneville County, Idaho",1865.972026757496,124490,0,45510,94,42402,448,23789,2100,2718,473,9786,774,6101,662,10987,1263,16643,138,37614,65,17502,1019,2443,458,1212,307,23136,439,2821,404,2080,356,1275,343,1732,365,1537,47,19.3,1.7,4.6,0.8,23.1,1.8,8.0,0.9,8.9,1.0,13.4,0.1,30.2,0.1,14.2,0.8,5.8,1.1,1.1,0.3,18.6,0.4,6.2,0.9,4.6,0.8,3.0,0.8,4.1,0.9,1.2,0.0,0.2326,0.7674,0.5116,0.3488,0.186,2.0464,0.2558,0.093,0.8837,0.3721,0.8605,0.4651,2.6744,0.5814,0.5814,0.5814,0.5814,0.8605,0.093,0.4419,0.6279,0.3023,2.3256,0.3256,7.6278,0.4186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128694,3629,430,333,123,17147,0,1091,205,603,171,27,39,3587,422,348,307,8.6,1.0,0.3,0.1,13.8,0.0,0.9,0.2,0.5,0.1,0.0,0.1,2.9,0.3,0.3,0.2
