ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
18,Indiana,IN,18001,Adams County,18001,"Adams County, Indiana",338.926315161674,35827,0,13212,33,12349,239,10058,1205,510,193,2440,334,2857,433,7383,786,5599,62,11186,9,3990,476,439,152,336,195,2573,118,672,223,289,113,446,150,1732,290,620,26,28.5,3.4,3.2,1.2,19.8,2.7,13.3,2.0,20.9,2.2,15.6,0.2,31.2,0.1,11.3,1.3,3.6,1.2,1.0,0.6,7.2,0.3,5.1,1.7,2.2,0.9,3.6,1.2,14.0,2.2,1.7,0.1,0.9451,0.2198,0.5824,0.8462,0.978,3.5715,0.8352,0.1099,0.989,0.0879,0.0989,0.7363,2.022,0.2088,0.4286,0.4286,0.4286,0.7033,0.0659,0.967,0.989,0.5385,3.2637,0.8571,9.2858,0.6923,1,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,1,0,2,5,32488,2974,327,213,101,1673,0,51,45,9,12,0,27,588,149,39,58,24.1,2.5,0.6,0.3,4.7,0.0,0.1,0.1,0.0,0.1,0.0,0.1,1.6,0.4,0.1,0.2
18,Indiana,IN,18003,Allen County,18003,"Allen County, Indiana",657.183998368982,385456,0,162764,181,151877,887,80861,3246,9619,893,32455,1307,24900,1186,30102,2112,58170,22,97853,38,47126,1653,10754,773,7478,800,108949,507,15492,945,4569,484,2785,466,9075,680,5616,87,21.3,0.9,4.8,0.4,21.4,0.9,9.9,0.5,7.9,0.6,15.1,0.1,25.4,0.1,12.3,0.4,7.1,0.5,2.1,0.2,28.3,0.1,9.5,0.6,2.8,0.3,1.8,0.3,6.0,0.4,1.5,0.0,0.5385,0.7143,0.7582,0.4945,0.7033,3.2088,0.6923,0.0769,0.9121,0.1429,0.8132,0.9231,2.8682,0.7692,0.967,0.967,0.967,0.9451,0.1209,0.5824,0.6703,0.3956,2.7143,0.6154,9.7583,0.8132,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,0,1,4,414231,15780,941,42662,1105,30851,0,18178,513,274,99,164,43,15455,1285,1365,358,10.4,0.6,11.1,0.3,8.0,0.0,4.7,0.1,0.1,0.1,0.0,0.1,4.0,0.3,0.4,0.1
18,Indiana,IN,18005,Bartholomew County,18005,"Bartholomew County, Indiana",406.939485169822,82371,0,35328,80,32773,421,15929,1579,1540,288,6090,598,4585,650,4703,815,13503,183,19690,50,11617,990,1839,331,928,341,17103,390,3314,479,1784,336,481,159,1799,362,997,40,19.6,1.9,3.6,0.7,18.6,1.8,8.2,1.2,5.8,1.0,16.4,0.2,23.9,0.1,14.3,1.2,5.6,1.0,1.2,0.4,20.8,0.5,9.4,1.4,5.0,1.0,1.5,0.5,5.5,1.1,1.2,0.0,0.4286,0.3846,0.3736,0.2198,0.2527,1.6593,0.2527,0.1538,0.7692,0.3736,0.5495,0.7912,2.6373,0.6703,0.9121,0.9121,0.9121,0.9231,0.3736,0.4176,0.5714,0.2747,2.5604,0.5385,7.7691,0.4176,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,2,90223,3271,425,1322,221,6513,0,6647,227,52,44,0,30,2072,329,497,420,10.0,1.3,1.6,0.3,7.9,0.0,8.1,0.3,0.1,0.1,0.0,0.1,2.5,0.4,0.6,0.5
18,Indiana,IN,18007,Benton County,18007,"Benton County, Indiana",406.417319666716,8709,0,3795,28,3423,106,2331,328,155,75,664,133,672,127,534,105,1507,15,2160,24,1571,188,252,66,77,65,803,46,45,27,135,58,71,33,118,61,113,10,27.1,3.8,3.7,1.8,19.4,3.8,11.4,2.1,6.2,1.2,17.3,0.2,24.8,0.3,18.2,2.2,7.4,1.9,0.9,0.8,9.2,0.5,1.2,0.7,3.6,1.5,2.1,1.0,3.4,1.8,1.3,0.1,0.9011,0.4286,0.5275,0.6923,0.3407,2.8902,0.5714,0.2967,0.9011,0.8132,0.8681,0.7143,3.5934,0.978,0.5604,0.5604,0.5604,0.1099,0.2088,0.6813,0.1868,0.3077,1.4945,0.1648,8.5385,0.5934,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,6882,492,96,104,49,516,0,5,11,0,18,16,18,150,57,12,18,14.4,2.7,1.2,0.6,5.9,0.0,0.1,0.1,0.0,0.4,0.2,0.2,1.7,0.6,0.1,0.2
18,Indiana,IN,18009,Blackford County,18009,"Blackford County, Indiana",165.081541775412,12074,0,5864,22,4980,208,3599,390,301,129,1243,262,814,175,844,234,2587,23,2655,15,2542,332,278,106,0,80,647,22,213,89,331,116,40,33,484,202,142,5,30.3,3.3,5.5,2.3,25.0,5.2,9.6,2.1,7.1,2.0,21.4,0.2,22.0,0.1,21.3,2.8,5.6,2.1,0.0,0.7,5.4,0.2,3.6,1.5,5.6,2.0,0.8,0.7,9.7,4.0,1.2,0.0,0.978,0.8242,0.9121,0.4286,0.4835,3.6264,0.8462,0.967,0.4066,0.978,0.5495,0.0,2.9011,0.7912,0.1648,0.1648,0.1648,0.4396,0.4286,0.1099,0.956,0.2747,2.2088,0.3297,8.9011,0.6374,1,0,1,0,0,2,1,0,1,0,0,2,0,0,0,0,0,1,0,1,5,10471,787,168,124,91,141,93,17,38,13,14,0,20,332,90,20,22,15.8,3.4,1.0,0.8,1.2,0.8,0.1,0.3,0.1,0.1,0.0,0.3,2.7,0.7,0.2,0.2
18,Indiana,IN,18011,Boone County,18011,"Boone County, Indiana",422.882081539326,71235,0,28372,39,26959,364,7243,1046,1179,311,4773,569,2375,454,3189,657,10035,128,18247,27,6763,638,1559,376,461,197,8357,249,2167,392,780,143,197,114,557,181,637,14,10.3,1.5,3.1,0.8,17.7,2.1,5.0,1.0,4.5,0.9,14.1,0.2,25.6,0.1,9.6,0.9,5.8,1.4,0.7,0.3,11.7,0.3,7.6,1.4,2.7,0.5,0.7,0.4,2.1,0.7,0.9,0.0,0.022,0.1758,0.2308,0.011,0.0659,0.5055,0.022,0.0549,0.9341,0.033,0.6374,0.6484,2.3078,0.4176,0.6703,0.6703,0.6703,0.8352,0.1099,0.0549,0.022,0.0769,1.0989,0.011,4.5825,0.0769,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,75325,1888,329,1536,164,2488,0,2208,231,37,35,0,30,1966,339,122,154,7.0,1.2,2.2,0.2,3.5,0.0,3.1,0.3,0.1,0.1,0.0,0.1,2.8,0.5,0.2,0.2
18,Indiana,IN,18013,Brown County,18013,"Brown County, Indiana",311.9873465727,15513,0,8484,30,6580,278,2511,452,294,122,1352,238,848,178,1172,272,3940,94,2649,85,2506,390,302,155,77,88,791,17,351,122,429,129,230,94,232,98,146,6,16.5,3.0,3.9,1.6,20.5,3.5,7.1,1.5,7.6,1.8,25.4,0.6,17.1,0.6,16.3,2.5,4.6,2.3,0.5,0.6,5.1,0.1,4.2,1.4,5.1,1.5,3.5,1.4,3.5,1.5,0.9,0.0,0.2527,0.4945,0.6374,0.0989,0.5934,2.0769,0.3846,1.0,0.011,0.6264,0.2747,0.4725,2.3846,0.4396,0.1099,0.1099,0.1099,0.5714,0.3846,0.956,0.1978,0.0769,2.1867,0.3187,6.7581,0.3407,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2,9826,837,225,92,71,324,116,88,24,13,22,56,79,205,61,13,17,12.7,3.3,0.6,0.5,2.1,0.7,0.6,0.2,0.1,0.1,0.4,0.5,1.3,0.4,0.1,0.1
18,Indiana,IN,18015,Carroll County,18015,"Carroll County, Indiana",372.22449411582,20397,0,9525,59,7967,226,3443,499,306,120,1167,194,1382,240,2228,520,4122,26,4475,12,3062,335,309,97,70,97,1506,80,173,74,663,177,102,58,308,91,116,7,17.1,2.5,3.1,1.2,14.6,2.4,9.7,1.7,11.0,2.6,20.2,0.1,21.9,0.1,15.1,1.7,3.9,1.2,0.4,0.5,7.4,0.4,1.8,0.8,7.0,1.9,1.3,0.7,3.9,1.1,0.6,0.0,0.3077,0.1758,0.044,0.4505,0.9121,1.8901,0.3516,0.8462,0.3736,0.5055,0.1319,0.3626,2.2198,0.3516,0.4505,0.4505,0.4505,0.1429,0.5385,0.3187,0.2747,0.022,1.2968,0.0879,5.8572,0.1758,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15409,1562,234,143,61,959,0,23,36,7,8,0,24,359,97,15,23,19.6,2.9,0.7,0.3,4.7,0.0,0.1,0.2,0.0,0.1,0.0,0.2,1.8,0.5,0.1,0.1
18,Indiana,IN,18017,Cass County,18017,"Cass County, Indiana",412.143961750698,37820,0,16387,28,14970,256,9363,917,799,253,2721,378,3719,405,2762,449,6829,174,8586,13,5632,462,1082,245,1076,280,8811,209,385,149,873,181,274,121,828,187,1016,28,25.4,2.5,4.2,1.3,18.2,2.5,14.3,1.6,7.5,1.2,18.1,0.5,22.7,0.1,15.2,1.2,7.2,1.6,3.0,0.8,23.3,0.6,2.3,0.9,5.3,1.1,1.8,0.8,5.5,1.2,2.7,0.1,0.8242,0.5714,0.3297,0.8791,0.5495,3.1539,0.6484,0.4505,0.5385,0.5165,0.8352,0.967,3.3077,0.9451,0.9341,0.9341,0.9341,0.2527,0.4066,0.5824,0.5714,0.7582,2.5713,0.5495,9.967,0.8681,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,35813,2810,362,476,184,6371,0,535,233,70,37,0,27,1246,406,113,119,18.8,2.4,1.3,0.5,16.8,0.0,1.4,0.6,0.2,0.1,0.0,0.1,3.3,1.1,0.3,0.3
18,Indiana,IN,18019,Clark County,18019,"Clark County, Indiana",372.490937700592,121484,0,52750,181,47844,637,21056,1789,2406,438,10525,806,8029,761,7649,947,19765,111,26856,0,17483,1013,2828,458,1397,367,22541,345,4261,486,2539,391,905,271,2200,389,1549,33,17.6,1.5,3.7,0.7,22.0,1.7,9.5,0.9,6.4,0.8,16.3,0.1,22.1,0.0,14.5,0.8,5.9,1.0,1.2,0.3,18.6,0.3,8.1,0.9,4.8,0.7,1.9,0.6,4.6,0.8,1.3,0.0,0.3516,0.4286,0.8132,0.4066,0.3736,2.3736,0.4286,0.1319,0.4396,0.4286,0.6593,0.7912,2.4506,0.4945,0.8571,0.8571,0.8571,0.8901,0.3407,0.6154,0.3956,0.3077,2.5495,0.5275,8.2308,0.5165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117625,6884,646,8379,576,7115,0,1261,158,25,32,14,22,5318,619,429,290,14.4,1.4,6.9,0.5,5.9,0.0,1.0,0.1,0.0,0.1,0.0,0.1,4.4,0.5,0.4,0.2
