ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
20,Kansas,KS,20001,Allen County,20001,"Allen County, Kansas",500.297163048072,12554,0,6067,30,4981,198,2939,379,445,117,1063,211,629,160,1134,227,2571,67,2801,0,2160,237,326,108,28,75,1375,32,116,69,575,155,78,54,379,115,432,15,24.2,3.1,7.3,1.9,21.3,4.2,7.4,1.9,9.2,1.8,20.5,0.5,22.3,0.0,17.4,1.9,6.6,2.2,0.2,0.6,11.0,0.3,1.9,1.1,9.5,2.6,1.6,1.1,7.6,2.3,3.4,0.1,0.7308,1.0,0.6827,0.4327,0.5481,3.3943,0.8462,0.4808,0.2885,0.7115,0.7885,0.2404,2.5097,0.5577,0.4038,0.4038,0.4038,0.4327,0.75,0.5481,0.9519,0.7404,3.4231,0.8846,9.7309,0.8462,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,12709,930,161,219,156,519,0,99,75,93,66,109,88,336,127,0,18,18.7,3.2,1.7,1.2,4.1,0.0,0.8,0.6,0.7,0.5,0.9,0.7,2.7,1.0,0.0,0.2
20,Kansas,KS,20003,Anderson County,20003,"Anderson County, Kansas",579.641036402918,7799,0,3568,20,3165,161,1819,407,121,69,678,164,708,151,1054,289,1625,60,1943,88,1297,233,226,97,0,64,598,63,11,22,199,87,37,36,197,97,123,14,23.9,5.3,3.3,2.0,21.4,5.1,13.5,2.9,13.7,3.8,20.8,0.8,24.9,1.1,16.9,3.0,7.1,3.0,0.0,0.9,7.7,0.8,0.3,0.6,5.6,2.4,1.1,1.1,6.2,3.0,1.6,0.2,0.7019,0.5096,0.7019,0.875,0.9038,3.6922,0.9135,0.5385,0.7404,0.6442,0.8558,0.0,2.7789,0.7019,0.1538,0.1538,0.1538,0.0577,0.4808,0.3846,0.8269,0.2692,2.0192,0.2885,8.6441,0.6923,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5667,863,168,77,44,204,0,4,8,67,77,0,16,246,96,0,16,27.3,5.1,1.0,0.6,2.6,0.0,0.1,0.1,0.9,1.0,0.0,0.4,3.2,1.2,0.0,0.4
20,Kansas,KS,20005,Atchison County,20005,"Atchison County, Kansas",431.174218130814,16309,0,6817,25,5840,226,3524,569,365,136,1311,245,625,156,1330,331,2770,74,3662,44,2289,292,325,130,128,121,2151,172,445,168,399,124,58,46,406,143,1755,30,23.7,3.8,4.5,1.7,22.4,4.1,6.2,1.6,8.2,2.0,17.0,0.5,22.5,0.3,14.2,1.8,5.6,2.2,0.8,0.8,13.2,1.1,6.5,2.5,5.9,1.8,1.0,0.8,7.0,2.4,10.8,0.2,0.6538,0.8077,0.8077,0.2404,0.3942,2.9038,0.6442,0.2115,0.3269,0.3365,0.6346,0.5769,2.0864,0.2115,0.5288,0.5288,0.5288,0.9038,0.5096,0.3462,0.9038,0.9615,3.6249,0.9231,9.1439,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,16115,1062,203,599,119,531,0,77,53,20,21,0,18,819,139,105,140,18.2,3.5,3.7,0.7,3.3,0.0,0.5,0.3,0.1,0.1,0.0,0.2,5.0,0.9,0.6,0.9
20,Kansas,KS,20007,Barber County,20007,"Barber County, Kansas",1134.074538867356,4081,188,2496,81,1771,119,1094,258,48,36,383,93,241,76,406,101,929,82,964,90,795,120,32,20,30,48,541,260,61,41,120,47,92,45,106,38,55,6,27.5,6.3,2.4,1.8,21.6,5.0,8.5,2.6,10.1,2.5,22.8,1.7,23.6,1.6,19.7,3.2,1.9,1.1,0.8,1.2,13.3,6.3,2.4,1.6,4.8,1.9,5.2,2.5,6.0,2.1,1.3,0.1,0.875,0.3558,0.7404,0.6154,0.6827,3.2693,0.7885,0.6923,0.5769,0.9038,0.0385,0.5769,2.7884,0.7115,0.5385,0.5385,0.5385,0.5481,0.3654,0.9712,0.8077,0.1346,2.827,0.6827,9.4232,0.7885,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,2,3254,302,69,9,10,312,33,32,41,98,58,0,11,83,43,7,9,17.1,3.9,0.2,0.2,7.6,0.8,0.8,1.0,2.4,1.4,0.0,0.7,2.0,1.1,0.2,0.2
20,Kansas,KS,20009,Barton County,20009,"Barton County, Kansas",895.256801231146,25477,0,12396,33,10055,319,6358,737,532,148,2164,337,1797,306,2780,420,5280,127,6103,55,4354,453,769,192,464,196,5076,66,467,175,1309,288,61,69,579,156,507,24,25.6,3.0,4.1,1.1,21.5,3.3,10.4,1.8,11.1,1.7,20.7,0.5,24.0,0.2,17.3,1.8,7.7,1.9,1.9,0.8,19.9,0.3,3.8,1.4,10.6,2.3,0.6,0.7,5.8,1.5,2.0,0.1,0.8077,0.7404,0.7212,0.7692,0.8077,3.8462,0.9423,0.5288,0.6635,0.6923,0.9038,0.7788,3.5672,0.9808,0.7308,0.7308,0.7308,0.7115,0.7981,0.1923,0.7788,0.4615,2.9422,0.75,11.0864,0.9519,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,25091,1616,249,244,47,4054,0,92,32,43,26,0,21,630,95,13,21,16.1,2.4,1.0,0.2,15.9,0.0,0.4,0.1,0.2,0.1,0.0,0.1,2.5,0.4,0.1,0.1
20,Kansas,KS,20011,Bourbon County,20011,"Bourbon County, Kansas",635.460820693892,14405,0,6779,35,5875,194,3652,504,257,105,1100,224,966,243,1265,266,2775,40,3726,0,2532,322,326,97,33,73,1620,64,254,90,546,143,177,79,215,104,418,10,26.2,3.6,3.8,1.6,18.7,3.8,10.3,2.6,8.9,1.9,19.3,0.3,25.9,0.0,17.8,2.3,5.6,1.6,0.2,0.5,11.2,0.4,3.8,1.3,8.1,2.1,3.0,1.3,3.7,1.7,2.9,0.1,0.8173,0.6731,0.4327,0.7308,0.5096,3.1635,0.75,0.3077,0.8365,0.7596,0.6346,0.2404,2.7788,0.6923,0.4135,0.4135,0.4135,0.7115,0.6923,0.875,0.3846,0.6442,3.3076,0.8558,9.6634,0.8365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14724,962,160,407,95,452,0,63,45,7,9,0,18,641,107,50,64,16.4,2.7,2.8,0.7,3.1,0.0,0.4,0.3,0.0,0.1,0.0,0.2,4.4,0.7,0.3,0.4
20,Kansas,KS,20013,Brown County,20013,"Brown County, Kansas",570.871140671548,9486,0,4507,51,3664,161,2127,248,208,79,686,111,417,130,958,139,1972,32,2441,12,1432,195,126,39,11,60,1830,100,148,57,114,32,19,11,172,55,118,12,22.9,2.7,4.4,1.7,18.7,2.9,6.5,2.0,10.2,1.5,20.8,0.3,25.7,0.1,15.3,2.1,3.4,1.1,0.1,0.7,19.3,1.1,3.3,1.3,2.5,0.7,0.6,0.3,4.7,1.5,1.2,0.1,0.5865,0.7788,0.4327,0.3269,0.7019,2.8268,0.6058,0.5385,0.8269,0.4423,0.2019,0.125,2.1346,0.2692,0.7212,0.7212,0.7212,0.6827,0.0769,0.1923,0.6154,0.1154,1.6827,0.1538,7.3653,0.3558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8892,633,144,88,25,537,0,29,25,641,71,0,16,454,75,81,94,17.3,3.8,0.9,0.3,5.7,0.0,0.3,0.3,6.8,0.8,0.0,0.3,4.8,0.8,0.9,1.0
20,Kansas,KS,20015,Butler County,20015,"Butler County, Kansas",1429.715216725166,67618,0,27019,56,24760,367,9535,1104,1027,239,4558,498,2578,316,4389,695,10518,100,16894,0,9103,763,1224,278,167,125,9102,291,695,162,2054,325,315,124,883,255,3128,93,14.8,1.7,3.1,0.7,18.4,2.0,5.8,0.7,6.8,1.1,15.6,0.1,25.0,0.0,14.1,1.2,5.0,1.1,0.3,0.2,13.5,0.4,2.5,0.6,7.6,1.2,1.3,0.5,3.6,1.0,4.6,0.1,0.125,0.4808,0.4231,0.2115,0.2404,1.4808,0.1442,0.1731,0.7596,0.3173,0.5577,0.3462,2.1539,0.2981,0.5481,0.5481,0.5481,0.5673,0.6538,0.4808,0.3654,0.8077,2.875,0.6923,7.0578,0.3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61190,3045,437,1584,181,3741,0,917,164,483,130,81,92,2249,347,47,45,12.3,1.8,2.3,0.3,5.5,0.0,1.4,0.2,0.7,0.2,0.1,0.1,3.3,0.5,0.1,0.1
20,Kansas,KS,20017,Chase County,20017,"Chase County, Kansas",773.05294949454,2570,0,1407,18,1065,73,685,135,14,13,166,44,122,42,253,94,595,11,550,11,326,58,66,30,11,42,305,5,2,11,124,45,15,14,49,30,103,9,27.8,5.5,1.2,1.1,15.6,4.0,6.7,2.3,10.3,3.8,23.2,0.4,21.4,0.4,13.2,2.4,6.2,2.8,0.4,1.7,11.9,0.2,0.1,0.8,8.8,3.2,1.4,1.3,4.6,2.7,4.0,0.4,0.8846,0.1058,0.2212,0.3846,0.7212,2.3174,0.4327,0.7404,0.1923,0.1827,0.7308,0.4519,2.2981,0.4423,0.4808,0.4808,0.4808,0.0385,0.7404,0.5,0.5962,0.7788,2.6539,0.6154,7.7502,0.4808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1722,225,58,13,11,171,0,0,11,14,17,0,11,107,21,0,11,21.1,5.3,0.5,0.4,6.7,0.0,0.0,1.2,0.5,0.7,0.0,1.2,4.2,0.8,0.0,1.2
20,Kansas,KS,20019,Chautauqua County,20019,"Chautauqua County, Kansas",638.880714525668,3389,0,1983,16,1323,90,1037,159,79,33,213,58,271,63,448,112,825,27,780,27,737,100,41,26,0,44,559,20,26,18,272,75,50,24,45,24,80,5,31.1,4.8,5.6,2.3,16.1,4.2,11.2,2.6,13.4,3.4,24.3,0.8,23.0,0.8,22.1,3.0,3.1,2.0,0.0,1.4,16.5,0.6,1.3,0.9,13.7,3.8,3.8,1.8,3.4,1.8,2.4,0.1,0.9808,0.9615,0.2596,0.8173,0.8846,3.9038,0.9615,0.8077,0.4327,0.9712,0.1827,0.0,2.3943,0.4808,0.625,0.625,0.625,0.3077,0.9327,0.9038,0.3173,0.5481,3.0096,0.7692,9.9327,0.8654,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,2,5,2617,309,56,31,32,152,0,14,14,133,52,0,11,215,45,14,19,23.4,4.1,0.9,0.9,4.5,0.0,0.4,0.4,3.9,1.5,0.0,0.9,6.3,1.3,0.4,0.6
