ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
21,Kentucky,KY,21001,Adair County,21001,"Adair County, Kentucky",405.29225202959,18887,0,8629,54,6803,225,5662,703,557,194,1419,263,1765,299,1406,379,3655,86,3829,107,4092,422,283,115,11,76,1579,170,135,110,1601,246,153,90,372,132,1238,42,32.1,4.0,6.6,2.3,20.9,3.8,13.9,2.3,7.5,2.0,19.4,0.5,20.3,0.6,22.0,2.3,4.2,1.7,0.1,0.4,8.4,0.9,1.5,1.3,18.6,2.9,2.2,1.3,5.5,2.0,6.6,0.2,0.5966,0.7143,0.4958,0.437,0.7563,3.0,0.6975,0.7395,0.1092,0.6555,0.1429,0.2521,1.8992,0.1513,0.5714,0.5714,0.5714,0.3613,0.4874,0.6218,0.3697,0.8908,2.731,0.6303,8.2016,0.5378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15341,1232,232,307,98,468,0,59,75,3,5,24,35,712,178,6,10,18.1,3.5,1.6,0.5,2.5,0.0,0.3,0.4,0.0,0.1,0.1,0.2,3.8,0.9,0.0,0.1
21,Kentucky,KY,21003,Allen County,21003,"Allen County, Kentucky",343.723827107082,20773,0,9237,30,7816,224,5436,801,704,246,1748,310,1937,275,1691,392,3660,51,4772,29,3808,406,630,189,78,98,1229,60,146,112,1834,274,207,99,497,134,192,9,26.6,3.9,7.3,2.5,22.4,3.9,13.5,1.9,8.2,1.9,17.6,0.2,23.0,0.1,18.5,2.0,8.0,2.4,0.4,0.5,5.9,0.3,1.6,1.2,19.9,3.0,2.6,1.3,6.4,1.7,0.9,0.0,0.3697,0.8067,0.6471,0.4034,0.7983,3.0252,0.7227,0.3697,0.6134,0.3782,0.8908,0.605,2.8571,0.7479,0.3109,0.3109,0.3109,0.4118,0.5546,0.7059,0.5126,0.1345,2.3194,0.437,8.5126,0.6134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14210,1583,261,167,99,503,0,10,13,10,11,0,23,486,101,53,54,20.3,3.2,0.8,0.5,2.4,0.0,0.0,0.1,0.0,0.1,0.0,0.2,2.3,0.5,0.3,0.3
21,Kentucky,KY,21005,Anderson County,21005,"Anderson County, Kentucky",202.259456251804,23839,0,10055,26,9180,253,4932,941,620,221,1910,348,1460,275,827,259,3859,52,5537,13,4339,578,618,248,6,89,1732,112,79,59,566,154,96,44,176,74,99,2,20.9,4.0,5.4,1.9,20.8,3.7,8.9,1.7,3.5,1.1,16.2,0.2,23.2,0.1,18.3,2.4,6.8,2.7,0.0,0.4,7.3,0.5,0.8,0.6,5.6,1.5,1.0,0.5,1.9,0.8,0.4,0.0,0.1429,0.5126,0.479,0.1429,0.084,1.3614,0.1597,0.1765,0.6555,0.3445,0.7479,0.0,1.9244,0.1681,0.4622,0.4622,0.4622,0.1345,0.1176,0.1008,0.0084,0.0084,0.3697,0.0,4.1177,0.0084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17129,1165,230,728,163,514,0,28,53,0,23,14,25,442,228,6,12,12.7,2.5,3.1,0.7,2.2,0.0,0.1,0.2,0.0,0.1,0.1,0.1,1.9,1.0,0.0,0.1
21,Kentucky,KY,21007,Ballard County,21007,"Ballard County, Kentucky",247.09472204081,7742,0,3710,23,2959,145,1963,333,179,96,533,110,438,94,280,115,1724,71,1555,24,1300,180,143,83,0,68,629,15,14,12,759,138,80,50,160,67,119,7,25.9,4.4,5.2,2.8,18.0,3.6,7.9,1.7,3.7,1.5,22.3,0.9,20.1,0.3,17.1,2.4,4.8,2.8,0.0,0.9,8.1,0.2,0.4,0.3,20.5,3.7,2.7,1.7,5.4,2.2,1.5,0.1,0.3277,0.4622,0.1933,0.084,0.1176,1.1848,0.1008,0.9748,0.0924,0.2269,0.2269,0.0,1.521,0.042,0.563,0.563,0.563,0.0672,0.5882,0.7227,0.3445,0.3697,2.0923,0.3445,5.3611,0.0756,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6325,438,95,301,52,125,0,30,20,0,17,0,17,173,60,0,17,14.8,3.1,3.9,0.7,1.6,0.0,0.4,0.3,0.0,0.5,0.0,0.5,2.2,0.8,0.0,0.5
21,Kentucky,KY,21009,Barren County,21009,"Barren County, Kentucky",487.36496767898,44511,0,19929,49,17592,349,13877,1279,965,253,4312,498,4710,575,3816,880,7917,109,10414,70,9305,710,1268,284,325,200,4777,181,495,188,2570,399,482,171,1176,279,679,16,31.9,2.9,4.9,1.3,24.5,2.8,15.3,1.9,8.7,2.0,17.8,0.2,23.4,0.2,21.2,1.6,7.2,1.6,0.8,0.5,10.7,0.4,2.5,0.9,12.9,2.0,2.8,1.0,6.7,1.6,1.5,0.0,0.5798,0.4034,0.7815,0.5126,0.8739,3.1512,0.7731,0.4118,0.7311,0.5798,0.7731,0.7983,3.2941,0.9496,0.6639,0.6639,0.6639,0.6723,0.3445,0.7479,0.5462,0.3697,2.6806,0.5966,9.7898,0.916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43466,2766,378,1535,236,1608,0,366,54,9,17,0,26,1105,245,154,165,15.7,2.1,3.4,0.5,3.6,0.0,0.8,0.1,0.0,0.1,0.0,0.1,2.5,0.6,0.3,0.4
21,Kentucky,KY,21011,Bath County,21011,"Bath County, Kentucky",277.99231258216,12739,0,5463,19,4844,214,4236,579,144,86,829,161,1571,257,1013,431,2151,41,3211,12,2861,356,230,106,20,73,656,24,98,44,1692,253,116,58,459,157,75,2,33.6,4.6,2.9,1.7,17.1,3.2,18.6,3.0,8.0,3.4,16.9,0.3,25.2,0.1,22.6,2.8,4.8,2.2,0.2,0.6,5.1,0.2,1.8,0.8,31.0,4.6,2.4,1.2,9.5,3.1,0.6,0.0,0.6807,0.042,0.1176,0.7227,0.7731,2.3361,0.3782,0.2773,0.9328,0.6807,0.2269,0.3782,2.4959,0.5546,0.2269,0.2269,0.2269,0.4958,0.916,0.6555,0.916,0.042,3.0253,0.7479,8.0842,0.5042,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,2,3,8821,899,163,216,36,228,0,17,22,4,7,0,19,180,37,11,18,18.6,3.4,1.7,0.3,1.8,0.0,0.1,0.2,0.0,0.1,0.0,0.3,1.4,0.3,0.1,0.1
21,Kentucky,KY,21013,Bell County,21013,"Bell County, Kentucky",358.998966246472,24248,0,11634,33,9456,290,9956,1037,801,238,2439,386,3706,357,1465,411,4538,56,5260,106,6016,547,515,136,0,92,1613,37,287,112,2526,342,162,98,728,197,697,23,42.5,4.4,10.0,3.0,25.8,4.0,21.8,2.1,6.2,1.7,18.7,0.2,21.7,0.4,25.4,2.3,5.4,1.4,0.0,0.4,6.7,0.2,2.4,1.0,21.7,2.9,1.7,1.0,7.7,2.0,2.9,0.1,0.9244,0.9328,0.8739,0.8655,0.5714,4.168,1.0,0.5966,0.3193,0.7647,0.3613,0.0,2.0419,0.2689,0.4034,0.4034,0.4034,0.6471,0.6218,0.395,0.7227,0.7311,3.1177,0.7731,9.731,0.9076,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24774,2443,359,469,92,329,0,28,34,49,52,0,23,690,98,48,49,25.8,3.6,1.9,0.4,1.4,0.0,0.1,0.1,0.2,0.2,0.0,0.1,2.8,0.4,0.2,0.2
21,Kentucky,KY,21015,Boone County,21015,"Boone County, Kentucky",246.2675544906,136150,0,51773,57,49587,476,16001,1984,2033,451,8737,841,5557,613,7191,1343,19301,213,35007,122,16460,1276,2823,536,1735,472,19559,537,5825,739,1987,330,953,272,1645,324,1060,21,11.9,1.5,2.8,0.6,17.6,1.7,6.2,0.7,5.3,1.0,14.2,0.2,25.7,0.1,12.2,0.9,5.7,1.1,1.4,0.4,14.4,0.4,11.2,1.4,3.8,0.6,1.9,0.5,3.3,0.6,0.8,0.0,0.0084,0.0168,0.1681,0.0168,0.3866,0.5967,0.0168,0.0588,0.9664,0.0168,0.4454,0.9076,2.395,0.4958,0.8739,0.8739,0.8739,0.9664,0.0672,0.479,0.1008,0.0924,1.7058,0.1429,5.5714,0.1176,0,0,0,0,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,1,3,177502,3912,593,4889,525,6174,0,3156,258,68,75,275,29,4470,708,527,425,7.9,1.2,3.6,0.4,4.5,0.0,2.3,0.2,0.0,0.1,0.2,0.1,3.3,0.5,0.4,0.3
21,Kentucky,KY,21017,Bourbon County,21017,"Bourbon County, Kentucky",289.749726206708,20228,0,9134,36,8067,231,5580,828,529,175,2178,313,2043,380,673,226,3833,72,4575,8,4034,504,425,146,96,110,3148,61,72,62,573,139,298,134,408,154,197,14,28.0,4.2,5.5,1.8,27.0,3.8,14.7,2.7,3.4,1.1,18.9,0.4,22.6,0.1,20.1,2.5,5.2,1.8,0.5,0.6,15.6,0.3,0.8,0.7,6.3,1.5,3.7,1.7,5.1,1.9,1.0,0.1,0.437,0.5462,0.9412,0.479,0.0756,2.479,0.437,0.6555,0.4958,0.479,0.3277,0.6807,2.6387,0.6303,0.9244,0.9244,0.9244,0.1345,0.1345,0.916,0.3025,0.1513,1.6388,0.1176,7.6809,0.3866,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3,16721,1432,233,985,128,1451,0,24,35,0,23,0,23,665,146,23,35,17.8,2.7,4.9,0.6,7.2,0.0,0.1,0.2,0.0,0.2,0.0,0.2,3.3,0.7,0.1,0.2
21,Kentucky,KY,21019,Boyd County,21019,"Boyd County, Kentucky",159.86623194462,48242,0,21745,36,18533,393,12442,1375,1412,347,4323,429,3876,394,2503,485,9619,99,10381,73,10188,674,1408,294,104,113,3742,205,1081,222,2200,356,186,133,1604,318,1741,43,26.8,3.0,6.9,1.7,23.3,2.3,11.3,1.1,5.4,1.0,19.9,0.2,21.5,0.2,21.9,1.5,7.6,1.6,0.2,0.2,7.8,0.4,4.9,1.0,10.1,1.6,1.0,0.7,8.7,1.7,3.6,0.1,0.3782,0.7815,0.7059,0.2773,0.4118,2.5547,0.4874,0.8067,0.2605,0.6218,0.8487,0.3782,2.9159,0.7899,0.5294,0.5294,0.5294,0.8655,0.2437,0.1008,0.8319,0.8067,2.8486,0.6807,8.8486,0.6891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58821,2581,332,966,142,947,0,159,117,15,18,16,21,1595,264,44,57,13.9,1.8,2.0,0.3,2.0,0.0,0.3,0.2,0.0,0.1,0.0,0.1,3.3,0.5,0.1,0.1
21,Kentucky,KY,21021,Boyle County,21021,"Boyle County, Kentucky",180.335836040026,30613,0,12933,55,11649,230,7008,703,840,230,3204,398,1986,259,1708,375,5760,41,6194,82,5054,430,840,244,143,116,4754,113,295,116,691,192,44,39,671,180,2891,109,25.3,2.5,6.2,1.7,27.5,3.4,9.6,1.3,5.9,1.3,18.8,0.1,20.2,0.3,17.3,1.5,7.2,2.1,0.5,0.4,15.5,0.4,2.3,0.9,5.3,1.5,0.4,0.3,5.8,1.5,9.4,0.4,0.2857,0.6639,0.9496,0.1765,0.5378,2.6135,0.5294,0.6134,0.1008,0.2353,0.7731,0.6807,2.4033,0.5042,0.916,0.916,0.916,0.5882,0.1008,0.0,0.4118,0.9496,2.0504,0.3109,7.9832,0.4874,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,35683,1804,298,2430,163,1036,0,226,75,7,12,3,5,869,173,183,110,15.5,2.5,7.9,0.5,3.4,0.0,0.7,0.2,0.0,0.1,0.0,0.1,2.8,0.6,0.6,0.4
21,Kentucky,KY,21023,Bracken County,21023,"Bracken County, Kentucky",202.665116248614,8420,0,3844,25,3138,146,2312,429,244,97,550,122,695,149,340,120,1434,17,1979,0,1426,254,178,91,0,68,379,17,100,46,994,143,60,43,82,41,29,1,27.8,5.2,6.2,2.4,17.5,3.8,12.0,2.6,4.1,1.4,17.0,0.4,23.5,0.0,17.0,3.0,5.7,2.9,0.0,0.9,4.5,0.2,2.6,1.2,25.9,3.7,1.9,1.4,2.6,1.3,0.3,0.0,0.4202,0.6639,0.1429,0.3361,0.1765,1.7396,0.2101,0.2941,0.7563,0.2185,0.4454,0.0,1.7143,0.1092,0.1513,0.1513,0.1513,0.6975,0.7311,0.479,0.0336,0.0,1.9412,0.2773,5.5464,0.1092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4742,520,127,115,100,67,77,14,28,134,129,0,17,49,46,0,17,16.6,4.0,1.4,1.2,0.8,0.9,0.2,0.3,1.6,1.5,0.0,0.4,0.6,0.5,0.0,0.4
