ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
23,Maine,ME,23001,Androscoggin County,23001,"Androscoggin County, Maine",467.95385449453397,111532,0,49923,74,45825,584,23210,1484,2853,478,11671,865,6210,614,8107,1076,20267,105,23632,50,19252,1188,2516,390,896,237,12132,274,3712,463,4583,494,758,196,4130,535,3525,57,21.5,1.4,4.8,0.8,25.5,1.9,8.0,0.8,7.4,1.0,18.2,0.1,21.2,0.1,17.5,1.1,5.5,0.8,0.9,0.2,10.9,0.2,7.4,0.9,9.2,1.0,1.7,0.4,9.0,1.2,3.2,0.1,0.5333,0.7333,0.8667,0.6667,0.2667,3.0667,0.6667,0.0,1.0,0.5333,1.0,0.9333,3.4666,0.8667,0.8667,0.8667,0.8667,0.9333,0.5333,0.8,0.9333,0.8,3.9999,0.9333,11.3999,0.9333,0,0,0,0,0,0,0,1,0,1,1,3,0,0,1,0,0,1,0,2,5,110633,5780,617,4803,416,2259,0,1125,239,16,18,5,9,3877,510,47,55,12.6,1.3,4.3,0.4,2.0,0.0,1.0,0.2,0.0,0.1,0.0,0.1,3.5,0.5,0.0,0.1
23,Maine,ME,23003,Aroostook County,23003,"Aroostook County, Maine",6671.083884241876,67237,0,38440,61,29237,412,16538,907,1753,336,6868,477,4709,412,5819,627,16847,42,12392,0,14213,633,1519,260,302,121,4581,143,1641,254,3398,288,497,141,2510,263,2105,33,25.3,1.4,5.8,1.1,23.5,1.6,9.4,0.8,8.8,0.9,25.1,0.1,18.4,0.0,21.5,1.0,5.2,0.9,0.5,0.2,6.8,0.2,4.2,0.7,8.8,0.8,1.7,0.5,8.6,0.9,3.1,0.0,0.8667,0.9333,0.1333,1.0,0.5333,3.4666,0.8667,0.6667,0.7333,0.8667,0.8667,0.8667,4.0001,1.0,0.5333,0.5333,0.5333,0.5333,0.4,0.8,0.8667,0.6667,3.2667,0.8,11.2667,0.8667,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,66521,6405,433,492,104,991,0,261,41,1069,109,30,20,1684,209,54,49,21.9,1.5,0.7,0.2,1.5,0.0,0.4,0.1,1.6,0.2,0.0,0.1,2.5,0.3,0.1,0.1
23,Maine,ME,23005,Cumberland County,23005,"Cumberland County, Maine",836.195119991416,303357,0,149869,102,128184,950,35855,2207,5594,603,31066,1332,8332,790,15085,1562,59050,5,55317,25,33975,1238,4859,498,2645,426,36612,1119,14400,823,6079,692,1391,312,8988,778,8693,67,12.2,0.7,3.2,0.4,24.2,1.0,3.7,0.4,5.0,0.5,19.5,0.1,18.2,0.1,11.3,0.4,3.8,0.4,0.9,0.1,12.1,0.4,9.7,0.5,4.1,0.5,1.1,0.2,7.0,0.6,2.9,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.1333,0.5333,0.0,0.2,0.9333,1.7999,0.1333,0.9333,0.9333,0.9333,1.0,0.0,0.2,0.6,0.4667,2.2667,0.5333,5.3999,0.1333,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,3,350588,11498,897,9415,585,6895,0,6540,462,388,147,96,48,12046,1255,1232,575,9.0,0.7,3.1,0.2,2.3,0.0,2.2,0.2,0.1,0.1,0.0,0.1,4.0,0.4,0.4,0.2
23,Maine,ME,23007,Franklin County,23007,"Franklin County, Maine",1697.005816234584,29839,0,21014,54,12276,314,6393,839,650,193,2845,363,1311,263,2726,403,6832,66,5198,65,5242,382,573,166,120,110,1696,128,942,178,1865,330,207,80,1126,269,1101,49,22.3,2.9,4.4,1.3,23.2,2.9,6.1,1.2,9.2,1.4,22.9,0.2,17.4,0.2,17.7,1.3,4.7,1.3,0.4,0.4,5.7,0.4,4.5,0.8,8.9,1.6,1.7,0.7,9.2,2.2,3.7,0.2,0.6667,0.5333,0.0667,0.4,0.7333,2.4,0.4667,0.4667,0.2667,0.6,0.6667,0.6,2.6001,0.6667,0.1333,0.1333,0.1333,0.6667,0.4667,0.8,1.0,0.8667,3.8001,0.8667,8.9335,0.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,28633,2133,310,120,58,462,0,155,68,38,29,3,4,817,141,101,60,17.4,2.5,0.4,0.2,1.5,0.0,0.5,0.2,0.1,0.1,0.0,0.1,2.7,0.5,0.3,0.2
23,Maine,ME,23009,Hancock County,23009,"Hancock County, Maine",1587.1274063655999,55851,0,40298,68,24660,594,10289,788,1126,257,6229,529,2099,270,5624,675,14335,66,9266,0,7876,439,1036,247,88,99,3580,139,970,247,2708,320,333,139,1374,253,1675,54,18.9,1.4,3.9,0.9,25.3,2.1,5.0,0.6,10.2,1.2,25.7,0.1,16.6,0.0,14.2,0.8,4.2,1.0,0.2,0.2,6.4,0.2,2.4,0.6,6.7,0.8,1.4,0.6,5.6,1.0,3.0,0.1,0.3333,0.2667,0.6667,0.0667,0.8,2.1334,0.3333,0.8,0.0,0.2,0.2667,0.2,1.4667,0.0,0.2,0.2,0.2,0.3333,0.2,0.6667,0.1333,0.5333,1.8666,0.4,5.6667,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50637,2971,369,437,121,931,0,475,90,251,68,0,26,1265,279,221,111,12.0,1.5,0.8,0.2,1.7,0.0,0.9,0.2,0.4,0.1,0.0,0.1,2.3,0.5,0.4,0.2
23,Maine,ME,23011,Kennebec County,23011,"Kennebec County, Maine",867.471888179498,124003,0,62778,96,53452,571,24698,1796,2576,521,12649,803,4895,474,8680,844,25596,110,23606,0,20319,1017,2839,361,482,175,8228,292,2882,470,6866,687,680,201,3926,478,3903,70,20.5,1.5,4.1,0.8,23.7,1.5,5.4,0.5,7.1,0.7,20.6,0.1,19.0,0.0,16.6,0.8,5.3,0.7,0.4,0.1,6.6,0.2,4.5,0.7,10.9,1.1,1.3,0.4,7.3,0.9,3.1,0.1,0.4,0.3333,0.2667,0.2667,0.2,1.4667,0.2,0.2,0.9333,0.4,0.9333,0.6,3.0666,0.8,0.2667,0.2667,0.2667,0.6667,0.6667,0.3333,0.6667,0.6667,3.0001,0.7333,7.8001,0.6,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,2,125474,6378,559,913,171,2203,0,1121,163,332,132,0,26,3374,407,285,127,11.9,1.0,0.7,0.1,1.8,0.0,0.9,0.1,0.3,0.1,0.0,0.1,2.7,0.3,0.2,0.1
23,Maine,ME,23013,Knox County,23013,"Knox County, Maine",365.14562089691,40729,0,24331,48,17780,391,7076,932,761,192,4309,487,1964,382,2921,460,10780,69,7051,0,5146,531,789,181,92,105,2278,95,701,196,1603,273,137,53,1028,225,1682,65,18.1,2.4,3.8,0.9,24.2,2.7,6.3,1.2,7.4,1.2,26.5,0.2,17.3,0.0,13.1,1.4,4.4,1.0,0.2,0.3,5.6,0.2,2.9,0.8,6.6,1.1,0.7,0.3,5.8,1.2,4.1,0.2,0.2667,0.2,0.4,0.5333,0.2667,1.6667,0.2667,0.8667,0.2,0.1333,0.4667,0.2,1.8667,0.2667,0.0667,0.0667,0.0667,0.4,0.1333,0.0667,0.2667,0.9333,1.8,0.3333,5.4001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,38394,1908,278,154,78,680,0,146,60,97,56,4,6,1166,153,31,21,10.7,1.5,0.4,0.2,1.7,0.0,0.4,0.1,0.2,0.1,0.0,0.1,2.9,0.4,0.1,0.1
23,Maine,ME,23015,Lincoln County,23015,"Lincoln County, Maine",455.86638157528597,35466,0,23698,53,15848,411,5752,603,581,173,3521,409,1425,261,3129,522,10034,57,6019,93,5612,446,442,111,91,101,2463,328,373,108,1834,271,131,76,850,229,652,26,16.5,1.7,3.3,1.0,22.2,2.5,5.2,1.0,8.9,1.5,28.3,0.2,17.0,0.3,16.0,1.3,2.8,0.7,0.3,0.3,6.9,0.9,1.6,0.5,7.7,1.1,0.8,0.5,5.4,1.4,1.8,0.1,0.1333,0.0667,0.0,0.1333,0.6,0.9333,0.0667,1.0,0.0667,0.3333,0.0,0.4667,1.8667,0.2667,0.6,0.6,0.6,0.0667,0.2667,0.1333,0.0667,0.3333,0.8667,0.0,4.2667,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,30143,2285,356,168,90,577,0,304,92,128,40,0,23,1261,344,25,20,14.4,2.2,0.5,0.3,1.6,0.0,0.9,0.3,0.4,0.1,0.0,0.1,3.6,1.0,0.1,0.1
23,Maine,ME,23017,Oxford County,23017,"Oxford County, Maine",2076.956319865066,58276,0,36355,50,23183,438,14225,1212,1515,319,5857,458,3912,611,5220,607,13313,79,10404,0,10358,654,680,187,53,95,3820,322,1504,166,3990,389,316,129,1300,242,755,62,24.8,2.1,5.5,1.2,25.3,1.9,8.9,1.4,9.0,1.1,22.8,0.1,17.9,0.0,17.9,1.1,3.0,0.8,0.1,0.2,6.6,0.6,4.2,0.5,11.0,1.1,1.3,0.6,5.6,1.0,1.3,0.1,0.8,0.8667,0.6667,0.8667,0.6667,3.8668,0.9333,0.4,0.4,0.6667,0.0667,0.0,1.5334,0.0667,0.2667,0.2667,0.2667,0.5333,0.7333,0.3333,0.1333,0.0667,1.7999,0.2667,7.4668,0.4667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49796,3857,363,163,56,924,0,275,75,105,51,4,6,2168,300,181,166,16.6,1.5,0.3,0.1,1.6,0.0,0.5,0.1,0.2,0.1,0.0,0.1,3.7,0.5,0.3,0.3
23,Maine,ME,23019,Penobscot County,23019,"Penobscot County, Maine",3397.180644943384,152640,0,75119,91,63687,602,32034,1845,3293,423,16122,947,6686,596,11995,1255,29546,122,27174,21,27558,1050,2914,434,387,145,11818,497,3920,454,8666,572,1014,246,5200,493,6551,77,21.9,1.3,4.3,0.5,25.3,1.5,6.1,0.5,8.0,0.8,19.4,0.1,17.8,0.1,18.3,0.7,4.5,0.7,0.3,0.1,7.7,0.3,5.2,0.6,11.5,0.8,1.6,0.4,8.2,0.8,4.3,0.1,0.6,0.4667,0.6667,0.4,0.4,2.5334,0.5333,0.0667,0.3333,0.7333,0.5333,0.4667,2.1333,0.5333,0.7333,0.7333,0.7333,0.8667,0.8667,0.7333,0.8,1.0,4.2667,1.0,9.6667,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,154649,8522,610,1385,167,2498,0,1464,222,1556,211,34,26,4206,527,675,330,13.4,0.9,0.9,0.1,1.6,0.0,1.0,0.1,1.0,0.1,0.0,0.1,2.8,0.3,0.4,0.2
