ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
24,Maryland,MD,24001,Allegany County,24001000100,Census Tract 1; Allegany County; Maryland,187.932688644158,3474,417,2245,198,1577,165,1055,357,91,76,270,104,241,127,324,220,653,146,601,194,644,166,98,66,0,52,80,589,0,18,484,138,37,42,88,58,13,2,30.5,9.6,6.3,5.2,17.1,6.3,9.0,4.4,9.4,6.0,18.8,5.0,17.3,4.5,18.6,5.0,6.2,4.1,0.0,1.6,2.3,17.0,0.0,0.8,21.6,6.0,2.4,2.7,5.6,3.7,0.4,0.0,0.8715,0.6818,0.3258,0.6032,0.8282,3.3105,0.7292,0.6751,0.2056,0.8887,0.5636,0.0,2.333,0.3959,0.0034,0.0034,0.0034,0.0,0.9924,0.6832,0.5278,0.5792,2.7826,0.7821,8.4295,0.6309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1187,379,114,13,2,38,44,0,13,0,13,0,13,29,31,0,13,24.0,6.8,0.4,0.1,1.1,1.3,0.0,1.1,0.0,1.1,0.0,1.1,0.8,0.9,0.0,1.1
24,Maryland,MD,24001,Allegany County,24001000200,Census Tract 2; Allegany County; Maryland,48.071999009614,4052,298,1617,196,1390,196,574,220,24,24,290,153,495,164,234,159,801,174,499,132,739,225,15,19,51,66,1016,412,52,64,134,80,12,21,51,39,1107,36,19.5,7.2,1.9,1.8,20.9,10.6,15.2,4.9,7.9,5.2,19.8,3.7,12.3,3.1,25.1,6.7,1.1,1.4,1.3,1.7,25.1,10.0,3.2,3.9,8.3,5.1,0.9,1.5,3.7,2.8,27.3,2.2,0.6921,0.1381,0.4351,0.8314,0.7629,2.8596,0.6021,0.7156,0.0733,0.9663,0.0838,0.5086,2.3476,0.4021,0.2707,0.2707,0.2707,0.4082,0.9567,0.4694,0.4165,0.987,3.2378,0.9141,8.7157,0.6735,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,3,5249,381,113,779,42,99,25,18,24,9,10,0,13,111,80,0,13,27.4,7.8,19.2,1.7,2.4,0.7,0.4,0.6,0.2,0.2,0.0,1.0,2.7,1.9,0.0,1.0
24,Maryland,MD,24001,Allegany County,24001000500,Census Tract 5; Allegany County; Maryland,4.422952464698,2304,334,1017,193,683,117,695,285,61,32,137,65,113,96,134,98,441,136,396,178,677,194,76,57,24,80,777,471,108,69,0,13,27,38,91,47,753,23,39.1,14.3,7.9,4.9,20.1,8.9,8.8,7.2,6.1,4.1,19.1,6.7,17.2,6.0,30.8,8.1,11.2,8.1,1.1,3.6,33.7,19.9,10.6,6.5,0.0,3.9,4.0,5.5,13.3,6.6,32.7,4.8,0.9375,0.8014,0.4117,0.5942,0.657,3.4018,0.7546,0.684,0.2022,0.9876,0.8289,0.464,3.1667,0.8742,0.3694,0.3694,0.3694,0.5773,0.0,0.8062,0.7787,0.989,3.1512,0.888,10.0891,0.8447,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,5729,88,59,448,103,125,91,34,36,0,13,0,13,152,137,18,28,12.9,8.1,19.4,5.2,5.4,3.9,1.5,1.6,0.0,1.7,0.0,1.7,6.6,5.7,0.8,1.2
24,Maryland,MD,24001,Allegany County,24001000600,Census Tract 6; Allegany County; Maryland,1.582465301936,3005,329,1574,166,1374,181,772,223,49,44,296,122,148,90,18,21,651,110,710,136,509,109,177,113,0,52,283,472,126,81,0,13,0,18,132,78,100,10,26.5,7.1,4.1,3.6,21.5,8.4,6.9,4.0,0.6,0.7,21.7,3.3,23.6,3.2,17.4,4.0,12.9,8.0,0.0,1.8,9.4,15.7,8.0,5.1,0.0,2.5,0.0,1.3,9.6,5.8,3.3,0.5,0.8192,0.4543,0.4577,0.4661,0.0405,2.2378,0.4351,0.8053,0.6415,0.857,0.8722,0.0,3.176,0.8784,0.0637,0.0637,0.0637,0.5189,0.0,0.0,0.6832,0.8903,2.0924,0.4921,7.5699,0.5072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3111,190,89,47,32,21,28,0,13,13,21,0,13,192,118,10,17,13.8,6.3,1.6,1.1,0.7,0.9,0.0,1.3,0.4,0.7,0.0,1.3,6.4,3.8,0.3,0.6
24,Maryland,MD,24001,Allegany County,24001000700,Census Tract 7; Allegany County; Maryland,0.712349695756,3233,415,1769,166,1462,174,1415,393,147,105,562,150,257,120,95,77,645,102,842,166,685,178,241,105,10,52,212,576,245,103,17,26,0,18,361,128,13,3,44.0,10.9,10.6,7.2,38.4,9.2,12.6,5.8,2.9,2.3,20.0,3.4,26.0,3.6,21.2,4.4,16.5,6.9,0.3,1.7,6.6,17.8,13.9,5.7,1.0,1.5,0.0,1.2,24.7,7.8,0.4,0.1,0.9595,0.9065,0.8323,0.7615,0.3258,3.7856,0.8543,0.7217,0.782,0.9258,0.9416,0.2234,3.5945,0.9753,0.0363,0.0363,0.0363,0.6337,0.8021,0.0,0.8962,0.5792,2.9112,0.8186,10.3276,0.8763,1,1,0,0,0,2,0,0,1,1,0,2,0,0,0,0,0,0,0,0,4,2685,313,98,57,42,17,26,0,13,0,13,0,13,132,96,6,11,21.4,6.4,1.8,1.3,0.5,0.8,0.0,1.2,0.0,1.2,0.0,1.2,4.1,2.9,0.2,0.3
24,Maryland,MD,24001,Allegany County,24001000800,Census Tract 8; Allegany County; Maryland,1.263142731652,1932,285,1033,101,786,113,948,242,107,62,410,124,173,54,173,115,245,65,418,125,440,109,40,37,0,52,215,415,29,26,0,13,0,18,133,49,1,3,49.2,10.3,11.0,6.2,52.2,13.9,13.8,4.5,9.0,5.9,12.7,3.7,21.6,4.5,22.8,6.0,5.1,4.6,0.0,2.9,11.1,21.4,2.8,2.5,0.0,3.8,0.0,2.3,16.9,6.2,0.1,0.2,0.9684,0.9196,0.9704,0.7937,0.8144,4.4665,0.9787,0.3208,0.4798,0.9471,0.4735,0.0,2.2212,0.3306,0.0843,0.0843,0.0843,0.3973,0.0,0.0,0.8344,0.2947,1.5264,0.266,8.2984,0.6082,1,1,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1776,96,48,24,22,123,105,17,15,0,13,0,13,51,31,0,13,12.2,5.8,1.2,1.2,6.4,5.5,0.9,0.8,0.0,2.0,0.0,2.0,2.6,1.6,0.0,2.0
24,Maryland,MD,24001,Allegany County,24001001000,Census Tract 10; Allegany County; Maryland,0.455114257582,1928,322,1320,133,1025,130,835,196,111,72,397,113,207,75,49,47,650,170,389,127,562,162,104,44,15,56,171,466,282,107,15,25,3,15,286,116,55,6,44.3,7.1,17.2,9.7,38.7,9.9,15.0,5.7,2.6,2.5,33.7,8.6,20.2,4.7,29.8,7.4,10.1,4.1,0.8,3.0,8.9,24.1,21.4,7.8,1.1,1.9,0.3,1.5,27.9,10.6,2.9,0.6,0.9601,0.9849,0.8371,0.8252,0.2838,3.8911,0.8763,0.9781,0.3735,0.9856,0.7863,0.3873,3.5108,0.9601,0.0583,0.0583,0.0583,0.7361,0.8062,0.343,0.9175,0.8732,3.676,0.9787,11.1362,0.9505,1,1,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,1,0,1,5,4424,356,113,78,43,38,49,0,13,0,13,0,13,55,43,0,13,34.7,10.3,4.0,2.4,2.0,2.6,0.0,2.1,0.0,2.1,0.0,2.1,2.9,2.2,0.0,2.1
24,Maryland,MD,24001,Allegany County,24001001100,Census Tract 11; Allegany County; Maryland,0.301684272618,1327,183,857,99,690,103,370,99,47,39,202,79,78,42,31,24,270,96,210,65,288,87,44,30,0,52,147,271,171,67,0,13,8,16,137,59,29,5,28.0,6.4,8.6,6.8,29.3,10.6,8.1,4.5,2.3,1.8,20.3,6.1,15.8,3.9,21.8,6.6,6.3,4.2,0.0,4.0,11.1,20.4,20.0,7.5,0.0,4.6,1.2,2.3,19.9,8.5,2.2,0.2,0.8454,0.8357,0.6612,0.5511,0.2509,3.1443,0.6845,0.7354,0.1453,0.9368,0.5711,0.0,2.3886,0.4275,0.0843,0.0843,0.0843,0.7182,0.0,0.5244,0.8625,0.8382,2.9433,0.8241,8.5605,0.6529,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2678,90,49,56,46,13,17,16,19,0,13,0,13,62,62,0,13,13.0,6.8,4.2,3.6,1.0,1.3,1.2,1.4,0.0,3.0,0.0,3.0,4.7,4.6,0.0,3.0
24,Maryland,MD,24001,Allegany County,24001001200,Census Tract 12; Allegany County; Maryland,2.680249041232,2924,366,1459,161,1270,154,230,125,38,34,217,87,69,53,65,51,801,103,406,111,450,126,50,44,0,52,290,527,20,26,0,13,0,18,69,49,97,3,8.1,4.3,2.5,2.3,17.1,6.5,3.2,2.5,2.3,1.8,27.4,4.6,13.9,3.6,16.0,4.7,3.9,3.4,0.0,1.8,9.9,18.0,1.4,1.8,0.0,2.7,0.0,1.4,5.4,3.8,3.3,0.4,0.3093,0.2103,0.3258,0.1789,0.2509,1.2752,0.1732,0.9411,0.1028,0.8082,0.356,0.0,2.2081,0.3251,0.0679,0.0679,0.0679,0.3395,0.0,0.0,0.5155,0.8903,1.7453,0.3478,5.2965,0.1876,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3875,90,54,20,20,48,47,95,62,11,13,0,13,116,97,0,13,7.1,4.1,0.7,0.7,1.6,1.6,3.2,2.2,0.4,0.4,0.0,1.4,4.0,3.3,0.0,1.4
24,Maryland,MD,24001,Allegany County,24001001300,Census Tract 13; Allegany County; Maryland,3.855189087596,5061,239,1068,120,1018,121,521,154,61,38,214,85,882,154,65,49,543,120,355,81,468,135,76,54,56,83,2556,329,135,65,13,16,0,26,60,41,2923,68,24.4,6.7,5.6,3.5,21.0,8.0,20.3,3.8,3.0,2.4,10.7,2.2,7.0,1.4,21.9,6.4,7.5,5.2,1.1,1.7,50.5,6.0,12.6,5.9,1.2,1.5,0.0,2.6,5.9,4.1,57.8,3.0,0.7918,0.6192,0.4371,0.9075,0.3436,3.0992,0.6735,0.207,0.0199,0.9381,0.657,0.464,2.286,0.3691,0.5332,0.5332,0.5332,0.6096,0.8124,0.0,0.5457,0.9931,2.9608,0.8289,8.8792,0.6997,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,5605,161,61,2212,137,152,84,10,11,18,20,0,19,164,86,0,19,15.8,5.8,43.7,3.1,3.0,1.7,0.2,0.2,0.4,0.4,0.0,0.8,3.2,1.7,0.0,0.8
24,Maryland,MD,24001,Allegany County,24001001401,Census Tract 14.01; Allegany County; Maryland,14.671612292334,4027,419,1750,152,1603,155,529,229,68,46,210,77,66,40,139,98,931,120,821,165,586,129,0,18,11,52,479,625,10,20,81,51,7,17,128,67,20,5,13.2,5.5,3.4,2.2,13.1,4.6,2.3,1.4,3.5,2.3,23.1,3.4,20.4,2.8,14.6,3.2,0.0,1.1,0.3,1.4,11.9,15.5,0.6,1.1,4.6,2.9,0.4,1.1,8.0,4.1,0.5,0.1,0.5086,0.3498,0.2103,0.1103,0.4117,1.5907,0.2522,0.8526,0.3859,0.7381,0.0,0.2234,2.2,0.3216,0.0966,0.0966,0.0966,0.268,0.9168,0.3581,0.6282,0.6271,2.7982,0.7897,6.6855,0.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,6104,204,84,55,57,171,122,61,76,8,10,0,13,155,114,29,47,12.7,5.0,1.4,1.4,4.2,3.0,1.5,1.9,0.2,0.3,0.0,1.0,3.8,3.0,0.7,1.2
