ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
24,Maryland,MD,24001,Allegany County,24001,"Allegany County, Maryland",422.198631964372,68161,0,32882,67,27462,411,16142,1175,1924,300,6404,535,4527,466,2513,415,14172,102,11991,17,11980,651,1600,276,217,137,9053,127,2164,305,1364,249,230,103,2625,343,7210,105,26.4,1.9,6.8,1.0,23.3,1.9,9.4,1.0,4.0,0.7,20.8,0.1,17.6,0.1,18.9,1.0,5.8,1.0,0.3,0.2,13.3,0.2,6.5,0.9,4.1,0.8,0.8,0.4,9.6,1.2,10.6,0.2,0.8696,0.8696,0.4783,0.6087,0.2609,3.0871,0.6957,0.7826,0.1304,1.0,0.4783,0.0,2.3913,0.4348,0.087,0.087,0.087,0.4348,0.7391,0.1304,0.913,0.9565,3.1738,0.7826,8.7392,0.6087,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,3,69816,4803,454,4895,194,1377,0,631,90,68,34,5,5,1943,210,134,75,17.5,1.6,7.2,0.3,2.0,0.0,0.9,0.1,0.1,0.1,0.0,0.1,2.9,0.3,0.2,0.1
24,Maryland,MD,24003,Anne Arundel County,24003,"Anne Arundel County, Maryland",414.80625704893,588109,0,233163,136,221704,1072,56270,3565,13019,1118,42728,1918,26401,1380,25755,1789,90442,54,131607,0,60761,2413,12167,1147,7820,906,208083,1554,30706,1517,2721,463,3907,556,8326,823,10507,239,9.7,0.6,4.2,0.4,19.3,0.9,6.5,0.3,4.5,0.3,15.4,0.1,22.4,0.0,10.7,0.4,5.5,0.5,1.4,0.2,35.4,0.3,13.2,0.7,1.2,0.2,1.8,0.3,3.8,0.4,1.8,0.0,0.1739,0.3913,0.2174,0.2174,0.4783,1.4783,0.2174,0.2609,0.6957,0.3043,0.3043,0.5652,2.1304,0.2609,0.6087,0.6087,0.6087,0.7391,0.3913,0.5652,0.1304,0.5217,2.3477,0.3913,6.5651,0.3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,578807,12376,1041,101009,1512,51224,0,23572,881,565,136,268,94,28755,2401,2690,707,5.6,0.5,17.2,0.3,8.7,0.0,4.0,0.1,0.1,0.1,0.0,0.1,4.9,0.4,0.5,0.1
24,Maryland,MD,24005,Baltimore County,24005,"Baltimore County, Maryland",598.357965218504,850737,0,349471,363,328611,1220,134140,4968,23730,1328,87303,2663,48857,1662,44953,2573,149892,26,183823,0,100461,2390,23864,1284,15465,1277,390830,983,64389,1953,2788,421,6055,771,25774,1476,19882,236,16.1,0.6,5.2,0.3,26.6,0.8,8.3,0.3,5.3,0.3,17.6,0.1,21.6,0.0,11.9,0.3,7.3,0.4,1.9,0.2,45.9,0.1,18.5,0.6,0.8,0.1,1.8,0.2,7.8,0.4,2.3,0.0,0.5217,0.6957,0.6522,0.4783,0.6522,3.0001,0.6522,0.6522,0.3913,0.4348,0.6522,0.7391,2.8696,0.8261,0.7391,0.7391,0.7391,0.7826,0.1739,0.5652,0.7391,0.6957,2.9565,0.7391,9.5653,0.6957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833354,32889,1595,252089,1487,51697,0,51521,1183,1212,235,352,51,30439,1939,3520,933,10.0,0.5,29.6,0.2,6.1,0.0,6.1,0.1,0.1,0.1,0.0,0.1,3.6,0.2,0.4,0.1
24,Maryland,MD,24009,Calvert County,24009,"Calvert County, Maryland",213.189516997182,93244,0,35749,48,33284,410,7214,1034,1553,319,5296,613,3547,512,2906,580,14454,126,21519,34,8755,709,1402,246,305,155,22782,399,1581,309,334,152,279,119,1024,276,554,19,7.8,1.1,3.2,0.7,15.9,1.8,5.5,0.8,3.2,0.6,15.5,0.1,23.1,0.1,9.6,0.8,4.2,0.7,0.3,0.2,24.4,0.4,4.4,0.9,0.9,0.4,0.8,0.4,3.1,0.8,0.6,0.0,0.0,0.0435,0.0,0.0435,0.0435,0.1305,0.0,0.3043,0.7826,0.087,0.087,0.0,1.2609,0.0,0.3913,0.3913,0.3913,0.1739,0.3043,0.1304,0.0,0.0,0.6086,0.0,2.3913,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67322,2698,428,11305,603,4319,0,1837,343,84,54,49,66,4808,777,380,221,8.1,1.3,12.1,0.6,4.6,0.0,2.0,0.4,0.1,0.1,0.1,0.1,5.2,0.8,0.4,0.2
24,Maryland,MD,24011,Caroline County,24011,"Caroline County, Maryland",319.441587383806,33320,0,13473,34,12013,269,8721,844,775,171,3495,372,3558,385,2245,388,5635,66,7817,24,4823,405,1173,232,672,192,8909,192,239,95,1039,196,401,112,737,161,565,14,26.6,2.6,4.6,1.0,29.1,3.0,15.6,1.7,6.8,1.2,16.9,0.2,23.5,0.1,14.6,1.2,9.8,1.9,2.1,0.6,26.7,0.6,1.8,0.7,7.7,1.5,3.3,0.9,6.1,1.3,1.7,0.0,0.913,0.4348,0.8261,1.0,0.9565,4.1304,0.9565,0.5217,0.8696,0.6087,0.9565,0.8261,3.7826,1.0,0.4783,0.4783,0.4783,0.0,0.913,0.913,0.4783,0.4348,2.7391,0.5652,11.1304,0.8696,1,0,0,1,1,3,0,0,0,1,0,1,0,0,0,1,1,0,0,2,6,26566,1699,232,4385,198,2736,0,152,59,20,18,0,28,1366,246,250,162,14.1,1.9,13.2,0.6,8.2,0.0,0.5,0.2,0.1,0.1,0.0,0.1,4.1,0.7,0.8,0.5
24,Maryland,MD,24013,Carroll County,24013,"Carroll County, Maryland",447.629615485516,173225,0,65804,115,63318,443,15041,1220,2960,471,10803,856,7015,610,4951,658,30086,60,37568,0,21297,957,2618,345,1060,266,22897,536,3927,503,530,188,470,163,2548,393,3698,76,8.9,0.7,3.1,0.5,17.1,1.3,5.8,0.5,2.9,0.4,17.4,0.1,21.7,0.0,12.5,0.6,4.1,0.5,0.6,0.2,13.2,0.3,6.0,0.8,0.8,0.3,0.7,0.3,4.0,0.6,2.1,0.0,0.087,0.0,0.0435,0.1304,0.0,0.2609,0.0435,0.6087,0.4348,0.5217,0.0435,0.1304,1.7391,0.087,0.0435,0.0435,0.0435,0.3043,0.1739,0.0435,0.2174,0.6087,1.3478,0.087,3.3913,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143376,6027,555,6339,454,7169,0,3846,249,221,92,24,27,4438,657,860,427,9.5,0.9,3.7,0.3,4.1,0.0,2.2,0.1,0.1,0.1,0.0,0.1,2.6,0.4,0.5,0.2
24,Maryland,MD,24015,Cecil County,24015,"Cecil County, Maryland",346.299723202468,103876,0,43957,130,39338,617,17985,1861,2582,407,9626,810,6174,606,4028,709,17005,92,23166,0,13306,996,2164,416,921,265,18147,491,2719,414,2304,344,854,251,2062,403,1560,342,17.6,1.8,4.9,0.8,24.5,2.0,8.6,0.8,3.9,0.7,16.4,0.1,22.3,0.0,13.0,1.0,5.5,1.1,0.9,0.3,17.5,0.5,6.2,0.9,5.2,0.8,2.2,0.6,5.2,1.0,1.5,0.3,0.6087,0.5652,0.5217,0.5217,0.1304,2.3477,0.4348,0.4348,0.6522,0.5652,0.3043,0.2609,2.2174,0.3043,0.1739,0.1739,0.1739,0.3913,0.7826,0.8261,0.3913,0.3478,2.7391,0.5652,7.4781,0.4348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91871,4064,565,6816,561,5069,0,1394,277,109,51,36,53,4166,685,557,361,10.3,1.4,6.6,0.5,4.9,0.0,1.3,0.3,0.1,0.1,0.0,0.1,4.0,0.7,0.5,0.3
24,Maryland,MD,24017,Charles County,24017,"Charles County, Maryland",457.825692853976,167035,0,62362,94,59205,436,16713,1722,4352,531,11835,870,6256,615,6637,1090,21545,115,39741,62,16995,1155,4674,542,1632,413,108121,259,3779,499,622,186,1088,299,1976,335,1388,22,10.1,1.0,4.9,0.6,20.0,1.5,5.6,0.5,4.0,0.7,12.9,0.1,23.8,0.1,10.4,0.7,7.9,0.9,1.0,0.3,64.7,0.2,6.1,0.8,1.0,0.3,1.9,0.5,3.3,0.6,0.8,0.0,0.2174,0.5652,0.3478,0.087,0.2609,1.4783,0.2174,0.0,0.913,0.2609,0.6957,0.3478,2.2174,0.3043,0.913,0.913,0.913,0.3478,0.3478,0.6957,0.087,0.087,1.5653,0.1304,6.174,0.2609,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,2,124180,5078,587,80640,1166,11269,0,5328,349,467,135,25,26,9577,1198,815,444,8.6,1.0,48.3,0.7,6.7,0.0,3.2,0.2,0.3,0.1,0.0,0.1,5.7,0.7,0.5,0.3
24,Maryland,MD,24019,Dorchester County,24019,"Dorchester County, Maryland",540.764325250296,32557,0,16400,60,13216,446,8220,804,870,231,4161,423,2855,394,1690,378,7145,71,6852,45,5486,454,1284,217,509,191,12584,137,783,177,1164,278,84,53,1319,225,539,10,25.6,2.5,5.5,1.4,31.5,3.0,12.2,1.7,5.2,1.2,21.9,0.2,21.0,0.1,17.0,1.4,9.8,1.6,1.7,0.6,38.7,0.4,4.8,1.1,7.1,1.7,0.7,0.4,10.0,1.7,1.7,0.0,0.8261,0.7391,0.913,0.8261,0.6087,3.913,0.8261,0.8261,0.3043,0.913,0.9565,0.6522,3.6521,0.9565,0.6522,0.6522,0.6522,0.2174,0.8696,0.0435,0.9565,0.4348,2.5218,0.4783,10.7391,0.7826,0,0,1,0,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,1,4,29476,1867,225,8327,337,1992,0,438,27,4,6,0,28,1658,375,165,114,14.1,1.5,25.6,1.0,6.1,0.0,1.3,0.1,0.0,0.1,0.0,0.1,5.1,1.2,0.5,0.3
24,Maryland,MD,24021,Frederick County,24021,"Frederick County, Maryland",660.605502246098,273829,0,104217,115,99891,485,25927,1843,5597,640,19014,1108,12571,913,12250,1171,40796,60,63171,10,26750,1379,5407,615,4430,651,83504,375,11268,853,777,194,1265,306,3861,471,4509,62,9.6,0.7,3.7,0.4,19.0,1.1,6.7,0.5,4.5,0.4,14.9,0.1,23.1,0.1,9.9,0.5,5.4,0.6,1.7,0.3,30.5,0.1,10.8,0.8,0.7,0.2,1.3,0.3,3.9,0.5,1.6,0.0,0.1304,0.2174,0.1739,0.3043,0.4783,1.3043,0.1739,0.2174,0.7826,0.1304,0.2609,0.6522,2.0435,0.2174,0.5652,0.5652,0.5652,0.6522,0.1304,0.3043,0.1739,0.3913,1.6521,0.1739,5.5651,0.1739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255859,8037,671,26801,904,30072,0,13508,457,376,135,81,56,11933,1090,733,344,8.0,0.7,9.8,0.3,11.0,0.0,4.9,0.2,0.1,0.1,0.0,0.1,4.4,0.4,0.3,0.1
