ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
25,Massachusetts,MA,25001,Barnstable County,25001,"Barnstable County, Massachusetts",394.19994118516,229436,0,165068,75,99969,1360,27127,2000,5325,643,25835,1190,7387,766,6890,923,72541,73,33372,0,31304,1187,3754,474,3332,693,31037,1558,6904,629,1071,305,1316,377,4968,577,2832,41,12.0,0.9,4.5,0.5,25.8,1.1,4.1,0.4,3.0,0.4,31.6,0.1,14.5,0.0,13.8,0.5,3.7,0.5,1.5,0.3,13.5,0.7,4.2,0.4,0.6,0.2,1.3,0.4,5.0,0.6,1.2,0.0,0.3077,0.0769,0.3077,0.0769,0.6923,1.4615,0.1538,1.0,0.0,0.6923,0.1538,0.3077,2.1538,0.3077,0.0769,0.0769,0.0769,0.1538,0.4615,0.2308,0.1538,0.0,0.9999,0.0769,4.6921,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,226727,6992,650,6384,612,8047,0,3406,251,912,217,20,22,9245,1257,3023,1063,7.0,0.6,2.8,0.3,3.5,0.0,1.5,0.1,0.4,0.1,0.0,0.1,4.0,0.5,1.3,0.5
25,Massachusetts,MA,25003,Berkshire County,25003,"Berkshire County, Massachusetts",926.873429140994,128763,0,69762,76,56078,771,22702,1468,3595,537,16390,997,6314,805,2712,451,30991,54,21134,0,18905,1115,3250,387,828,259,17508,352,5202,547,1182,261,430,148,5275,564,6129,82,18.4,1.2,5.3,0.8,29.2,1.7,6.6,0.8,2.1,0.4,24.1,0.1,16.4,0.0,14.9,0.9,5.8,0.7,0.7,0.2,13.6,0.3,7.4,0.8,1.7,0.4,0.8,0.3,9.4,1.0,4.8,0.1,0.7692,0.3077,0.7692,0.4615,0.1538,2.4614,0.4615,0.8462,0.1538,0.8462,0.6154,0.0,2.4616,0.4615,0.1538,0.1538,0.1538,0.3077,0.8462,0.0769,0.6154,0.8462,2.6924,0.5385,7.7692,0.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131548,6744,611,3507,402,6829,0,2204,204,129,58,27,32,4386,572,426,148,12.0,1.0,2.7,0.3,5.3,0.0,1.7,0.2,0.1,0.1,0.0,0.1,3.4,0.4,0.3,0.1
25,Massachusetts,MA,25005,Bristol County,25005,"Bristol County, Massachusetts",553.11025021512,576699,0,243297,110,229861,957,101742,3669,17632,1057,64449,2000,56656,2031,16669,1375,99426,75,118520,57,81634,2136,16381,1186,23005,1529,126013,1789,23410,1288,3412,489,4186,523,22005,1070,13946,93,18.1,0.7,5.7,0.3,28.0,0.9,13.9,0.5,2.9,0.2,17.2,0.1,20.6,0.1,14.3,0.4,7.1,0.5,4.2,0.3,21.9,0.3,9.6,0.5,1.4,0.2,1.8,0.2,9.6,0.5,2.4,0.0,0.6923,0.6923,0.6154,1.0,0.5385,3.5385,0.8462,0.3077,0.5385,0.7692,0.9231,0.6154,3.1539,0.8462,0.3846,0.3846,0.3846,0.5385,0.6923,0.4615,0.6923,0.5385,2.9231,0.6154,10.0001,0.7692,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,532852,29811,1383,21656,1219,52151,0,13247,657,513,191,155,131,28283,2012,10008,1298,13.0,0.6,3.8,0.2,9.0,0.0,2.3,0.1,0.1,0.1,0.0,0.1,4.9,0.3,1.7,0.2
25,Massachusetts,MA,25007,Dukes County,25007,"Dukes County, Massachusetts",103.202359183286,20543,0,17621,39,6899,583,2592,755,794,253,1824,410,914,406,1323,559,5153,117,3667,182,2038,473,250,143,990,530,3885,680,154,124,11,16,39,60,269,180,260,39,12.8,3.7,7.0,2.3,26.4,5.5,5.8,2.6,6.5,2.7,25.1,0.6,17.9,0.9,10.0,2.3,3.6,2.1,5.0,2.7,18.9,3.3,0.9,0.7,0.1,0.1,0.6,0.9,3.9,2.6,1.3,0.2,0.3846,1.0,0.3846,0.2308,1.0,3.0,0.6923,0.9231,0.3846,0.1538,0.0769,0.7692,2.3076,0.3846,0.3077,0.3077,0.3077,0.0,0.0,0.0,0.0,0.0769,0.0769,0.0,5.6922,0.2308,0,1,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,20853,740,254,595,335,748,0,305,79,135,107,0,25,1551,631,551,373,10.7,3.6,2.9,1.6,3.6,0.0,1.5,0.4,0.7,0.5,0.0,0.2,7.6,3.1,2.7,1.8
25,Massachusetts,MA,25009,Essex County,25009,"Essex County, Massachusetts",492.51378456774,806103,0,326936,154,310059,1270,127424,4742,23604,1482,89228,2517,56605,2027,23500,1791,141798,56,169088,88,95670,2940,21013,1081,52840,2255,267056,1517,49155,1604,1612,278,8529,968,30809,1337,16821,133,16.1,0.6,5.3,0.3,28.8,0.8,10.1,0.4,2.9,0.2,17.6,0.1,21.0,0.1,12.0,0.4,6.8,0.3,6.9,0.3,33.1,0.2,15.0,0.5,0.5,0.1,2.7,0.3,9.9,0.4,2.1,0.0,0.5385,0.3077,0.6923,0.7692,0.5385,2.8462,0.6154,0.5385,0.7692,0.4615,0.7692,0.9231,3.4615,0.9231,0.8462,0.8462,0.8462,0.7692,0.3077,0.9231,0.7692,0.2308,3.0,0.7692,10.1539,0.8462,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,737290,29927,1230,27648,1261,183006,0,27727,705,385,145,183,148,23005,1721,5102,953,9.7,0.4,3.4,0.2,22.7,0.0,3.4,0.1,0.0,0.1,0.0,0.1,2.9,0.2,0.6,0.1
25,Massachusetts,MA,25011,Franklin County,25011,"Franklin County, Massachusetts",699.207522289126,70980,0,34395,96,31234,361,13835,1118,2173,254,9730,651,3415,376,1541,247,16446,73,11981,0,11841,557,1646,229,731,210,7855,212,2103,303,746,128,460,139,2290,306,1539,34,19.8,1.6,5.7,0.7,31.2,2.1,6.3,0.7,2.2,0.4,23.2,0.1,16.9,0.0,16.8,0.8,5.3,0.7,1.1,0.3,11.1,0.3,6.1,0.9,2.2,0.4,1.5,0.4,7.3,1.0,2.2,0.0,0.8462,0.6923,0.8462,0.3846,0.2308,3.0001,0.7692,0.7692,0.3077,1.0,0.4615,0.1538,2.6922,0.6923,0.0,0.0,0.0,0.2308,0.9231,0.3077,0.3077,0.3846,2.1539,0.3077,7.8462,0.6154,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,2,60074,3613,343,816,177,3263,0,1297,162,42,30,8,15,2115,276,314,157,11.6,1.1,1.1,0.2,4.6,0.0,1.8,0.2,0.1,0.1,0.0,0.1,3.0,0.4,0.4,0.2
25,Massachusetts,MA,25013,Hampden County,25013,"Hampden County, Massachusetts",617.004543160874,464575,0,196957,134,183380,1017,108377,4010,14112,1108,59259,2098,42480,1767,14238,1277,80725,15,98465,112,74937,2362,15959,1039,24497,1534,184007,458,22671,1112,2862,333,3303,548,22462,1141,13312,109,24.0,0.9,6.2,0.5,32.3,1.1,13.3,0.6,3.1,0.3,17.4,0.1,21.2,0.1,16.3,0.5,8.7,0.6,5.6,0.3,39.6,0.1,11.5,0.6,1.5,0.2,1.8,0.3,12.2,0.6,2.9,0.0,0.9231,0.8462,1.0,0.9231,0.7692,4.4616,0.9231,0.4615,0.9231,0.9231,1.0,0.8462,4.1539,1.0,0.9231,0.9231,0.9231,0.6923,0.7692,0.4615,0.9231,0.6154,3.4615,0.9231,13.0001,1.0,1,0,1,1,0,3,0,1,1,1,0,3,1,1,0,0,0,1,0,1,8,474117,26187,1232,35003,892,124544,0,11595,436,387,219,15,29,11340,1062,1123,420,14.3,0.7,7.5,0.2,26.8,0.0,2.5,0.1,0.1,0.1,0.0,0.1,2.4,0.2,0.2,0.1
25,Massachusetts,MA,25015,Hampshire County,25015,"Hampshire County, Massachusetts",527.235359819148,153931,0,66174,138,61414,666,21785,1422,4326,529,16753,1057,4750,594,3084,501,29465,41,23316,30,17933,981,2885,431,1664,334,26542,319,6232,630,839,197,620,180,4518,679,20985,173,16.4,1.1,5.3,0.6,27.3,1.7,4.8,0.6,2.0,0.3,19.1,0.1,15.1,0.1,11.7,0.6,4.6,0.7,1.1,0.2,17.2,0.2,9.4,1.0,1.3,0.3,1.0,0.3,7.4,1.1,13.6,0.1,0.6154,0.3077,0.5385,0.1538,0.0769,1.6923,0.3077,0.6923,0.0769,0.3846,0.3846,0.1538,1.6922,0.2308,0.2308,0.2308,0.2308,0.4615,0.6154,0.1538,0.3846,1.0,2.6153,0.3846,6.2306,0.3077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,161458,5819,552,3059,296,9540,0,7515,340,113,49,124,54,5773,521,418,256,9.5,0.9,2.0,0.2,6.2,0.0,4.9,0.2,0.1,0.1,0.1,0.1,3.8,0.3,0.3,0.2
25,Massachusetts,MA,25017,Middlesex County,25017,"Middlesex County, Massachusetts",817.86604993993,1623109,0,658555,263,629775,1705,182865,5327,41347,1921,139686,3123,75304,2724,40529,2776,255404,45,317065,52,155542,3907,26926,1375,66968,2952,513947,2797,132731,2697,2312,343,12960,1014,66004,1859,53397,318,11.6,0.3,4.4,0.2,22.2,0.5,6.6,0.2,2.5,0.2,15.7,0.1,19.5,0.1,9.7,0.2,4.3,0.2,4.3,0.2,31.7,0.2,20.2,0.4,0.4,0.1,2.0,0.2,10.5,0.3,3.3,0.0,0.2308,0.0,0.0,0.4615,0.3846,1.0769,0.0769,0.0769,0.4615,0.0769,0.2308,0.6923,1.5384,0.0769,0.7692,0.7692,0.7692,0.9231,0.1538,0.6923,0.8462,0.7692,3.3846,0.8462,6.7691,0.4615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1736411,40929,1768,78817,1693,136457,0,210187,1613,1107,276,626,128,68293,3337,18460,1682,6.5,0.3,4.9,0.1,8.4,0.0,12.9,0.1,0.1,0.1,0.0,0.1,4.2,0.2,1.1,0.1
25,Massachusetts,MA,25019,Nantucket County,25019,"Nantucket County, Massachusetts",46.192208140538,14065,0,12287,20,4659,366,1474,604,442,236,1071,260,271,186,658,270,2240,170,3211,453,1444,421,142,99,121,155,4111,101,182,117,58,42,95,86,188,109,282,18,10.6,4.3,5.5,2.9,23.0,5.3,2.7,1.8,4.7,1.9,15.9,1.2,22.8,3.2,10.3,3.0,3.0,2.1,0.9,1.2,29.2,0.7,1.5,1.0,0.5,0.3,2.1,1.8,4.0,2.3,2.0,0.1,0.0769,0.5385,0.1538,0.0,0.9231,1.6923,0.3077,0.1538,1.0,0.2308,0.0,0.0769,1.4615,0.0,0.6923,0.6923,0.6923,0.0769,0.3077,0.8462,0.0769,0.1538,1.4615,0.1538,5.3076,0.0769,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,15426,337,146,1318,241,2120,0,259,25,0,21,0,21,294,238,120,99,7.2,3.0,9.4,1.7,15.1,0.0,1.8,0.2,0.0,0.3,0.0,0.3,2.1,1.7,0.9,0.7
