ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
26,Michigan,MI,26001,Alcona County,26001,"Alcona County, Michigan",674.65503626248,10238,0,10320,52,4832,160,2417,230,239,61,1035,103,741,81,434,79,3693,17,1317,25,2339,159,90,28,5,64,635,62,54,23,985,119,44,21,168,46,116,16,23.9,2.3,6.3,1.6,21.4,2.0,8.8,1.0,4.3,0.8,36.1,0.2,12.9,0.2,23.0,1.6,1.8,0.6,0.1,0.6,6.2,0.6,0.5,0.2,9.5,1.2,0.9,0.4,3.5,0.9,1.1,0.2,0.561,0.622,0.3902,0.5976,0.1341,2.3049,0.4146,0.9878,0.0122,0.9268,0.0122,0.0488,1.9878,0.1951,0.1098,0.1098,0.1098,0.0244,0.7317,0.1341,0.0732,0.1829,1.1463,0.0366,5.5488,0.1098,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,2,7673,966,107,44,25,189,0,32,17,31,17,2,5,311,72,26,18,20.0,2.1,0.4,0.2,1.8,0.0,0.3,0.2,0.3,0.2,0.0,0.1,3.0,0.7,0.3,0.2
26,Michigan,MI,26003,Alger County,26003,"Alger County, Michigan",915.03382096438,8866,0,6208,32,3274,162,1478,224,156,56,716,130,411,104,278,102,2218,34,1599,83,1436,147,96,42,0,60,1600,32,206,65,434,84,56,37,193,74,1050,27,18.9,2.9,5.1,1.9,21.9,3.8,6.3,1.6,3.5,1.3,25.0,0.4,18.0,0.9,18.3,1.9,2.9,1.3,0.0,0.7,18.0,0.4,3.3,1.0,7.0,1.3,1.7,1.1,5.9,2.2,11.8,0.3,0.2561,0.4024,0.5488,0.2317,0.0366,1.4756,0.1707,0.6829,0.2805,0.6951,0.0854,0.0,1.7439,0.1098,0.7561,0.7561,0.7561,0.439,0.4512,0.622,0.4634,0.9634,2.939,0.7683,6.9146,0.2927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8142,532,95,691,69,175,0,70,66,283,117,0,15,375,119,6,8,16.2,2.8,7.8,0.8,2.0,0.0,0.8,0.7,3.2,1.3,0.0,0.3,4.2,1.3,0.1,0.1
26,Michigan,MI,26005,Allegan County,26005,"Allegan County, Michigan",825.25275070038,120189,0,51880,87,44621,588,20873,1611,1991,351,8268,605,6856,774,6110,924,20871,113,28389,0,12629,678,2786,497,899,270,16597,757,1348,327,5670,435,1048,254,1365,242,1273,26,17.6,1.4,3.4,0.6,18.5,1.3,8.3,0.9,5.1,0.8,17.4,0.1,23.6,0.0,10.6,0.6,6.2,1.1,0.8,100.0,13.8,0.6,2.6,0.6,10.9,0.8,2.4,0.6,3.1,0.5,1.1,0.0,0.1951,0.0122,0.0366,0.5122,0.3415,1.0976,0.0976,0.0976,0.9634,0.0244,0.8415,0.8293,2.7562,0.7073,0.6341,0.6341,0.6341,0.3415,0.7927,0.9268,0.0488,0.1829,2.2927,0.4268,6.7806,0.2805,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,2,103326,5013,424,1520,280,9301,0,872,115,287,101,21,25,4133,847,463,498,11.2,0.9,1.3,0.2,7.7,0.0,0.7,0.1,0.2,0.1,0.0,0.1,3.4,0.7,0.4,0.4
26,Michigan,MI,26007,Alpena County,26007,"Alpena County, Michigan",571.896276230728,28911,0,15685,49,12721,266,7951,722,966,216,2685,286,1552,194,1563,279,6935,56,5373,26,5685,394,714,147,34,70,1663,188,667,153,980,146,115,60,1145,187,526,57,28.0,2.5,7.4,1.6,21.1,2.2,7.2,0.9,5.5,1.0,24.0,0.2,18.6,0.1,19.9,1.4,5.6,1.1,0.1,0.3,5.8,0.7,4.3,1.0,6.2,0.9,0.9,0.5,9.0,1.4,1.8,0.2,0.878,0.8537,0.3415,0.3049,0.4512,2.8293,0.5976,0.6341,0.3537,0.8293,0.7927,0.0488,2.6586,0.6463,0.061,0.061,0.061,0.5732,0.3415,0.1341,0.939,0.561,2.5488,0.5488,8.0977,0.5122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,28608,2222,262,222,49,442,0,134,53,30,33,0,20,738,181,97,111,17.5,2.1,0.8,0.2,1.5,0.0,0.5,0.2,0.1,0.1,0.0,0.1,2.6,0.6,0.3,0.4
26,Michigan,MI,26009,Antrim County,26009,"Antrim County, Michigan",475.67869682285,23662,0,17596,44,10741,240,3935,416,512,95,2107,207,1035,152,1326,201,6606,45,4081,52,3642,219,439,119,10,73,1587,100,332,88,1271,185,188,63,387,84,227,6,16.8,1.8,4.6,0.8,19.6,1.9,5.7,0.8,5.6,0.9,27.9,0.2,17.2,0.2,15.5,0.9,4.1,1.1,0.0,0.3,6.7,0.4,1.9,0.5,7.2,1.1,1.8,0.6,3.6,0.8,1.0,0.0,0.1341,0.1829,0.1829,0.1829,0.4878,1.1706,0.122,0.8537,0.1707,0.3902,0.2683,0.0,1.6829,0.0732,0.1829,0.1829,0.1829,0.2195,0.4634,0.6951,0.0854,0.122,1.5854,0.0854,4.6218,0.0488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19564,1469,175,148,42,583,0,85,18,107,55,0,20,558,94,106,94,13.7,1.6,0.6,0.2,2.5,0.0,0.4,0.1,0.5,0.2,0.0,0.1,2.4,0.4,0.4,0.4
26,Michigan,MI,26011,Arenac County,26011,"Arenac County, Michigan",363.17822078132,15031,0,9554,67,6355,148,3497,305,480,91,1216,108,1203,116,847,117,3842,32,2757,16,2913,180,277,61,65,75,985,25,269,60,1310,146,43,17,464,98,182,12,23.5,2.0,7.2,1.4,19.1,1.6,10.6,1.0,5.7,0.8,25.6,0.2,18.3,0.1,19.5,1.2,4.4,1.0,0.5,0.5,6.6,0.2,2.8,0.6,13.7,1.5,0.7,0.3,7.3,1.5,1.2,0.1,0.5122,0.8171,0.0854,0.8171,0.5,2.7318,0.5488,0.7195,0.3171,0.7927,0.3293,0.6098,2.7684,0.7317,0.1707,0.1707,0.1707,0.3659,0.8659,0.0732,0.7317,0.2561,2.2928,0.439,7.9637,0.4878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14130,1029,106,84,31,338,0,19,23,97,42,0,17,426,57,21,14,16.2,1.7,0.6,0.2,2.2,0.0,0.1,0.2,0.6,0.3,0.0,0.2,2.8,0.4,0.1,0.1
26,Michigan,MI,26013,Baraga County,26013,"Baraga County, Michigan",898.426565445956,8245,0,5079,41,3241,135,1775,225,155,48,626,98,544,116,336,83,1892,30,1405,47,1421,122,125,39,17,56,2299,19,168,49,399,73,34,25,255,65,1049,36,24.6,3.1,4.9,1.5,19.3,2.9,8.7,1.8,4.7,1.1,22.9,0.4,17.0,0.6,19.7,1.7,3.9,1.2,0.2,0.7,27.9,0.2,3.3,1.0,7.9,1.4,1.0,0.8,7.9,2.0,12.7,0.4,0.6098,0.3293,0.1341,0.561,0.1829,1.8171,0.2805,0.5976,0.1463,0.8171,0.2195,0.1829,1.9634,0.1707,0.8902,0.8902,0.8902,0.439,0.5854,0.2073,0.8415,0.9756,3.0488,0.8293,7.7195,0.4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8175,618,97,639,119,151,0,45,18,916,86,11,20,525,154,12,14,19.1,2.7,7.8,1.4,1.8,0.0,0.5,0.2,11.1,1.0,0.1,0.2,6.4,1.9,0.1,0.2
26,Michigan,MI,26015,Barry County,26015,"Barry County, Michigan",553.103959841336,62581,0,27466,73,24286,389,9137,959,1605,316,4713,484,3036,396,3034,462,11767,93,13693,0,8477,649,1119,224,158,113,4646,188,562,160,2095,340,412,160,823,223,558,20,14.8,1.5,5.3,1.0,19.4,2.0,6.9,0.9,4.9,0.7,18.8,0.1,21.9,0.0,13.6,1.0,4.7,0.9,0.3,0.2,7.4,0.3,2.1,0.6,7.6,1.2,1.7,0.7,3.4,0.9,0.9,0.0,0.061,0.4268,0.1707,0.2927,0.2439,1.1951,0.1463,0.2561,0.8171,0.1707,0.4878,0.3171,2.0488,0.2195,0.2561,0.2561,0.2561,0.2439,0.5366,0.622,0.061,0.0488,1.5123,0.0732,5.0123,0.0732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45881,3892,513,363,118,2202,0,362,79,133,77,23,33,1421,220,142,136,16.0,2.0,0.6,0.2,3.5,0.0,0.6,0.1,0.2,0.1,0.0,0.1,2.3,0.4,0.2,0.2
26,Michigan,MI,26017,Bay County,26017,"Bay County, Michigan",442.409161617778,103752,0,48598,78,44999,432,22864,1398,2453,378,10192,716,6785,802,5313,806,21607,116,20572,93,16308,838,2993,395,141,112,11488,204,3270,416,2396,331,385,130,3090,409,1215,18,22.2,1.4,4.8,0.8,22.6,1.6,9.0,1.1,5.2,0.8,20.8,0.1,19.8,0.1,15.8,0.8,6.6,0.9,0.1,0.1,11.1,0.2,6.7,0.9,4.9,0.7,0.9,0.3,6.9,0.9,1.2,0.0,0.4268,0.2683,0.6098,0.6341,0.4146,2.3536,0.4634,0.5,0.5122,0.439,0.8902,0.0488,2.3902,0.5,0.561,0.561,0.561,0.7683,0.1829,0.1341,0.6341,0.2561,1.9755,0.2195,7.2803,0.3902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94938,5483,533,1288,185,5963,0,529,155,134,60,55,47,3318,269,201,147,12.2,1.2,1.2,0.2,5.7,0.0,0.5,0.1,0.1,0.1,0.1,0.1,3.2,0.3,0.2,0.1
26,Michigan,MI,26019,Benzie County,26019,"Benzie County, Michigan",319.695789604668,18058,0,12173,42,7173,199,3185,342,376,84,1560,158,904,155,1195,250,4867,50,3116,77,2796,286,198,71,3,65,1378,117,201,54,762,125,112,47,209,44,323,40,17.9,1.9,4.5,1.0,21.7,2.1,6.6,1.1,6.7,1.4,27.0,0.3,17.3,0.4,15.6,1.6,2.8,1.0,0.0,0.4,7.6,0.6,1.6,0.4,6.3,1.0,1.6,0.7,2.9,0.6,1.8,0.2,0.2073,0.1463,0.4512,0.2805,0.6951,1.7804,0.2439,0.8049,0.1951,0.4024,0.061,0.0,1.4634,0.0122,0.3049,0.3049,0.3049,0.1707,0.3537,0.561,0.0244,0.561,1.6708,0.1098,5.2195,0.0976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12989,669,91,130,52,446,0,57,31,190,44,0,17,384,91,171,112,9.3,1.2,0.7,0.3,2.5,0.0,0.3,0.2,1.1,0.2,0.0,0.2,2.1,0.5,0.9,0.6
