ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
29,Missouri,MO,29001,Adair County,29001,"Adair County, Missouri",567.323629704018,25299,0,11354,33,8864,311,7593,698,590,249,2084,281,1110,175,2021,501,3760,34,4599,93,2881,367,304,107,309,154,2932,39,350,142,830,146,128,74,622,154,2390,60,32.9,3.0,5.5,2.2,23.5,3.1,8.0,1.3,8.1,2.0,14.9,0.1,18.2,0.4,11.5,1.5,3.4,1.2,1.3,0.6,11.6,0.2,3.1,1.3,7.3,1.3,1.4,0.8,7.0,1.7,9.4,0.2,0.8333,0.8246,0.7368,0.1754,0.1579,2.728,0.5877,0.0526,0.0526,0.0088,0.114,0.9035,1.1315,0.0088,0.693,0.693,0.693,0.7018,0.2544,0.2719,0.7544,0.9474,2.9299,0.7544,7.4824,0.4737,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,27847,1677,237,1043,75,702,0,472,122,89,37,13,19,606,149,7,9,18.9,2.6,4.1,0.3,2.8,0.0,1.9,0.5,0.4,0.1,0.1,0.1,2.4,0.6,0.0,0.1
29,Missouri,MO,29003,Andrew County,29003,"Andrew County, Missouri",432.631321132676,18069,0,7532,31,6865,173,2618,440,371,100,1253,252,700,184,1122,199,3598,71,4142,89,2150,245,263,91,2,73,1270,86,169,113,466,96,22,15,239,117,183,44,14.7,2.5,4.1,1.1,18.3,3.6,5.5,1.5,6.3,1.1,19.9,0.4,22.9,0.5,12.1,1.4,3.8,1.3,0.0,0.4,7.0,0.5,2.2,1.5,6.2,1.3,0.3,0.2,3.5,1.7,1.0,0.2,0.0439,0.4561,0.2105,0.0263,0.0351,0.7719,0.0351,0.5526,0.5614,0.0439,0.1667,0.0,1.3246,0.0351,0.307,0.307,0.307,0.5526,0.1754,0.0175,0.1228,0.114,0.9823,0.0,3.3858,0.0088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10026,1382,218,140,85,485,0,125,22,5,7,0,19,513,136,2,3,20.1,3.1,0.8,0.5,2.7,0.0,0.7,0.1,0.0,0.1,0.0,0.2,2.8,0.8,0.0,0.1
29,Missouri,MO,29005,Atchison County,29005,"Atchison County, Missouri",547.285155982158,5270,0,2746,27,2351,79,1321,188,68,32,397,62,360,71,602,89,1335,15,1092,24,899,92,126,42,9,61,296,60,39,20,68,27,44,31,103,32,99,10,25.5,3.6,2.6,1.2,16.9,2.6,9.3,1.8,11.6,1.7,25.3,0.3,20.7,0.5,17.3,1.8,5.4,1.8,0.2,1.2,5.6,1.1,1.4,0.7,2.5,1.0,1.9,1.3,4.4,1.4,1.9,0.2,0.4474,0.1404,0.1053,0.2895,0.5175,1.5001,0.2193,0.9211,0.1491,0.5614,0.5965,0.3509,2.579,0.6053,0.0877,0.0877,0.0877,0.3596,0.0614,0.5439,0.2368,0.4386,1.6403,0.1404,5.8071,0.1579,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4250,451,72,16,16,85,0,11,20,16,11,6,8,160,70,2,3,19.2,3.1,0.3,0.3,1.6,0.0,0.2,0.4,0.3,0.2,0.1,0.2,3.0,1.3,0.0,0.1
29,Missouri,MO,29007,Audrain County,29007,"Audrain County, Missouri",692.249287026218,24873,0,10563,46,8968,240,7016,805,449,170,1687,268,2289,395,3536,632,4469,75,5615,49,4581,486,627,157,168,145,3241,65,251,129,687,194,198,78,601,130,1403,59,29.8,3.4,3.9,1.5,18.8,2.9,13.2,2.3,15.0,2.7,18.0,0.3,22.6,0.2,19.4,2.1,7.0,1.7,0.7,0.6,13.0,0.3,2.4,1.2,6.5,1.8,2.2,0.9,6.7,1.4,5.6,0.2,0.7456,0.3684,0.2544,0.6754,0.8246,2.8684,0.6053,0.2895,0.4825,0.6754,0.8333,0.7632,3.0439,0.886,0.7456,0.7456,0.7456,0.5965,0.2193,0.6579,0.7193,0.8333,3.0263,0.7895,9.6842,0.8509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23235,1659,218,1190,136,856,0,124,57,40,27,32,31,947,136,52,65,18.5,2.2,4.8,0.5,3.4,0.0,0.5,0.2,0.2,0.1,0.1,0.1,3.8,0.5,0.2,0.3
29,Missouri,MO,29009,Barry County,29009,"Barry County, Missouri",778.12165987085,34701,0,17030,44,13415,377,9941,1059,554,187,2799,382,3534,418,4505,651,7613,90,7783,59,5547,547,599,191,533,172,6555,443,133,93,2599,443,643,193,475,149,267,10,29.0,3.1,3.6,1.2,20.9,2.8,14.5,1.7,13.1,1.9,21.9,0.3,22.4,0.2,16.1,1.6,4.5,1.4,1.6,0.5,18.9,1.3,0.8,0.5,15.3,2.6,4.8,1.4,3.5,1.1,0.8,0.0,0.6842,0.307,0.4825,0.807,0.7018,2.9825,0.6316,0.7368,0.4386,0.4035,0.3772,0.9561,2.9122,0.8158,0.8596,0.8596,0.8596,0.1842,0.7807,0.9737,0.1228,0.0439,2.1053,0.3158,8.8596,0.6842,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,2,32486,2529,315,107,93,3419,0,507,114,111,52,14,23,2393,453,4,5,18.9,2.4,0.3,0.3,9.9,0.0,1.5,0.3,0.3,0.2,0.0,0.1,6.9,1.3,0.0,0.1
29,Missouri,MO,29011,Barton County,29011,"Barton County, Missouri",592.029898612856,11683,0,5311,26,4477,157,4245,600,302,108,1179,236,1069,195,1332,313,2406,44,2757,0,2466,273,265,132,23,75,1087,124,57,69,486,100,29,19,347,119,147,26,36.9,5.2,6.1,2.2,26.3,5.2,13.4,2.4,11.5,2.7,20.6,0.4,23.6,0.0,21.3,2.3,5.9,2.9,0.2,0.7,9.3,1.1,1.1,1.3,9.2,1.9,0.6,0.4,7.8,2.7,1.3,0.2,0.9474,0.9035,0.9035,0.6842,0.5088,3.9474,0.8947,0.6404,0.7105,0.7895,0.6667,0.3509,3.158,0.9211,0.614,0.614,0.614,0.2807,0.3684,0.0614,0.8421,0.2281,1.7807,0.1754,9.5001,0.8158,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9958,809,154,33,43,367,0,3,5,117,58,3,6,530,127,34,42,18.1,3.3,0.3,0.4,3.1,0.0,0.0,0.1,1.0,0.5,0.0,0.1,4.5,1.1,0.3,0.4
29,Missouri,MO,29013,Bates County,29013,"Bates County, Missouri",836.695944478676,16101,0,7225,34,5929,199,4540,534,569,137,1331,224,1272,212,1669,297,3054,26,3795,21,2801,294,393,116,0,76,1259,77,57,45,995,173,235,120,438,117,337,8,29.0,3.4,7.5,1.8,22.4,3.7,11.5,1.9,10.6,1.9,19.0,0.2,23.6,0.1,17.7,1.9,6.6,1.9,0.0,0.5,7.8,0.5,0.8,0.6,13.8,2.4,4.0,2.0,7.4,2.0,2.1,0.0,0.6842,0.9561,0.5877,0.5088,0.4123,3.1491,0.7281,0.4474,0.7105,0.6053,0.7632,0.0,2.5264,0.5702,0.5175,0.5175,0.5175,0.1842,0.7018,0.9649,0.807,0.5175,3.1754,0.8596,9.3684,0.7807,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,11250,1283,169,346,31,434,0,65,12,69,35,10,18,335,87,0,19,21.6,2.7,2.1,0.2,2.7,0.0,0.4,0.1,0.4,0.2,0.1,0.1,2.1,0.5,0.0,0.2
29,Missouri,MO,29015,Benton County,29015,"Benton County, Missouri",704.032962922704,19616,0,13591,39,8146,267,5314,634,371,130,1803,275,1875,294,2260,400,6027,58,3396,56,4565,411,307,116,33,80,1453,147,146,70,3211,334,150,81,502,127,274,12,27.4,3.3,5.0,1.7,22.1,3.3,12.4,1.9,11.7,2.1,30.7,0.3,17.3,0.3,23.5,2.1,3.8,1.4,0.2,0.4,7.4,0.7,1.1,0.5,23.6,2.4,1.8,1.0,6.2,1.5,1.4,0.1,0.5789,0.7105,0.5526,0.6053,0.5526,2.9999,0.6667,0.9825,0.0263,0.9123,0.1667,0.3509,2.4387,0.5439,0.4474,0.4474,0.4474,0.2807,0.9737,0.4561,0.614,0.2982,2.6227,0.5439,8.5087,0.5789,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,16400,1542,222,135,92,442,0,17,24,131,72,8,12,660,164,60,59,18.9,2.6,0.7,0.5,2.3,0.0,0.1,0.1,0.7,0.4,0.0,0.1,3.4,0.8,0.3,0.3
29,Missouri,MO,29017,Bollinger County,29017,"Bollinger County, Missouri",617.903963522752,10658,0,5079,33,3791,182,3120,625,239,96,736,209,1196,260,1091,217,2181,18,2276,46,2111,271,156,71,20,80,655,124,35,20,807,171,69,48,143,64,233,31,29.6,5.9,4.9,1.9,19.4,5.4,15.7,3.4,10.3,2.1,20.5,0.2,21.4,0.4,20.0,2.6,4.1,1.9,0.2,0.8,6.1,1.2,0.7,0.4,15.9,3.4,1.8,1.3,3.8,1.6,2.2,0.3,0.7368,0.6842,0.3246,0.8509,0.386,2.9825,0.6316,0.6316,0.2456,0.7456,0.2544,0.3509,2.2281,0.3158,0.1667,0.1667,0.1667,0.0965,0.7982,0.4561,0.1404,0.5789,2.0701,0.2982,7.4474,0.4649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5520,944,140,59,32,180,0,6,7,17,26,0,19,332,111,61,69,24.9,3.8,0.6,0.3,1.7,0.0,0.1,0.1,0.2,0.2,0.0,0.3,3.1,1.0,0.6,0.6
29,Missouri,MO,29019,Boone County,29019,"Boone County, Missouri",685.550446283868,184043,0,80187,112,74269,795,43971,2230,3933,634,20635,1239,5813,656,12121,1281,23766,97,36938,55,22494,1354,4142,511,1762,436,41701,591,9791,791,3182,399,1366,308,4554,626,9400,179,25.2,1.3,3.9,0.6,27.8,1.6,5.2,0.6,6.6,0.7,12.9,0.1,20.1,0.1,12.3,0.7,5.5,0.7,1.0,0.3,22.7,0.3,12.2,1.0,4.0,0.5,1.9,0.4,6.1,0.8,5.1,0.1,0.3772,0.3684,0.9123,0.0175,0.0526,1.728,0.2632,0.0175,0.0965,0.0614,0.6053,0.8246,1.6053,0.0965,0.9123,0.9123,0.9123,0.9386,0.0965,0.5439,0.5789,0.8158,2.9737,0.7719,7.2193,0.386,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3,209860,7906,741,16765,950,6712,0,8670,428,302,105,117,74,8258,1069,877,449,10.6,1.0,9.1,0.5,3.6,0.0,4.7,0.2,0.2,0.1,0.1,0.1,4.5,0.6,0.5,0.2
