ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
30,Montana,MT,30001,Beaverhead County,30001,"Beaverhead County, Montana",5542.684218902342,9469,0,4964,24,4107,139,2317,361,131,69,1019,197,372,127,608,170,2178,48,1628,63,1496,228,129,87,2,58,1033,11,138,85,823,190,56,47,36,47,545,29,25.7,4.0,2.8,1.4,24.8,4.7,5.7,1.9,6.5,1.8,23.0,0.5,17.2,0.7,16.1,2.5,3.2,2.1,0.0,0.6,10.9,0.1,2.8,1.7,16.6,3.8,1.4,1.1,0.9,1.1,5.8,0.3,0.6545,0.3636,0.7636,0.3636,0.2909,2.4362,0.4727,0.5273,0.1636,0.5273,0.4364,0.0,1.6546,0.1455,0.6364,0.6364,0.6364,0.4909,0.8,0.4,0.0727,0.9455,2.7091,0.6545,7.4363,0.4545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8834,547,130,98,93,525,0,17,16,190,97,1,4,196,59,6,10,13.3,3.1,1.0,1.0,5.5,0.0,0.2,0.2,2.0,1.0,0.0,0.1,2.1,0.6,0.1,0.1
30,Montana,MT,30003,Big Horn County,30003,"Big Horn County, Montana",4997.812495402112,13090,0,4531,26,3622,119,5389,578,836,166,701,164,795,167,2422,282,1703,13,4321,0,1373,193,218,74,4,66,9658,17,66,55,910,153,321,89,235,98,191,14,42.1,4.5,15.0,3.0,19.4,4.5,10.7,2.3,18.7,2.2,13.0,0.1,33.0,0.0,10.6,1.5,6.0,2.0,0.0,0.5,73.8,0.1,1.4,1.2,20.1,3.4,8.8,2.4,6.5,2.7,1.5,0.1,0.9636,1.0,0.3818,0.8727,0.9455,4.1636,0.9273,0.0364,0.9818,0.0545,0.8545,0.0,1.9272,0.2545,1.0,1.0,1.0,0.3636,0.8909,1.0,0.8182,0.2727,3.3454,0.8545,10.4362,0.8727,1,1,0,0,1,3,0,1,0,0,0,1,1,1,0,0,1,0,0,1,6,11962,839,128,0,17,820,0,28,37,8421,133,0,17,389,129,0,17,23.2,3.6,0.0,0.2,6.3,0.0,0.2,0.3,64.3,1.0,0.0,0.2,3.0,1.0,0.0,0.2
30,Montana,MT,30005,Blaine County,30005,"Blaine County, Montana",4227.515096035762,7030,0,2825,19,2271,92,2314,262,406,82,494,93,474,97,1206,206,1111,26,2089,0,1379,180,195,65,18,59,3999,19,90,35,260,63,115,42,210,55,152,33,33.5,3.8,13.2,2.6,21.8,4.0,10.9,2.2,17.4,3.0,15.8,0.4,29.7,0.0,19.9,2.6,8.6,2.8,0.3,0.9,56.9,0.3,3.2,1.2,9.2,2.2,5.1,1.8,9.2,2.4,2.2,0.5,0.9091,0.9818,0.5091,0.9091,0.9273,4.2364,0.9636,0.0909,0.9636,0.8909,0.9818,0.6364,3.5636,0.9636,0.9455,0.9455,0.9455,0.5455,0.2545,0.9455,0.9455,0.4909,3.1819,0.8,11.9274,0.9636,1,1,0,1,1,4,0,1,0,1,0,2,1,1,0,0,1,1,0,2,9,5837,465,79,56,55,253,0,3,4,3528,80,0,15,149,59,10,16,20.5,3.6,0.8,0.8,3.6,0.0,0.0,0.1,50.2,1.1,0.0,0.4,2.1,0.8,0.1,0.2
30,Montana,MT,30007,Broadwater County,30007,"Broadwater County, Montana",1192.35859600721,6977,0,3137,32,2872,128,1360,362,284,147,648,167,339,100,561,285,1692,60,1308,87,1019,186,53,48,0,60,757,168,17,22,325,110,17,21,56,37,59,5,19.7,5.2,8.2,4.0,22.6,5.7,6.7,2.0,8.1,4.1,24.3,0.9,18.7,1.2,14.7,2.7,1.8,1.7,0.0,0.9,10.8,2.4,0.5,0.7,10.4,3.5,0.5,0.7,1.9,1.3,0.8,0.1,0.3091,0.9273,0.5636,0.4909,0.5818,2.8727,0.6909,0.6182,0.3273,0.3455,0.1636,0.0,1.4546,0.0364,0.6182,0.6182,0.6182,0.2545,0.4,0.0909,0.1091,0.0909,0.9454,0.0,5.8909,0.1636,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5956,604,167,19,28,153,107,25,35,76,59,0,15,484,213,0,15,21.0,5.7,0.3,0.4,2.2,1.5,0.4,0.5,1.1,0.8,0.0,0.4,6.9,3.1,0.0,0.4
30,Montana,MT,30009,Carbon County,30009,"Carbon County, Montana",2047.78016393241,10645,0,6399,25,4650,178,1952,310,271,90,1186,186,343,80,753,166,2841,36,1860,0,1767,214,122,50,57,79,850,75,77,68,581,91,34,15,127,66,121,13,18.7,3.0,4.9,1.7,25.5,3.9,4.2,1.0,7.2,1.6,26.7,0.3,17.5,0.0,16.8,2.0,2.7,1.1,0.6,0.8,8.0,0.7,1.2,1.1,9.1,1.4,0.8,0.3,2.7,1.4,1.1,0.1,0.2364,0.7455,0.8364,0.2,0.4364,2.4547,0.5455,0.7455,0.2182,0.5818,0.2909,0.9091,2.7455,0.7455,0.2364,0.2364,0.2364,0.2909,0.2364,0.1636,0.2545,0.1636,1.109,0.0364,6.5456,0.2727,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,7176,763,134,50,36,306,0,48,60,68,40,12,15,265,57,101,71,16.4,2.7,0.5,0.3,2.9,0.0,0.5,0.6,0.6,0.4,0.1,0.1,2.5,0.5,0.9,0.7
30,Montana,MT,30011,Carter County,30011,"Carter County, Montana",3340.475834173092,1332,123,784,63,598,63,349,84,16,19,162,53,57,28,177,62,411,61,242,64,205,65,12,14,0,44,90,169,26,20,213,58,11,8,34,21,31,6,26.7,5.9,2.4,2.8,27.1,8.4,5.7,2.8,13.6,4.3,30.9,5.0,18.2,3.7,15.7,4.8,2.0,2.3,0.0,3.5,6.8,12.7,3.3,2.5,27.2,6.5,1.8,1.3,5.7,3.4,2.3,0.4,0.7273,0.2909,0.9273,0.3636,0.8364,3.1455,0.8,0.9455,0.2727,0.5091,0.2182,0.0,1.9455,0.2909,0.1091,0.1091,0.1091,0.5818,1.0,0.5636,0.7091,0.5455,3.4,0.8727,8.6001,0.6909,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,3,785,90,34,0,11,15,15,0,11,14,16,0,11,61,42,0,11,15.1,5.6,0.0,2.0,1.1,1.1,0.0,2.0,1.1,1.2,0.0,2.0,4.6,3.1,0.0,2.0
30,Montana,MT,30013,Cascade County,30013,"Cascade County, Montana",2698.203271878826,84423,0,39022,47,34577,456,18823,1168,1289,244,8768,641,3833,400,5518,536,16052,110,18833,0,12171,761,2268,416,78,105,13922,344,4163,440,3054,358,486,156,1980,307,2626,50,22.9,1.4,3.3,0.6,25.4,1.8,6.6,0.7,6.9,0.7,19.0,0.1,22.3,0.0,15.1,0.9,6.6,1.2,0.1,0.1,16.5,0.4,10.7,1.1,7.8,0.9,1.4,0.5,5.7,0.9,3.1,0.1,0.5455,0.4545,0.8182,0.4727,0.3636,2.6545,0.6364,0.2,0.6364,0.4182,0.8909,0.4364,2.5819,0.6545,0.8182,0.8182,0.8182,0.9818,0.1091,0.4,0.7091,0.7455,2.9455,0.7273,9.0001,0.7455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,85024,5195,493,1235,194,4261,0,760,153,2971,378,27,31,4452,510,216,140,15.0,1.4,1.5,0.2,5.0,0.0,0.9,0.2,3.5,0.4,0.0,0.1,5.3,0.6,0.3,0.2
30,Montana,MT,30015,Chouteau County,30015,"Chouteau County, Montana",3972.518003125342,5897,0,2847,31,2184,99,1497,235,136,84,352,71,313,83,336,102,1279,35,1366,45,723,111,91,35,0,60,1403,21,100,42,411,103,17,16,119,48,107,31,25.7,4.0,5.2,3.1,16.1,3.2,7.7,2.0,5.8,1.8,21.7,0.6,23.2,0.8,12.4,1.9,4.2,1.6,0.0,1.1,23.8,0.4,3.5,1.5,14.4,3.6,0.7,0.7,5.4,2.1,1.8,0.5,0.6545,0.8,0.1273,0.6727,0.1636,2.4181,0.4364,0.3636,0.7455,0.1818,0.6364,0.0,1.9273,0.2727,0.8727,0.8727,0.8727,0.6,0.6364,0.1273,0.6364,0.3455,2.3456,0.4727,7.5637,0.5091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4251,597,114,8,13,177,0,23,23,967,105,0,15,228,102,0,15,27.3,4.9,0.1,0.2,3.0,0.0,0.4,0.4,16.4,1.8,0.0,0.5,3.9,1.7,0.0,0.5
30,Montana,MT,30017,Custer County,30017,"Custer County, Montana",3783.306831144868,11957,0,5770,26,4996,153,2257,352,215,89,1064,166,478,108,872,191,2447,59,2353,12,2378,230,147,73,53,82,1262,103,453,150,559,114,139,51,218,97,454,17,19.6,3.1,3.3,1.3,21.3,3.3,5.6,1.3,7.4,1.6,20.5,0.5,19.7,0.1,20.3,2.0,3.0,1.5,0.5,0.7,10.6,0.9,7.8,2.6,9.7,2.0,2.8,1.0,4.4,1.9,3.8,0.1,0.2909,0.4545,0.4727,0.3455,0.4909,2.0545,0.3273,0.3091,0.4,0.9091,0.3273,0.8727,2.8182,0.8,0.6,0.6,0.6,0.8909,0.3091,0.8182,0.4727,0.8364,3.3273,0.8364,8.8,0.7273,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,11204,679,148,28,32,430,0,46,42,146,88,17,17,566,128,29,34,13.6,2.9,0.2,0.3,3.6,0.0,0.4,0.4,1.2,0.7,0.1,0.1,4.7,1.1,0.2,0.3
30,Montana,MT,30019,Daniels County,30019,"Daniels County, Montana",1426.269267958226,1535,166,1129,70,714,73,361,112,12,10,167,51,45,19,64,33,458,61,286,80,307,73,10,9,0,44,146,227,28,25,61,34,7,8,42,20,25,6,24.1,7.0,1.5,1.2,23.4,6.7,3.8,1.6,4.2,2.2,29.8,4.6,18.6,3.8,20.3,4.8,1.4,1.3,0.0,3.0,9.5,14.8,2.5,2.2,5.4,3.0,1.0,1.1,5.9,2.8,1.6,0.4,0.6,0.1636,0.6727,0.1636,0.0182,1.6181,0.1636,0.8909,0.3091,0.9091,0.1091,0.0,2.2182,0.4,0.4,0.4,0.4,0.4545,0.0182,0.2182,0.7818,0.3091,1.7818,0.1636,6.0181,0.1818,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1247,142,57,5,8,22,30,28,13,37,23,0,11,50,43,4,5,19.9,7.4,0.3,0.5,1.4,1.9,1.8,0.9,2.4,1.5,0.0,1.8,3.3,2.8,0.3,0.3
30,Montana,MT,30021,Dawson County,30021,"Dawson County, Montana",2371.924989508488,8915,0,4381,27,3770,199,1079,329,138,78,583,174,298,98,342,135,1824,42,1920,0,1429,229,166,108,0,60,756,43,199,117,381,105,3,3,194,102,434,19,12.7,3.9,3.0,1.7,15.5,4.5,4.8,1.6,4.0,1.6,20.5,0.5,21.5,0.0,16.6,2.7,4.4,2.9,0.0,0.7,8.5,0.5,4.6,2.7,8.7,2.4,0.1,0.1,5.1,2.7,4.9,0.2,0.0364,0.4,0.0727,0.2727,0.0,0.7818,0.0545,0.3091,0.5818,0.5636,0.7091,0.0,2.1636,0.3273,0.3091,0.3091,0.3091,0.7455,0.2,0.0364,0.5455,0.9273,2.4547,0.5273,5.7092,0.1273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,8058,483,140,68,73,244,109,1,3,144,101,0,15,286,114,13,21,12.8,3.7,0.8,0.8,2.7,1.2,0.0,0.1,1.6,1.1,0.0,0.3,3.2,1.3,0.1,0.2
