ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
31,Nebraska,NE,31001,Adams County,31001,"Adams County, Nebraska",563.273718180864,31143,0,13804,59,12717,265,6060,655,424,130,2871,323,1543,266,1825,345,5644,57,7578,69,4445,379,754,198,619,216,5049,87,803,178,630,142,271,134,640,135,1314,28,20.4,2.2,2.7,0.8,22.6,2.5,7.6,1.3,5.9,1.1,18.1,0.2,24.3,0.2,14.4,1.2,6.0,1.6,2.1,0.7,16.2,0.3,5.8,1.3,4.6,1.0,2.1,1.1,5.0,1.1,4.2,0.1,0.6304,0.6739,0.7826,0.5761,0.25,2.913,0.6522,0.163,0.7065,0.5543,0.8696,0.8261,3.1195,0.8913,0.7826,0.7826,0.7826,0.8152,0.4348,0.7065,0.7174,0.8913,3.5652,0.9457,10.3803,0.9022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32104,1693,216,205,112,3629,0,361,79,61,41,2,6,678,160,113,77,13.3,1.7,0.7,0.4,11.7,0.0,1.2,0.3,0.2,0.1,0.0,0.1,2.2,0.5,0.4,0.2
31,Nebraska,NE,31003,Antelope County,31003,"Antelope County, Nebraska",857.156610312782,6302,0,3142,26,2607,84,1107,180,69,30,379,68,273,66,400,100,1491,14,1530,8,900,106,61,29,71,65,368,22,72,29,131,35,42,22,99,30,58,20,17.9,2.9,2.1,0.9,14.5,2.6,6.4,1.6,6.4,1.6,23.7,0.2,24.3,0.1,14.4,1.7,2.3,1.1,1.2,1.1,5.8,0.3,2.3,0.9,4.2,1.1,1.6,0.8,3.8,1.1,0.9,0.3,0.3152,0.4674,0.1957,0.3804,0.3043,1.663,0.25,0.6196,0.7065,0.5543,0.1413,0.663,2.6847,0.6413,0.1522,0.1522,0.1522,0.4783,0.413,0.5543,0.5435,0.163,2.1521,0.4022,6.652,0.3043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4574,511,77,58,14,226,0,6,8,9,11,1,2,44,17,24,22,19.6,2.8,0.9,0.2,3.6,0.0,0.1,0.1,0.1,0.2,0.0,0.1,0.7,0.3,0.4,0.3
31,Nebraska,NE,31005,Arthur County,31005,"Arthur County, Nebraska",715.151463837998,485,93,234,32,178,29,101,50,1,1,33,18,11,9,32,16,114,35,154,45,80,25,2,10,0,40,34,130,0,14,24,14,5,12,6,6,0,10,20.8,9.5,0.4,0.7,18.5,9.7,3.5,2.7,6.6,3.4,23.5,6.5,31.8,5.8,16.5,6.0,1.1,5.6,0.0,8.8,7.0,26.8,0.0,6.0,10.3,5.5,2.8,6.7,3.4,3.5,0.0,2.1,0.7174,0.0543,0.5,0.0652,0.3587,1.6956,0.2609,0.6087,0.9891,0.7609,0.0761,0.0,2.4348,0.4022,0.3043,0.3043,0.3043,0.0,0.837,0.8587,0.4348,0.0,2.1305,0.3913,6.5652,0.2826,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,194,30,14,0,10,6,6,0,10,1,1,0,10,26,22,1,2,16.9,7.6,0.0,5.0,1.2,1.2,0.0,5.0,0.2,0.3,0.0,5.0,5.4,4.5,0.2,0.4
31,Nebraska,NE,31007,Banner County,31007,"Banner County, Nebraska",746.038472867936,670,94,359,42,249,40,87,44,12,14,16,11,45,24,24,15,203,41,139,38,99,36,4,11,8,38,55,127,0,14,17,10,1,10,6,6,0,10,13.1,6.4,3.3,3.8,6.4,4.3,8.8,4.3,3.6,2.2,30.3,5.3,20.7,4.5,14.8,5.2,1.6,4.4,1.3,6.2,8.2,18.9,0.0,3.9,4.7,2.9,0.4,4.0,2.4,2.4,0.0,1.5,0.0978,0.7935,0.0109,0.7391,0.0109,1.6522,0.2391,0.9565,0.1848,0.5978,0.0978,0.7283,2.5652,0.5652,0.4565,0.4565,0.4565,0.0,0.4565,0.163,0.1848,0.0,0.8043,0.0,5.4782,0.1304,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,320,58,26,0,10,34,21,6,9,0,10,0,10,15,9,0,10,23.3,9.1,0.0,3.7,5.1,2.9,0.9,1.3,0.0,3.7,0.0,3.7,2.2,1.3,0.0,3.7
31,Nebraska,NE,31009,Blaine County,31009,"Blaine County, Nebraska",710.70178539286,384,57,294,35,201,29,77,35,4,4,38,21,31,20,29,15,144,37,57,24,90,36,0,14,3,38,0,80,0,14,55,23,2,10,3,3,0,10,20.1,8.6,1.9,1.8,18.9,10.1,9.6,6.2,7.6,4.1,37.5,8.0,14.8,5.3,23.4,8.7,0.0,7.0,0.8,10.4,0.0,20.8,0.0,4.8,18.7,7.3,1.0,5.0,1.5,1.6,0.0,2.6,0.5978,0.3804,0.5326,0.7935,0.5217,2.826,0.6087,1.0,0.0109,1.0,0.0,0.5435,2.5544,0.5435,0.0,0.0,0.0,0.0,0.9674,0.3261,0.0652,0.0,1.3587,0.0761,6.7391,0.3261,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,299,31,16,0,10,0,10,0,10,0,10,0,10,0,10,0,10,15.4,7.8,0.0,6.3,0.0,6.3,0.0,6.3,0.0,6.3,0.0,6.3,0.0,6.3,0.0,6.3
31,Nebraska,NE,31011,Boone County,31011,"Boone County, Nebraska",686.542904100278,5397,0,2559,21,2240,87,895,181,28,17,344,67,227,70,238,75,1237,14,1277,0,743,90,51,25,9,56,244,6,59,31,28,17,5,7,81,34,100,8,16.9,3.4,1.0,0.6,15.4,2.9,6.1,1.9,4.5,1.4,22.9,0.3,23.7,0.0,14.0,1.7,2.3,1.1,0.2,1.1,4.5,0.1,2.3,1.2,1.1,0.6,0.2,0.3,3.6,1.5,1.9,0.1,0.2609,0.163,0.2391,0.2717,0.0761,1.0108,0.0326,0.5978,0.587,0.5,0.1413,0.2826,2.1087,0.2717,0.1087,0.1087,0.1087,0.4783,0.0652,0.087,0.5,0.5761,1.7066,0.163,4.9348,0.0543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4779,382,51,4,6,149,0,14,12,4,11,1,3,72,15,0,15,17.1,2.2,0.1,0.1,2.8,0.0,0.3,0.2,0.1,0.2,0.0,0.1,1.3,0.3,0.0,0.5
31,Nebraska,NE,31013,Box Butte County,31013,"Box Butte County, Nebraska",1075.146761662246,10778,0,5226,43,4573,211,2184,471,218,109,1018,252,603,175,931,332,2058,58,2724,0,1413,276,231,101,61,86,2149,7,422,200,257,88,118,72,246,111,197,44,20.6,4.4,4.0,2.0,22.3,5.4,8.1,2.4,8.8,3.1,19.1,0.5,25.3,0.0,13.3,2.6,5.1,2.2,0.6,0.8,19.9,0.1,8.1,3.8,4.9,1.7,2.6,1.6,5.4,2.4,1.8,0.4,0.663,0.8913,0.7717,0.6739,0.6739,3.6738,0.8913,0.2391,0.837,0.413,0.6413,0.5109,2.6413,0.6304,0.837,0.837,0.837,0.9022,0.5,0.8261,0.7935,0.5109,3.5327,0.9348,10.6848,0.9348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,9048,455,124,365,261,1429,0,76,82,217,215,0,16,62,63,0,16,9.9,2.7,3.4,2.4,13.3,0.0,0.7,0.8,2.0,2.0,0.0,0.2,0.6,0.6,0.0,0.2
31,Nebraska,NE,31015,Boyd County,31015,"Boyd County, Nebraska",539.42561193249,1767,116,1210,50,807,68,376,84,16,15,143,32,64,31,144,45,589,54,324,53,325,64,5,10,8,39,130,159,7,11,148,44,0,14,11,7,30,2,21.6,4.6,1.8,1.8,17.7,3.7,4.8,2.3,8.3,2.5,33.3,2.8,18.3,2.3,18.7,3.3,0.6,1.2,0.5,2.3,7.4,9.0,0.6,0.9,12.2,3.5,0.0,1.7,1.4,0.9,1.7,0.0,0.7609,0.3478,0.4348,0.163,0.6196,2.3261,0.4674,0.9783,0.0435,0.913,0.0326,0.4457,2.4131,0.3696,0.3478,0.3478,0.3478,0.1739,0.9022,0.0,0.0435,0.5,1.6196,0.1196,6.7066,0.3152,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,1159,143,29,5,6,57,29,0,10,50,23,0,10,9,11,9,10,17.7,3.6,0.3,0.3,3.2,1.6,0.0,1.4,2.8,1.3,0.0,1.4,0.5,0.6,0.5,0.6
31,Nebraska,NE,31017,Brown County,31017,"Brown County, Nebraska",1221.403290000396,2691,129,1656,44,1217,103,546,139,6,9,332,88,150,61,193,59,778,45,515,73,371,77,31,30,34,46,234,182,61,33,105,50,0,14,35,27,39,19,20.6,5.1,0.5,0.7,27.3,6.9,7.5,3.0,7.3,2.2,28.9,2.1,19.1,2.3,14.0,2.8,2.5,2.5,1.4,1.8,8.7,6.8,3.6,2.0,6.3,3.0,0.0,1.2,2.9,2.1,1.4,0.7,0.663,0.087,0.9891,0.5543,0.4783,2.7717,0.5761,0.9348,0.1087,0.5,0.1957,0.75,2.4892,0.4891,0.4783,0.4783,0.4783,0.6522,0.6196,0.0,0.3478,0.3478,1.9674,0.2935,7.7066,0.4891,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2767,175,58,1,1,108,23,1,2,2,3,0,10,110,10,12,16,14.4,4.7,0.0,0.1,4.0,0.8,0.0,0.1,0.1,0.1,0.0,0.9,4.1,0.4,0.4,0.6
31,Nebraska,NE,31019,Buffalo County,31019,"Buffalo County, Nebraska",968.219918184812,50103,0,21019,50,19544,263,9675,737,809,217,4785,411,2311,392,3577,486,7835,99,11433,56,6515,593,1097,260,829,203,7288,136,1954,311,1376,193,266,102,841,227,2071,29,20.2,1.5,2.9,0.8,24.5,2.1,7.4,1.3,7.2,1.0,15.6,0.2,22.8,0.1,13.2,1.2,5.6,1.3,1.8,0.4,14.5,0.3,9.3,1.5,6.5,0.9,1.4,0.5,4.3,1.2,4.1,0.1,0.6087,0.7065,0.8913,0.5435,0.4565,3.2065,0.7391,0.0761,0.413,0.4022,0.7826,0.8152,2.4891,0.4674,0.7174,0.7174,0.7174,0.913,0.6522,0.5217,0.6196,0.8804,3.5869,0.9674,9.9999,0.837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,51639,2015,261,405,122,4867,0,771,101,112,61,0,24,1060,196,73,50,10.3,1.3,0.8,0.2,9.7,0.0,1.5,0.2,0.2,0.1,0.0,0.1,2.1,0.4,0.1,0.1
31,Nebraska,NE,31021,Burt County,31021,"Burt County, Nebraska",491.58508956612,6717,0,3340,23,2790,116,1395,146,83,45,491,84,424,116,638,137,1612,24,1539,34,1194,122,142,46,2,58,588,35,41,23,144,67,18,14,153,59,103,6,21.1,2.2,2.7,1.5,17.6,2.9,9.0,2.5,9.6,2.1,24.0,0.4,22.9,0.5,18.0,1.8,5.1,1.6,0.0,0.9,8.8,0.5,1.3,0.7,4.3,2.0,0.7,0.5,5.5,2.1,1.5,0.1,0.7391,0.6739,0.413,0.75,0.7717,3.3477,0.8261,0.663,0.4348,0.8804,0.6413,0.0,2.6195,0.6196,0.4891,0.4891,0.4891,0.3478,0.4239,0.2609,0.8043,0.3913,2.2282,0.4457,8.6845,0.5978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5081,544,90,30,19,241,0,43,44,52,33,11,10,178,54,33,34,19.5,3.1,0.4,0.3,3.6,0.0,0.6,0.7,0.8,0.5,0.2,0.1,2.6,0.8,0.5,0.5
31,Nebraska,NE,31023,Butler County,31023,"Butler County, Nebraska",584.893219746914,8373,0,4032,22,3508,120,1218,220,31,24,558,119,441,83,543,191,1719,27,1967,0,964,170,159,66,178,87,722,86,42,41,285,107,39,32,93,48,149,11,14.9,2.7,0.7,0.5,15.9,3.3,7.6,1.4,6.6,2.3,20.5,0.3,23.5,0.0,11.7,2.1,4.6,1.9,2.3,1.1,8.6,1.0,1.0,1.0,7.1,2.7,1.1,0.9,2.7,1.4,1.8,0.1,0.1848,0.1196,0.2717,0.5761,0.3587,1.5109,0.1848,0.3696,0.5435,0.163,0.5109,0.8696,2.4566,0.4348,0.4674,0.4674,0.4674,0.2609,0.6957,0.3587,0.2826,0.5109,2.1088,0.3696,6.5437,0.2717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6270,491,82,10,14,410,0,6,9,23,23,0,15,266,89,7,9,14.0,2.3,0.1,0.2,4.9,0.0,0.1,0.1,0.3,0.3,0.0,0.3,3.2,1.1,0.1,0.1
31,Nebraska,NE,31025,Cass County,31025,"Cass County, Nebraska",557.346267535498,26749,0,11693,67,10339,215,3704,695,309,97,2206,292,852,157,1850,615,4827,54,6242,36,3341,294,396,118,55,67,2161,129,412,140,542,115,148,73,359,101,251,14,14.1,2.6,2.2,0.7,21.3,2.8,4.6,0.8,7.0,2.3,18.0,0.2,23.3,0.1,12.6,1.1,3.8,1.1,0.2,0.3,8.1,0.5,3.5,1.2,4.6,1.0,1.4,0.7,3.5,1.0,0.9,0.1,0.1522,0.5,0.7174,0.1413,0.4348,1.9457,0.337,0.1522,0.5,0.3478,0.3804,0.2826,1.663,0.0978,0.4348,0.4348,0.4348,0.6413,0.4348,0.5217,0.4565,0.163,2.2173,0.4348,6.2608,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18133,1202,168,44,35,1027,0,106,27,81,49,51,35,689,101,163,102,11.6,1.6,0.2,0.1,3.8,0.0,0.4,0.1,0.3,0.2,0.2,0.1,2.6,0.4,0.6,0.4
31,Nebraska,NE,31027,Cedar County,31027,"Cedar County, Nebraska",740.243510035054,8375,0,3915,25,3354,121,909,161,86,43,447,78,296,65,497,105,1807,11,2147,16,858,108,118,40,5,56,368,9,52,31,135,47,27,15,95,29,137,18,11.1,2.0,2.0,1.0,13.3,2.3,5.3,1.2,6.0,1.3,21.6,0.1,25.6,0.2,10.4,1.3,3.5,1.2,0.1,0.7,4.4,0.1,1.3,0.8,3.4,1.2,0.8,0.4,2.8,0.9,1.6,0.2,0.0217,0.4239,0.1413,0.1957,0.2717,1.0543,0.0435,0.5109,0.8696,0.0543,0.337,0.163,1.9348,0.2065,0.087,0.087,0.087,0.3478,0.2609,0.2935,0.3152,0.4348,1.6522,0.1304,4.7283,0.0435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5867,639,109,12,10,196,0,19,15,32,18,0,15,105,18,4,7,19.1,3.0,0.1,0.1,2.3,0.0,0.2,0.2,0.4,0.2,0.0,0.3,1.3,0.2,0.0,0.1
31,Nebraska,NE,31029,Chase County,31029,"Chase County, Nebraska",894.424130955232,3704,164,1876,76,1478,118,683,218,47,35,262,70,310,105,421,158,924,75,891,87,470,87,62,42,42,62,860,226,23,20,201,70,5,11,37,31,70,3,18.8,5.9,2.6,2.0,17.7,4.5,12.1,4.2,11.6,4.4,24.9,2.1,24.1,1.8,12.9,2.5,4.2,2.8,1.2,1.8,23.2,6.0,1.2,1.1,10.7,3.8,0.3,0.7,2.5,2.1,1.9,0.1,0.4348,0.6087,0.4348,0.913,0.913,3.3043,0.8043,0.7065,0.6304,0.3696,0.4674,0.663,2.8369,0.7826,0.9022,0.9022,0.9022,0.3043,0.8478,0.1304,0.2283,0.5761,2.0869,0.3478,9.1303,0.7065,0,0,0,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,3417,188,54,13,25,694,30,75,53,0,10,0,10,78,53,0,10,12.7,3.7,0.4,0.7,18.7,1.0,2.0,1.4,0.0,0.7,0.0,0.7,2.1,1.5,0.0,0.7
31,Nebraska,NE,31031,Cherry County,31031,"Cherry County, Nebraska",5960.382246726082,5473,0,2998,18,2110,163,1517,317,13,13,400,115,82,49,468,180,1137,10,1318,0,658,133,100,71,0,60,853,55,129,79,190,67,63,45,134,76,109,22,28.1,5.9,0.4,0.5,19.0,5.2,2.2,1.3,8.6,3.3,20.8,0.2,24.1,0.0,12.1,2.5,4.7,3.3,0.0,1.2,15.6,1.0,4.3,2.6,6.3,2.2,3.0,2.1,6.4,3.4,2.0,0.4,0.9565,0.0543,0.5435,0.0326,0.6413,2.2282,0.4239,0.4239,0.6304,0.25,0.5326,0.0,1.8369,0.1522,0.75,0.75,0.75,0.7283,0.6196,0.8696,0.9239,0.6304,3.7718,0.9891,8.5869,0.5761,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3787,358,110,26,39,115,118,98,69,204,132,0,15,383,153,27,40,17.0,4.9,0.5,0.7,2.1,2.2,1.8,1.3,3.7,2.4,0.0,0.5,7.0,2.8,0.5,0.7
