ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
32,Nevada,NV,32001,Churchill County,32001,"Churchill County, Nevada",4950.154980364416,25409,0,10829,24,9595,275,4696,775,724,199,2241,357,1368,352,2195,622,4941,180,5646,188,4763,535,478,151,274,146,7339,113,234,96,1707,275,304,130,340,123,524,26,18.9,3.1,6.3,1.8,23.4,3.7,7.8,2.0,9.1,2.5,19.4,0.7,22.2,0.7,19.8,2.2,5.0,1.6,1.2,0.6,28.9,0.4,2.1,0.9,15.8,2.5,3.2,1.4,3.5,1.3,2.1,0.1,0.4375,0.625,0.5,0.1875,0.375,2.125,0.375,0.5,0.6875,0.75,0.375,0.3125,2.625,0.625,0.375,0.375,0.375,0.5,0.25,0.5625,0.375,0.75,2.4375,0.375,7.5625,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23703,966,253,479,205,3866,0,705,158,857,134,46,50,1344,323,42,44,10.1,2.7,1.9,0.8,15.2,0.0,2.8,0.6,3.4,0.5,0.2,0.2,5.3,1.3,0.2,0.2
32,Nevada,NV,32003,Clark County,32003,"Clark County, Nevada",7891.657910158202,2265926,0,923275,334,832367,2327,508673,8382,87734,3051,277560,4234,211382,4309,268761,6623,343754,0,514745,0,279747,4317,61416,1928,130778,3355,1365456,2013,150682,2914,26332,928,37617,1690,64086,1958,20370,279,22.7,0.4,7.7,0.3,33.3,0.5,13.5,0.3,12.0,0.3,15.2,0.0,22.7,0.0,12.5,0.2,7.4,0.2,6.1,100.0,60.3,0.1,16.4,0.3,2.9,0.1,4.5,0.2,7.7,0.2,0.9,0.0,0.75,0.8125,1.0,0.8125,1.0,4.375,1.0,0.125,0.75,0.0625,0.8125,1.0,2.75,0.875,1.0,1.0,1.0,0.9375,0.0,1.0,0.9375,0.3125,3.1875,0.75,11.3125,1.0,0,0,1,0,1,2,0,0,0,0,1,1,1,1,1,0,1,1,0,3,7,2302821,91732,2390,261670,3072,725437,0,224918,2183,8787,729,16250,719,116313,4250,12081,1550,11.0,0.3,11.5,0.1,32.0,0.0,9.9,0.1,0.4,0.1,0.7,0.1,5.1,0.2,0.5,0.1
32,Nevada,NV,32005,Douglas County,32005,"Douglas County, Nevada",710.53695651855,49476,0,24417,47,21001,303,6743,739,688,174,5168,523,2568,358,3527,454,14970,70,7676,74,7997,515,852,216,552,226,10847,403,848,215,1500,229,487,161,528,145,246,19,13.7,1.5,3.1,0.8,24.6,2.5,6.6,0.9,7.2,0.9,30.3,0.1,15.5,0.1,16.2,1.0,4.0,1.0,1.2,0.5,21.9,0.8,3.5,0.9,6.1,0.9,2.3,0.8,2.5,0.7,0.5,0.0,0.125,0.0625,0.6875,0.0625,0.1875,1.125,0.0625,0.875,0.0625,0.5,0.125,0.3125,1.875,0.0,0.1875,0.1875,0.1875,0.625,0.125,0.3125,0.25,0.125,1.4375,0.125,4.625,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48368,1506,262,331,133,6552,0,1024,160,619,103,93,31,1702,329,526,328,7.2,1.2,0.7,0.3,13.2,0.0,2.1,0.3,1.3,0.2,0.2,0.1,3.4,0.7,1.1,0.7
32,Nevada,NV,32007,Elko County,32007,"Elko County, Nevada",17173.43842366869,53600,0,21838,35,19032,388,10101,1432,1310,353,3791,584,3849,497,4728,733,6554,66,14147,162,6736,749,1267,287,671,257,19511,489,839,245,4748,566,447,154,1083,356,890,78,19.2,2.7,4.7,1.3,19.9,3.0,11.1,1.4,8.9,1.4,12.2,0.1,26.4,0.3,12.7,1.4,6.7,1.5,1.3,0.5,36.4,0.9,3.9,1.1,21.7,2.6,2.4,0.8,5.7,1.9,1.7,0.1,0.5,0.3125,0.3125,0.4375,0.25,1.8125,0.25,0.0,0.9375,0.125,0.6875,0.4375,2.1875,0.125,0.6875,0.6875,0.6875,0.75,0.625,0.4375,0.625,0.625,3.0625,0.6875,7.75,0.4375,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,51086,2286,340,458,134,13424,0,689,170,2326,159,92,29,2151,527,371,234,12.0,1.8,0.9,0.2,25.0,0.0,1.3,0.3,4.3,0.3,0.2,0.1,4.0,1.0,0.7,0.4
32,Nevada,NV,32009,Esmeralda County,32009,"Esmeralda County, Nevada",3581.887627440054,980,265,732,135,485,133,312,163,20,17,119,115,191,126,102,71,257,82,96,62,225,125,0,19,53,73,359,338,131,114,266,54,10,22,132,116,7,12,32.1,14.3,4.7,4.3,24.5,22.7,21.9,12.2,10.5,6.5,26.2,8.4,9.8,5.3,23.1,11.7,0.0,3.9,5.5,7.5,36.6,33.0,17.9,15.2,36.3,8.1,2.1,4.5,27.2,19.3,0.7,1.2,0.9375,0.3125,0.625,1.0,0.75,3.625,0.9375,0.75,0.0,0.9375,0.0,0.9375,2.625,0.625,0.8125,0.8125,0.8125,1.0,0.8125,0.25,1.0,0.25,3.3125,0.9375,10.375,0.9375,1,0,0,1,0,2,0,0,1,0,1,2,0,0,1,0,0,1,0,2,6,482,86,39,2,4,297,170,19,32,13,14,0,14,28,20,0,14,17.7,8.1,0.2,0.5,30.3,14.1,1.9,3.1,1.3,1.5,0.0,4.2,2.9,2.3,0.0,4.2
32,Nevada,NV,32011,Eureka County,32011,"Eureka County, Nevada",4175.686342712942,1622,265,997,131,570,107,414,316,0,14,74,52,53,44,161,125,406,165,422,212,306,101,30,37,0,56,283,364,6,16,506,90,25,40,34,38,6,10,25.6,19.1,0.0,7.1,13.0,8.8,4.8,4.1,10.0,7.0,25.0,10.6,26.0,11.3,18.9,6.1,5.3,6.4,0.0,3.7,17.4,22.3,0.6,1.6,50.8,7.6,4.4,7.0,6.0,6.4,0.4,0.6,0.875,0.0,0.0,0.0,0.5625,1.4375,0.1875,0.6875,0.8125,0.6875,0.5,0.0,2.6875,0.75,0.125,0.125,0.125,0.1875,0.9375,0.9375,0.75,0.0,2.8125,0.5,7.0625,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,5533,23,25,1,2,201,139,9,19,72,73,0,14,0,14,0,14,4.0,4.5,0.1,0.1,12.4,8.2,0.6,1.2,4.4,4.3,0.0,2.6,0.0,2.6,0.0,2.6
32,Nevada,NV,32013,Humboldt County,32013,"Humboldt County, Nevada",9640.78757245488,17266,0,7671,36,6986,202,3615,679,377,101,1407,304,1654,268,1663,350,2651,130,4555,64,2493,355,341,127,577,189,6200,60,134,75,2644,293,299,113,279,127,188,32,21.2,4.0,4.3,1.2,20.1,4.3,14.6,2.4,9.7,2.0,15.4,0.8,26.4,0.4,14.6,2.1,4.8,1.8,3.6,1.2,35.9,0.3,1.7,1.0,34.5,3.8,4.3,1.6,4.0,1.8,1.1,0.2,0.625,0.25,0.375,0.875,0.5,2.625,0.5,0.1875,0.9375,0.3125,0.25,0.875,2.5625,0.5,0.625,0.625,0.625,0.4375,0.75,0.875,0.4375,0.4375,2.9375,0.5625,8.75,0.625,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,18074,924,246,129,77,4815,0,243,26,543,101,24,27,414,134,32,35,13.2,3.5,0.7,0.4,27.9,0.0,1.4,0.1,3.1,0.6,0.1,0.2,2.4,0.8,0.2,0.2
32,Nevada,NV,32015,Lander County,32015,"Lander County, Nevada",5519.24436764232,5728,0,2802,208,2256,215,1222,374,308,147,365,166,376,150,350,153,803,227,1506,266,807,233,284,178,165,155,1777,411,30,45,1492,252,79,54,54,42,59,8,21.5,6.6,11.7,5.5,16.2,7.2,9.8,3.7,6.2,2.7,14.0,4.0,26.3,4.6,14.2,4.1,12.6,7.8,3.0,2.8,31.0,7.2,1.1,1.6,53.2,7.3,3.5,2.4,2.4,1.9,1.0,0.1,0.6875,1.0,0.1875,0.3125,0.0625,2.25,0.4375,0.0625,0.875,0.1875,1.0,0.75,2.875,0.9375,0.5,0.5,0.5,0.25,1.0,0.6875,0.1875,0.375,2.5,0.4375,8.125,0.5625,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,3,6196,101,55,6,11,1229,351,23,17,171,79,0,19,348,191,0,19,4.5,2.5,0.1,0.2,21.5,6.1,0.4,0.3,3.0,1.4,0.0,0.7,6.1,3.3,0.0,0.7
32,Nevada,NV,32017,Lincoln County,32017,"Lincoln County, Nevada",10633.381224181703,4507,0,2292,198,1645,168,471,205,70,57,318,142,375,142,421,195,746,219,994,232,853,224,142,100,0,56,728,236,50,44,363,136,55,65,97,80,504,48,11.7,5.1,4.1,3.2,19.3,8.4,11.8,4.3,10.5,4.9,16.6,4.9,22.1,5.2,21.3,5.6,8.6,6.0,0.0,1.3,16.2,5.2,2.2,1.9,15.8,5.9,3.3,3.9,5.9,4.7,11.2,1.1,0.0625,0.125,0.25,0.625,0.75,1.8125,0.25,0.3125,0.625,0.8125,0.9375,0.0,2.6875,0.75,0.0,0.0,0.0,0.5625,0.25,0.625,0.6875,0.875,3.0,0.625,7.5,0.3125,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,4126,357,150,190,69,330,187,0,14,121,86,3,7,84,66,0,14,21.7,8.2,4.2,1.5,7.3,4.1,0.0,0.9,2.7,1.9,0.1,0.2,1.9,1.5,0.0,0.9
32,Nevada,NV,32019,Lyon County,32019,"Lyon County, Nevada",2003.052501681988,59435,0,24582,32,23290,318,10545,1262,2021,379,6155,638,5439,720,5682,712,12604,113,12447,93,9775,648,1110,272,886,214,16637,253,284,129,4630,456,577,151,636,208,217,17,17.9,2.1,7.2,1.3,26.4,2.7,12.6,1.7,9.6,1.2,21.2,0.2,20.9,0.2,16.6,1.1,4.8,1.2,1.6,0.4,28.0,0.4,1.1,0.5,18.8,1.9,2.5,0.6,2.7,0.9,0.4,0.0,0.3125,0.75,0.8125,0.6875,0.4375,3.0,0.6875,0.625,0.5,0.5625,0.25,0.5,2.4375,0.375,0.25,0.25,0.25,0.25,0.5,0.5,0.3125,0.0,1.5625,0.1875,7.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53358,2418,436,458,107,11216,0,860,147,1239,201,48,58,2658,381,158,135,10.4,1.9,0.8,0.2,18.9,0.0,1.4,0.2,2.1,0.3,0.1,0.1,4.5,0.6,0.3,0.2
