ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
33,New Hampshire,NH,33001,Belknap County,33001,"Belknap County, New Hampshire",401.847089752424,63914,0,38478,73,25956,632,8409,911,923,271,6690,648,3161,538,4388,714,14545,78,11470,75,10548,846,1289,312,105,114,3951,265,1611,327,3236,447,347,191,1037,276,999,30,13.3,1.4,2.7,0.8,25.8,2.4,6.6,1.1,7.0,1.1,22.8,0.1,17.9,0.1,16.7,1.3,5.0,1.2,0.2,0.2,6.2,0.4,4.1,0.8,8.4,1.2,1.3,0.7,4.0,1.0,1.6,0.0,0.3333,0.0,0.3333,0.5556,0.6667,1.8889,0.2222,0.7778,0.4444,0.8889,1.0,0.3333,3.4444,1.0,0.2222,0.2222,0.2222,0.2222,0.6667,0.3333,0.2222,0.2222,1.6666,0.2222,7.2221,0.3333,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,60906,2748,395,326,180,1278,0,782,123,166,93,12,21,1285,317,102,116,10.6,1.4,0.5,0.3,2.0,0.0,1.2,0.2,0.3,0.1,0.0,0.1,2.0,0.5,0.2,0.2
33,New Hampshire,NH,33003,Carroll County,33003,"Carroll County, New Hampshire",931.863136098268,50679,0,39889,72,21644,671,6878,925,1480,365,6108,659,1989,362,3746,610,14805,148,7710,53,8197,775,881,254,42,104,2628,121,1404,309,2513,363,320,133,654,201,611,18,13.8,1.9,5.6,1.4,28.2,2.9,5.0,0.9,7.5,1.2,29.2,0.3,15.2,0.1,16.3,1.5,4.1,1.2,0.1,0.2,5.2,0.2,3.5,0.8,6.3,0.9,1.5,0.6,3.0,0.9,1.2,0.0,0.4444,1.0,0.8889,0.1111,0.8889,3.3333,0.7778,1.0,0.0,0.7778,0.2222,0.0,2.0,0.2222,0.0,0.0,0.0,0.1111,0.3333,0.6667,0.0,0.1111,1.2222,0.0,6.5555,0.2222,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,49188,1989,372,287,116,847,0,421,51,106,87,0,28,941,226,26,35,9.2,1.7,0.6,0.2,1.7,0.0,0.8,0.1,0.2,0.2,0.0,0.1,1.9,0.4,0.1,0.1
33,New Hampshire,NH,33005,Cheshire County,33005,"Cheshire County, New Hampshire",706.7084559595,76610,0,35706,138,30307,459,11451,1072,1398,257,8225,601,3407,508,4475,730,16172,85,13695,23,10777,888,1085,227,77,105,5274,192,2696,411,2160,315,449,113,1436,252,4029,71,15.8,1.5,3.5,0.6,27.1,1.9,6.2,0.9,5.9,1.0,21.1,0.1,17.9,0.1,14.2,1.2,3.5,0.7,0.1,0.1,6.9,0.3,7.6,1.2,6.0,0.9,1.5,0.4,4.7,0.8,5.3,0.1,0.6667,0.4444,0.6667,0.3333,0.3333,2.4444,0.4444,0.4444,0.4444,0.4444,0.1111,0.0,1.4443,0.0,0.3333,0.3333,0.3333,0.4444,0.2222,0.6667,0.3333,0.6667,2.3333,0.3333,6.5553,0.1111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75517,3129,418,477,131,1662,0,512,239,98,46,14,16,2357,310,154,130,10.3,1.4,0.6,0.2,2.2,0.0,0.7,0.3,0.1,0.1,0.0,0.1,3.1,0.4,0.2,0.2
33,New Hampshire,NH,33007,Coos County,33007,"Coos County, New Hampshire",1794.572877345048,31430,0,20570,95,13620,292,6451,643,625,157,3504,339,2717,285,2337,368,7840,72,4907,56,6318,509,429,123,127,105,1838,106,691,147,2181,204,127,62,1104,197,2027,41,21.9,2.2,4.2,1.0,25.7,2.4,11.1,1.2,7.9,1.2,24.9,0.2,15.6,0.2,21.3,1.7,3.1,0.9,0.4,0.3,5.8,0.3,3.3,0.7,10.6,1.0,1.0,0.5,8.1,1.4,6.4,0.1,1.0,0.8889,0.2222,1.0,1.0,4.1111,1.0,0.8889,0.1111,1.0,0.0,0.6667,2.6667,0.6667,0.1111,0.1111,0.1111,0.0,1.0,0.1111,1.0,0.7778,2.8889,0.6667,9.7778,1.0,1,0,0,1,1,3,0,0,1,0,0,1,0,0,0,1,0,1,0,2,6,29416,2002,192,554,125,589,0,160,31,6,17,1,3,492,160,36,29,14.7,1.3,1.8,0.4,1.9,0.0,0.5,0.1,0.0,0.1,0.0,0.1,1.6,0.5,0.1,0.1
33,New Hampshire,NH,33009,Grafton County,33009,"Grafton County, New Hampshire",1708.597834573188,90836,0,51191,58,35084,684,13765,1190,1311,259,9222,653,4439,566,5506,727,19954,132,14548,0,12310,817,1581,266,331,164,10133,357,4213,485,3673,401,293,103,2321,389,6467,92,16.2,1.4,2.8,0.5,26.3,1.8,6.8,0.9,6.1,0.8,22.0,0.1,16.0,0.0,13.7,0.9,4.5,0.8,0.4,0.2,11.2,0.4,8.2,0.9,7.2,0.8,0.8,0.3,6.6,1.1,7.1,0.1,0.7778,0.1111,0.5556,0.6667,0.4444,2.5556,0.6667,0.5556,0.2222,0.3333,0.7778,0.6667,2.5556,0.5556,0.7778,0.7778,0.7778,0.5556,0.5556,0.0,0.8889,1.0,3.0001,0.8889,8.8891,0.7778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,111515,4666,461,929,168,2385,0,3056,243,156,70,55,54,3345,428,207,123,13.3,1.3,1.0,0.2,2.6,0.0,3.4,0.3,0.2,0.1,0.1,0.1,3.7,0.5,0.2,0.1
33,New Hampshire,NH,33011,Hillsborough County,33011,"Hillsborough County, New Hampshire",876.529573530812,422733,0,175630,147,166344,838,48995,2565,9070,862,43365,1623,21153,1324,25575,1669,68925,68,84377,59,48810,1939,7511,739,9454,977,76594,1052,27445,1183,3550,462,2833,419,8426,736,8154,121,11.8,0.6,3.7,0.3,26.1,1.0,7.0,0.4,6.1,0.4,16.3,0.1,20.0,0.1,11.7,0.5,4.5,0.4,2.4,0.2,18.1,0.2,15.7,0.7,2.0,0.3,1.7,0.3,5.1,0.4,1.9,0.0,0.1111,0.6667,0.4444,0.7778,0.4444,2.4444,0.4444,0.1111,1.0,0.1111,0.7778,1.0,3.0,0.8889,1.0,1.0,1.0,1.0,0.0,0.8889,0.4444,0.4444,2.7777,0.5556,9.2221,0.8889,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,0,0,0,1,4,411796,13258,897,9337,737,32558,0,17683,693,336,120,47,69,15327,1371,1306,432,8.0,0.5,2.2,0.2,7.7,0.0,4.2,0.2,0.1,0.1,0.0,0.1,3.6,0.3,0.3,0.1
33,New Hampshire,NH,33013,Merrimack County,33013,"Merrimack County, New Hampshire",932.89877594846,153918,0,65744,101,59851,448,18487,1317,3036,426,14387,880,7238,691,8248,924,29128,142,28655,13,21514,912,2536,349,999,314,13675,306,6190,515,4173,418,1023,235,3066,386,6490,69,12.5,0.9,3.6,0.5,24.0,1.5,6.5,0.6,5.5,0.6,18.9,0.1,18.6,0.1,14.3,0.6,4.2,0.6,0.7,0.2,8.9,0.2,9.4,0.8,6.3,0.6,1.7,0.4,5.1,0.7,4.2,0.0,0.2222,0.5556,0.1111,0.4444,0.1111,1.4444,0.1111,0.2222,0.7778,0.5556,0.3333,0.8889,2.7778,0.7778,0.5556,0.5556,0.5556,0.6667,0.3333,0.8889,0.4444,0.5556,2.8889,0.6667,7.6667,0.4444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159470,5616,536,2327,261,3802,0,2980,326,282,118,25,31,3951,476,308,192,9.4,0.9,1.5,0.2,2.5,0.0,1.9,0.2,0.2,0.1,0.0,0.1,2.6,0.3,0.2,0.1
33,New Hampshire,NH,33015,Rockingham County,33015,"Rockingham County, New Hampshire",695.390984714444,315169,0,135585,89,125464,710,25437,1757,6228,714,26320,1333,9777,887,14076,1687,59533,146,59565,31,34171,1303,5471,785,1020,265,29903,989,14169,941,6190,678,1566,264,3753,497,2508,53,8.1,0.6,3.4,0.4,21.0,1.1,4.2,0.4,4.5,0.5,18.9,0.1,18.9,0.1,10.9,0.4,4.4,0.6,0.3,0.1,9.5,0.3,10.4,0.7,4.6,0.5,1.3,0.2,3.0,0.4,0.8,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.2222,0.8889,0.0,0.5556,0.4444,2.1111,0.3333,0.6667,0.6667,0.6667,0.7778,0.1111,0.3333,0.0,0.0,1.2222,0.0,4.3333,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297851,7085,677,2545,300,10933,0,6432,477,28,22,67,52,8673,1015,1225,566,5.6,0.5,0.8,0.1,3.5,0.0,2.0,0.2,0.0,0.1,0.0,0.1,2.8,0.3,0.4,0.2
33,New Hampshire,NH,33017,Strafford County,33017,"Strafford County, New Hampshire",367.470041423758,130965,0,55672,92,50953,591,17458,1358,2749,447,13807,1010,4877,572,7383,804,20990,137,23574,0,17115,1095,2166,413,364,193,14916,469,6846,721,4904,528,668,262,2620,439,8476,187,14.3,1.1,3.7,0.6,27.1,2.0,5.6,0.6,5.7,0.6,16.0,0.1,18.0,0.0,13.2,0.8,4.2,0.8,0.3,0.2,11.4,0.4,12.3,1.3,8.8,0.9,1.3,0.5,5.1,0.9,6.5,0.1,0.5556,0.6667,0.6667,0.2222,0.2222,2.3334,0.3333,0.0,0.6667,0.2222,0.3333,0.4444,1.6666,0.1111,0.8889,0.8889,0.8889,0.8889,0.7778,0.3333,0.4444,0.8889,3.3333,1.0,8.2222,0.5556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118451,5016,617,1394,276,3790,0,3879,368,64,39,98,142,5197,673,494,271,9.8,1.2,1.1,0.2,2.9,0.0,3.0,0.3,0.0,0.1,0.1,0.1,4.0,0.5,0.4,0.2
33,New Hampshire,NH,33019,Sullivan County,33019,"Sullivan County, New Hampshire",537.875343676334,43356,0,21870,52,15893,458,8366,974,606,190,4587,490,2966,500,3034,472,9857,115,7687,107,6272,701,691,205,41,91,2988,259,1108,229,1974,298,170,77,844,190,763,30,19.6,2.3,2.9,0.9,28.9,3.0,9.1,1.5,7.1,1.1,22.7,0.3,17.7,0.2,14.6,1.6,4.4,1.3,0.1,0.2,6.9,0.6,5.1,1.0,9.0,1.4,1.1,0.5,5.3,1.2,1.8,0.1,0.8889,0.2222,1.0,0.8889,0.7778,3.7778,0.8889,0.6667,0.3333,0.6667,0.5556,0.0,2.2223,0.4444,0.3333,0.3333,0.3333,0.3333,0.8889,0.2222,0.7778,0.3333,2.5555,0.4444,8.8889,0.6667,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34702,2196,342,301,65,810,0,327,101,90,103,6,10,1338,319,116,132,13.8,2.1,0.7,0.2,1.9,0.0,0.8,0.2,0.2,0.2,0.0,0.1,3.1,0.7,0.3,0.3
