ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
34,New Jersey,NJ,34001,Atlantic County,34001,"Atlantic County, New Jersey",555.577323461806,274339,0,131786,143,106640,1044,56681,3150,11721,1035,36055,1569,22257,1114,20808,1773,51456,52,57543,22,38634,1902,6488,701,14382,1086,123586,642,20906,1133,3928,507,3017,495,12784,798,5916,246,21.1,1.2,8.3,0.7,33.8,1.4,11.6,0.6,7.7,0.7,18.8,0.1,21.0,0.1,14.2,0.7,6.1,0.7,5.5,0.4,45.0,0.2,15.9,0.9,3.0,0.4,2.9,0.5,12.0,0.8,2.2,0.1,0.8,0.95,0.85,0.75,0.75,4.1,0.85,0.8,0.4,0.8,0.6,0.6,3.2,0.75,0.5,0.5,0.5,0.7,0.85,0.65,0.85,0.65,3.7,0.95,11.5,0.85,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,298264,11324,840,35485,1008,54178,0,21120,529,244,97,149,36,11210,1317,1200,538,10.6,0.8,12.9,0.4,19.7,0.0,7.7,0.2,0.1,0.1,0.1,0.1,4.1,0.5,0.4,0.2
34,New Jersey,NJ,34003,Bergen County,34003,"Bergen County, New Jersey",232.788133668092,953243,0,367059,299,350843,1247,99299,4883,28408,1540,87383,2799,47269,1974,62984,3184,167276,51,199993,20,78702,2581,15208,1037,60480,2692,444168,1354,68038,1994,1521,352,11273,908,28027,1359,10574,281,10.5,0.5,5.5,0.3,24.9,0.8,7.0,0.3,6.6,0.3,17.5,0.1,21.0,0.1,8.3,0.3,4.3,0.3,6.7,0.3,46.6,0.1,18.5,0.5,0.4,0.1,3.2,0.3,8.0,0.4,1.1,0.0,0.2,0.3,0.35,0.5,0.55,1.9,0.35,0.5,0.4,0.05,0.35,0.65,1.95,0.25,0.6,0.6,0.6,0.85,0.35,0.7,0.5,0.05,2.45,0.5,6.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965305,23671,1176,50172,1195,205545,0,157669,1361,1018,165,157,60,23583,2243,6024,1154,6.7,0.3,5.3,0.1,21.6,0.0,16.5,0.1,0.1,0.1,0.0,0.1,2.5,0.2,0.6,0.1
34,New Jersey,NJ,34005,Burlington County,34005,"Burlington County, New Jersey",799.284216283634,461853,0,184859,175,174454,820,50088,2960,12471,1023,41285,1534,19470,1316,18153,1394,81197,0,95144,0,51926,1590,9086,692,8157,1108,162687,1095,17429,1106,2032,280,2487,389,8400,717,10604,315,11.1,0.7,5.1,0.4,23.7,0.9,5.9,0.4,4.1,0.3,17.6,0.0,20.6,0.0,11.6,0.4,5.2,0.4,1.9,100.0,35.2,0.2,9.4,0.6,1.1,0.2,1.4,0.2,4.8,0.4,2.3,0.1,0.3,0.1,0.25,0.2,0.1,0.95,0.2,0.55,0.25,0.55,0.45,0.3,2.1,0.3,0.45,0.45,0.45,0.4,0.55,0.3,0.15,0.7,2.1,0.45,5.6,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456507,12038,818,73251,1409,41114,0,24967,609,157,64,97,131,20108,1555,2993,983,6.9,0.5,15.9,0.3,8.9,0.0,5.4,0.1,0.0,0.1,0.0,0.1,4.4,0.3,0.6,0.2
34,New Jersey,NJ,34007,Camden County,34007,"Camden County, New Jersey",221.361761581732,522581,0,212477,240,198757,1045,98609,3432,20030,1198,62606,2079,38667,1378,34906,1884,83495,29,118366,24,75118,2182,14847,1019,22079,1564,238570,790,34316,1735,1341,278,5293,654,20928,1236,6635,145,19.1,0.7,7.2,0.4,31.5,1.0,10.7,0.4,6.7,0.4,16.0,0.1,22.7,0.1,14.5,0.4,7.5,0.5,4.5,0.3,45.7,0.2,16.1,0.8,0.6,0.1,2.7,0.3,10.5,0.6,1.3,0.0,0.7,0.75,0.7,0.7,0.6,3.45,0.7,0.35,0.75,0.85,0.85,0.5,3.3,0.9,0.55,0.55,0.55,0.75,0.45,0.55,0.7,0.3,2.75,0.6,10.05,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490072,20191,1363,94675,1276,94913,0,30724,585,238,90,42,43,14701,1274,3277,914,10.2,0.7,18.1,0.2,18.2,0.0,5.9,0.1,0.0,0.1,0.0,0.1,2.8,0.2,0.6,0.2
34,New Jersey,NJ,34009,Cape May County,34009,"Cape May County, New Jersey",251.521203091686,95456,0,99525,82,43277,734,14385,1444,2927,472,12112,949,4412,496,5229,797,26529,119,16688,29,14049,850,1759,434,1035,276,14977,229,6012,546,3139,382,461,168,2671,461,1807,74,15.3,1.5,6.5,1.0,28.0,2.1,6.1,0.7,5.6,0.9,27.8,0.1,17.5,0.1,15.0,0.9,4.0,1.0,1.1,0.3,15.7,0.2,6.0,0.5,3.2,0.4,1.0,0.4,6.2,1.1,1.9,0.1,0.5,0.7,0.55,0.3,0.45,2.5,0.5,1.0,0.0,0.95,0.15,0.05,2.15,0.35,0.0,0.0,0.0,0.15,0.9,0.05,0.35,0.6,2.05,0.4,6.7,0.4,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,96832,4313,555,3376,384,7960,0,764,140,18,19,0,32,2606,429,253,202,10.0,1.3,3.5,0.4,8.3,0.0,0.8,0.1,0.0,0.1,0.0,0.1,2.7,0.4,0.3,0.2
34,New Jersey,NJ,34011,Cumberland County,34011,"Cumberland County, New Jersey",483.379693105544,153588,0,57143,133,52584,543,38517,2778,5356,708,19002,1275,19544,1124,13776,1314,23937,59,36616,0,21319,1181,4341,569,10577,1023,85826,439,5040,576,2687,378,1679,356,5082,597,10771,315,26.8,1.9,7.8,1.0,36.1,2.4,18.8,1.1,9.6,0.9,15.6,0.1,23.8,0.0,14.8,0.8,8.3,1.1,7.3,0.7,55.9,0.3,8.8,1.0,4.7,0.7,3.2,0.7,9.7,1.1,7.0,0.2,1.0,0.8,0.95,1.0,0.8,4.55,0.95,0.25,0.95,0.9,0.95,0.8,3.85,1.0,0.75,0.75,0.75,0.35,1.0,0.7,0.65,1.0,3.7,0.95,12.85,1.0,1,0,1,1,0,3,0,1,1,1,0,3,0,0,0,1,0,0,1,2,8,154661,7425,732,27133,976,49802,0,2194,197,799,142,32,43,4582,824,1284,730,14.1,1.4,17.7,0.6,32.4,0.0,1.4,0.1,0.5,0.1,0.0,0.1,3.0,0.5,0.8,0.5
34,New Jersey,NJ,34013,Essex County,34013,"Essex County, New Jersey",126.082469493562,853374,0,334136,252,312942,1020,191014,5939,38058,1844,113078,3086,74929,2249,97208,3690,117405,169,201363,94,98527,3292,29280,1369,64438,2743,610382,1818,82621,2296,441,182,17062,1268,66885,2185,21820,577,22.9,0.7,8.5,0.4,36.1,1.0,13.1,0.4,11.5,0.4,13.8,0.1,23.6,0.1,11.7,0.4,9.4,0.4,8.1,0.3,71.5,0.2,24.7,0.7,0.1,0.1,5.5,0.4,21.4,0.7,2.6,0.1,0.95,1.0,0.95,0.85,0.85,4.6,1.0,0.05,0.85,0.6,1.0,0.85,3.35,0.95,0.95,0.95,0.95,0.95,0.0,0.9,0.95,0.85,3.65,0.9,12.55,0.95,1,1,1,0,0,3,0,0,0,1,0,1,1,1,1,0,1,1,0,3,8,865098,43769,2119,312788,2312,204966,0,48235,890,1353,253,164,103,30510,2384,12366,1588,14.0,0.7,36.7,0.3,24.0,0.0,5.7,0.1,0.2,0.1,0.0,0.1,3.6,0.3,1.4,0.2
34,New Jersey,NJ,34015,Gloucester County,34015,"Gloucester County, New Jersey",322.00780158544,302621,0,117041,179,109996,756,35194,2189,8591,786,26903,1204,13290,831,12929,1047,48955,43,64437,0,38158,1652,6349,733,3876,527,71626,595,9026,753,2744,334,1085,249,5536,533,5535,123,11.8,0.7,5.2,0.5,24.5,1.1,6.4,0.4,4.3,0.3,16.2,0.1,21.3,0.0,12.7,0.5,5.8,0.7,1.3,0.2,23.7,0.2,7.7,0.6,2.3,0.3,1.0,0.2,5.0,0.5,1.8,0.0,0.35,0.15,0.3,0.4,0.15,1.35,0.3,0.4,0.5,0.7,0.55,0.15,2.3,0.5,0.25,0.25,0.25,0.2,0.8,0.05,0.2,0.45,1.7,0.2,5.6,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295273,9283,731,30333,798,21577,0,9724,358,132,69,48,103,8543,974,1269,462,8.4,0.7,10.0,0.3,7.1,0.0,3.2,0.1,0.0,0.1,0.0,0.1,2.8,0.3,0.4,0.2
34,New Jersey,NJ,34017,Hudson County,34017,"Hudson County, New Jersey",46.193560269742,712029,0,311964,136,290054,1063,157500,4707,23656,1501,93105,2603,65731,2442,81922,2850,86664,135,143595,136,61174,2171,17909,1176,76006,2539,514924,1051,127458,2286,324,128,22416,1253,94317,2038,8271,244,22.4,0.7,5.8,0.4,32.1,0.9,12.8,0.5,11.6,0.4,12.2,0.1,20.2,0.1,8.6,0.3,6.2,0.4,11.4,0.4,72.3,0.1,40.8,0.7,0.1,0.1,7.7,0.4,32.5,0.7,1.2,0.0,0.85,0.45,0.8,0.8,0.9,3.8,0.8,0.0,0.2,0.1,0.65,0.9,1.85,0.2,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.2,3.2,0.75,9.85,0.7,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0,3,6,634853,28182,1536,74216,1343,302289,0,112065,984,1022,277,120,139,19885,1615,5327,937,9.7,0.5,10.4,0.2,42.5,0.0,15.7,0.1,0.1,0.1,0.0,0.1,2.8,0.2,0.7,0.1
34,New Jersey,NJ,34019,Hunterdon County,34019,"Hunterdon County, New Jersey",427.83433081107,129099,0,51684,96,49676,377,8580,944,3249,460,8819,630,3949,490,3521,516,25330,21,24549,0,11108,864,1947,333,1766,353,21932,516,2563,356,121,80,379,135,1363,280,2921,202,6.8,0.7,4.6,0.6,17.8,1.3,4.2,0.5,2.8,0.4,19.6,0.1,19.0,0.0,8.8,0.7,3.9,0.7,1.4,0.3,17.0,0.4,5.0,0.7,0.2,0.2,0.8,0.3,2.7,0.6,2.3,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.05,0.15,0.1,0.2,1.4,0.0,0.1,0.1,0.1,0.05,0.1,0.0,0.0,0.7,0.85,0.0,2.35,0.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,114400,3146,436,3067,149,9396,0,5716,342,27,21,56,44,3093,502,577,296,6.3,0.9,2.4,0.1,7.3,0.0,4.4,0.3,0.0,0.1,0.0,0.1,2.4,0.4,0.4,0.2
