ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
35,New Mexico,NM,35001,Bernalillo County,35001,"Bernalillo County, New Mexico",1161.244774060086,674692,0,299693,128,281095,1051,173310,5197,18345,1379,85785,2791,46193,2048,56587,2746,115541,72,142032,33,99387,2644,19543,1078,21421,1674,426819,1420,42042,1816,16182,1162,7186,833,19591,1232,9491,151,26.0,0.8,5.4,0.4,30.5,1.0,9.8,0.4,8.5,0.4,17.1,0.1,21.1,0.1,14.9,0.4,6.9,0.4,3.3,0.3,63.3,0.2,14.0,0.6,5.4,0.4,2.5,0.3,7.0,0.4,1.4,0.0,0.125,0.2813,1.0,0.25,0.4063,2.0626,0.3125,0.3125,0.3125,0.1875,0.625,0.6875,2.125,0.1875,0.5313,0.5313,0.5313,1.0,0.0,0.375,0.6875,0.3438,2.4063,0.5,7.1252,0.3438,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,721027,37001,1725,15933,707,342361,0,17506,657,26351,736,378,101,20587,1785,3703,881,13.2,0.6,2.4,0.1,50.7,0.0,2.6,0.1,3.9,0.1,0.1,0.1,3.1,0.3,0.5,0.1
35,New Mexico,NM,35003,Catron County,35003,"Catron County, New Mexico",6924.184021732708,3635,0,3205,211,1609,197,1460,320,58,69,252,120,102,77,327,153,1572,216,422,99,1494,265,47,50,14,54,751,197,0,18,1025,190,0,18,91,80,181,14,40.6,8.9,5.7,6.8,15.7,7.2,3.5,2.6,9.0,4.2,43.2,6.0,11.6,2.7,41.2,7.3,2.9,3.1,0.4,1.5,20.7,5.4,0.0,0.6,32.0,5.6,0.0,1.1,5.7,5.0,5.0,0.4,0.9063,0.3438,0.125,0.0313,0.5313,1.9377,0.25,1.0,0.0,1.0,0.0625,0.0,2.0625,0.125,0.0,0.0,0.0,0.0,0.7813,0.0,0.5313,0.8125,2.1251,0.2813,6.1253,0.1563,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,3,2879,596,182,17,47,563,207,0,13,81,87,0,13,90,87,0,13,37.0,9.2,0.5,1.3,15.5,5.7,0.0,1.1,2.2,2.4,0.0,1.1,2.5,2.4,0.0,1.1
35,New Mexico,NM,35005,Chaves County,35005,"Chaves County, New Mexico",6067.174862229318,64701,0,26727,66,23280,501,20839,1768,1479,382,5788,646,7832,716,5738,956,10258,100,16402,120,12247,920,2025,400,2522,452,41290,168,1300,286,3612,405,557,137,1386,261,2529,101,33.6,2.8,5.3,1.3,24.9,2.7,18.8,1.7,9.0,1.5,15.9,0.2,25.4,0.2,19.3,1.5,8.7,1.7,4.2,0.7,63.8,0.3,4.8,1.1,13.5,1.5,2.4,0.6,6.0,1.1,3.9,0.2,0.5625,0.2188,0.5938,0.8438,0.5313,2.7502,0.5938,0.1875,0.7813,0.4688,0.9063,0.7813,3.1252,0.9688,0.5625,0.5625,0.5625,0.8125,0.125,0.3438,0.5938,0.75,2.6251,0.5625,9.063,0.75,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,61093,5754,543,950,160,38206,0,669,36,299,123,28,45,945,222,193,126,24.7,2.3,1.5,0.2,59.1,0.0,1.0,0.1,0.5,0.2,0.0,0.1,1.5,0.3,0.3,0.2
35,New Mexico,NM,35006,Cibola County,35006,"Cibola County, New Mexico",4539.982361989034,27211,0,11141,26,8124,395,10094,1309,697,256,1505,322,2902,488,3054,548,4606,0,6459,0,5602,559,488,165,868,407,22285,51,233,120,2803,423,559,189,445,130,1390,53,39.0,5.1,7.3,2.5,18.5,3.9,15.8,2.6,11.8,2.1,16.9,0.0,23.7,0.0,21.6,2.2,6.0,2.0,3.4,1.6,81.9,0.2,2.1,1.1,25.2,3.8,6.9,2.3,5.5,1.5,5.1,0.2,0.8438,0.6563,0.2188,0.6875,0.875,3.2814,0.8438,0.25,0.6875,0.625,0.5,0.7188,2.7813,0.6875,0.875,0.875,0.875,0.375,0.5625,0.9688,0.4688,0.8438,3.2189,0.8125,10.1566,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,26067,2610,400,354,204,10461,0,70,66,10696,321,12,16,668,219,24,33,32.1,4.5,1.3,0.7,38.4,0.0,0.3,0.2,39.3,1.2,0.0,0.1,2.5,0.8,0.1,0.1
35,New Mexico,NM,35007,Colfax County,35007,"Colfax County, New Mexico",3757.974501317948,12370,0,9554,244,5549,344,3916,502,169,91,1469,247,874,330,889,236,3404,46,2172,90,3002,327,250,93,62,91,6668,42,381,104,1489,276,103,62,483,174,565,524,33.2,4.0,3.2,1.7,26.5,4.1,9.5,3.5,7.5,1.9,27.5,0.4,17.6,0.7,25.4,2.5,4.5,1.7,0.5,0.8,53.9,0.3,4.0,1.1,15.6,2.8,1.9,1.1,8.7,3.1,4.6,4.2,0.5,0.0313,0.7813,0.1875,0.2813,1.7814,0.1875,0.8125,0.2188,0.9063,0.25,0.0313,2.2189,0.25,0.2813,0.2813,0.2813,0.6563,0.2188,0.2813,0.9375,0.7813,2.8752,0.6563,7.1568,0.375,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,2,11467,1389,244,71,32,6084,0,76,71,175,115,0,21,244,114,18,20,25.0,3.8,0.6,0.3,49.2,0.0,0.6,0.6,1.4,0.9,0.0,0.3,2.0,0.9,0.1,0.2
35,New Mexico,NM,35009,Curry County,35009,"Curry County, New Mexico",1405.523192050802,48327,0,21155,53,18535,350,14710,1333,1582,354,5586,594,5685,507,4092,817,6185,139,12799,0,7881,613,1453,347,1885,452,26703,251,840,264,1697,325,630,181,793,268,1099,37,31.2,2.8,7.9,1.7,30.1,3.2,19.1,1.7,9.2,1.8,12.8,0.3,26.5,0.0,17.7,1.3,7.9,1.9,4.2,1.0,55.3,0.5,4.0,1.2,8.0,1.5,3.4,1.0,4.3,1.4,2.3,0.1,0.3438,0.8125,0.9688,0.875,0.625,3.6251,0.875,0.0625,0.9063,0.375,0.7188,0.7813,2.8439,0.8438,0.3438,0.3438,0.3438,0.6563,0.0938,0.6563,0.2188,0.5313,2.1565,0.3438,8.9693,0.7188,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,47318,2359,331,2378,321,21475,0,723,151,212,83,50,65,1794,394,71,88,12.7,1.8,4.9,0.7,44.4,0.0,1.5,0.3,0.4,0.2,0.1,0.1,3.7,0.8,0.1,0.2
35,New Mexico,NM,35011,De Baca County,35011,"De Baca County, New Mexico",2323.105828688492,1695,173,1154,143,741,159,450,150,68,68,135,73,175,112,150,171,358,106,431,116,231,85,10,11,10,50,1102,232,0,18,256,82,0,18,41,42,16,3,26.8,8.5,8.5,8.2,18.2,9.0,15.4,9.9,8.9,10.6,21.1,7.0,25.4,5.8,13.8,5.9,1.3,1.5,0.7,3.4,65.0,12.0,0.0,1.6,22.2,7.0,0.0,2.4,5.5,5.4,0.9,0.2,0.1563,0.8438,0.1875,0.6563,0.5,2.3439,0.4688,0.5625,0.7813,0.0625,0.0313,0.0938,1.5314,0.0313,0.6563,0.6563,0.6563,0.0,0.4063,0.0,0.4688,0.1563,1.0314,0.0,5.563,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,186,84,1,2,1076,260,0,13,1,12,0,13,24,47,0,13,25.1,10.5,0.1,0.1,63.5,11.1,0.0,2.3,0.1,0.7,0.0,2.3,1.4,2.9,0.0,2.3
35,New Mexico,NM,35013,Doña Ana County,35013,"Doña Ana County, New Mexico",3808.187293445924,219870,0,90294,130,81969,919,75874,3594,6740,794,24254,1555,24742,1301,23536,1834,35342,142,52448,0,31829,1767,6535,744,17732,1235,162303,274,5824,853,17798,1199,3347,698,4670,643,5408,138,35.4,1.7,6.8,0.8,29.6,1.9,18.4,1.0,10.9,0.8,16.1,0.1,23.9,0.0,14.7,0.8,8.0,0.9,8.6,0.6,73.8,0.1,6.5,0.9,19.7,1.3,4.1,0.9,5.7,0.8,2.5,0.1,0.7188,0.5313,0.9375,0.8125,0.7813,3.7814,0.9375,0.2188,0.7188,0.1563,0.75,0.9375,2.7814,0.7188,0.8125,0.8125,0.8125,0.9375,0.3438,0.8438,0.5313,0.5938,3.2502,0.8438,10.6255,0.9375,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,3,210127,13447,907,3444,336,151592,0,2305,258,1552,225,149,118,2900,519,361,236,16.4,1.1,1.6,0.2,68.9,0.0,1.0,0.1,0.7,0.1,0.1,0.1,1.3,0.2,0.2,0.1
35,New Mexico,NM,35015,Eddy County,35015,"Eddy County, New Mexico",4176.344871720408,61264,0,26261,36,22703,597,12690,1523,1192,385,3047,505,6331,741,5589,949,8908,87,16074,165,9413,920,1521,429,1823,458,34638,324,554,241,4161,512,884,291,1066,295,750,29,20.9,2.5,4.2,1.3,13.4,2.2,16.0,1.9,9.2,1.6,14.5,0.1,26.2,0.3,15.5,1.5,6.7,1.9,3.2,0.8,56.5,0.5,2.2,0.9,15.8,2.0,3.9,1.3,4.7,1.3,1.2,0.0,0.0625,0.0625,0.0625,0.7188,0.625,1.5313,0.0625,0.0938,0.875,0.25,0.5938,0.6563,2.4689,0.5,0.4063,0.4063,0.4063,0.4375,0.25,0.8125,0.3438,0.25,2.0938,0.25,6.5003,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63049,4142,497,787,213,31552,0,443,84,658,133,0,31,788,289,410,328,18.2,2.1,1.3,0.3,51.5,0.0,0.7,0.1,1.1,0.2,0.0,0.1,1.3,0.5,0.7,0.5
35,New Mexico,NM,35017,Grant County,35017,"Grant County, New Mexico",3961.205272440642,28006,0,14625,31,11292,374,9025,1092,814,263,2452,376,2333,397,1390,313,7952,72,5298,84,6170,549,376,158,304,176,15209,68,642,285,3824,388,129,62,455,150,942,25,33.3,4.0,7.7,2.4,21.7,3.3,11.4,2.0,5.1,1.1,28.4,0.3,18.9,0.3,22.4,2.0,3.3,1.4,1.1,0.7,54.3,0.2,4.4,1.9,26.1,2.7,1.1,0.5,4.0,1.3,3.4,0.1,0.5313,0.7813,0.4688,0.3125,0.0938,2.1877,0.3438,0.875,0.2813,0.6563,0.125,0.1563,2.0939,0.1563,0.3125,0.3125,0.3125,0.7813,0.5938,0.1875,0.1563,0.6875,2.4064,0.5313,7.0005,0.2813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26927,1863,259,216,65,14039,0,228,35,269,133,0,25,421,161,36,52,16.5,2.3,0.8,0.2,50.1,0.0,0.8,0.1,1.0,0.5,0.0,0.1,1.5,0.6,0.1,0.2
