ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
38,North Dakota,ND,38001,Adams County,38001965600,Census Tract 9656; Adams County; North Dakota,987.546173871698,2190,0,1337,81,997,71,400,118,7,10,181,55,105,37,215,115,606,74,487,73,277,67,40,22,0,40,173,73,133,47,76,31,0,14,71,46,84,5,18.9,5.6,0.7,1.0,18.2,5.4,6.7,2.3,10.2,5.4,27.7,3.4,22.2,3.3,13.1,3.2,4.0,2.2,0.0,2.0,7.9,3.3,9.9,3.5,5.7,2.3,0.0,1.4,7.1,4.5,3.8,0.2,0.5991,0.1366,0.5419,0.5463,0.7974,2.6213,0.5771,0.9207,0.4537,0.6432,0.4802,0.0,2.4978,0.5419,0.2643,0.2643,0.2643,0.5551,0.5374,0.0,0.7445,0.7533,2.5903,0.5815,7.9737,0.5727,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2041,184,54,11,11,83,62,12,16,26,21,0,10,34,23,7,9,18.5,4.9,0.5,0.5,3.8,2.9,0.5,0.7,1.2,1.0,0.0,1.1,1.6,1.1,0.3,0.4
38,North Dakota,ND,38003,Barnes County,38003967900,Census Tract 9679; Barnes County; North Dakota,623.064619071036,1731,184,911,84,712,88,263,133,25,17,103,51,67,31,153,138,442,97,373,108,160,39,2,10,0,40,59,260,0,14,70,40,4,11,6,8,3,3,15.2,7.5,2.8,1.8,14.5,6.9,5.2,2.4,8.9,7.8,25.5,5.6,21.5,5.0,9.3,2.7,0.3,1.4,0.0,2.4,3.4,15.0,0.0,1.5,7.7,4.3,0.6,1.5,0.8,1.1,0.2,0.2,0.4449,0.5859,0.3304,0.348,0.7357,2.4449,0.4802,0.8546,0.3789,0.2775,0.0485,0.0,1.5595,0.1145,0.0441,0.0441,0.0441,0.0,0.6564,0.3612,0.1233,0.2379,1.3788,0.1057,5.4273,0.1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779,100,46,0,10,17,18,0,10,27,31,0,10,15,19,0,10,14.0,6.0,0.0,1.4,1.0,1.1,0.0,1.4,1.6,1.8,0.0,1.4,0.9,1.1,0.0,1.4
38,North Dakota,ND,38003,Barnes County,38003968000,Census Tract 9680; Barnes County; North Dakota,859.64907401309,2499,197,1478,115,1121,99,249,80,29,29,93,41,74,51,153,76,603,142,400,82,234,59,29,23,0,40,185,280,0,14,96,34,0,14,56,29,0,10,10.0,3.1,2.1,2.1,8.3,3.6,3.7,2.5,6.1,3.0,24.1,5.2,16.0,3.0,9.4,2.4,2.6,2.0,0.0,1.6,7.4,11.2,0.0,0.9,6.5,2.2,0.0,1.2,5.0,2.6,0.0,0.4,0.185,0.4449,0.0485,0.2026,0.511,1.392,0.1322,0.793,0.0969,0.2907,0.3216,0.0,1.5022,0.0969,0.2467,0.2467,0.2467,0.0,0.5991,0.0,0.63,0.0,1.2291,0.0617,4.37,0.0529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1696,221,77,16,27,14,19,0,10,12,20,6,12,137,135,0,10,19.7,6.4,0.6,1.1,0.6,0.8,0.0,1.0,0.5,0.8,0.2,0.5,5.5,5.3,0.0,1.0
38,North Dakota,ND,38003,Barnes County,38003968200,Census Tract 9682; Barnes County; North Dakota,5.848625991556,2714,215,1428,141,1305,138,720,235,108,79,280,117,96,55,173,106,425,94,409,116,487,159,33,37,0,40,343,316,203,78,187,100,0,14,140,91,383,14,30.5,9.6,6.9,4.9,21.5,8.7,6.0,3.5,6.4,3.8,15.7,3.7,15.1,3.5,17.9,5.7,2.5,2.8,0.0,1.5,12.6,11.6,14.2,5.3,13.1,6.7,0.0,1.1,10.7,6.7,14.1,1.2,0.8855,0.9251,0.674,0.4493,0.533,3.4669,0.837,0.4053,0.0617,0.9163,0.3172,0.0,1.7005,0.141,0.5154,0.5154,0.5154,0.652,0.793,0.0,0.8767,0.9559,3.2776,0.8987,8.9604,0.7137,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,4528,283,136,54,41,161,74,77,63,23,24,4,7,24,28,0,10,21.7,9.3,2.0,1.5,5.9,2.8,2.8,2.4,0.8,0.9,0.1,0.3,0.9,1.0,0.0,0.9
38,North Dakota,ND,38003,Barnes County,38003968300,Census Tract 9683; Barnes County; North Dakota,2.996420246992,3882,212,1876,127,1754,131,710,202,27,31,524,152,142,73,182,100,975,130,984,114,510,135,169,80,9,41,501,340,564,133,0,10,17,20,73,53,231,10,19.4,5.4,1.5,1.7,29.9,8.4,5.4,2.7,5.0,2.7,25.1,3.1,25.3,2.6,13.9,3.5,9.7,4.5,0.2,1.1,12.9,8.7,30.0,6.8,0.0,1.3,1.0,1.1,4.2,3.0,6.0,0.4,0.6167,0.3084,0.8502,0.3877,0.3965,2.5595,0.5463,0.8458,0.6696,0.7004,0.8855,0.4537,3.555,0.9736,0.5286,0.5286,0.5286,0.7974,0.0,0.4758,0.5639,0.8634,2.7005,0.6123,9.3436,0.7665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3829,244,69,131,62,61,58,60,56,88,43,0,10,161,123,0,10,13.9,4.0,3.4,1.6,1.6,1.5,1.5,1.4,2.3,1.1,0.0,0.6,4.1,3.2,0.0,0.6
38,North Dakota,ND,38005,Benson County,38005940100,Census Tract 9401; Benson County; North Dakota,250.001865080648,2081,229,695,52,514,61,824,180,13,11,37,21,144,39,204,80,229,40,896,141,305,75,67,28,33,45,1771,235,40,18,117,43,107,43,48,28,17,17,40.1,7.6,2.2,1.9,7.2,4.0,14.6,3.9,9.9,3.8,11.0,1.8,43.1,3.5,14.7,3.5,13.0,5.2,1.9,2.5,85.1,6.3,5.8,2.6,16.8,5.9,20.8,8.0,9.3,5.3,0.8,0.8,0.9559,0.4714,0.0044,0.9427,0.7841,3.1585,0.7577,0.1938,0.9956,0.7665,0.9648,0.9163,3.837,1.0,0.9868,0.9868,0.9868,0.4714,0.8811,1.0,0.8546,0.3965,3.6036,0.9604,11.5859,0.9736,1,0,0,1,0,2,0,1,0,1,1,3,1,1,0,0,1,0,0,1,7,2601,147,36,3,5,2,4,0,10,1693,219,0,10,73,39,0,10,28.6,6.8,0.1,0.3,0.1,0.2,0.0,1.2,81.4,3.3,0.0,1.2,3.5,1.8,0.0,1.2
38,North Dakota,ND,38005,Benson County,38005940200,Census Tract 9402; Benson County; North Dakota,168.635634623736,2105,231,774,64,548,71,1047,235,7,6,96,38,180,61,207,82,168,49,830,139,238,55,125,37,40,45,1733,244,0,14,248,49,74,29,76,22,0,10,49.7,9.7,1.0,0.9,17.5,6.6,16.6,5.3,9.8,3.5,8.0,2.1,39.4,3.3,11.3,2.5,22.8,6.1,2.1,2.3,82.3,7.3,0.0,1.8,32.0,6.0,13.5,5.0,13.9,3.8,0.0,0.5,0.9692,0.1982,0.4978,0.978,0.7797,3.4229,0.8326,0.1101,0.9736,0.4846,1.0,0.9207,3.489,0.9648,0.9824,0.9824,0.9824,0.0,0.9824,0.978,0.9471,0.0,2.9075,0.696,10.8018,0.9251,1,0,0,1,0,2,0,1,0,1,1,3,1,1,0,1,1,1,0,3,9,1080,124,33,0,10,40,36,31,29,1547,228,9,11,106,46,0,10,22.6,5.5,0.0,1.2,1.9,1.7,1.5,1.4,73.5,5.5,0.4,0.5,5.0,2.1,0.0,1.2
38,North Dakota,ND,38005,Benson County,38005956700,Census Tract 9567; Benson County; North Dakota,969.917173541858,1774,94,1105,65,807,63,460,128,27,12,165,47,107,40,64,26,440,39,363,40,244,41,65,32,12,40,75,128,37,22,68,28,7,12,48,23,3,3,26.0,7.1,3.2,1.4,20.4,5.6,8.3,3.0,3.6,1.4,24.8,1.7,20.5,1.8,13.8,2.2,8.0,3.9,0.7,2.4,4.2,7.2,3.3,2.0,6.2,2.5,0.9,1.5,5.9,2.8,0.2,0.2,0.8194,0.6608,0.6344,0.6696,0.1982,2.9824,0.7048,0.8238,0.2952,0.6916,0.8238,0.7269,3.3613,0.9339,0.0749,0.0749,0.0749,0.3656,0.5639,0.4626,0.7004,0.2379,2.3304,0.4626,8.749,0.6872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1671,142,34,12,12,39,35,4,4,17,17,0,10,3,4,0,10,17.6,3.8,0.7,0.7,2.2,1.9,0.2,0.2,1.0,1.0,0.0,1.4,0.2,0.3,0.0,1.4
38,North Dakota,ND,38007,Billings County,38007963100,Census Tract 9631; Billings County; North Dakota,1148.487917261744,839,100,493,36,320,42,114,36,9,12,31,16,29,13,46,37,212,41,169,44,65,28,6,12,0,40,12,140,9,10,77,28,0,14,12,11,25,5,13.8,4.0,2.1,2.8,9.7,4.8,4.8,2.3,5.5,4.6,25.3,4.6,20.1,4.1,7.7,3.2,1.9,3.7,0.0,5.1,1.4,16.7,1.8,2.0,15.6,5.7,0.0,4.4,3.8,3.3,3.0,0.5,0.37,0.4449,0.0925,0.3084,0.4405,1.6563,0.2026,0.8502,0.2687,0.1366,0.1938,0.0,1.4493,0.0749,0.0044,0.0044,0.0044,0.2907,0.859,0.0,0.5066,0.674,2.3303,0.4581,5.4403,0.1366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,55,20,0,10,12,19,0,10,0,10,0,10,0,10,0,10,17.2,6.0,0.0,2.9,1.4,2.2,0.0,2.9,0.0,2.9,0.0,2.9,0.0,2.9,0.0,2.9
38,North Dakota,ND,38009,Bottineau County,38009952300,Census Tract 9523; Bottineau County; North Dakota,3.998280805408,2340,186,980,78,850,78,363,89,73,51,95,38,98,46,105,52,509,68,594,131,362,95,51,24,0,40,428,266,113,50,81,51,3,10,16,16,264,16,17.5,4.0,6.1,4.2,11.2,4.4,7.0,3.2,4.7,2.3,21.8,3.0,25.4,4.1,16.1,4.5,6.0,2.8,0.0,1.8,18.3,11.3,11.6,5.0,8.3,5.0,0.4,1.2,1.9,1.9,11.3,1.1,0.5595,0.9031,0.1498,0.5683,0.3612,2.5419,0.533,0.7093,0.674,0.8458,0.696,0.0,2.9251,0.7577,0.7093,0.7093,0.7093,0.5903,0.6696,0.3128,0.2819,0.9383,2.7929,0.6564,8.9692,0.7181,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3505,118,47,31,34,25,14,20,27,313,52,0,10,39,36,0,10,13.9,5.3,1.3,1.4,1.1,0.6,0.9,1.1,13.4,2.7,0.0,1.1,1.7,1.5,0.0,1.1
38,North Dakota,ND,38009,Bottineau County,38009952400,Census Tract 9524; Bottineau County; North Dakota,870.803768515966,2320,199,2112,96,1066,100,229,78,28,29,147,69,123,50,145,81,684,94,372,98,228,80,25,25,0,40,38,284,0,14,216,82,7,15,27,22,0,10,10.0,3.3,2.3,2.3,13.8,6.3,6.6,2.6,6.3,3.3,29.5,3.9,16.0,3.4,9.8,3.3,2.3,2.3,0.0,1.8,1.6,12.2,0.0,0.7,10.2,3.8,0.7,1.4,2.5,2.0,0.0,0.4,0.185,0.4846,0.2819,0.533,0.5242,2.0087,0.304,0.9648,0.0969,0.3304,0.2731,0.0,1.6652,0.1366,0.0088,0.0088,0.0088,0.0,0.7225,0.3921,0.3744,0.0,1.489,0.1366,5.1717,0.1145,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,671,123,45,0,10,0,10,0,10,6,8,0,10,32,33,0,10,11.5,4.1,0.0,1.1,0.0,1.1,0.0,1.1,0.3,0.4,0.0,1.1,1.4,1.4,0.0,1.1
