ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
38,North Dakota,ND,38001,Adams County,38001,"Adams County, North Dakota",987.546173871698,2190,0,1337,81,997,71,400,118,7,10,181,55,105,37,215,115,606,74,487,73,277,67,40,22,0,40,173,73,133,47,76,31,0,14,71,46,84,5,18.9,5.6,0.7,1.0,18.2,5.4,6.7,2.3,10.2,5.4,27.7,3.4,22.2,3.3,13.1,3.2,4.0,2.2,0.0,2.0,7.9,3.3,9.9,3.5,5.7,2.3,0.0,1.4,7.1,4.5,3.8,0.2,0.5962,0.0385,0.5962,0.2885,0.8269,2.3463,0.4423,0.8654,0.4615,0.6346,0.5385,0.0,2.5,0.5769,0.3269,0.3269,0.3269,0.7692,0.3077,0.0,0.8654,0.6731,2.6154,0.5385,7.7886,0.4808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2041,184,54,11,11,83,62,12,16,26,21,0,10,34,23,7,9,18.5,4.9,0.5,0.5,3.8,2.9,0.5,0.7,1.2,1.0,0.0,1.1,1.6,1.1,0.3,0.4
38,North Dakota,ND,38003,Barnes County,38003,"Barnes County, North Dakota",1491.558739322674,10826,0,5693,39,4892,125,1942,318,189,86,1000,190,379,118,661,195,2445,30,2166,40,1391,227,233,92,9,63,1088,180,767,154,353,106,21,23,275,104,617,17,19.0,3.1,3.3,1.5,20.4,3.8,5.0,1.6,6.2,1.8,22.6,0.3,20.0,0.4,13.1,2.1,4.7,1.9,0.1,0.6,10.0,1.7,13.4,2.7,6.2,1.9,0.4,0.5,5.6,2.1,5.7,0.2,0.6154,0.75,0.8846,0.0769,0.5,2.8269,0.6154,0.4808,0.0769,0.6346,0.6923,0.2115,2.0961,0.25,0.5577,0.5577,0.5577,0.8269,0.3462,0.2308,0.7115,0.8846,3.0,0.6923,8.4807,0.6346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10832,848,178,201,34,253,0,137,17,150,43,10,14,337,192,0,16,17.3,3.6,1.9,0.3,2.3,0.0,1.3,0.2,1.4,0.4,0.1,0.1,3.1,1.8,0.0,0.2
38,North Dakota,ND,38005,Benson County,38005,"Benson County, North Dakota",1388.554673246242,5960,0,2574,19,1869,79,2331,299,47,18,298,60,431,73,475,117,837,0,2089,0,787,98,257,55,85,64,3579,15,77,29,433,66,188,54,172,37,20,19,39.3,5.0,2.2,0.9,15.9,3.1,12.8,2.2,8.0,2.0,14.0,0.0,35.1,0.0,13.2,1.6,13.8,2.9,1.6,100.0,60.1,0.3,3.0,1.1,16.8,2.6,10.1,2.9,9.2,1.9,0.3,0.3,0.9808,0.4231,0.4038,0.9231,0.7115,3.4423,0.8846,0.1731,0.9808,0.6731,0.9808,0.9038,3.7116,1.0,0.9615,0.9615,0.9615,0.4808,0.8846,0.9808,0.9808,0.1154,3.4424,0.9808,11.5578,0.9615,1,0,0,1,0,2,0,1,0,1,1,3,1,1,0,0,1,1,0,2,8,5352,413,60,15,12,81,49,35,29,3257,91,9,11,182,59,0,15,22.1,3.1,0.3,0.2,1.4,0.8,0.6,0.5,54.6,1.5,0.2,0.2,3.1,1.0,0.0,0.4
38,North Dakota,ND,38007,Billings County,38007,"Billings County, North Dakota",1148.487917261744,839,100,493,36,320,42,114,36,9,12,31,16,29,13,46,37,212,41,169,44,65,28,6,12,0,40,12,140,9,10,77,28,0,14,12,11,25,5,13.8,4.0,2.1,2.8,9.7,4.8,4.8,2.3,5.5,4.6,25.3,4.6,20.1,4.1,7.7,3.2,1.9,3.7,0.0,5.1,1.4,16.7,1.8,2.0,15.6,5.7,0.0,4.4,3.8,3.3,3.0,0.5,0.1346,0.4038,0.0769,0.0577,0.3269,0.9999,0.0577,0.7115,0.1154,0.0,0.1154,0.0,0.9423,0.0,0.0,0.0,0.0,0.1923,0.8654,0.0,0.4423,0.5385,2.0385,0.3462,3.9807,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787,55,20,0,10,12,19,0,10,0,10,0,10,0,10,0,10,17.2,6.0,0.0,2.9,1.4,2.2,0.0,2.9,0.0,2.9,0.0,2.9,0.0,2.9,0.0,2.9
38,North Dakota,ND,38009,Bottineau County,38009,"Bottineau County, North Dakota",1668.857090079192,6411,0,3976,30,2613,132,800,144,110,57,334,85,326,77,501,115,1578,29,1392,16,853,123,111,42,0,60,632,9,113,50,338,101,37,25,57,29,288,15,13.1,2.4,3.5,1.8,12.8,3.2,7.3,1.7,8.0,1.8,24.6,0.4,21.7,0.3,13.6,2.0,4.2,1.6,0.0,1.0,9.9,0.1,2.9,1.3,8.5,2.5,1.5,1.0,2.2,1.1,4.5,0.2,0.1154,0.7885,0.1538,0.3654,0.7115,2.1346,0.3269,0.5962,0.2885,0.7692,0.6346,0.0,2.2885,0.3462,0.5385,0.5385,0.5385,0.4615,0.5769,0.5962,0.1731,0.8462,2.6539,0.5577,7.6155,0.4423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5543,307,58,31,34,160,0,24,26,327,52,0,15,88,47,2,3,11.7,2.2,0.5,0.5,2.5,0.0,0.4,0.4,5.1,0.8,0.0,0.4,1.4,0.7,0.0,0.1
38,North Dakota,ND,38011,Bowman County,38011,"Bowman County, North Dakota",1161.808198422912,2975,0,1645,21,1188,76,474,142,62,36,108,37,222,87,300,137,683,16,746,19,313,75,37,26,51,67,241,10,41,27,162,47,16,23,19,14,78,5,16.4,4.9,4.1,2.4,9.1,3.1,11.0,4.3,10.3,4.7,23.0,0.5,25.1,0.7,10.8,2.6,3.1,2.2,1.8,2.4,8.1,0.3,2.5,1.6,9.8,2.8,1.3,1.9,1.6,1.1,2.6,0.2,0.3654,0.8462,0.0192,0.8462,0.8462,2.9232,0.6731,0.5192,0.8462,0.25,0.2692,0.9423,2.8269,0.7308,0.3654,0.3654,0.3654,0.3269,0.6923,0.4615,0.0962,0.4231,2.0,0.3269,8.1155,0.5192,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2846,154,53,0,10,162,0,0,10,33,24,9,14,37,24,0,10,13.0,4.6,0.0,0.8,5.4,0.0,0.0,0.8,1.1,0.8,0.3,0.5,1.2,0.8,0.0,0.8
38,North Dakota,ND,38013,Burke County,38013,"Burke County, North Dakota",1103.618667546902,2184,0,1413,67,950,64,249,76,22,17,89,27,125,36,82,37,467,71,540,71,267,58,11,13,15,37,156,52,47,20,102,30,18,15,12,12,5,6,11.4,3.5,2.0,1.5,9.4,2.8,8.1,2.4,3.8,1.7,21.4,3.3,24.7,3.2,12.2,2.7,1.2,1.4,0.7,1.8,7.1,2.4,3.3,1.4,7.2,2.1,1.9,1.6,1.3,1.3,0.2,0.3,0.0192,0.3462,0.0385,0.4615,0.0962,0.9616,0.0385,0.3846,0.8077,0.4808,0.0385,0.7115,2.4231,0.4615,0.25,0.25,0.25,0.5,0.4231,0.7115,0.0577,0.0962,1.7885,0.1923,5.4232,0.1154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1468,107,31,15,16,23,19,56,17,12,16,0,10,50,35,0,10,11.3,3.2,0.7,0.7,1.1,0.9,2.6,0.8,0.5,0.7,0.0,1.1,2.3,1.6,0.0,1.1
38,North Dakota,ND,38015,Burleigh County,38015,"Burleigh County, North Dakota",1632.693758608218,98443,0,42968,58,39885,483,11847,1160,1439,329,7769,710,3364,505,4541,728,16772,114,22918,0,10932,782,2339,405,313,146,13435,642,7682,590,3250,440,636,244,2275,339,3631,72,12.5,1.2,2.7,0.6,19.5,1.8,5.1,0.8,4.7,0.8,17.0,0.1,23.3,0.0,11.3,0.8,5.9,1.0,0.3,0.2,13.6,0.7,17.9,1.4,7.6,1.0,1.6,0.6,5.7,0.8,3.7,0.1,0.0962,0.5769,0.7885,0.0962,0.1731,1.7309,0.2308,0.2115,0.6346,0.3077,0.8462,0.4615,2.4615,0.5192,0.6923,0.6923,0.6923,0.8846,0.4615,0.6154,0.75,0.6538,3.3653,0.8462,8.25,0.5769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109240,4737,496,1900,308,2826,0,813,107,3179,486,654,445,3978,874,85,48,11.9,1.2,1.9,0.3,2.9,0.0,0.8,0.1,3.2,0.5,0.7,0.5,4.0,0.9,0.1,0.1
38,North Dakota,ND,38017,Cass County,38017,"Cass County, North Dakota",1764.933843029692,186328,0,85944,132,79505,756,30702,2212,3193,563,19109,1339,5108,629,10880,1304,23344,137,41295,0,18506,1253,3944,617,1790,485,30988,437,31126,1257,2052,329,1755,404,4809,662,5826,100,17.0,1.2,2.8,0.5,24.0,1.7,4.4,0.5,5.9,0.7,12.5,0.1,22.2,0.0,10.0,0.7,5.0,0.8,1.0,100.0,16.6,0.2,36.2,1.5,2.4,0.4,2.2,0.5,6.0,0.8,3.1,0.1,0.4231,0.6154,0.9615,0.0192,0.3846,2.4038,0.4615,0.0962,0.4615,0.1154,0.75,0.7885,2.2116,0.2885,0.7885,0.7885,0.7885,1.0,0.0385,0.7692,0.8077,0.5577,3.1731,0.75,8.577,0.6538,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,207138,9105,915,12019,436,5592,0,5965,345,1685,250,4,8,5267,627,456,360,11.5,1.2,6.5,0.2,3.0,0.0,3.2,0.2,0.9,0.1,0.0,0.1,2.8,0.3,0.2,0.2
38,North Dakota,ND,38019,Cavalier County,38019,"Cavalier County, North Dakota",1489.124580113182,3691,0,2114,16,1519,105,554,123,15,17,280,80,178,47,210,77,1041,54,831,61,382,78,62,27,25,50,256,28,107,56,73,35,0,14,70,40,106,14,15.5,3.4,0.9,1.0,18.4,5.1,6.7,1.8,5.9,2.1,28.2,1.5,22.5,1.6,10.7,2.2,4.1,1.8,0.7,1.5,6.9,0.8,5.1,2.6,3.5,1.7,0.0,0.9,4.6,2.6,2.9,0.4,0.2885,0.0962,0.6154,0.2885,0.3846,1.6732,0.2115,0.9231,0.5577,0.2308,0.5962,0.7115,3.0193,0.8846,0.2308,0.2308,0.2308,0.5769,0.0962,0.0,0.5577,0.5,1.7308,0.1346,6.6541,0.25,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2864,278,78,0,10,33,43,5,8,64,45,0,10,121,50,33,28,18.3,4.8,0.0,0.7,0.9,1.2,0.1,0.2,1.7,1.2,0.0,0.7,3.3,1.4,0.9,0.8
