ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
39,Ohio,OH,39001,Adams County,39001,"Adams County, Ohio",583.871655245132,27509,0,12716,29,10175,330,8772,879,643,209,2548,345,2823,437,2326,477,5013,72,6565,76,6281,494,705,157,5,89,1155,92,110,67,2911,307,138,72,791,220,358,7,32.4,3.2,5.8,1.8,25.0,3.3,15.0,2.3,8.5,1.8,18.2,0.3,23.9,0.3,23.0,1.8,6.9,1.5,0.0,0.3,4.2,0.3,0.9,0.5,22.9,2.4,1.4,0.7,7.8,2.2,1.3,0.0,0.954,0.8506,0.8736,0.9195,0.8506,4.4483,0.9885,0.3333,0.908,0.954,0.7931,0.0,2.9884,0.8621,0.046,0.046,0.046,0.0345,0.954,0.5172,0.7931,0.3218,2.6206,0.5517,10.1033,0.8966,1,0,0,1,0,2,0,1,1,0,0,2,0,0,0,1,0,0,0,1,5,22892,2055,303,97,56,303,0,127,2,38,41,6,16,548,91,36,63,20.2,2.9,0.4,0.2,1.1,0.0,0.5,0.1,0.1,0.1,0.0,0.1,2.0,0.3,0.1,0.2
39,Ohio,OH,39003,Allen County,39003,"Allen County, Ohio",402.545075681576,102087,0,44692,87,40735,430,21064,1556,2995,474,8795,635,5489,504,6197,819,18753,82,23916,0,16017,878,3158,398,302,160,20573,247,2644,389,1741,310,636,176,3068,337,3507,102,21.5,1.6,6.1,1.0,21.6,1.5,8.0,0.7,6.2,0.8,18.4,0.1,23.4,0.0,16.1,0.9,7.8,1.0,0.3,0.2,20.2,0.2,5.9,0.9,3.9,0.7,1.6,0.4,7.5,0.8,3.4,0.1,0.5057,0.8966,0.5977,0.3103,0.5287,2.839,0.5747,0.4138,0.7701,0.5747,0.954,0.2874,3.0,0.8736,0.8966,0.8966,0.8966,0.7356,0.3103,0.6552,0.7586,0.7701,3.2298,0.8851,9.9654,0.8621,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,112136,5229,537,10914,538,3548,0,843,120,99,55,15,23,4886,560,268,130,12.8,1.3,10.7,0.5,3.5,0.0,0.8,0.1,0.1,0.1,0.0,0.1,4.8,0.5,0.3,0.1
39,Ohio,OH,39005,Ashland County,39005,"Ashland County, Ohio",422.985627918094,52522,0,22491,65,20478,343,10581,1115,956,239,4017,438,3619,448,4236,953,10297,111,11781,38,7606,567,655,174,314,257,2852,160,874,204,1088,212,397,147,1409,304,1724,47,20.9,2.2,3.7,0.9,19.6,2.1,10.1,1.3,8.2,1.8,19.6,0.2,22.4,0.1,14.6,1.1,3.2,0.8,0.6,0.5,5.4,0.3,3.8,0.9,4.8,0.9,2.0,0.7,6.9,1.5,3.3,0.1,0.4598,0.2644,0.3563,0.5977,0.8276,2.5058,0.4483,0.7011,0.5172,0.4023,0.0345,0.6437,2.2988,0.4023,0.1724,0.1724,0.1724,0.5517,0.4253,0.8391,0.5977,0.7471,3.1609,0.8391,8.1379,0.5172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47490,3088,370,408,88,883,0,320,54,27,26,6,11,1136,177,72,91,15.1,1.7,0.8,0.2,1.7,0.0,0.6,0.1,0.1,0.1,0.0,0.1,2.2,0.3,0.1,0.2
39,Ohio,OH,39007,Ashtabula County,39007,"Ashtabula County, Ohio",702.594705559462,97666,0,46291,49,38549,538,28308,1825,3460,429,10226,674,9195,758,9490,1087,19178,142,21331,70,16336,1009,2447,363,524,182,12241,427,2085,312,4044,430,626,161,3274,373,3345,62,30.0,1.9,7.6,0.9,26.5,1.7,13.4,1.1,10.0,1.1,19.6,0.1,21.8,0.1,17.2,1.1,6.3,0.9,0.6,0.2,12.5,0.4,4.5,0.7,8.7,0.9,1.7,0.4,8.5,1.0,3.4,0.1,0.9195,1.0,0.954,0.8506,0.8966,4.6207,1.0,0.7011,0.3678,0.7126,0.6552,0.6437,3.0804,0.9195,0.6897,0.6897,0.6897,0.6437,0.7011,0.7241,0.8506,0.7701,3.6896,0.9655,12.0804,1.0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86255,5880,501,3385,296,4625,0,371,112,85,47,36,57,3440,468,299,211,15.3,1.3,3.5,0.3,4.7,0.0,0.4,0.1,0.1,0.1,0.0,0.1,3.5,0.5,0.3,0.2
39,Ohio,OH,39009,Athens County,39009,"Athens County, Ohio",503.643797114164,61276,0,26420,141,22582,506,18584,1086,1706,260,6989,576,2986,398,3616,522,8770,69,9107,0,10484,861,910,203,389,219,6469,120,2498,327,3638,444,307,112,1519,260,7922,322,34.8,2.0,5.7,0.8,30.9,2.5,8.3,1.1,6.0,0.9,14.3,0.1,14.9,0.0,17.3,1.4,4.1,0.9,0.7,0.4,10.6,0.2,9.5,1.2,13.8,1.7,1.4,0.5,6.7,1.1,12.9,0.5,0.977,0.8161,1.0,0.3678,0.4828,3.6437,0.8621,0.0345,0.0,0.7471,0.1149,0.7356,1.6321,0.0575,0.5977,0.5977,0.5977,0.8851,0.8046,0.5172,0.5747,0.9885,3.7701,0.9885,9.6436,0.8046,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,65504,3807,608,1507,153,1231,0,1600,223,69,48,19,27,1929,260,114,104,16.9,2.7,2.5,0.2,2.0,0.0,2.6,0.4,0.1,0.1,0.0,0.1,3.1,0.4,0.2,0.2
39,Ohio,OH,39011,Auglaize County,39011,"Auglaize County, Ohio",401.38786312244,46263,0,19961,47,18858,277,5641,679,706,172,2897,306,2074,323,1918,348,8711,70,10979,133,5595,521,989,215,86,117,2411,248,718,203,765,204,285,123,686,183,521,14,12.4,1.5,2.9,0.7,15.4,1.6,6.6,1.0,4.2,0.8,18.8,0.2,23.7,0.3,12.2,1.1,5.2,1.1,0.2,0.3,5.2,0.5,3.6,1.0,3.8,1.0,1.5,0.7,3.6,1.0,1.1,0.0,0.069,0.069,0.0575,0.1379,0.0575,0.3909,0.069,0.5402,0.8506,0.1379,0.3563,0.1609,2.0459,0.2069,0.1379,0.1379,0.1379,0.4943,0.2759,0.5977,0.0805,0.1839,1.6323,0.1264,4.207,0.0575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43695,2341,343,399,98,849,0,152,60,19,17,0,26,950,276,42,31,12.4,1.8,0.9,0.2,1.8,0.0,0.3,0.1,0.0,0.1,0.0,0.1,2.1,0.6,0.1,0.1
39,Ohio,OH,39013,Belmont County,39013,"Belmont County, Ohio",532.126382194038,66554,0,31636,74,25974,434,14269,1230,1828,400,4593,465,4164,484,4114,551,14041,73,12413,75,10158,763,1279,236,112,119,5549,127,1481,252,1961,319,177,73,1802,245,3753,51,22.7,2.0,6.0,1.3,17.7,1.8,8.5,1.0,6.5,0.9,21.1,0.1,18.7,0.1,16.1,1.2,4.9,0.9,0.2,0.2,8.3,0.2,4.6,0.8,6.2,1.0,0.7,0.3,6.9,0.9,5.6,0.1,0.5747,0.8851,0.1724,0.4023,0.5517,2.5862,0.5057,0.8621,0.0345,0.5747,0.2414,0.1609,1.8736,0.1149,0.4828,0.4828,0.4828,0.6667,0.5402,0.0575,0.5977,0.9195,2.7816,0.6437,7.7242,0.4023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,59254,4678,459,1996,250,776,0,403,69,40,30,38,32,2249,296,47,39,18.0,1.7,3.0,0.4,1.2,0.0,0.6,0.1,0.1,0.1,0.1,0.1,3.4,0.4,0.1,0.1
39,Ohio,OH,39015,Brown County,39015,"Brown County, Ohio",489.54327408156,43715,0,19374,46,16958,365,10583,1100,873,178,3803,470,3819,485,2806,516,8079,103,9974,33,7349,576,997,251,21,101,1796,38,329,112,2894,280,305,144,995,269,589,12,24.6,2.6,4.4,0.9,22.4,2.7,12.5,1.6,6.5,1.2,18.5,0.2,22.8,0.1,17.0,1.3,5.9,1.5,0.1,0.2,4.1,0.1,1.7,0.6,14.9,1.4,1.8,0.8,5.9,1.6,1.3,0.0,0.6897,0.4138,0.6667,0.8276,0.5517,3.1495,0.6552,0.4368,0.5862,0.6897,0.5402,0.0115,2.2644,0.3563,0.0345,0.0345,0.0345,0.1494,0.8506,0.7586,0.4828,0.3218,2.5632,0.5172,8.0116,0.4828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30521,3105,409,394,99,545,0,115,87,9,10,0,26,731,148,2,7,18.3,2.4,0.9,0.2,1.2,0.0,0.3,0.2,0.0,0.1,0.0,0.1,1.7,0.3,0.0,0.1
39,Ohio,OH,39017,Butler County,39017,"Butler County, Ohio",466.52346395954197,388327,0,154056,163,144536,891,70707,3663,9906,1032,32558,1715,22000,1217,24210,1776,59678,18,90424,58,46448,1733,9320,809,7560,989,85920,1273,14315,1022,3621,521,2161,418,7045,642,10622,319,18.8,1.0,5.1,0.5,22.5,1.2,8.8,0.5,6.3,0.5,15.4,0.1,23.3,0.1,12.1,0.5,6.4,0.6,2.1,0.3,22.1,0.3,9.3,0.7,2.4,0.3,1.5,0.3,4.9,0.4,2.7,0.1,0.3333,0.7126,0.6897,0.4713,0.5402,2.7471,0.5517,0.069,0.7241,0.1264,0.6782,0.9885,2.5862,0.6322,0.908,0.908,0.908,0.8621,0.1839,0.5977,0.3333,0.6897,2.6667,0.5977,8.908,0.6552,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,368921,13880,987,31785,1066,20213,0,15366,628,126,78,199,179,16739,1659,1492,534,9.6,0.7,8.2,0.3,5.2,0.0,4.0,0.2,0.0,0.1,0.1,0.1,4.3,0.4,0.4,0.1
39,Ohio,OH,39019,Carroll County,39019,"Carroll County, Ohio",394.61203943282,26761,0,13407,30,11355,336,5620,698,486,139,2016,295,2140,459,2787,671,5827,122,5485,32,4659,446,617,166,146,133,1348,206,63,46,1650,257,182,93,793,216,401,20,21.4,2.7,3.9,1.1,17.8,2.5,11.1,2.4,10.5,2.5,21.8,0.5,20.5,0.1,17.6,1.7,5.4,1.5,0.6,0.5,5.0,0.8,0.4,0.3,12.3,1.9,1.6,0.8,7.0,1.9,1.5,0.1,0.4943,0.3218,0.1954,0.7126,0.9425,2.6666,0.5287,0.908,0.1494,0.8161,0.3908,0.6437,2.908,0.8391,0.1264,0.1264,0.1264,0.0,0.7816,0.6552,0.6437,0.4023,2.4828,0.4713,8.1838,0.5287,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,17974,2644,347,208,68,372,0,0,23,0,23,0,23,690,153,78,140,23.3,2.9,0.8,0.3,1.4,0.0,0.0,0.1,0.0,0.1,0.0,0.1,2.6,0.6,0.3,0.5
