ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
40,Oklahoma,OK,40001,Adair County,40001376600,Census Tract 3766; Adair County; Oklahoma,79.510754361286,2203,217,1030,94,847,97,768,154,43,28,174,57,221,51,407,108,471,73,453,131,489,86,42,21,10,39,969,301,8,14,285,53,36,23,58,30,156,17,35.9,6.2,5.5,3.5,20.5,6.3,14.6,3.5,19.0,4.6,21.4,3.5,20.6,4.6,22.8,4.0,4.9,2.4,0.5,1.9,44.0,13.0,0.8,1.4,27.7,5.3,4.3,2.7,6.8,3.5,7.1,0.3,0.76,0.6388,0.4434,0.7333,0.7659,3.3414,0.7502,0.8226,0.2714,0.8127,0.3596,0.413,2.6793,0.6119,0.7302,0.7302,0.7302,0.4238,0.928,0.8039,0.7125,0.9126,3.7808,0.9757,10.5317,0.8726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1178,334,61,25,32,166,80,0,10,615,149,4,7,159,77,0,10,39.4,6.2,1.1,1.4,7.5,3.5,0.0,1.0,27.9,6.5,0.2,0.3,7.2,3.5,0.0,1.0
40,Oklahoma,OK,40001,Adair County,40001376700,Census Tract 3767; Adair County; Oklahoma,139.564763687154,5127,473,1994,133,1738,138,1731,366,182,100,379,88,476,132,1130,276,716,107,1384,254,1071,183,147,57,37,58,2465,563,22,14,495,119,60,41,191,75,0,14,33.9,6.4,8.7,4.8,21.8,4.8,13.9,3.6,22.0,4.6,14.0,2.2,27.0,3.4,20.9,3.5,8.5,3.2,0.8,1.2,48.1,10.0,1.2,0.7,24.8,5.8,3.5,2.3,11.0,4.2,0.0,0.3,0.7174,0.8503,0.5046,0.7033,0.8562,3.6318,0.8273,0.3647,0.7535,0.7341,0.7158,0.5204,3.0885,0.8298,0.786,0.786,0.786,0.4665,0.9003,0.7075,0.8625,0.0,2.9368,0.7519,10.4431,0.8567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3952,547,114,0,14,396,183,201,72,1357,254,0,14,511,191,0,14,31.5,6.0,0.0,0.4,7.7,3.4,3.9,1.4,26.5,4.4,0.0,0.4,10.0,3.6,0.0,0.4
40,Oklahoma,OK,40001,Adair County,40001376800,Census Tract 3768; Adair County; Oklahoma,184.169979479806,4165,366,1638,97,1384,93,1082,188,87,36,204,48,424,75,1051,123,616,71,1102,186,786,102,88,29,8,38,3038,401,0,14,377,70,33,17,94,31,0,10,26.4,4.0,5.1,2.0,14.7,3.3,16.4,2.5,25.3,3.1,14.8,1.9,26.5,2.8,18.9,2.0,6.4,2.1,0.2,1.0,72.9,7.2,0.0,0.9,23.0,3.6,2.4,1.2,6.8,2.3,0.0,0.2,0.5309,0.5928,0.1945,0.7925,0.9214,3.0321,0.6588,0.413,0.7277,0.6171,0.5381,0.2806,2.5765,0.5432,0.945,0.945,0.945,0.0,0.8777,0.5298,0.7125,0.0,2.12,0.4166,8.6736,0.6429,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2854,678,86,13,21,208,105,3,8,2364,242,0,10,450,128,0,10,49.0,5.3,0.3,0.5,5.0,2.4,0.1,0.2,56.8,4.1,0.0,0.5,10.8,2.9,0.0,0.5
40,Oklahoma,OK,40001,Adair County,40001376900,Census Tract 3769; Adair County; Oklahoma,15.380316026904,4113,160,1928,115,1601,113,1939,319,110,55,490,114,672,123,846,159,561,79,1089,130,945,162,171,60,68,54,2847,240,56,33,284,68,49,33,300,99,138,4,48.8,7.8,7.0,3.1,30.6,6.8,25.8,4.4,21.3,3.9,13.6,1.9,26.5,2.9,23.7,4.1,10.7,3.7,1.8,1.4,69.2,5.2,2.9,1.7,14.7,3.4,3.0,2.1,18.7,5.7,3.4,0.2,0.9264,0.7517,0.7871,0.9417,0.8386,4.2455,0.9472,0.3322,0.7277,0.8478,0.8332,0.7269,3.4678,0.948,0.9301,0.9301,0.9301,0.5653,0.7471,0.6245,0.9556,0.8251,3.7176,0.9631,12.361,0.9899,1,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,6251,802,122,28,43,458,172,7,11,1970,202,0,10,384,150,0,10,50.1,6.9,0.7,1.1,11.1,4.2,0.2,0.3,47.9,5.2,0.0,0.5,9.3,3.4,0.0,0.5
40,Oklahoma,OK,40001,Adair County,40001377000,Census Tract 3770; Adair County; Oklahoma,155.255177149256,4118,364,1551,96,1278,103,1586,274,65,35,172,49,540,89,1088,173,723,99,1193,205,827,133,35,21,3,39,2857,428,0,14,315,66,56,27,52,23,0,10,38.6,5.7,4.3,2.2,13.5,3.7,20.3,2.9,26.4,4.1,17.6,2.5,29.0,3.7,20.1,2.9,2.7,1.6,0.1,1.0,69.4,8.4,0.0,0.9,20.3,4.0,4.4,2.1,4.1,1.8,0.0,0.2,0.8219,0.4875,0.1492,0.8858,0.9398,3.2842,0.7276,0.6045,0.8526,0.6873,0.1492,0.2448,2.5384,0.518,0.9309,0.9309,0.9309,0.0,0.8409,0.8097,0.5021,0.0,2.1527,0.4334,8.9062,0.6756,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1740,717,93,0,10,276,110,56,67,2162,274,0,10,363,119,0,10,56.1,4.8,0.0,0.5,6.7,2.6,1.4,1.6,52.5,4.7,0.0,0.5,8.8,3.0,0.0,0.5
40,Oklahoma,OK,40003,Alfalfa County,40003955600,Census Tract 9556; Alfalfa County; Oklahoma,423.010216823964,1648,197,898,76,597,76,196,65,11,16,41,23,84,39,205,84,350,64,448,111,279,72,47,40,3,39,246,266,3,10,90,40,12,12,3,5,16,7,12.1,3.7,1.5,2.1,6.9,3.8,7.5,3.3,12.6,4.8,21.2,3.8,27.2,4.6,17.1,4.5,7.9,6.6,0.2,2.5,14.9,16.0,0.3,1.1,10.0,4.2,2.0,2.0,0.5,0.9,1.0,0.4,0.1764,0.1187,0.0168,0.3342,0.4256,1.0717,0.1073,0.8143,0.7652,0.5159,0.6706,0.2806,3.0466,0.8131,0.0441,0.0441,0.0441,0.3501,0.6591,0.456,0.0897,0.637,2.1919,0.451,6.3543,0.285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,117,63,18,51,100,64,38,53,8,11,0,10,82,50,0,10,19.6,9.4,1.1,3.1,6.1,3.8,2.3,3.1,0.5,0.6,0.0,1.4,5.0,3.1,0.0,1.4
40,Oklahoma,OK,40003,Alfalfa County,40003955700,Census Tract 9557; Alfalfa County; Oklahoma,115.021361482262,1322,187,713,71,556,76,272,155,50,34,77,34,61,38,101,48,270,44,314,103,197,77,19,18,0,40,211,250,3,10,25,21,25,20,15,17,39,6,21.1,11.7,7.5,5.1,13.8,5.8,7.0,4.4,7.8,3.7,20.4,3.5,23.8,5.2,15.3,5.2,3.4,3.2,0.0,3.2,16.0,18.8,0.4,1.4,3.5,3.0,4.5,3.5,2.7,3.1,3.0,0.2,0.3771,0.7943,0.1601,0.31,0.1856,1.8271,0.3127,0.7727,0.5096,0.3988,0.2205,0.0,1.9016,0.192,0.0591,0.0591,0.0591,0.3626,0.5008,0.8223,0.3562,0.8052,2.8471,0.7142,6.6349,0.3328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1207,51,29,1,3,122,56,1,3,6,7,0,10,81,64,0,10,9.2,5.2,0.1,0.2,9.2,4.4,0.1,0.2,0.5,0.5,0.0,1.7,6.1,4.4,0.0,1.7
40,Oklahoma,OK,40003,Alfalfa County,40003956000,Census Tract 9560; Alfalfa County; Oklahoma,328.532918049502,2713,142,894,60,676,62,333,105,28,30,91,33,389,87,165,52,455,56,360,75,300,71,33,20,33,44,623,202,5,12,73,23,5,13,17,9,1086,39,20.5,6.2,3.5,3.5,13.5,4.7,17.2,3.9,10.1,3.0,16.8,2.1,13.3,2.3,18.4,4.1,4.9,2.9,1.3,1.7,23.0,7.3,0.6,1.3,8.2,2.5,0.7,1.9,2.5,1.4,40.0,2.5,0.3629,0.3654,0.1492,0.8217,0.296,1.9952,0.3613,0.5462,0.0583,0.5895,0.3596,0.6453,2.1989,0.3319,0.209,0.209,0.209,0.3886,0.6315,0.207,0.3286,0.98,2.5357,0.5834,6.9388,0.3873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2029,95,28,182,63,154,46,0,10,122,54,5,10,160,43,0,10,14.1,3.8,6.7,2.3,5.7,1.7,0.0,0.8,4.5,2.0,0.2,0.4,5.9,1.6,0.0,0.8
40,Oklahoma,OK,40005,Atoka County,40005587600,Census Tract 5876; Atoka County; Oklahoma,363.65743707015,1907,124,708,66,529,71,438,90,15,12,76,22,237,62,234,58,323,66,324,65,330,62,13,9,39,65,756,170,6,4,162,29,13,9,26,14,559,29,33.1,6.2,2.6,2.0,14.4,3.7,16.1,4.0,17.4,3.6,16.9,3.3,17.0,2.9,24.5,4.5,2.5,1.7,2.1,3.5,39.6,8.5,0.8,0.6,22.9,4.0,2.5,1.7,4.9,2.6,29.3,2.4,0.7057,0.2366,0.1869,0.7825,0.6873,2.599,0.5298,0.5554,0.1224,0.8662,0.1299,0.7544,2.4283,0.4635,0.6561,0.6561,0.6561,0.4238,0.8769,0.5499,0.5842,0.9734,3.4082,0.9086,9.0916,0.6957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1673,117,30,186,64,67,47,5,11,181,52,1,4,314,73,2,3,22.1,5.0,9.8,3.3,3.5,2.5,0.3,0.6,9.5,2.7,0.1,0.2,16.5,3.3,0.1,0.1
40,Oklahoma,OK,40005,Atoka County,40005587700,Census Tract 5877; Atoka County; Oklahoma,62.898509632818,3944,212,1763,119,1349,127,1298,249,73,52,354,96,582,150,681,165,658,100,1033,166,1006,182,88,50,63,50,1546,337,8,15,129,53,53,41,150,75,97,5,34.3,6.3,5.2,3.7,26.2,6.7,22.3,5.5,17.7,4.3,16.7,2.5,26.2,3.6,26.2,4.7,6.5,3.7,1.7,1.3,39.2,8.3,0.5,0.9,7.3,2.9,3.9,3.0,11.1,5.2,2.5,0.2,0.7266,0.6062,0.6697,0.9092,0.7023,3.614,0.8223,0.5387,0.7052,0.903,0.5465,0.7119,3.4053,0.9371,0.647,0.647,0.647,0.376,0.603,0.7628,0.8634,0.7727,3.3779,0.8994,11.0442,0.9271,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,5066,312,88,120,81,238,88,100,65,468,156,0,10,620,160,0,10,23.1,6.1,3.0,2.1,6.0,2.3,2.5,1.6,11.9,4.1,0.0,0.6,15.7,3.8,0.0,0.6
40,Oklahoma,OK,40005,Atoka County,40005587800,Census Tract 5878; Atoka County; Oklahoma,251.692111141986,3857,216,1728,97,1491,98,827,138,91,34,229,44,307,76,663,104,813,92,845,129,785,91,60,19,5,38,984,296,2,10,324,56,45,17,88,46,0,10,21.6,3.4,4.9,1.8,15.4,2.8,11.2,2.6,17.2,2.8,21.1,2.6,21.9,2.6,20.4,2.7,4.0,1.2,0.1,1.0,25.5,7.5,0.1,0.6,18.8,3.1,3.0,1.1,5.9,3.0,0.0,0.3,0.3863,0.5644,0.2263,0.57,0.6781,2.4251,0.4795,0.8118,0.358,0.704,0.264,0.2448,2.3826,0.4317,0.2848,0.2848,0.2848,0.3208,0.8208,0.6245,0.6555,0.0,2.4216,0.5398,7.5141,0.4686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3220,457,70,21,21,129,59,0,10,328,58,0,10,506,118,0,10,30.7,4.6,0.5,0.5,3.3,1.5,0.0,0.6,8.5,1.6,0.0,0.6,13.1,3.0,0.0,0.6
