ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
40,Oklahoma,OK,40001,Adair County,40001,"Adair County, Oklahoma",573.880990704406,19726,0,8141,54,6848,124,7106,540,487,134,1419,170,2333,188,4522,336,3087,53,5221,47,4118,253,483,92,126,72,12176,54,86,36,1756,166,234,63,695,140,294,18,36.6,2.8,6.4,1.7,20.7,2.5,18.2,1.5,23.2,1.7,15.6,0.3,26.5,0.2,21.1,1.3,7.0,1.3,0.7,0.4,61.7,0.3,1.0,0.4,21.6,2.0,3.4,0.9,10.1,2.0,1.5,0.1,0.9474,0.8684,0.5921,0.9474,0.9737,4.329,0.9737,0.1447,0.9605,0.6053,0.7105,0.4211,2.8421,0.6974,1.0,1.0,1.0,0.3026,0.9474,0.8553,1.0,0.2632,3.3685,0.9079,11.5396,1.0,1,0,0,1,1,3,0,1,0,0,0,1,1,1,0,1,0,1,0,2,7,15975,3078,187,66,61,1504,0,267,7,8468,255,4,7,1867,268,0,16,44.9,2.5,0.3,0.3,7.6,0.0,1.4,0.1,42.9,1.3,0.0,0.1,9.5,1.4,0.0,0.1
40,Oklahoma,OK,40003,Alfalfa County,40003,"Alfalfa County, Oklahoma",866.564496355728,5683,0,2505,38,1829,94,801,193,89,45,209,52,534,111,471,102,1075,29,1122,61,776,121,99,50,36,58,1080,15,11,8,188,47,42,26,35,20,1141,37,17.7,4.3,4.0,2.0,11.4,2.8,12.6,2.6,10.4,2.2,18.9,0.5,19.7,1.1,17.1,2.6,5.4,2.7,0.7,1.1,19.0,0.3,0.4,0.3,7.5,1.9,2.3,1.4,1.9,1.1,20.1,0.7,0.0658,0.2368,0.0263,0.4605,0.0526,0.842,0.0526,0.6447,0.0132,0.2368,0.3289,0.4211,1.6447,0.0921,0.0789,0.0789,0.0789,0.1447,0.1842,0.3684,0.0526,1.0,1.7499,0.1579,4.3155,0.0263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4243,263,67,201,74,376,0,39,53,136,48,5,10,323,89,0,14,14.4,3.6,3.5,1.3,6.6,0.0,0.7,0.9,2.4,0.8,0.1,0.2,5.7,1.6,0.0,0.4
40,Oklahoma,OK,40005,Atoka County,40005,"Atoka County, Oklahoma",975.452968882158,14117,0,6012,38,4848,94,3733,356,300,90,921,117,1737,203,2492,232,2619,47,3052,28,2997,230,234,60,141,87,4539,67,16,12,1104,99,157,56,339,84,1301,54,29.4,2.8,5.6,1.7,19.0,2.4,17.3,2.0,19.4,1.8,18.6,0.3,21.6,0.2,23.4,1.8,4.8,1.2,1.1,0.6,32.2,0.5,0.2,0.2,18.4,1.7,3.3,1.2,7.0,1.7,9.2,0.4,0.5658,0.6579,0.4079,0.9079,0.8816,3.4211,0.8026,0.5263,0.1316,0.8289,0.1711,0.6053,2.2632,0.3947,0.5658,0.5658,0.5658,0.0526,0.7895,0.8026,0.8158,0.8947,3.3552,0.8947,9.6053,0.7368,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12259,1244,114,457,92,599,0,105,60,1280,155,1,4,2095,197,2,3,25.7,2.4,3.2,0.7,4.2,0.0,0.7,0.4,9.1,1.1,0.0,0.1,14.8,1.4,0.0,0.1
40,Oklahoma,OK,40007,Beaver County,40007,"Beaver County, Oklahoma",1814.836571699446,5071,0,2480,28,1727,87,929,183,45,33,208,52,492,94,799,130,949,20,1292,0,790,101,98,34,189,82,1626,39,0,19,362,62,17,17,44,22,93,25,18.7,3.7,1.9,1.4,12.0,2.9,14.5,2.7,16.1,2.6,18.7,0.4,25.5,0.0,15.9,2.0,5.7,1.9,4.0,1.7,32.1,0.8,0.0,0.8,14.6,2.5,1.0,1.0,2.5,1.3,1.8,0.5,0.0921,0.0263,0.0395,0.6842,0.6184,1.4605,0.1974,0.5395,0.9079,0.1842,0.3816,0.9737,2.9869,0.8289,0.5526,0.5526,0.5526,0.0,0.5658,0.0526,0.0789,0.3816,1.0789,0.0263,6.0789,0.2368,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,3420,216,57,20,24,1337,0,6,6,58,30,0,14,183,60,22,27,12.5,3.4,0.4,0.5,26.4,0.0,0.1,0.1,1.1,0.6,0.0,0.4,3.6,1.2,0.4,0.5
40,Oklahoma,OK,40009,Beckham County,40009,"Beckham County, Oklahoma",901.675090993848,22295,0,10125,96,8013,357,5679,760,562,223,1686,366,2329,329,2584,514,3074,85,5216,45,2608,373,623,264,61,81,5967,20,640,245,1500,378,219,153,446,174,3422,163,30.3,4.0,6.2,2.4,21.0,4.5,15.2,2.1,13.7,2.7,13.8,0.4,23.4,0.2,13.8,2.0,7.8,3.3,0.3,100.0,26.8,0.1,6.3,2.4,14.8,3.7,2.7,1.9,5.6,2.1,15.3,0.7,0.6447,0.8158,0.6053,0.7632,0.3947,3.2237,0.6711,0.0526,0.3816,0.0789,0.8289,0.1184,1.4604,0.0658,0.2763,0.2763,0.2763,0.8947,0.5921,0.5263,0.6053,0.9737,3.5921,0.9737,8.5525,0.5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,20899,1042,247,1225,208,3566,0,124,86,406,113,1,3,636,131,9,14,13.0,3.0,5.5,0.9,16.0,0.0,0.6,0.4,1.8,0.5,0.0,0.1,2.9,0.6,0.0,0.1
40,Oklahoma,OK,40011,Blaine County,40011,"Blaine County, Oklahoma",928.48756638999,8661,0,4559,205,3431,233,1793,284,226,82,508,104,1065,186,951,190,1628,62,2069,15,1285,170,242,83,249,108,2623,6,50,36,721,117,49,27,74,44,1189,234,24.2,3.7,6.8,2.5,14.8,2.9,17.4,3.0,12.7,2.4,18.8,0.7,23.9,0.2,17.2,2.3,7.0,2.4,3.0,1.3,30.3,0.1,1.1,0.8,15.8,2.6,1.4,0.8,2.2,1.2,13.7,2.7,0.2895,0.8947,0.1316,0.9211,0.25,2.4869,0.4868,0.5789,0.5395,0.2632,0.7105,0.8816,2.9737,0.8026,0.4474,0.4474,0.4474,0.3421,0.6711,0.1316,0.0658,0.9605,2.1711,0.3421,8.0791,0.5132,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7475,562,132,383,31,1176,0,0,14,510,105,0,14,554,105,0,14,16.4,3.6,4.4,0.4,13.6,0.0,0.0,0.3,5.9,1.2,0.0,0.3,6.4,1.2,0.0,0.3
40,Oklahoma,OK,40013,Bryan County,40013,"Bryan County, Oklahoma",904.347421855264,46528,0,20396,73,17941,208,13462,968,1023,191,4150,345,3964,405,8924,726,8148,50,10822,0,9056,514,1034,151,292,126,14321,43,722,131,3559,279,530,146,938,159,971,33,29.7,2.1,4.8,0.9,23.1,1.9,12.8,1.3,19.4,1.6,17.5,0.1,23.3,0.0,19.7,1.1,5.8,0.8,0.7,0.3,30.8,0.1,3.5,0.6,17.4,1.4,3.0,0.8,5.2,0.9,2.1,0.1,0.6053,0.4605,0.8553,0.5,0.8816,3.3027,0.7105,0.3553,0.3553,0.4868,0.3947,0.4211,2.0132,0.2237,0.4868,0.4868,0.4868,0.7237,0.7763,0.7237,0.5263,0.4605,3.2105,0.8553,9.0132,0.6579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46152,4008,330,890,93,3199,0,299,41,6110,354,15,23,3794,364,14,20,22.3,1.8,1.9,0.2,6.9,0.0,0.6,0.1,13.1,0.8,0.0,0.1,8.2,0.8,0.0,0.1
40,Oklahoma,OK,40015,Caddo County,40015,"Caddo County, Oklahoma",1277.752998514166,26910,0,11658,146,9099,204,7861,509,685,118,1486,166,2447,236,4700,350,4214,23,6200,0,4984,302,577,89,778,172,12084,63,93,44,1462,138,250,63,735,131,1477,393,31.0,1.9,6.0,1.0,16.3,1.8,13.4,1.3,18.5,1.3,15.7,0.1,23.0,0.0,19.6,1.1,6.3,1.0,3.1,0.7,44.9,0.2,0.8,0.4,12.5,1.2,2.8,0.7,8.1,1.4,5.5,1.5,0.6842,0.8026,0.1579,0.6053,0.7895,3.0395,0.6447,0.1579,0.2763,0.4737,0.5263,0.8947,2.3289,0.4211,0.9079,0.9079,0.9079,0.2632,0.4605,0.5921,0.9079,0.8289,3.0526,0.8026,9.3289,0.7105,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,2,23042,1703,142,859,118,4038,0,24,23,4652,332,7,11,2448,372,56,45,18.7,1.6,3.2,0.4,15.0,0.0,0.1,0.1,17.3,1.2,0.0,0.1,9.1,1.4,0.2,0.2
40,Oklahoma,OK,40017,Canadian County,40017,"Canadian County, Oklahoma",896.572376228296,156681,0,59808,69,56300,449,21117,1651,3360,443,11315,938,8350,774,14696,1593,20977,18,40388,35,20292,1143,3268,452,2112,373,42371,650,2718,451,3178,363,1634,397,1878,338,2371,71,13.7,1.1,4.1,0.5,20.1,1.7,8.0,0.7,9.5,1.0,13.4,0.1,25.8,0.1,13.2,0.7,5.8,0.8,1.4,0.3,27.0,0.4,4.5,0.8,5.3,0.6,2.9,0.7,3.3,0.6,1.5,0.0,0.0,0.2763,0.5395,0.0658,0.0132,0.8948,0.0789,0.0395,0.9342,0.0526,0.3947,0.7632,2.1842,0.3421,0.3026,0.3026,0.3026,0.7763,0.0921,0.6842,0.2105,0.2632,2.0263,0.2895,5.4079,0.1447,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,118522,4296,587,5463,430,16521,0,4803,380,4780,517,123,42,9616,746,1065,551,7.6,1.0,3.5,0.3,10.5,0.0,3.1,0.2,3.1,0.3,0.1,0.1,6.1,0.5,0.7,0.4
40,Oklahoma,OK,40019,Carter County,40019,"Carter County, Oklahoma",822.3009070875939,48202,0,21609,54,18738,226,12327,825,928,155,3842,348,4053,356,7419,558,8174,58,12086,0,10267,560,1463,208,590,156,15638,181,482,118,2667,231,372,87,948,162,918,29,26.0,1.7,4.2,0.7,20.5,1.8,12.6,1.1,15.6,1.2,17.0,0.1,25.1,0.0,21.6,1.2,7.8,1.1,1.3,0.3,32.4,0.4,2.2,0.5,12.3,1.1,2.0,0.5,5.1,0.9,1.9,0.1,0.4211,0.3026,0.5658,0.4605,0.5789,2.3289,0.3947,0.3026,0.8289,0.6447,0.8289,0.6974,3.3025,0.9211,0.5921,0.5921,0.5921,0.5658,0.4342,0.2368,0.5132,0.4079,2.1579,0.3289,8.3814,0.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51003,3953,320,2933,132,4088,0,622,95,3371,347,10,15,4556,393,58,47,21.1,1.7,6.1,0.3,8.5,0.0,1.3,0.2,7.0,0.7,0.0,0.1,9.5,0.8,0.1,0.1
