ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
41,Oregon,OR,41001,Baker County,41001,"Baker County, Oregon",3067.96526226513,16685,0,8671,56,7004,206,3929,479,362,124,1671,247,1070,212,1004,220,4530,81,3353,72,3680,392,231,106,39,85,1820,83,368,117,1133,186,83,50,336,110,543,69,24.2,3.0,5.5,1.9,23.9,3.5,8.6,1.7,6.2,1.4,27.2,0.5,20.1,0.4,22.6,2.4,3.3,1.5,0.2,0.5,10.9,0.5,4.2,1.3,13.1,2.1,1.1,0.7,4.8,1.6,3.3,0.4,0.5714,0.4286,0.2857,0.3429,0.3143,1.9429,0.2571,0.8286,0.5429,0.8857,0.1429,0.0286,2.4287,0.4857,0.0286,0.0286,0.0286,0.3714,0.4286,0.0857,0.2571,0.7714,1.9142,0.2,6.3144,0.2286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16905,1068,159,195,44,824,0,47,39,219,59,35,31,482,111,18,20,15.2,2.3,1.2,0.3,4.9,0.0,0.3,0.2,1.3,0.4,0.2,0.2,2.9,0.7,0.1,0.1
41,Oregon,OR,41003,Benton County,41003,"Benton County, Oregon",675.20816019615,95615,0,40092,72,37853,473,22939,1222,3380,469,12102,812,2346,366,5077,790,16155,140,14774,148,11392,653,1510,355,1512,348,20598,297,5686,535,2303,271,633,159,2923,351,6109,125,25.6,1.4,6.8,0.9,32.0,2.1,4.0,0.6,5.3,0.8,16.9,0.1,15.5,0.2,11.9,0.7,4.0,0.9,1.6,0.4,21.5,0.3,14.1,1.3,5.7,0.7,1.7,0.4,7.7,0.9,6.4,0.1,0.8,0.7714,0.9429,0.0,0.1429,2.6572,0.6,0.1714,0.0286,0.0286,0.2571,0.5714,1.0571,0.0,0.6286,0.6286,0.6286,0.9429,0.1429,0.1429,0.9143,0.9429,3.0859,0.7714,7.4288,0.3714,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,3,4,95804,2768,366,1066,178,7716,0,6605,286,455,120,158,79,4241,421,357,149,7.3,0.9,1.1,0.2,8.1,0.0,6.9,0.3,0.5,0.1,0.2,0.1,4.4,0.4,0.4,0.2
41,Oregon,OR,41005,Clackamas County,41005,"Clackamas County, Oregon",1870.708901383804,420925,0,170723,213,160984,954,52903,2815,10788,987,41106,1658,16953,1057,22020,1754,79730,70,88733,0,52720,2026,8281,746,6527,859,88592,1070,20551,1259,9536,753,3675,519,7851,774,3914,130,12.7,0.7,5.0,0.5,25.5,1.0,5.6,0.4,5.3,0.4,18.9,0.1,21.1,0.0,12.6,0.5,5.1,0.5,1.6,0.2,21.0,0.3,12.0,0.7,5.6,0.4,2.3,0.3,4.9,0.5,0.9,0.0,0.0,0.2286,0.4,0.0286,0.1429,0.8001,0.0,0.2857,0.6286,0.1143,0.5429,0.5714,2.1429,0.2571,0.6,0.6,0.6,0.9143,0.1143,0.3429,0.3143,0.1429,1.8287,0.1714,5.3717,0.1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,379695,13041,1031,3499,380,39282,0,19695,728,1658,317,794,270,22033,1483,1631,395,8.1,0.6,0.8,0.1,9.3,0.0,4.7,0.2,0.4,0.1,0.2,0.1,5.2,0.4,0.4,0.1
41,Oregon,OR,41007,Clatsop County,41007,"Clatsop County, Oregon",828.104335592928,41190,0,23060,37,17246,449,7669,809,943,243,4899,562,2374,313,3401,527,9706,119,7521,56,7933,712,570,192,491,314,7332,611,1742,319,1256,223,306,132,1491,346,834,37,18.8,2.0,4.8,1.3,28.4,3.2,7.8,1.0,8.4,1.3,23.6,0.3,18.3,0.1,19.5,1.7,3.3,1.1,1.3,0.8,17.8,1.5,7.6,1.4,5.4,1.0,1.8,0.8,8.6,2.0,2.0,0.1,0.2286,0.2,0.6286,0.2571,0.7714,2.0857,0.3143,0.6,0.2286,0.6286,0.1429,0.4571,2.0572,0.1714,0.4857,0.4857,0.4857,0.7143,0.0857,0.1714,0.9714,0.4857,2.4285,0.5714,7.0571,0.2571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,41955,1709,283,378,77,3740,0,478,192,143,85,27,44,2554,668,12,16,9.9,1.6,0.9,0.2,9.1,0.0,1.2,0.5,0.3,0.2,0.1,0.1,6.2,1.6,0.0,0.1
41,Oregon,OR,41009,Columbia County,41009,"Columbia County, Oregon",658.683970275904,52865,0,21773,60,20335,323,8440,975,1149,221,4835,501,3599,565,2707,522,10241,116,10832,24,8730,624,1004,266,78,114,7528,423,629,221,2894,344,431,172,886,256,440,20,16.2,1.9,4.5,0.9,23.8,2.4,9.4,1.5,5.1,1.0,19.4,0.2,20.5,0.1,16.6,1.2,5.0,1.3,0.2,0.2,14.2,0.8,2.9,1.0,13.3,1.6,2.2,0.8,4.4,1.2,0.8,0.0,0.1143,0.1429,0.2571,0.5714,0.0857,1.1714,0.0571,0.3429,0.6,0.3143,0.4857,0.0286,1.7715,0.1143,0.2,0.2,0.2,0.2,0.4571,0.3143,0.1429,0.1143,1.2286,0.0857,4.3715,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38261,1693,268,235,115,3187,0,319,117,470,143,203,14,2953,497,161,99,8.3,1.3,0.4,0.2,6.0,0.0,0.6,0.2,0.9,0.3,0.4,0.1,5.6,0.9,0.3,0.2
41,Oregon,OR,41011,Coos County,41011,"Coos County, Oregon",1596.042934752044,64908,0,31476,45,28075,483,16767,1392,1595,304,8027,761,4883,573,4136,736,17391,107,11700,60,14668,913,1102,282,700,267,10753,287,1858,400,4524,469,774,233,1814,401,1202,48,26.3,2.2,5.8,1.1,28.6,2.7,10.0,1.2,6.4,1.1,26.8,0.2,18.0,0.1,22.9,1.4,3.9,1.0,1.1,0.4,16.6,0.4,5.9,1.3,14.4,1.5,2.8,0.8,6.5,1.4,1.9,0.1,0.8286,0.5143,0.6571,0.6286,0.4286,3.0572,0.7143,0.7714,0.1714,0.9143,0.2286,0.4286,2.5143,0.5429,0.4,0.4,0.4,0.5143,0.6,0.3714,0.7429,0.4,2.6286,0.6286,8.6001,0.6286,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,62621,3548,429,278,71,4618,0,761,192,1264,276,13,25,3725,484,94,65,12.6,1.5,0.4,0.1,7.1,0.0,1.2,0.3,1.9,0.4,0.0,0.1,5.7,0.7,0.1,0.1
41,Oregon,OR,41013,Crook County,41013,"Crook County, Oregon",2978.927840669414,24987,0,11236,25,10291,244,3777,643,481,181,2392,387,1816,372,1860,452,6169,104,4925,56,4572,511,559,222,127,160,3330,159,308,139,1790,305,216,94,379,136,157,13,15.2,2.6,4.1,1.5,23.2,3.7,9.7,2.0,7.5,1.8,24.7,0.4,19.7,0.2,18.3,2.0,5.4,2.2,0.5,0.7,13.3,0.6,2.8,1.2,15.9,2.7,2.1,0.9,3.7,1.3,0.6,0.1,0.0857,0.0857,0.1143,0.6,0.6286,1.5143,0.0857,0.6286,0.5143,0.5429,0.6571,0.1429,2.4858,0.5143,0.1429,0.1429,0.1429,0.1714,0.6571,0.2286,0.0857,0.0286,1.1714,0.0286,5.3144,0.0857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22508,1267,257,79,111,2005,0,89,70,252,142,0,25,901,252,4,8,12.3,2.5,0.3,0.4,8.0,0.0,0.4,0.3,1.0,0.6,0.0,0.2,3.6,1.0,0.0,0.1
41,Oregon,OR,41015,Curry County,41015,"Curry County, Oregon",1628.381917418774,23404,0,13055,28,11148,341,4888,699,688,232,2892,448,1704,377,1239,362,8058,116,3315,39,5030,524,454,180,232,151,3731,142,599,223,2194,318,428,196,490,143,287,15,21.0,3.0,7.2,2.5,25.9,3.9,8.9,2.0,5.3,1.6,34.4,0.5,14.2,0.2,21.6,2.2,4.0,1.6,1.0,0.7,15.9,0.6,4.6,1.7,16.8,2.4,3.9,1.8,4.4,1.2,1.2,0.1,0.3429,0.8571,0.4286,0.4286,0.1429,2.2001,0.4286,0.9714,0.0,0.8,0.2571,0.3714,2.3999,0.4571,0.3429,0.3429,0.3429,0.4286,0.7143,0.7429,0.1429,0.1714,2.2001,0.4,7.143,0.3143,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,22147,1357,308,88,106,1825,0,188,60,306,151,0,25,1239,243,85,72,12.2,2.6,0.4,0.5,7.8,0.0,0.8,0.3,1.3,0.6,0.0,0.2,5.3,1.0,0.4,0.3
41,Oregon,OR,41017,Deschutes County,41017,"Deschutes County, Oregon",3017.609270696884,199352,0,94911,78,81481,934,32330,2472,5408,709,22153,1464,8433,845,14006,1459,40820,143,38729,71,23737,1442,4053,676,1477,426,29268,544,5608,787,4559,557,2239,517,3439,568,1446,47,16.4,1.2,5.2,0.7,27.2,1.8,5.7,0.6,7.1,0.7,20.5,0.1,19.4,0.1,12.0,0.7,5.0,0.8,0.8,0.2,14.7,0.3,5.9,0.8,4.8,0.6,2.8,0.6,4.2,0.7,0.7,0.0,0.1429,0.2571,0.5429,0.0571,0.5429,1.5429,0.1429,0.4286,0.4286,0.0571,0.4857,0.3143,1.7143,0.0571,0.2571,0.2571,0.2571,0.5143,0.0571,0.3714,0.1143,0.0857,1.1428,0.0,4.6571,0.0286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201060,6459,828,713,254,16887,0,2201,355,1052,327,153,147,7477,706,785,383,7.9,1.0,0.4,0.1,8.5,0.0,1.1,0.2,0.5,0.2,0.1,0.1,3.8,0.4,0.4,0.2
41,Oregon,OR,41019,Douglas County,41019,"Douglas County, Oregon",5035.673064855542,111322,0,49926,151,46242,501,26921,1780,2839,369,12703,952,7193,600,6453,755,28899,55,21466,0,23042,1214,2390,460,579,243,16091,442,1659,371,9491,656,960,215,2357,400,2147,82,24.5,1.6,6.1,0.8,27.5,2.0,8.7,0.7,5.8,0.7,26.0,0.1,19.3,0.0,20.8,1.1,5.2,1.0,0.5,0.2,14.5,0.4,3.3,0.7,19.0,1.3,2.1,0.5,5.1,0.9,1.9,0.1,0.6571,0.5714,0.5714,0.3714,0.2571,2.4284,0.4857,0.7143,0.3714,0.7143,0.6286,0.1429,2.5715,0.5714,0.2286,0.2286,0.2286,0.2857,0.8286,0.2286,0.4286,0.4,2.1715,0.3714,7.4,0.3429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106624,6537,598,287,123,7025,0,1091,199,1000,238,28,30,5919,456,741,329,14.1,1.3,0.3,0.1,6.3,0.0,1.0,0.2,0.9,0.2,0.0,0.1,5.3,0.4,0.7,0.3
41,Oregon,OR,41021,Gilliam County,41021,"Gilliam County, Oregon",1204.720843820186,1983,0,1081,65,862,71,453,102,54,29,242,73,150,74,116,60,619,75,382,57,325,87,26,17,7,51,322,90,34,28,159,56,6,15,62,36,43,10,23.2,5.2,6.3,3.4,28.1,8.1,10.2,4.9,5.9,3.1,31.2,3.8,19.3,2.9,16.6,4.5,3.0,2.0,0.4,2.6,16.2,4.5,3.1,2.6,14.7,5.2,0.7,1.7,7.2,4.1,2.2,0.5,0.5143,0.6571,0.6,0.6857,0.2857,2.7428,0.6286,0.9429,0.3714,0.3143,0.0571,0.0857,1.7714,0.0857,0.3714,0.3714,0.3714,0.2571,0.6286,0.0286,0.8,0.5429,2.2572,0.4286,7.1428,0.2857,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1979,138,55,0,13,166,63,15,16,27,28,0,13,92,51,22,33,16.0,6.1,0.0,2.0,8.4,3.2,0.8,0.8,1.4,1.4,0.0,2.0,4.6,2.6,1.1,1.7
41,Oregon,OR,41023,Grant County,41023,"Grant County, Oregon",4527.78954577231,7237,0,4128,32,3368,112,1708,281,237,64,812,163,610,145,619,158,2243,28,1231,37,1636,173,62,29,54,88,840,82,67,37,884,140,55,37,117,48,203,45,24.2,4.0,7.5,2.1,24.1,4.8,10.9,2.6,8.7,2.2,31.0,0.4,17.0,0.5,22.9,2.4,1.8,0.9,0.8,1.3,11.6,1.1,1.6,0.9,21.4,3.4,1.6,1.1,3.5,1.4,2.8,0.6,0.5714,0.8857,0.3429,0.7429,0.8286,3.3715,0.8286,0.9143,0.1143,0.9143,0.0,0.3143,2.2572,0.3429,0.0571,0.0571,0.0571,0.0286,0.9143,0.1143,0.0571,0.6857,1.8,0.1429,7.4858,0.4286,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,6788,611,124,8,20,312,0,54,18,56,37,21,18,352,95,37,50,18.1,3.6,0.1,0.3,4.3,0.0,0.7,0.3,0.8,0.5,0.3,0.3,4.9,1.3,0.5,0.7
41,Oregon,OR,41025,Harney County,41025,"Harney County, Oregon",10134.433446310719,7496,0,3705,41,3102,138,2080,317,179,78,681,156,482,128,583,179,1912,64,1464,16,1620,215,157,75,39,80,1115,93,269,122,838,161,167,70,198,70,189,17,28.3,4.3,5.4,2.3,22.0,4.9,8.8,2.3,7.9,2.4,25.5,0.9,19.5,0.2,21.9,2.9,5.1,2.4,0.5,1.1,14.9,1.2,7.3,3.3,22.6,4.3,5.4,2.2,6.4,2.2,2.5,0.2,0.8857,0.3429,0.0571,0.4,0.6857,2.3714,0.4571,0.6857,0.4571,0.8286,0.5429,0.1429,2.6572,0.6286,0.2857,0.2857,0.2857,0.6857,0.9429,0.9429,0.7143,0.6,3.8858,1.0,9.2001,0.7429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,6967,568,154,23,21,409,0,0,19,71,59,14,18,594,117,4,6,18.3,4.9,0.3,0.3,5.5,0.0,0.0,0.5,0.9,0.8,0.2,0.2,7.9,1.6,0.1,0.1
41,Oregon,OR,41027,Hood River County,41027,"Hood River County, Oregon",522.1858699865,23965,0,10131,66,9039,228,3536,739,442,171,2068,349,2653,309,2200,443,4092,111,5420,52,2891,365,537,180,1832,470,8978,180,688,216,1055,223,331,137,489,191,1132,59,14.9,3.1,3.3,1.3,22.9,3.8,15.9,1.9,9.2,1.9,17.1,0.5,22.6,0.2,12.1,1.5,5.9,2.0,8.1,2.1,37.5,0.8,6.8,2.1,10.4,2.2,3.7,1.5,5.4,2.1,4.7,0.2,0.0571,0.0571,0.0857,0.9429,0.9429,2.0857,0.3143,0.2,0.8571,0.0857,0.8,0.9714,2.9142,0.8286,0.9143,0.9143,0.9143,0.6,0.3143,0.6571,0.5143,0.8286,2.9143,0.7143,8.8285,0.7143,0,0,0,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,4,24390,977,226,210,24,7391,0,214,117,47,49,9,28,975,183,132,140,10.8,2.5,0.9,0.1,30.8,0.0,0.9,0.5,0.2,0.2,0.0,0.1,4.1,0.8,0.6,0.6
41,Oregon,OR,41029,Jackson County,41029,"Jackson County, Oregon",2783.25082699002,222604,0,96286,161,89876,598,50719,2923,5781,742,27134,1417,14380,1086,13976,1440,50066,112,45367,102,35363,1369,4261,563,2961,588,48342,568,7373,733,10563,1039,3113,535,4843,591,4192,242,23.1,1.3,5.5,0.7,30.2,1.6,9.0,0.7,6.3,0.7,22.5,0.1,20.4,0.1,16.0,0.6,4.7,0.6,1.4,0.3,21.7,0.3,7.6,0.8,11.0,1.1,3.4,0.6,5.4,0.7,1.9,0.1,0.4857,0.4286,0.8571,0.4571,0.3429,2.5714,0.5714,0.5429,0.5714,0.2286,0.3714,0.5143,2.2286,0.3143,0.6571,0.6571,0.6571,0.7143,0.3429,0.5429,0.5143,0.4,2.5144,0.6,7.9715,0.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217843,10185,808,1381,212,31198,0,2438,325,1224,326,684,218,10614,726,803,419,11.3,0.9,0.6,0.1,14.0,0.0,1.1,0.1,0.5,0.1,0.3,0.1,4.8,0.3,0.4,0.2
41,Oregon,OR,41031,Jefferson County,41031,"Jefferson County, Oregon",1781.695079886736,24659,0,10301,61,8591,227,5413,736,766,229,2249,324,2069,235,2243,406,4798,63,5673,71,4757,386,705,198,369,161,10446,517,236,108,1815,246,409,117,423,138,1104,109,23.0,3.1,7.0,2.1,26.2,3.7,12.1,1.4,9.5,1.7,19.5,0.3,23.0,0.3,20.1,1.6,8.2,2.3,1.6,0.7,42.4,2.1,2.3,1.0,17.6,2.4,4.7,1.4,4.9,1.6,4.5,0.4,0.4571,0.8,0.4571,0.8,0.9714,3.4856,0.9143,0.3714,0.8857,0.6857,1.0,0.5714,3.5142,1.0,0.9714,0.9714,0.9714,0.0857,0.7714,0.8571,0.3143,0.8,2.8285,0.6571,10.7997,0.9714,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,21791,1025,212,176,79,5121,0,97,35,2899,242,16,23,2002,591,135,111,11.9,2.4,0.7,0.3,20.8,0.0,0.4,0.1,11.8,1.0,0.1,0.1,8.1,2.4,0.5,0.4
41,Oregon,OR,41033,Josephine County,41033,"Josephine County, Oregon",1638.648069211418,87994,0,38939,41,36210,440,25646,2069,2939,578,11911,945,5911,668,6740,916,23340,144,16806,71,18406,1137,2002,380,582,267,13563,472,1108,286,5586,580,1707,372,1716,322,1326,31,29.6,2.4,8.1,1.5,32.9,2.6,9.0,1.0,7.7,1.0,26.5,0.2,19.1,0.1,21.1,1.3,5.5,1.0,0.7,0.3,15.4,0.5,2.9,0.7,14.3,1.5,4.7,1.0,4.7,0.9,1.5,0.0,0.9429,1.0,1.0,0.4571,0.6571,4.0571,1.0,0.7429,0.3429,0.7429,0.7143,0.2571,2.8001,0.7429,0.3143,0.3143,0.3143,0.2,0.5429,0.8571,0.2286,0.3143,2.1429,0.3429,9.3144,0.7714,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,82715,4323,501,461,115,7143,0,753,175,395,146,161,97,4214,490,436,328,11.9,1.4,0.5,0.1,8.1,0.0,0.9,0.2,0.4,0.2,0.2,0.1,4.8,0.6,0.5,0.4
