ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
42,Pennsylvania,PA,42001,Adams County,42001030101,Census Tract 301.01; Adams County; Pennsylvania,21.149361763036,2658,14,1173,95,1061,90,174,85,36,26,233,94,181,69,206,127,521,108,560,88,292,70,24,26,47,61,341,153,0,15,43,26,8,17,6,9,0,11,6.6,3.2,2.4,1.8,22.0,8.7,9.1,3.5,7.8,4.8,19.6,4.1,21.1,3.3,11.0,2.7,2.3,2.4,1.9,2.4,12.8,5.8,0.0,1.3,3.7,2.2,0.8,1.6,0.6,0.8,0.0,0.4,0.1345,0.1959,0.4794,0.6445,0.7932,2.2475,0.4281,0.5333,0.5752,0.2866,0.2456,0.7568,2.3975,0.4715,0.4392,0.4392,0.4392,0.0,0.7248,0.515,0.0438,0.0,1.2836,0.1374,6.3678,0.303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1257,68,29,2,4,207,104,8,10,0,11,0,11,113,86,11,15,6.4,2.7,0.1,0.2,7.8,3.9,0.3,0.4,0.0,1.1,0.0,1.1,4.3,3.2,0.4,0.6
42,Pennsylvania,PA,42001,Adams County,42001030103,Census Tract 301.03; Adams County; Pennsylvania,6.96383412801,2416,329,1019,141,847,160,93,69,31,32,65,52,66,68,169,124,467,280,461,137,191,96,15,26,4,43,32,473,0,15,0,11,0,15,21,35,0,11,3.9,2.8,2.0,2.1,7.7,6.0,3.6,3.7,7.0,5.1,19.3,11.0,19.1,5.1,7.9,4.0,1.8,3.1,0.2,1.8,1.3,19.6,0.0,1.5,0.0,2.9,0.0,1.8,2.5,4.0,0.0,0.5,0.0505,0.1486,0.0153,0.2222,0.748,1.1846,0.1306,0.5177,0.4222,0.1122,0.1853,0.3364,1.5738,0.1003,0.0117,0.0117,0.0117,0.0,0.0,0.0,0.1997,0.0,0.1997,0.0112,2.9698,0.0079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,789,34,35,0,11,0,11,25,44,0,11,0,11,7,11,0,11,4.0,3.9,0.0,1.2,0.0,1.2,1.0,1.9,0.0,1.2,0.0,1.2,0.3,0.5,0.0,1.2
42,Pennsylvania,PA,42001,Adams County,42001030104,Census Tract 301.04; Adams County; Pennsylvania,19.341956524716,3395,332,1395,184,1285,150,481,251,101,79,223,111,419,211,104,66,730,234,655,256,721,242,35,37,0,44,281,488,0,15,272,104,0,15,19,26,1,1,14.2,7.3,5.5,4.4,17.4,8.4,17.8,8.3,3.1,1.9,21.5,7.4,19.3,6.5,21.2,7.2,2.7,2.9,0.0,1.3,8.3,14.4,0.0,1.1,19.5,6.8,0.0,1.2,1.5,2.0,0.0,0.0,0.4089,0.5934,0.2741,0.9068,0.3345,2.5177,0.5125,0.654,0.4325,0.8808,0.2956,0.0,2.2629,0.3862,0.2989,0.2989,0.2989,0.0,0.9712,0.0,0.115,0.0,1.0862,0.0959,6.1657,0.2704,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1278,155,96,0,11,165,166,0,11,0,11,0,11,116,107,0,11,12.1,6.7,0.0,0.9,4.9,4.7,0.0,0.9,0.0,0.9,0.0,0.9,3.4,3.2,0.0,0.9
42,Pennsylvania,PA,42001,Adams County,42001030200,Census Tract 302; Adams County; Pennsylvania,46.74447145285,5475,464,2154,166,2035,175,861,321,96,41,511,122,529,107,640,247,1020,190,1313,249,717,154,126,56,173,112,1181,627,2,16,331,89,51,32,52,35,18,3,15.7,5.7,3.4,1.5,25.1,5.6,13.8,3.0,11.7,4.2,18.6,3.5,24.0,3.5,13.2,2.9,6.2,2.7,3.3,2.1,21.6,11.3,0.1,0.7,15.4,3.9,2.5,1.6,2.6,1.7,0.3,0.0,0.4636,0.334,0.5929,0.8285,0.9142,3.1332,0.7134,0.4802,0.7703,0.4332,0.6424,0.8473,3.1734,0.8621,0.6162,0.6162,0.6162,0.2549,0.9347,0.7897,0.2094,0.4905,2.6792,0.7079,9.602,0.8061,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,5488,291,79,16,16,943,267,0,16,4,6,0,16,74,67,144,121,14.3,4.0,0.3,0.3,17.2,4.5,0.0,0.5,0.1,0.1,0.0,0.5,1.4,1.2,2.6,2.2
42,Pennsylvania,PA,42001,Adams County,42001030300,Census Tract 303; Adams County; Pennsylvania,43.1480375009,4412,215,1852,190,1668,179,497,201,82,50,387,119,377,176,252,105,722,145,887,181,746,240,15,18,119,132,793,307,0,15,236,105,73,55,23,22,89,9,11.3,4.5,3.6,2.1,23.2,6.7,11.7,5.1,5.7,2.3,16.4,3.0,20.1,4.1,16.9,5.4,0.9,1.1,2.8,3.1,18.0,6.9,0.0,0.8,12.7,5.5,4.3,3.3,1.4,1.3,2.0,0.2,0.3082,0.3646,0.5279,0.7682,0.642,2.6109,0.5455,0.3577,0.4993,0.6837,0.0985,0.8227,2.4619,0.5135,0.5546,0.5546,0.5546,0.0,0.905,0.9056,0.1041,0.7515,2.6662,0.7012,8.2936,0.6328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2784,220,88,132,125,644,219,0,11,0,11,0,11,17,19,0,11,13.2,4.7,3.0,2.8,14.6,4.7,0.0,0.7,0.0,0.7,0.0,0.7,0.4,0.4,0.0,0.7
42,Pennsylvania,PA,42001,Adams County,42001030400,Census Tract 304; Adams County; Pennsylvania,68.99599689627,5462,206,2441,265,2135,232,1132,438,43,47,484,159,593,188,656,265,1206,283,1169,212,1099,365,197,142,101,98,456,353,32,50,165,90,65,65,207,139,168,9,21.1,8.1,1.6,1.7,22.7,7.0,15.0,5.0,12.2,5.0,22.1,5.0,21.4,4.1,20.5,6.7,9.2,6.6,2.0,1.9,8.3,6.5,1.3,2.0,6.8,3.6,3.1,3.0,9.7,6.5,3.1,0.1,0.641,0.1014,0.5106,0.8538,0.9245,3.0313,0.6828,0.69,0.5945,0.859,0.8024,0.7653,3.7112,0.9638,0.2989,0.2989,0.2989,0.3599,0.8045,0.8471,0.6365,0.8169,3.4649,0.9379,10.5063,0.8873,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3174,270,121,23,38,209,149,139,154,0,16,0,16,85,90,0,16,12.6,5.6,0.4,0.7,3.8,2.7,2.5,2.8,0.0,0.5,0.0,0.5,1.6,1.6,0.0,0.5
42,Pennsylvania,PA,42001,Adams County,42001030500,Census Tract 305; Adams County; Pennsylvania,24.612950758152,3782,221,1676,172,1522,152,817,224,117,72,346,90,364,102,344,120,806,106,806,106,598,102,121,57,91,77,832,372,38,29,202,65,24,15,34,18,12,3,21.7,5.8,5.7,3.4,22.7,5.5,13.6,3.7,9.1,3.2,21.3,2.5,21.3,2.4,15.8,2.7,8.0,3.7,2.6,2.2,22.0,9.8,2.3,1.7,12.1,3.8,1.6,1.0,2.2,1.2,0.3,0.1,0.6572,0.6119,0.5106,0.8253,0.8432,3.4482,0.7973,0.6384,0.5878,0.62,0.7468,0.8134,3.4064,0.92,0.6229,0.6229,0.6229,0.4237,0.8974,0.6824,0.1759,0.4905,2.6699,0.7035,10.1474,0.8588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3997,163,51,83,92,513,222,9,14,0,11,0,11,122,73,105,100,10.7,3.0,2.2,2.4,13.6,5.8,0.2,0.4,0.0,0.8,0.0,0.8,3.2,1.9,2.8,2.7
42,Pennsylvania,PA,42001,Adams County,42001030600,Census Tract 306; Adams County; Pennsylvania,34.306182395382,4879,22,1772,110,1728,103,457,191,50,38,319,108,357,125,515,260,1213,119,832,121,622,141,32,24,8,45,601,325,16,18,151,70,0,15,72,35,499,15,10.4,4.3,2.3,1.8,18.5,6.2,9.6,3.5,11.7,5.9,24.9,2.4,17.1,2.5,14.1,3.2,1.8,1.4,0.2,1.0,12.3,6.7,1.0,1.0,8.5,3.9,0.0,0.9,4.2,2.0,10.2,0.3,0.2709,0.1798,0.3321,0.675,0.9142,2.372,0.4672,0.8192,0.2848,0.4969,0.1853,0.3364,2.1226,0.3021,0.4284,0.4284,0.4284,0.3375,0.8374,0.0,0.3432,0.9332,2.4513,0.6071,7.3743,0.474,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,7592,144,60,109,46,380,287,10,20,0,11,4,8,98,102,0,11,8.3,3.6,2.2,0.9,7.8,5.9,0.2,0.4,0.0,0.6,0.1,0.2,2.0,2.1,0.0,0.6
42,Pennsylvania,PA,42001,Adams County,42001030700,Census Tract 307; Adams County; Pennsylvania,31.346290486406,6541,375,2859,248,2751,238,894,317,89,59,608,158,596,151,548,250,1173,283,1162,130,837,208,132,95,40,62,484,524,86,89,382,121,40,47,121,89,0,16,13.7,4.8,2.4,1.6,22.1,5.4,12.6,3.2,8.4,3.8,17.9,4.2,17.8,1.8,12.8,3.1,4.8,3.4,0.7,1.0,7.4,8.0,3.0,3.1,13.4,4.1,1.5,1.7,4.4,3.1,0.0,0.2,0.391,0.1959,0.4841,0.7987,0.8182,2.6879,0.5728,0.4395,0.329,0.4056,0.5368,0.5441,2.255,0.3791,0.2631,0.2631,0.2631,0.469,0.9121,0.6641,0.3582,0.0,2.4034,0.5835,7.6094,0.5163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2430,314,123,85,72,312,143,16,23,0,16,0,16,70,54,1,3,11.4,4.2,1.3,1.1,4.8,2.1,0.2,0.3,0.0,0.5,0.0,0.5,1.1,0.8,0.0,0.1
42,Pennsylvania,PA,42001,Adams County,42001030801,Census Tract 308.01; Adams County; Pennsylvania,8.240979620896,3416,322,1357,109,1284,97,601,151,63,33,289,57,244,53,290,129,652,108,839,193,549,133,29,19,4,43,263,456,0,15,374,59,13,11,40,26,1,1,18.4,4.4,3.6,1.9,22.5,4.1,10.4,2.3,8.5,3.5,19.1,3.2,24.6,4.0,16.1,3.6,2.3,1.5,0.1,1.3,7.7,13.3,0.0,1.1,27.6,4.5,1.0,0.9,3.1,2.0,0.0,0.0,0.5623,0.3646,0.4997,0.714,0.8232,2.9638,0.6611,0.504,0.8013,0.6373,0.2456,0.2989,2.4871,0.5312,0.276,0.276,0.276,0.0,0.9932,0.5618,0.2541,0.0,1.8091,0.3065,7.536,0.5034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2516,192,48,71,72,128,85,28,26,0,11,0,11,34,20,2,5,15.0,3.7,2.1,2.1,3.7,2.5,0.8,0.8,0.0,0.9,0.0,0.9,1.0,0.6,0.1,0.1
42,Pennsylvania,PA,42001,Adams County,42001030802,Census Tract 308.02; Adams County; Pennsylvania,0.70268826541,1573,136,678,66,665,64,184,63,73,66,167,39,129,55,92,73,360,94,318,56,183,46,34,22,23,46,117,197,16,9,10,8,0,15,27,17,7,3,11.8,3.9,8.1,6.7,25.1,5.3,11.1,4.1,5.9,4.5,22.9,5.1,20.2,3.2,11.6,2.7,5.1,3.3,1.5,3.1,7.4,12.5,2.3,1.3,1.5,1.1,0.0,2.3,4.1,2.6,0.4,0.2,0.3276,0.79,0.5929,0.7447,0.6584,3.1136,0.709,0.7348,0.5081,0.3236,0.5629,0.7099,2.8393,0.7212,0.2631,0.2631,0.2631,0.4237,0.6316,0.0,0.3338,0.5403,1.9294,0.355,8.1454,0.6055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,106,49,7,9,83,67,2,3,0,11,0,11,25,25,0,11,15.9,6.7,0.4,0.6,5.3,4.2,0.1,0.2,0.0,1.9,0.0,1.9,1.6,1.6,0.0,1.9
