ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
72,Puerto Rico,PR,72001,Adjuntas Municipio,72001,"Adjuntas Municipio, Puerto Rico",66.690011195514,17972,0,7535,298,5608,318,14416,599,1364,327,905,189,4145,503,867,283,3841,0,3277,0,2677,366,316,111,12872,812,17901,66,223,81,0,23,82,58,648,159,70,21,80.4,3.3,21.9,4.7,16.1,3.2,31.6,3.8,4.8,1.6,21.4,0.0,18.2,0.0,14.9,2.0,5.6,2.0,74.1,100.0,99.6,0.4,2.9,1.1,0.0,0.7,1.4,1.0,11.6,2.8,0.4,0.1,0.987,0.9091,0.1299,0.9351,0.2857,3.2468,0.8701,0.4026,0.7143,0.1688,0.1039,0.8052,2.1948,0.3117,0.4805,0.4805,0.4805,0.5974,0.0,0.1429,0.3247,0.3506,1.4156,0.1169,7.3377,0.3636,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16115,1502,210,0,23,17901,66,0,23,0,23,0,23,0,23,0,23,26.8,3.6,0.0,0.3,99.6,0.4,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.3,0.0,0.3
72,Puerto Rico,PR,72003,Aguada Municipio,72003,"Aguada Municipio, Puerto Rico",30.85867532077,37998,0,17598,466,12904,476,25942,1358,936,256,1864,334,9475,739,1861,478,8158,0,6159,0,10619,662,876,203,24607,1165,36352,446,151,96,14,24,206,108,1550,219,141,28,68.5,3.6,7.6,2.2,14.4,2.5,33.2,2.6,4.9,1.3,21.5,0.0,16.2,0.0,28.0,1.7,6.8,1.6,66.9,100.0,95.7,1.2,0.9,0.5,0.1,0.1,1.6,0.8,12.0,1.6,0.4,0.1,0.7273,0.2208,0.0519,0.974,0.3117,2.2857,0.3896,0.4416,0.0779,0.8442,0.2987,0.5065,2.1689,0.2857,0.013,0.013,0.013,0.1558,0.1818,0.1558,0.3766,0.3506,1.2206,0.0909,5.6882,0.0519,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34540,4841,375,1,3,35964,492,18,30,47,72,0,31,241,175,81,95,37.5,2.7,0.0,0.1,94.6,1.3,0.0,0.1,0.1,0.2,0.0,0.1,0.6,0.5,0.2,0.3
72,Puerto Rico,PR,72005,Aguadilla Municipio,72005,"Aguadilla Municipio, Puerto Rico",36.54176471305,54752,0,27565,621,21650,686,34677,1468,2771,414,4336,446,9673,652,3095,473,12606,0,9511,0,13340,884,2329,339,30123,1442,54052,292,2936,338,33,36,368,152,3527,402,962,133,64.2,2.7,15.5,2.3,20.0,2.0,24.1,1.6,5.7,0.9,23.0,0.0,17.4,0.0,24.7,1.6,10.7,1.5,56.9,100.0,98.7,0.5,10.6,1.2,0.1,0.1,1.7,0.7,16.3,1.8,1.8,0.2,0.5325,0.6364,0.4675,0.6234,0.4935,2.7533,0.6364,0.6623,0.4416,0.6883,0.9091,0.1429,2.8442,0.7532,0.1818,0.1818,0.1818,0.9091,0.1818,0.1948,0.8571,0.9351,3.0779,0.8182,8.8572,0.7662,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,3,68519,4664,504,30,29,53802,292,28,33,0,35,0,35,147,118,45,32,21.5,2.2,0.1,0.1,98.3,0.5,0.1,0.1,0.0,0.1,0.0,0.1,0.3,0.2,0.1,0.1
72,Puerto Rico,PR,72007,Aguas Buenas Municipio,72007,"Aguas Buenas Municipio, Puerto Rico",30.084874789,24136,0,10707,393,8861,402,15399,1078,463,206,1513,331,4529,433,1042,366,5201,0,4166,0,7106,499,856,217,15680,1148,24058,77,180,86,38,59,248,139,1176,228,174,47,64.1,4.5,5.2,2.3,17.1,3.7,26.2,2.5,4.3,1.5,21.5,0.0,17.3,0.0,29.6,2.1,9.6,2.4,67.1,100.0,99.7,0.3,1.7,0.8,0.4,0.6,2.8,1.6,13.3,2.6,0.7,0.2,0.4935,0.026,0.1948,0.7273,0.1688,1.6104,0.1039,0.4416,0.3896,0.8831,0.8312,0.5195,3.065,0.8442,0.6494,0.6494,0.6494,0.3766,0.7143,0.5974,0.5844,0.6364,2.9091,0.7273,8.2339,0.5844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19014,2054,319,27,41,23981,115,0,28,0,28,0,28,50,77,0,28,23.2,3.9,0.1,0.2,99.4,0.5,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.3,0.0,0.2
72,Puerto Rico,PR,72009,Aibonito Municipio,72009,"Aibonito Municipio, Puerto Rico",31.31230463006,24555,0,10095,314,8995,337,15729,997,540,211,2167,320,3701,419,850,259,5668,0,4185,0,7726,659,682,169,16581,928,24515,53,85,57,0,28,152,87,1190,271,43,17,64.1,4.1,6.4,2.4,24.1,3.4,20.2,2.3,3.5,1.1,23.1,0.0,17.0,0.0,31.5,2.7,7.6,1.9,69.9,100.0,99.8,0.2,0.8,0.6,0.0,0.5,1.7,1.0,13.2,2.9,0.2,0.1,0.4935,0.1169,0.7922,0.2468,0.0649,1.7143,0.1429,0.6753,0.2857,0.9481,0.4675,0.6623,3.0389,0.8052,0.7662,0.7662,0.7662,0.1429,0.0,0.1948,0.5584,0.1299,1.026,0.039,6.5454,0.1948,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,25210,2736,307,0,28,24515,53,0,28,0,28,0,28,0,28,0,28,30.4,3.2,0.0,0.2,99.8,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
72,Puerto Rico,PR,72011,Añasco Municipio,72011,"Añasco Municipio, Puerto Rico",39.292933741846,25497,0,12390,475,8757,455,15239,1213,791,275,1481,271,5349,668,1591,456,5642,0,4166,0,6429,417,492,166,17540,1142,24736,278,187,94,49,60,64,61,925,232,155,28,60.1,4.8,8.4,2.9,16.9,3.0,28.0,3.5,6.3,1.8,22.1,0.0,16.3,0.0,25.3,1.6,5.6,1.9,70.9,100.0,97.0,1.1,1.5,0.8,0.4,0.5,0.7,0.7,10.6,2.6,0.6,0.1,0.2597,0.2727,0.1688,0.8182,0.6104,2.1298,0.3247,0.5325,0.1039,0.7273,0.1039,0.7013,2.1689,0.2857,0.0649,0.0649,0.0649,0.3506,0.7143,0.039,0.2208,0.5584,1.8831,0.2468,6.2467,0.1299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24955,2591,335,122,173,24552,320,0,28,0,28,0,28,21,33,41,38,29.6,3.7,0.5,0.7,96.3,1.3,0.0,0.2,0.0,0.2,0.0,0.2,0.1,0.1,0.2,0.1
72,Puerto Rico,PR,72013,Arecibo Municipio,72013,"Arecibo Municipio, Puerto Rico",125.939504031104,87217,0,41099,828,31415,859,55870,1545,5484,705,6240,550,13188,821,6113,846,20007,0,14721,0,17330,1043,2632,396,52264,1936,86861,152,1558,318,71,47,581,171,4100,458,1517,427,64.7,1.8,17.6,2.2,19.9,1.7,20.5,1.3,7.1,1.0,22.9,0.0,16.9,0.0,20.1,1.2,8.4,1.2,62.1,100.0,99.6,0.2,3.8,0.8,0.2,0.1,1.9,0.5,13.1,1.5,1.7,0.5,0.5455,0.7532,0.4156,0.2987,0.8052,2.8182,0.6494,0.6364,0.2597,0.2987,0.6234,0.3117,2.1299,0.2338,0.4805,0.4805,0.4805,0.7013,0.4156,0.3377,0.5325,0.9221,2.9092,0.7403,8.3378,0.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,94364,8674,558,65,48,86644,207,2,11,0,35,0,35,0,35,150,112,27.6,1.8,0.1,0.1,99.3,0.2,0.0,0.1,0.0,0.1,0.0,0.1,0.0,0.1,0.2,0.1
72,Puerto Rico,PR,72015,Arroyo Municipio,72015,"Arroyo Municipio, Puerto Rico",15.00884458999,15797,0,8153,327,6246,427,10505,947,487,222,1572,340,2481,390,687,259,3370,0,3059,0,3467,491,728,232,11797,842,15743,48,114,98,34,38,194,112,645,206,30,8,66.6,6.0,11.2,5.1,25.2,5.2,21.9,3.4,4.4,1.6,21.3,0.0,19.4,0.0,22.0,3.1,11.7,3.6,77.6,100.0,99.7,0.3,1.4,1.2,0.4,0.5,3.1,1.8,10.3,3.2,0.2,0.1,0.6623,0.3896,0.8571,0.4545,0.1948,2.5583,0.5065,0.3766,0.9221,0.4805,0.974,0.9221,3.6753,1.0,0.6494,0.6494,0.6494,0.2987,0.7143,0.6623,0.1558,0.1299,1.961,0.3117,8.844,0.7403,0,0,0,0,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0,0,3,13249,1393,286,0,23,15699,66,0,23,0,23,0,23,44,55,0,23,22.3,4.5,0.0,0.3,99.4,0.4,0.0,0.3,0.0,0.3,0.0,0.3,0.3,0.3,0.0,0.3
72,Puerto Rico,PR,72017,Barceloneta Municipio,72017,"Barceloneta Municipio, Puerto Rico",18.695790889392,22604,0,10055,456,8254,506,13873,1058,1295,379,1771,372,3661,508,1315,455,4662,0,4026,0,3901,528,785,228,13630,992,22534,69,123,101,50,57,13,35,710,192,21,17,61.4,4.7,15.8,4.7,21.5,4.3,22.3,3.1,5.8,2.0,20.6,0.0,17.8,0.0,17.3,2.3,9.5,2.7,62.6,100.0,99.7,0.3,1.2,1.0,0.5,0.6,0.2,0.4,8.6,2.1,0.1,0.1,0.3506,0.6753,0.6494,0.4935,0.5455,2.7143,0.5974,0.2987,0.5325,0.2338,0.8182,0.3506,2.2338,0.3896,0.6494,0.6494,0.6494,0.2597,0.8052,0.0,0.026,0.0649,1.1558,0.0779,6.7533,0.2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27165,2374,344,0,28,22436,128,0,28,0,28,0,28,49,79,49,79,28.8,3.8,0.0,0.2,99.3,0.6,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.3,0.2,0.4
72,Puerto Rico,PR,72019,Barranquitas Municipio,72019,"Barranquitas Municipio, Puerto Rico",34.252669044284,28899,0,11074,465,9098,473,20376,1304,1612,399,1689,338,4396,500,921,362,5169,0,5934,0,5187,609,671,219,19938,1247,28872,44,210,83,57,67,304,145,896,236,245,93,71.0,4.5,15.5,3.8,18.6,3.6,21.8,2.5,3.2,1.3,17.9,0.0,20.5,0.0,18.0,2.1,7.4,2.4,72.0,100.0,99.9,0.2,1.9,0.7,0.5,0.6,3.3,1.6,9.8,2.6,0.8,0.3,0.7922,0.6364,0.2857,0.4416,0.039,2.1949,0.3506,0.0519,1.0,0.2468,0.4286,0.7532,2.4805,0.5195,0.8571,0.8571,0.8571,0.4416,0.8052,0.7273,0.1039,0.6753,2.7533,0.6623,8.2858,0.6104,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,27123,2360,283,8,13,28864,46,0,28,0,28,0,28,0,28,0,28,25.9,3.4,0.0,0.1,99.9,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2
