ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
45,South Carolina,SC,45001,Abbeville County,45001,"Abbeville County, South Carolina",491.194615733174,24368,0,11658,48,9620,336,6779,703,295,120,2131,343,2552,398,2546,441,5397,30,4833,7,3005,414,517,128,86,109,7710,162,51,56,2847,346,197,99,629,190,969,24,28.7,3.0,2.8,1.1,22.2,3.5,14.9,2.3,10.5,1.8,22.1,0.1,19.8,0.1,12.4,1.7,5.4,1.3,0.4,0.5,31.6,0.7,0.4,0.5,24.4,2.9,2.1,1.0,6.5,1.9,4.0,0.1,0.5333,0.0,0.3333,0.6222,0.4889,1.9777,0.3556,0.8,0.3556,0.0667,0.1111,0.2222,1.5556,0.0444,0.1556,0.1556,0.1556,0.1111,0.6,0.4889,0.4889,0.7111,2.4,0.4667,6.0889,0.2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20826,2286,342,6372,167,441,0,58,90,28,27,0,25,673,202,138,104,23.8,3.4,26.1,0.7,1.8,0.0,0.2,0.4,0.1,0.1,0.0,0.2,2.8,0.8,0.6,0.4
45,South Carolina,SC,45003,Aiken County,45003,"Aiken County, South Carolina",1070.687905186466,169865,0,77577,98,67904,815,38089,2269,4872,757,14508,1112,12534,1126,15157,1572,34200,106,36242,0,26359,1575,4489,546,1138,351,59344,344,1980,401,13953,858,1086,296,3915,556,2788,168,22.8,1.4,6.2,0.9,21.4,1.6,10.4,0.9,9.0,0.9,20.1,0.1,21.3,0.0,15.7,0.9,6.6,0.8,0.7,0.2,34.9,0.2,2.5,0.5,18.0,1.1,1.6,0.4,5.8,0.8,1.6,0.1,0.2,0.5333,0.2667,0.2444,0.2222,1.4666,0.1778,0.6222,0.4444,0.4444,0.3556,0.3778,2.2444,0.3778,0.3556,0.3556,0.3556,0.5333,0.2889,0.2222,0.3556,0.2444,1.6444,0.1333,5.711,0.2222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163097,8168,742,41616,745,10466,0,1696,217,201,91,4,15,4861,770,500,264,12.0,1.1,24.5,0.4,6.2,0.0,1.0,0.1,0.1,0.1,0.0,0.1,2.9,0.5,0.3,0.2
45,South Carolina,SC,45005,Allendale County,45005,"Allendale County, South Carolina",408.094637488686,8073,0,4065,29,3220,165,2763,587,410,183,916,217,1198,231,849,220,1644,7,1536,50,1885,249,331,128,24,79,6278,19,81,51,964,204,101,80,431,142,954,56,38.5,8.2,13.5,5.5,28.4,6.6,21.1,4.0,11.8,3.1,20.4,0.1,19.0,0.6,26.2,3.5,10.3,3.9,0.3,1.0,77.8,0.2,1.9,1.3,23.7,5.0,3.1,2.5,13.4,4.5,11.8,0.7,0.9111,1.0,0.9333,0.9556,0.7333,4.5333,1.0,0.6889,0.2444,1.0,0.9333,0.1778,3.0444,0.8667,1.0,1.0,1.0,0.4,0.5333,0.8,0.9556,1.0,3.6889,0.9333,12.2666,1.0,1,1,1,1,0,4,0,0,1,1,0,2,1,1,0,0,0,1,1,2,9,8331,970,168,5804,95,300,0,38,35,13,21,2,4,121,87,0,19,30.1,5.5,71.9,1.2,3.7,0.0,0.5,0.4,0.2,0.3,0.0,0.1,1.5,1.1,0.0,0.5
45,South Carolina,SC,45007,Anderson County,45007,"Anderson County, South Carolina",713.85508235737,204592,0,89805,82,80301,826,46715,2403,5387,703,16286,970,18045,1204,21099,1957,37097,91,46254,68,30827,1638,4310,498,1699,371,48301,343,3407,505,13908,857,1850,377,4724,682,2870,31,23.2,1.2,5.5,0.7,20.3,1.2,12.8,0.9,10.4,1.0,18.1,0.1,22.6,0.1,15.2,0.8,5.4,0.6,0.9,0.2,23.6,0.2,3.8,0.6,15.5,1.0,2.3,0.5,5.9,0.8,1.4,0.0,0.2222,0.3778,0.0889,0.3778,0.4444,1.5111,0.2,0.2889,0.7333,0.3556,0.1111,0.5111,2.0,0.1333,0.0667,0.0667,0.0667,0.6444,0.2222,0.5556,0.3778,0.1556,1.9556,0.2444,5.5334,0.1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191071,11453,980,30411,776,8570,0,2029,235,227,86,36,39,6674,946,354,164,14.3,1.2,14.9,0.4,4.2,0.0,1.0,0.1,0.1,0.1,0.0,0.1,3.3,0.5,0.2,0.1
45,South Carolina,SC,45009,Bamberg County,45009,"Bamberg County, South Carolina",393.366549284608,13311,0,6644,54,4610,269,3999,523,622,223,1223,266,2037,319,1944,404,3003,4,2511,25,2590,354,402,148,46,104,8460,22,16,27,1317,273,53,41,708,230,1124,57,32.0,4.2,11.0,4.0,26.5,5.6,22.7,3.5,14.8,3.1,22.6,0.1,18.9,0.2,19.7,2.7,8.8,3.2,0.4,0.8,63.6,0.2,0.2,0.4,19.8,4.1,1.2,0.9,15.4,4.8,8.4,0.4,0.7111,0.9778,0.8,1.0,0.9333,4.4222,0.9778,0.8444,0.1778,0.8667,0.7778,0.2222,2.8889,0.7778,0.9111,0.9111,0.9111,0.0667,0.3778,0.0444,1.0,0.9111,2.4,0.4667,10.6222,0.8889,0,1,0,1,1,3,0,0,0,0,0,0,1,1,0,0,0,1,1,2,6,12391,1118,191,8033,167,219,125,13,22,15,22,0,21,168,80,12,22,24.3,4.0,60.3,1.3,1.6,0.9,0.1,0.2,0.1,0.2,0.0,0.3,1.3,0.6,0.1,0.2
45,South Carolina,SC,45011,Barnwell County,45011,"Barnwell County, South Carolina",548.37871885439,20653,0,9914,24,8342,238,7127,810,551,190,2066,350,2370,323,2342,398,3872,75,4856,51,4063,388,937,215,41,101,10377,155,169,82,2839,290,282,113,964,273,408,11,35.2,4.0,5.9,2.1,24.8,4.1,17.2,2.4,11.5,2.0,18.7,0.4,23.5,0.2,20.0,1.9,11.2,2.6,0.2,0.5,50.2,0.8,1.7,0.8,28.6,2.9,3.4,1.4,11.6,3.2,2.0,0.1,0.8444,0.4889,0.5778,0.7778,0.6889,3.3778,0.7778,0.4,0.8667,0.8889,0.9556,0.0667,3.1779,0.9333,0.6889,0.6889,0.6889,0.3333,0.7333,0.8889,0.8444,0.4222,3.2221,0.8667,10.4667,0.8444,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,18662,2203,271,9088,179,580,0,55,77,21,31,0,25,416,174,217,152,26.4,3.1,44.0,0.9,2.8,0.0,0.3,0.4,0.1,0.1,0.0,0.2,2.0,0.8,1.1,0.7
45,South Carolina,SC,45013,Beaufort County,45013,"Beaufort County, South Carolina",576.044127159406,189071,0,99281,187,76113,1025,32287,2320,2534,581,18358,1246,8686,1100,15903,1643,52428,94,33663,84,23686,1453,3893,517,3805,963,60550,594,12329,765,9396,653,1306,367,2688,596,5741,493,17.6,1.3,3.1,0.7,24.1,1.6,6.4,0.8,8.8,0.9,27.7,0.1,17.8,0.1,13.1,0.8,5.2,0.7,2.1,0.5,32.0,0.3,12.4,0.8,9.5,0.7,1.7,0.5,3.5,0.8,3.0,0.3,0.0222,0.0222,0.4889,0.0,0.1333,0.6666,0.0222,0.9556,0.0889,0.1333,0.0444,0.8889,2.1111,0.2222,0.2,0.2,0.2,0.9333,0.0889,0.2444,0.0444,0.6444,1.9554,0.2222,4.9331,0.0667,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,2,197119,7232,823,30517,810,21259,0,2079,280,131,119,62,81,5497,941,1005,556,9.5,1.1,16.1,0.4,11.2,0.0,1.1,0.1,0.1,0.1,0.0,0.1,2.9,0.5,0.5,0.3
45,South Carolina,SC,45015,Berkeley County,45015,"Berkeley County, South Carolina",1103.638888480846,231419,0,94468,76,86958,757,43548,2547,4264,618,19144,1122,15365,1452,22809,1802,33325,30,54528,48,29885,1582,6605,782,2607,480,87706,613,8423,796,15316,847,1588,366,2987,471,3707,136,19.2,1.1,3.8,0.5,22.0,1.3,9.9,0.9,10.2,0.8,14.4,0.1,23.6,0.1,13.4,0.7,7.6,0.9,1.2,0.2,37.9,0.3,8.9,0.8,16.2,0.9,1.9,0.4,3.4,0.5,1.6,0.1,0.0889,0.0889,0.3111,0.1778,0.4,1.0667,0.0889,0.0222,0.9111,0.1556,0.6222,0.6222,2.3333,0.4222,0.4222,0.4222,0.4222,0.8667,0.2444,0.3778,0.0222,0.2444,1.7555,0.1556,5.5777,0.2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,186169,11937,803,53497,1027,16866,0,5418,372,594,158,180,66,10168,1269,983,397,13.7,0.9,23.1,0.4,7.3,0.0,2.3,0.2,0.3,0.1,0.1,0.1,4.4,0.5,0.4,0.2
45,South Carolina,SC,45017,Calhoun County,45017,"Calhoun County, South Carolina",381.151795524448,14145,0,7059,17,5951,207,3549,658,489,163,1323,281,1414,337,1302,342,3334,42,2649,22,2426,372,401,179,29,73,6443,21,47,49,2516,343,148,86,318,123,207,8,25.5,4.7,7.3,2.3,22.2,4.7,13.5,3.2,9.3,2.4,23.6,0.3,18.7,0.2,17.3,2.7,6.7,3.0,0.2,0.5,45.5,0.1,0.7,0.7,35.6,4.9,2.5,1.4,5.3,2.0,1.5,0.1,0.3556,0.7778,0.3333,0.4667,0.2667,2.2001,0.4,0.8667,0.1333,0.6889,0.4444,0.0667,2.2,0.3111,0.6,0.6,0.6,0.1778,0.8667,0.6444,0.3111,0.2222,2.2222,0.3556,7.2223,0.4222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12265,1285,229,5502,168,590,0,15,19,45,37,61,95,230,122,0,21,21.6,3.8,38.9,1.2,4.2,0.0,0.1,0.1,0.3,0.3,0.4,0.7,1.6,0.9,0.0,0.3
45,South Carolina,SC,45019,Charleston County,45019,"Charleston County, South Carolina",918.076964572698,409840,0,202600,106,171795,1430,77391,3555,8108,967,49429,2229,20876,1544,36046,2344,70900,17,79536,78,43211,1824,9056,1037,6140,897,142822,749,31365,1662,10537,903,2191,435,10408,696,11175,126,19.4,0.9,3.7,0.4,28.8,1.3,7.1,0.5,8.9,0.6,17.3,0.1,19.4,0.1,10.7,0.5,5.3,0.6,1.6,0.2,34.8,0.2,15.4,0.8,5.2,0.4,1.3,0.3,6.1,0.4,2.7,0.0,0.1111,0.0667,0.9556,0.0222,0.1778,1.3334,0.1556,0.2444,0.2889,0.0222,0.0889,0.8,1.4444,0.0222,0.3333,0.3333,0.3333,0.9778,0.0222,0.0667,0.4222,0.6,2.0889,0.3111,5.2,0.1333,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,503041,26911,1733,100538,894,22152,0,7204,425,418,159,241,23,10810,1041,1459,636,15.7,1.0,24.5,0.2,5.4,0.0,1.8,0.1,0.1,0.1,0.1,0.1,2.6,0.3,0.4,0.2
