ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
46,South Dakota,SD,46003,Aurora County,46003,"Aurora County, South Dakota",708.459665210026,2590,151,1216,63,1053,67,288,72,11,9,172,41,150,46,172,59,499,54,660,67,316,63,46,23,39,50,293,210,17,16,77,30,4,10,19,10,108,6,11.6,2.8,0.8,0.7,16.3,3.8,8.7,2.7,6.9,2.3,19.3,2.0,25.5,1.6,12.7,2.4,4.3,2.2,1.6,2.1,11.3,8.1,1.4,1.3,6.3,2.4,0.4,0.9,1.8,0.9,4.2,0.3,0.0615,0.1231,0.4154,0.5692,0.3231,1.4923,0.2154,0.4154,0.6462,0.5538,0.5077,0.9231,3.0462,0.9385,0.4769,0.4769,0.4769,0.1846,0.3077,0.1077,0.1385,0.7692,1.5077,0.1077,6.5231,0.2462,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,2024,226,45,33,36,172,65,6,7,62,45,0,10,20,16,0,10,21.5,3.9,1.3,1.4,6.6,2.4,0.2,0.3,2.4,1.7,0.0,1.0,0.8,0.6,0.0,1.0
46,South Dakota,SD,46005,Beadle County,46005,"Beadle County, South Dakota",1258.697147818572,19089,0,8436,36,7443,252,4870,783,216,113,1620,318,1867,249,1008,384,3581,223,5219,43,2342,333,396,156,578,227,5196,86,717,187,533,152,340,148,519,157,572,74,26.0,4.2,2.3,1.2,21.8,4.2,14.9,2.0,5.4,2.0,18.8,1.2,27.3,0.2,12.5,1.8,5.3,2.1,3.3,1.3,27.2,0.5,8.5,2.2,6.3,1.8,4.5,2.0,7.0,2.0,3.0,0.4,0.7538,0.4462,0.7692,0.9231,0.2154,3.1077,0.7077,0.3538,0.7385,0.5077,0.6769,0.9846,3.2615,0.9692,0.8154,0.8154,0.8154,0.8308,0.3077,0.7846,0.7846,0.5231,3.2308,0.8308,10.4154,0.8923,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,17835,1298,244,112,40,2244,0,1708,340,197,66,201,252,685,267,49,65,17.4,3.1,0.6,0.2,11.8,0.0,8.9,1.8,1.0,0.3,1.1,1.3,3.6,1.4,0.3,0.3
46,South Dakota,SD,46007,Bennett County,46007,"Bennett County, South Dakota",1184.641362204906,3391,0,1241,108,1014,114,1533,348,93,73,235,82,200,81,867,224,432,70,1262,132,370,92,110,52,6,39,2157,184,5,6,90,35,80,45,91,62,43,3,45.8,10.4,7.9,5.9,23.2,7.7,11.1,4.7,25.9,6.7,12.7,2.1,37.2,3.9,11.1,2.8,10.9,5.0,0.2,1.2,63.6,5.4,0.4,0.5,7.3,2.8,7.9,4.3,9.0,6.0,1.3,0.1,0.8923,0.8769,0.8462,0.8154,0.9231,4.3539,0.9231,0.1077,0.9538,0.3077,0.9385,0.4308,2.7385,0.8308,0.8769,0.8769,0.8769,0.0923,0.3692,0.8923,0.8923,0.1692,2.4153,0.4462,10.3846,0.8769,0,0,0,0,1,1,0,1,0,1,0,2,0,0,0,0,0,0,0,0,3,2603,331,77,6,9,315,37,45,53,1706,212,0,10,85,51,0,10,32.6,8.0,0.2,0.3,9.3,1.1,1.3,1.5,50.3,6.2,0.0,0.7,2.5,1.5,0.0,0.7
46,South Dakota,SD,46009,Bon Homme County,46009,"Bon Homme County, South Dakota",563.549177247336,7018,0,2817,53,2414,110,1381,246,60,46,500,109,574,92,324,103,1490,21,1273,26,720,112,90,43,25,57,969,27,93,35,124,45,18,17,98,35,1628,61,25.7,4.6,2.2,1.7,20.7,4.4,11.1,1.8,6.0,1.9,21.2,0.3,18.1,0.4,13.4,2.1,3.7,1.8,0.4,0.9,13.8,0.4,3.3,1.2,4.4,1.6,0.7,0.7,4.1,1.5,23.2,0.9,0.7385,0.4154,0.7077,0.8154,0.2615,2.9385,0.6769,0.5231,0.0769,0.6923,0.3846,0.5231,2.2,0.2615,0.5692,0.5692,0.5692,0.4,0.2,0.2615,0.4154,1.0,2.2769,0.3846,7.9846,0.5538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5742,483,80,115,48,204,0,14,22,446,80,0,15,173,59,17,25,20.0,3.5,1.6,0.7,2.9,0.0,0.2,0.3,6.4,1.1,0.0,0.4,2.5,0.8,0.2,0.4
46,South Dakota,SD,46011,Brookings County,46011,"Brookings County, South Dakota",792.216940024396,34631,0,14882,65,13366,324,7014,865,785,189,2986,413,711,177,1612,273,4480,87,7110,104,3087,361,363,126,234,117,3956,82,2268,394,1191,248,102,57,772,235,3300,124,22.3,2.8,3.9,0.9,22.3,3.0,3.8,0.9,4.7,0.8,12.9,0.3,20.5,0.3,9.0,1.0,2.7,0.9,0.7,0.4,11.4,0.2,15.2,2.6,8.0,1.7,0.8,0.4,5.8,1.8,9.5,0.4,0.6615,0.7231,0.8154,0.0462,0.1231,2.3693,0.5077,0.1231,0.1231,0.1077,0.1846,0.7538,1.2923,0.0308,0.4923,0.4923,0.4923,0.9692,0.4769,0.3231,0.7231,0.9385,3.4308,0.9077,7.5847,0.4308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,2,38036,1441,259,366,104,1341,0,1057,148,244,91,0,22,948,261,0,22,10.8,2.0,1.1,0.3,3.9,0.0,3.1,0.4,0.7,0.3,0.0,0.1,2.7,0.8,0.0,0.1
46,South Dakota,SD,46013,Brown County,46013,"Brown County, South Dakota",1713.029633020808,38278,0,17948,65,16035,321,6051,753,775,280,3293,447,1609,324,2603,465,6759,158,8894,120,4474,527,693,212,468,214,5571,21,3256,453,934,203,139,93,1011,222,1128,50,16.3,2.0,3.6,1.3,20.5,2.8,6.3,1.3,6.9,1.2,17.7,0.4,23.2,0.3,11.9,1.4,4.4,1.3,1.3,0.6,14.6,0.1,18.2,2.5,5.2,1.1,0.9,0.6,6.3,1.3,2.9,0.1,0.3692,0.6769,0.6923,0.2308,0.3231,2.2923,0.4615,0.2769,0.4154,0.4308,0.5692,0.8769,2.5692,0.6154,0.6154,0.6154,0.6154,0.9846,0.2769,0.3538,0.7538,0.5077,2.8768,0.6923,8.3537,0.6154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,39421,2290,361,864,75,1461,0,1308,93,1146,210,13,39,775,234,4,4,14.3,2.2,2.3,0.2,3.8,0.0,3.4,0.2,3.0,0.5,0.0,0.1,2.0,0.6,0.0,0.1
46,South Dakota,SD,46015,Brule County,46015,"Brule County, South Dakota",817.221370797306,5247,0,2365,19,1958,103,1258,248,88,52,310,71,508,116,478,147,1004,26,1283,0,747,127,85,48,7,58,987,59,149,78,209,63,4,16,97,54,303,11,24.8,4.9,3.2,1.9,15.8,3.5,14.2,3.2,9.4,2.9,19.1,0.5,24.5,0.0,14.7,2.5,4.3,2.4,0.1,1.2,18.8,1.1,6.3,3.3,8.8,2.7,0.2,0.8,5.0,2.7,5.8,0.2,0.7077,0.6154,0.3538,0.9077,0.6308,3.2154,0.7231,0.3846,0.5385,0.8308,0.5077,0.3385,2.6001,0.6615,0.6923,0.6923,0.6923,0.7385,0.5385,0.0615,0.5692,0.8923,2.8,0.6462,9.3078,0.7385,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4874,459,88,69,54,94,67,0,15,645,120,0,15,179,112,0,15,23.4,4.2,1.3,1.0,1.8,1.3,0.0,0.5,12.3,2.3,0.0,0.5,3.4,2.1,0.0,0.5
46,South Dakota,SD,46017,Buffalo County,46017,"Buffalo County, South Dakota",471.404984364212,1859,201,588,48,492,50,859,143,104,44,136,37,160,48,737,181,140,33,707,118,260,58,75,28,14,43,1516,212,34,15,107,37,54,23,70,26,2,3,46.6,5.9,14.9,5.7,27.6,7.0,17.6,5.2,39.6,7.3,7.5,1.8,38.0,4.3,14.0,2.8,15.3,5.5,0.9,2.6,81.5,7.2,5.8,2.5,18.2,6.0,11.0,4.5,14.2,5.0,0.1,0.2,0.9077,0.9385,1.0,0.9385,0.9846,4.7693,0.9846,0.0154,0.9846,0.7846,0.9846,0.7846,3.5538,0.9846,0.9692,0.9692,0.9692,0.6769,0.8462,0.9538,0.9538,0.0615,3.4922,0.9231,12.7845,1.0,1,1,1,1,1,5,0,1,0,1,0,2,1,1,0,0,1,1,0,2,10,1237,191,43,0,10,154,19,0,10,1346,177,0,10,0,10,16,21,38.8,7.9,0.0,1.3,8.3,1.2,0.0,1.3,72.4,3.6,0.0,1.3,0.0,1.3,0.9,1.1
46,South Dakota,SD,46019,Butte County,46019,"Butte County, South Dakota",2250.00884708261,10369,0,4725,33,4112,204,2193,394,316,152,987,217,770,281,1536,378,2033,43,2424,56,1560,265,170,78,0,64,1231,140,155,110,1186,191,129,82,157,72,147,10,21.5,3.9,5.8,2.9,24.0,5.1,10.6,3.9,15.0,3.7,19.6,0.4,23.4,0.5,15.2,2.6,4.1,1.9,0.0,0.7,11.9,1.4,3.3,2.3,25.1,4.0,3.2,2.0,3.8,1.8,1.4,0.1,0.6154,0.8308,0.8615,0.8,0.7846,3.8923,0.8615,0.4462,0.4462,0.8923,0.4769,0.0,2.2616,0.3385,0.5077,0.5077,0.5077,0.4,0.9385,0.7077,0.3538,0.2,2.6,0.5385,9.2616,0.7231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8174,472,119,0,16,441,0,37,66,125,78,13,23,556,172,59,64,11.5,2.9,0.0,0.2,4.3,0.0,0.4,0.6,1.2,0.7,0.1,0.2,5.4,1.7,0.6,0.6
46,South Dakota,SD,46021,Campbell County,46021,"Campbell County, South Dakota",733.676491079238,1534,116,926,51,691,58,206,63,31,21,98,28,142,39,69,32,419,49,346,68,188,36,11,10,8,38,81,164,18,15,125,38,9,8,31,21,4,2,13.5,4.0,3.9,2.7,14.2,3.9,12.8,3.4,4.5,2.1,27.3,3.0,22.6,3.6,12.3,2.4,1.6,1.4,0.6,2.6,5.3,10.7,2.0,1.6,13.5,3.9,1.3,1.2,4.5,3.0,0.3,0.1,0.1385,0.7231,0.1692,0.8462,0.0923,1.9693,0.3538,0.9385,0.3231,0.4769,0.0462,0.6769,2.4616,0.4769,0.0769,0.0769,0.0769,0.2154,0.7231,0.4462,0.5077,0.0769,1.9693,0.2462,6.4771,0.2308,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,982,189,36,0,10,61,19,2,3,4,6,0,10,14,17,0,10,27.4,4.9,0.0,1.6,4.0,1.2,0.1,0.2,0.3,0.4,0.0,1.6,0.9,1.1,0.0,1.6
