ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
49,Utah,UT,49001,Beaver County,49001,"Beaver County, Utah",2582.910552505536,7102,0,2904,28,2290,122,677,268,116,63,331,108,327,140,820,235,1004,39,2190,71,889,172,117,68,141,93,1184,9,21,25,93,60,29,31,62,52,202,70,9.8,3.9,3.6,2.0,14.5,4.7,7.7,3.2,11.9,3.4,14.1,0.5,30.8,1.0,12.9,2.5,5.1,3.0,2.2,1.4,16.7,0.1,0.7,0.9,3.2,2.1,1.3,1.4,2.7,2.2,2.8,1.0,0.0714,0.5714,0.1429,0.6429,0.75,2.1786,0.3571,0.5,0.6429,0.6071,0.4643,0.8929,3.1072,0.8929,0.5357,0.5357,0.5357,0.1786,0.3214,0.0357,0.3214,0.8214,1.6785,0.1071,7.5,0.4643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6239,459,139,10,18,919,0,0,17,63,89,10,17,176,91,6,9,20.0,5.8,0.1,0.2,12.9,0.0,0.0,0.5,0.9,1.3,0.1,0.2,2.5,1.3,0.1,0.1
49,Utah,UT,49003,Box Elder County,49003,"Box Elder County, Utah",5781.301119791722,58291,0,19788,57,18557,323,9703,1023,729,156,3744,452,2293,378,4708,637,7337,83,18090,0,6549,480,891,239,293,158,8022,148,908,217,775,256,374,121,777,202,357,19,16.8,1.8,2.6,0.6,20.2,2.4,6.6,1.1,8.1,1.1,12.6,0.1,31.0,0.0,11.3,0.8,4.8,1.3,0.5,0.3,13.8,0.3,4.6,1.1,3.9,1.3,2.1,0.7,4.2,1.1,0.6,0.0,0.3929,0.2857,0.4643,0.4286,0.4643,2.0358,0.3214,0.3571,0.6786,0.3214,0.3929,0.25,2.0,0.1429,0.3214,0.3214,0.3214,0.6071,0.3571,0.3571,0.7143,0.1071,2.1427,0.25,6.4999,0.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55099,1504,288,206,90,5751,0,459,119,241,112,102,24,1197,185,66,77,8.1,1.6,0.4,0.2,9.9,0.0,0.8,0.2,0.4,0.2,0.2,0.1,2.1,0.3,0.1,0.1
49,Utah,UT,49005,Cache County,49005,"Cache County, Utah",1164.680293825904,134428,0,44260,78,41718,363,31535,2179,1694,320,10455,763,4020,552,8716,882,13027,72,39835,0,11344,752,2147,360,1953,346,23301,444,3824,455,899,187,1615,299,1381,293,3685,94,24.1,1.7,2.4,0.5,25.1,1.8,5.8,0.8,6.5,0.7,9.7,0.1,29.6,0.0,8.5,0.6,5.1,0.9,1.6,0.3,17.3,0.3,8.7,1.0,2.0,0.4,3.9,0.7,3.3,0.7,2.7,0.1,0.8214,0.1786,0.8571,0.3571,0.1071,2.3213,0.5,0.0714,0.5714,0.1071,0.4643,0.6786,1.8928,0.0714,0.6429,0.6429,0.6429,0.8214,0.1786,0.75,0.5,0.7857,3.0357,0.75,7.8927,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136828,3521,379,915,175,14770,0,2638,332,248,130,523,140,3862,578,345,259,8.4,0.9,0.7,0.1,11.0,0.0,2.0,0.2,0.2,0.1,0.4,0.1,2.9,0.4,0.3,0.2
49,Utah,UT,49007,Carbon County,49007,"Carbon County, Utah",1479.342651966206,20338,0,9623,61,7998,236,5580,765,596,167,2252,325,1064,218,1409,279,3742,60,5246,0,3383,294,452,135,89,116,3640,55,254,81,752,151,155,84,352,109,451,18,27.9,3.8,6.7,1.9,28.2,4.0,8.0,1.6,7.0,1.4,18.4,0.3,25.8,0.0,16.8,1.5,5.7,1.7,0.5,0.6,17.9,0.3,2.6,0.8,7.8,1.6,2.0,1.0,4.4,1.4,2.2,0.1,0.9286,0.9286,0.9643,0.7143,0.1786,3.7144,0.8571,0.75,0.3214,0.8929,0.6786,0.25,2.8929,0.7857,0.7143,0.7143,0.7143,0.4643,0.6071,0.3214,0.75,0.7143,2.8571,0.6429,10.1787,0.8571,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20970,1367,251,174,114,2799,0,56,57,87,52,39,46,467,128,18,16,17.1,3.1,0.9,0.6,13.8,0.0,0.3,0.3,0.4,0.3,0.2,0.2,2.3,0.6,0.1,0.1
49,Utah,UT,49009,Daggett County,49009,"Daggett County, Utah",696.514848871636,638,124,1147,62,235,51,88,32,9,12,58,21,31,16,36,23,118,31,162,67,75,28,0,16,0,48,48,174,0,16,527,72,3,12,11,10,65,18,14.9,4.4,3.5,4.4,24.7,7.1,7.2,3.7,6.2,3.9,18.5,5.5,25.4,7.3,13.0,5.0,0.0,6.8,0.0,7.9,7.5,27.2,0.0,1.4,45.9,5.7,1.3,5.1,4.7,4.2,10.2,2.0,0.2857,0.5,0.7857,0.5714,0.0714,2.2142,0.3929,0.7857,0.2857,0.6429,0.0,0.0,1.7143,0.0357,0.1071,0.1071,0.1071,0.0,1.0,0.0357,0.8571,1.0,2.8928,0.7143,6.9284,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,1102,15,13,0,12,18,24,0,12,11,22,0,12,19,30,0,12,6.4,5.0,0.0,5.3,2.8,3.8,0.0,5.3,1.7,3.5,0.0,5.3,3.0,4.5,0.0,5.3
49,Utah,UT,49011,Davis County,49011,"Davis County, Utah",324.715886650362,363032,0,116139,87,112155,660,39872,3032,4495,584,20497,1154,9222,896,21220,1811,38059,119,112972,0,33087,1357,6451,728,3128,484,65359,946,9820,821,2907,477,2055,358,2741,348,2454,76,11.1,0.8,2.5,0.3,18.3,1.0,4.3,0.4,5.9,0.5,10.5,0.1,31.1,0.0,9.2,0.4,5.7,0.6,0.9,100.0,18.0,0.3,8.4,0.7,2.5,0.4,1.8,0.3,2.4,0.3,0.7,0.0,0.1786,0.25,0.3214,0.1429,0.0357,0.9286,0.0714,0.1071,0.7143,0.1786,0.6786,0.4286,2.1072,0.25,0.75,0.75,0.75,0.7857,0.25,0.25,0.1786,0.2143,1.6786,0.1429,5.4644,0.1071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347937,6958,737,4253,304,37998,0,6480,677,1083,194,2801,246,11101,1122,1643,688,6.2,0.7,1.2,0.1,10.5,0.0,1.8,0.2,0.3,0.1,0.8,0.1,3.1,0.3,0.5,0.2
49,Utah,UT,49013,Duchesne County,49013,"Duchesne County, Utah",3235.521467666446,19779,0,8873,38,6461,129,4632,562,359,104,1339,158,1269,161,2769,361,2440,34,6494,39,2695,171,356,78,157,83,3115,67,67,32,1519,137,301,69,301,76,322,24,23.8,2.9,4.3,1.3,20.7,2.4,10.8,1.4,14.2,1.8,12.3,0.2,32.8,0.2,13.8,0.9,5.5,1.2,0.9,0.5,15.7,0.3,0.7,0.4,17.1,1.5,4.7,1.1,4.7,1.2,1.6,0.1,0.7857,0.7143,0.5357,0.8929,0.8929,3.8215,0.8929,0.2857,0.9286,0.7143,0.6071,0.4286,2.9643,0.8214,0.4286,0.4286,0.4286,0.1786,0.9286,0.8571,0.8571,0.5714,3.3928,0.9643,10.6072,0.9643,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,19520,804,104,74,52,1683,0,78,49,642,103,85,16,548,149,5,8,12.4,1.6,0.4,0.3,8.5,0.0,0.4,0.2,3.2,0.5,0.4,0.1,2.8,0.8,0.0,0.1
49,Utah,UT,49015,Emery County,49015,"Emery County, Utah",4462.633314347042,9898,0,4100,24,3447,109,2158,364,152,74,490,105,420,110,764,157,1755,91,2826,73,1514,177,166,63,90,74,996,13,49,40,528,102,115,51,93,50,95,12,22.0,3.7,3.6,1.8,14.2,3.0,6.7,1.7,7.8,1.6,17.7,0.9,28.6,0.7,15.4,1.8,4.8,1.8,1.0,0.8,10.1,0.1,1.2,1.0,12.9,2.5,3.3,1.5,2.7,1.4,1.0,0.1,0.6071,0.5714,0.0714,0.4643,0.3214,2.0356,0.2857,0.6786,0.5,0.8571,0.3929,0.5357,2.9643,0.8214,0.25,0.25,0.25,0.25,0.8214,0.6071,0.3214,0.25,2.2499,0.2857,7.4998,0.4286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9121,492,87,8,10,677,0,0,17,58,62,96,114,149,102,8,13,14.3,2.5,0.1,0.1,6.8,0.0,0.0,0.4,0.6,0.6,1.0,1.2,1.5,1.0,0.1,0.1
49,Utah,UT,49017,Garfield County,49017,"Garfield County, Utah",5179.5531948434,5121,0,3564,19,1952,131,1122,262,108,52,444,119,152,68,716,232,1174,34,1134,38,733,130,68,47,27,65,600,140,51,37,379,93,25,22,48,33,324,25,22.7,5.3,4.4,2.2,22.7,5.9,4.1,1.8,14.5,4.7,22.9,0.7,22.1,0.7,14.8,2.6,3.4,2.4,0.6,1.3,11.7,2.7,1.5,1.0,10.6,2.6,1.3,1.1,2.5,1.7,6.3,0.5,0.6429,0.75,0.6429,0.0714,0.9286,3.0358,0.6786,0.9286,0.0714,0.7857,0.1786,0.3571,2.3214,0.5357,0.2857,0.2857,0.2857,0.2857,0.75,0.0357,0.25,0.9286,2.25,0.3214,7.8929,0.5357,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,3,5243,381,100,2,3,381,0,0,17,146,130,22,21,49,38,0,17,19.5,4.6,0.0,0.1,7.4,0.0,0.0,0.7,2.9,2.5,0.4,0.4,1.0,0.7,0.0,0.7
49,Utah,UT,49019,Grand County,49019,"Grand County, Utah",3672.856026605292,9680,0,5248,17,4335,233,2205,491,72,90,1280,294,384,188,1177,410,1910,139,1779,2,1174,288,295,137,109,110,1887,25,311,173,774,239,261,144,90,99,114,11,23.0,5.1,1.2,1.5,29.5,6.6,5.5,2.6,12.2,4.3,19.7,1.4,18.4,0.1,12.2,3.0,6.8,3.1,1.2,1.2,19.5,0.3,5.9,3.3,14.7,4.6,6.0,3.3,2.1,2.3,1.2,0.1,0.6786,0.0357,1.0,0.25,0.7857,2.75,0.5714,0.8214,0.0,0.4643,0.9643,0.5714,2.8214,0.75,0.8214,0.8214,0.8214,0.7143,0.8571,0.9643,0.1429,0.3571,3.0357,0.75,9.4285,0.7857,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,3,10175,507,181,2,4,1052,0,140,103,349,192,101,103,234,150,9,14,11.7,4.1,0.0,0.1,10.9,0.0,1.4,1.1,3.6,2.0,1.0,1.1,2.4,1.6,0.1,0.1
