ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
50,Vermont,VT,50001,Addison County,50001,"Addison County, Vermont",766.33096965933,37434,0,17455,57,14416,258,4644,438,846,173,3444,309,1445,209,1748,270,8012,43,6060,4,5811,433,524,125,100,106,3205,112,492,122,1331,177,203,81,589,145,3127,59,13.5,1.3,4.1,0.8,23.9,2.1,5.5,0.8,4.7,0.7,21.4,0.1,16.2,0.1,15.6,1.2,3.6,0.9,0.3,0.3,8.6,0.3,2.8,0.7,7.6,1.0,1.5,0.6,4.1,1.0,8.4,0.2,0.0769,0.6154,0.0,0.3077,0.7692,1.7692,0.3077,0.3077,0.0,0.5385,0.0769,0.6923,1.6154,0.0769,0.8462,0.8462,0.8462,0.3846,0.5385,0.5385,0.0769,1.0,2.5385,0.6154,6.7693,0.2308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,33092,1535,211,332,110,935,0,702,96,42,26,29,36,1110,207,55,47,10.6,1.4,0.9,0.3,2.5,0.0,1.9,0.3,0.1,0.1,0.1,0.1,3.0,0.6,0.1,0.1
50,Vermont,VT,50003,Bennington County,50003,"Bennington County, Vermont",674.23613682809,37326,0,20857,40,14566,338,6728,690,766,203,4270,490,1576,238,1697,332,8701,56,7038,0,6452,531,840,184,85,96,2838,150,749,162,1059,191,190,80,1238,310,1278,45,18.6,1.9,4.2,1.1,29.3,3.3,5.9,0.9,4.6,0.9,23.3,0.1,18.9,0.0,17.5,1.5,5.8,1.3,0.2,0.3,7.6,0.4,3.6,0.8,5.1,0.9,1.3,0.5,8.5,2.1,3.4,0.1,0.6923,0.6923,0.8462,0.5385,0.6923,3.4616,0.7692,0.6923,0.6923,0.9231,0.9231,0.1538,3.3846,0.9231,0.6923,0.6923,0.6923,0.5385,0.1538,0.3846,1.0,0.5385,2.6154,0.6923,10.1539,1.0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,1,0,1,3,39152,2749,378,357,116,891,0,402,102,27,22,27,48,1033,193,101,90,18.9,2.5,1.0,0.3,2.4,0.0,1.1,0.3,0.1,0.1,0.1,0.1,2.8,0.5,0.3,0.2
50,Vermont,VT,50005,Caledonia County,50005,"Caledonia County, Vermont",649.212815628728,30418,0,16037,47,12819,239,5955,616,427,110,3499,327,1375,223,1372,192,6748,77,5767,30,5163,411,717,167,112,102,1989,148,375,108,1390,223,134,51,956,204,1050,26,20.1,2.1,2.6,0.7,27.3,2.5,6.3,1.0,4.5,0.6,22.2,0.3,19.0,0.1,17.1,1.4,5.6,1.3,0.4,0.4,6.5,0.5,2.4,0.7,8.7,1.4,1.1,0.4,7.5,1.6,3.5,0.1,0.7692,0.0,0.4615,0.6923,0.4615,2.3845,0.4615,0.4615,0.7692,0.7692,0.7692,0.7692,3.5383,1.0,0.3077,0.3077,0.3077,0.3077,0.6923,0.2308,0.8462,0.6923,2.7693,0.8462,8.9998,0.6923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26374,2091,248,206,42,581,0,128,69,68,34,0,21,858,127,148,147,16.3,1.9,0.7,0.1,1.9,0.0,0.4,0.2,0.2,0.1,0.0,0.1,2.8,0.4,0.5,0.5
50,Vermont,VT,50007,Chittenden County,50007,"Chittenden County, Vermont",536.849131278676,168309,0,73209,84,69318,456,25647,1716,3877,649,19369,1200,5308,679,5577,734,26697,105,29334,0,18695,1108,3238,466,1959,431,21818,363,10777,741,2786,444,1036,273,4794,585,9880,129,16.1,1.1,3.9,0.6,27.9,1.7,4.7,0.6,3.3,0.4,15.9,0.1,17.4,0.0,11.2,0.7,4.6,0.7,1.2,0.3,13.0,0.2,14.7,1.0,3.8,0.6,1.5,0.4,6.9,0.8,5.9,0.1,0.1538,0.4615,0.6923,0.0769,0.0769,1.4614,0.1538,0.0,0.3077,0.0,0.3077,1.0,1.6154,0.0769,1.0,1.0,1.0,1.0,0.0,0.5385,0.6923,0.9231,3.1539,0.9231,7.2307,0.3846,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,2,4,192853,6999,654,4126,374,4286,0,6528,670,116,75,51,51,6288,831,423,181,10.1,0.9,2.5,0.2,2.5,0.0,3.9,0.4,0.1,0.1,0.0,0.1,3.7,0.5,0.3,0.1
50,Vermont,VT,50009,Essex County,50009,"Essex County, Vermont",662.369646299726,5976,0,4905,21,2667,135,1605,174,151,56,739,103,507,75,318,73,1588,11,1023,22,1368,142,126,43,25,55,359,45,29,19,475,87,81,40,132,50,28,3,26.9,2.9,5.4,2.0,27.7,3.6,11.1,1.6,5.3,1.2,26.6,0.2,17.1,0.4,22.9,2.4,4.7,1.6,0.4,1.0,6.0,0.8,0.6,0.4,9.7,1.8,3.0,1.5,4.9,1.9,0.5,0.1,1.0,0.9231,0.6154,1.0,0.9231,4.4616,1.0,1.0,0.1538,1.0,0.4615,0.7692,3.3845,0.8462,0.0769,0.0769,0.0769,0.0769,0.9231,0.9231,0.2308,0.0769,2.2308,0.3077,10.1538,0.9231,1,1,0,1,1,4,1,0,1,0,0,2,0,0,0,1,1,0,0,2,8,4217,489,82,2,6,92,0,41,15,39,30,0,14,185,60,0,14,18.3,2.9,0.0,0.1,1.5,0.0,0.7,0.3,0.7,0.5,0.0,0.4,3.1,1.0,0.0,0.4
50,Vermont,VT,50011,Franklin County,50011,"Franklin County, Vermont",630.959636241954,50101,0,22714,47,19233,415,8693,917,875,231,5280,523,2856,517,2088,399,8425,64,10811,110,7048,702,1000,202,118,107,3604,161,1011,234,1356,276,188,83,1193,273,449,22,17.5,1.8,3.3,0.9,27.5,2.7,8.1,1.5,4.2,0.8,16.8,0.1,21.6,0.2,14.2,1.4,5.2,1.0,0.2,0.2,7.2,0.3,4.5,1.0,6.0,1.2,1.0,0.4,6.2,1.4,0.9,0.0,0.5385,0.2308,0.5385,0.8462,0.3846,2.5386,0.5385,0.0769,1.0,0.3077,0.6923,0.1538,2.2307,0.5385,0.6154,0.6154,0.6154,0.6154,0.4615,0.0769,0.5385,0.1538,1.8461,0.0769,7.2308,0.4615,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,42251,2537,376,121,80,921,0,331,60,194,99,16,27,1918,191,103,86,13.2,2.0,0.2,0.2,1.8,0.0,0.7,0.1,0.4,0.2,0.0,0.1,3.8,0.4,0.2,0.2
50,Vermont,VT,50013,Grand Isle County,50013,"Grand Isle County, Vermont",81.765622859956,7335,0,5264,30,3027,171,898,170,133,59,775,131,221,56,292,93,1600,31,1263,41,893,135,81,36,16,58,657,45,8,10,629,112,12,12,60,33,7,9,12.3,2.3,3.5,1.5,25.6,4.1,3.9,1.0,4.0,1.3,21.8,0.4,17.2,0.6,12.2,1.8,2.7,1.2,0.2,0.8,9.0,0.6,0.1,0.2,11.9,2.1,0.4,0.4,2.0,1.0,0.1,0.1,0.0,0.3077,0.2308,0.0,0.2308,0.7693,0.0769,0.3846,0.2308,0.0769,0.0,0.1538,0.8461,0.0,0.9231,0.9231,0.9231,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.5385,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,2,3885,274,81,80,30,147,0,25,15,128,53,0,14,240,65,37,33,9.1,2.4,1.1,0.4,2.0,0.0,0.3,0.2,1.7,0.7,0.0,0.3,3.3,0.9,0.5,0.4
50,Vermont,VT,50015,Lamoille County,50015,"Lamoille County, Vermont",461.254421857818,25977,0,13946,40,11176,372,4087,516,570,163,3178,375,1071,251,1627,368,4612,42,5264,38,3299,296,577,167,45,69,1716,118,388,137,1301,234,141,76,572,156,632,20,16.1,2.0,3.9,1.1,28.4,3.2,5.8,1.4,6.3,1.4,17.8,0.2,20.3,0.1,12.7,1.1,5.1,1.5,0.2,0.3,6.6,0.5,2.8,1.0,9.3,1.7,1.3,0.7,5.1,1.3,2.4,0.1,0.1538,0.4615,0.7692,0.3846,1.0,2.7691,0.6154,0.1538,0.9231,0.1538,0.6154,0.1538,1.9999,0.3077,0.3846,0.3846,0.3846,0.3846,0.7692,0.3846,0.3077,0.3846,2.2307,0.1538,7.3843,0.5385,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,25803,1217,279,269,108,510,0,123,91,90,43,0,18,610,114,114,82,10.9,2.4,1.0,0.4,2.0,0.0,0.5,0.4,0.3,0.2,0.0,0.1,2.3,0.4,0.4,0.3
50,Vermont,VT,50017,Orange County,50017,"Orange County, Vermont",687.00802226068,29439,0,14998,44,12690,233,4915,558,513,128,3148,307,1327,164,1319,307,6523,41,5264,19,4537,380,580,137,36,66,1626,112,208,93,1428,206,219,78,533,114,602,23,17.0,1.9,3.1,0.8,24.8,2.4,6.1,0.7,4.5,1.0,22.2,0.1,17.9,0.1,15.5,1.3,4.6,1.1,0.1,0.2,5.5,0.4,1.4,0.6,9.5,1.4,1.7,0.6,4.2,0.9,2.0,0.1,0.4615,0.1538,0.0769,0.6154,0.4615,1.7691,0.2308,0.4615,0.5385,0.4615,0.3077,0.0,1.7692,0.2308,0.0,0.0,0.0,0.1538,0.8462,0.7692,0.1538,0.3077,2.2307,0.1538,5.769,0.0769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21763,1681,206,101,53,414,0,150,27,55,24,1,3,774,132,131,64,13.2,1.5,0.3,0.2,1.4,0.0,0.5,0.1,0.2,0.1,0.0,0.1,2.6,0.4,0.4,0.2
50,Vermont,VT,50019,Orleans County,50019,"Orleans County, Vermont",694.549066909528,27459,0,16499,65,11528,319,5376,519,861,208,3136,287,1700,211,937,169,6370,37,5331,18,4659,337,552,109,54,75,1666,96,306,85,1352,160,166,51,731,160,890,26,20.2,2.0,6.1,1.4,27.2,2.4,8.5,1.1,3.5,0.6,23.2,0.1,19.4,0.1,17.4,1.3,4.8,0.9,0.2,0.3,6.1,0.3,1.8,0.5,8.2,1.0,1.5,0.4,6.3,1.4,3.2,0.1,0.8462,1.0,0.3846,0.9231,0.1538,3.3077,0.6923,0.6154,0.8462,0.8462,0.5385,0.1538,3.0001,0.7692,0.1538,0.1538,0.1538,0.2308,0.6154,0.5385,0.6154,0.4615,2.4616,0.3846,8.9232,0.6154,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,26596,1382,177,187,35,455,0,131,42,85,32,5,8,767,84,36,26,12.0,1.5,0.7,0.1,1.7,0.0,0.5,0.2,0.3,0.1,0.0,0.1,2.8,0.3,0.1,0.1
