ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
53,Washington,WA,53001,Adams County,53001,"Adams County, Washington",1924.988298154904,20557,0,6774,26,6304,153,6727,848,558,231,1716,324,3269,327,3336,509,2317,45,7159,82,2216,300,434,144,2693,589,13992,115,323,113,1573,192,720,195,464,127,318,46,33.1,4.2,6.3,2.5,27.2,5.1,29.0,2.9,16.4,2.5,11.3,0.2,34.8,0.4,10.9,1.5,6.9,2.3,14.4,3.1,68.1,0.6,4.7,1.7,23.2,2.8,11.4,3.1,7.4,2.0,1.5,0.2,0.9737,0.7895,0.7368,1.0,1.0,4.5,1.0,0.0263,1.0,0.0263,0.8421,1.0,2.8947,0.6842,1.0,1.0,1.0,0.4211,0.9737,1.0,0.9211,0.4211,3.737,1.0,12.1317,1.0,1,0,0,1,1,3,0,1,0,0,1,2,1,1,0,1,1,1,0,3,9,20674,942,207,44,35,13253,0,126,57,71,46,84,77,359,148,55,68,14.9,3.3,0.2,0.2,64.5,0.0,0.6,0.3,0.3,0.2,0.4,0.4,1.7,0.7,0.3,0.3
53,Washington,WA,53003,Asotin County,53003,"Asotin County, Washington",636.075210520718,22370,0,10109,46,9499,188,5972,697,601,182,2403,369,1130,248,1503,298,5333,79,4512,90,4107,414,410,175,144,108,2677,127,362,145,1026,227,170,71,311,103,206,9,27.0,3.1,5.9,1.8,25.3,3.9,7.0,1.5,6.8,1.3,23.8,0.4,20.2,0.4,18.5,1.9,4.3,1.8,0.7,0.5,12.0,0.6,3.6,1.4,10.1,2.3,1.8,0.7,3.3,1.1,0.9,0.0,0.8684,0.6842,0.4737,0.3158,0.5789,2.921,0.6579,0.6579,0.5,0.6053,0.2895,0.2368,2.2895,0.3158,0.0526,0.0526,0.0526,0.3421,0.5,0.0789,0.1053,0.0526,1.0789,0.0263,6.342,0.2368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19139,1065,244,144,92,1043,0,261,66,271,218,0,24,849,269,109,77,11.2,2.5,0.6,0.4,4.7,0.0,1.2,0.3,1.2,1.0,0.0,0.2,3.8,1.2,0.5,0.3
53,Washington,WA,53005,Benton County,53005,"Benton County, Washington",1700.1267397047,207560,0,80421,90,75509,632,36183,2210,4772,646,17327,1256,13362,917,16508,1325,31955,111,54559,136,29261,1491,4994,600,7971,945,67625,477,9992,826,7387,546,2283,398,3827,444,1823,106,17.6,1.1,4.8,0.6,22.9,1.7,9.9,0.7,8.0,0.6,15.4,0.1,26.3,0.1,14.2,0.7,6.6,0.8,4.1,0.5,32.6,0.2,12.4,1.0,9.2,0.7,3.1,0.5,5.1,0.6,0.9,0.1,0.3158,0.2368,0.1316,0.6579,0.7895,2.1316,0.3421,0.2105,0.8947,0.3421,0.8158,0.7632,3.0263,0.7632,0.7368,0.7368,0.7368,0.8421,0.4474,0.3947,0.6316,0.0526,2.3684,0.4474,8.2631,0.6053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206765,7250,592,3299,350,48824,0,6250,442,975,283,422,63,6945,691,910,415,9.6,0.8,1.6,0.2,23.5,0.0,3.0,0.2,0.5,0.1,0.2,0.1,3.3,0.3,0.4,0.2
53,Washington,WA,53007,Chelan County,53007,"Chelan County, Washington",2921.176283052696,79076,0,37581,37,30414,532,13855,1404,1326,273,7044,669,7946,736,8555,776,15729,138,18118,15,14033,919,1761,323,5344,660,26562,231,3596,462,3633,488,959,269,1609,303,1649,23,17.7,1.8,3.4,0.7,23.2,2.2,14.6,1.3,10.9,1.0,19.9,0.2,22.9,0.1,17.9,1.2,5.8,1.1,7.2,0.9,33.6,0.3,9.6,1.2,9.7,1.3,3.1,0.9,5.3,1.0,2.1,0.0,0.3684,0.0526,0.1842,0.8684,0.8421,2.3157,0.4211,0.4737,0.7895,0.5789,0.6842,0.8684,3.3947,0.9474,0.7632,0.7632,0.7632,0.6842,0.4737,0.3947,0.6842,0.6316,2.8684,0.6842,9.342,0.8158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83081,3635,509,355,101,22645,0,635,137,489,121,32,26,2171,268,235,173,12.0,1.7,0.4,0.1,28.6,0.0,0.8,0.2,0.6,0.2,0.0,0.1,2.7,0.3,0.3,0.2
53,Washington,WA,53009,Clallam County,53009,"Clallam County, Washington",1738.772659545128,77333,0,37994,46,34128,508,14986,1046,1740,297,9139,755,4219,474,5692,651,23764,54,12823,0,15206,859,1520,318,492,190,14871,277,2625,378,4757,398,627,163,2132,280,1227,65,19.7,1.4,5.4,0.9,26.8,2.2,7.0,0.8,7.5,0.9,30.7,0.1,16.6,0.0,20.0,1.1,4.5,0.9,0.7,0.3,19.2,0.4,6.9,1.0,12.5,1.0,1.8,0.5,6.2,0.8,1.6,0.1,0.4737,0.4474,0.6579,0.3158,0.7105,2.6053,0.6316,0.8947,0.1053,0.7895,0.3684,0.2368,2.3947,0.3947,0.3421,0.3421,0.3421,0.5526,0.6053,0.0789,0.7895,0.5,2.5263,0.5263,7.8684,0.4737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76578,3183,398,627,158,5553,0,1292,192,2861,239,14,21,4417,440,107,75,9.3,1.2,0.8,0.2,7.2,0.0,1.7,0.2,3.7,0.3,0.0,0.1,5.7,0.6,0.1,0.1
53,Washington,WA,53011,Clark County,53011,"Clark County, Washington",628.499164567264,504091,0,196557,120,188863,754,72508,3335,13318,1095,47783,1760,24317,1495,32019,2700,81124,131,116721,0,63000,1962,10627,931,13488,1256,124121,1142,22526,1061,7870,619,6029,676,8979,739,4349,147,14.5,0.7,5.2,0.4,25.3,0.9,7.0,0.4,6.4,0.5,16.1,0.1,23.2,0.0,12.6,0.4,5.6,0.5,2.8,100.0,24.6,0.2,11.5,0.5,4.0,0.3,3.2,0.4,4.8,0.4,0.9,0.0,0.1053,0.3421,0.4737,0.3158,0.4737,1.7106,0.2368,0.2368,0.8421,0.1579,0.6316,0.6579,2.5263,0.5526,0.5789,0.5789,0.5789,0.8158,0.0263,0.5,0.5789,0.0526,1.9736,0.2105,6.7894,0.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438392,12462,860,9785,811,54176,0,23256,833,1915,340,3734,609,29253,1783,2002,537,6.6,0.5,1.9,0.2,10.7,0.0,4.6,0.2,0.4,0.1,0.7,0.1,5.8,0.4,0.4,0.1
53,Washington,WA,53013,Columbia County,53013,"Columbia County, Washington",868.584626421458,3980,0,2196,22,1804,112,675,173,67,49,360,104,306,115,313,123,1150,55,692,87,902,118,149,88,23,53,728,81,11,12,109,43,31,32,73,45,84,13,17.1,4.4,3.5,2.6,20.0,5.6,10.1,3.8,7.9,3.1,28.9,1.4,17.4,2.2,22.9,3.0,8.3,4.9,0.6,1.4,18.3,2.0,0.5,0.5,5.0,2.0,1.7,1.8,4.0,2.5,2.1,0.3,0.2632,0.0789,0.0789,0.7368,0.7632,1.921,0.2632,0.8421,0.1842,0.9211,0.9737,0.1842,3.1053,0.8684,0.2368,0.2368,0.2368,0.0,0.1053,0.0526,0.2632,0.6316,1.0527,0.0,6.3158,0.2105,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,2,3721,421,116,36,37,325,0,2,4,16,16,0,13,344,88,5,9,23.3,6.2,0.9,0.9,8.2,0.0,0.1,0.1,0.4,0.4,0.0,0.9,8.6,2.2,0.1,0.2
53,Washington,WA,53015,Cowlitz County,53015,"Cowlitz County, Washington",1141.158271179936,110621,0,45540,78,43167,390,21624,1714,2732,557,12013,826,7656,673,6604,691,21291,97,24995,27,20706,1178,2528,371,1338,378,20623,514,4840,581,3899,419,1475,308,2696,410,1299,36,19.8,1.6,5.5,1.1,27.8,1.9,9.9,0.9,6.0,0.6,19.2,0.1,22.6,0.1,18.9,1.1,5.8,0.9,1.3,0.4,18.6,0.5,10.6,1.3,8.6,0.9,3.4,0.7,6.2,0.9,1.2,0.0,0.5,0.5,0.8684,0.6579,0.3947,2.921,0.6579,0.4211,0.7368,0.6579,0.6842,0.4211,2.9211,0.7368,0.2895,0.2895,0.2895,0.7895,0.3947,0.6053,0.7895,0.2105,2.7895,0.6316,8.9211,0.7368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108796,4932,465,816,248,10851,0,1339,195,957,273,296,156,5822,675,542,305,11.4,1.1,0.7,0.2,9.8,0.0,1.2,0.2,0.9,0.2,0.3,0.1,5.3,0.6,0.5,0.3
53,Washington,WA,53017,Douglas County,53017,"Douglas County, Washington",1819.24311212643,43189,0,17438,41,15474,289,6675,941,918,303,2995,431,5228,411,5185,514,7709,47,10837,29,7972,725,1193,258,3627,398,16764,178,942,205,2680,284,623,155,695,184,563,44,15.5,2.2,4.3,1.4,19.4,2.8,18.2,1.4,12.0,1.2,17.8,0.1,25.1,0.1,18.5,1.7,7.7,1.7,9.0,1.0,38.8,0.4,5.4,1.2,15.4,1.6,4.1,1.0,4.5,1.2,1.3,0.1,0.1579,0.1053,0.0526,0.8947,0.8684,2.0789,0.3158,0.3158,0.8684,0.6053,0.9211,0.8947,3.6053,0.9737,0.8684,0.8684,0.8684,0.4474,0.6842,0.7895,0.3684,0.2895,2.579,0.5789,9.1316,0.7895,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,34087,2116,313,190,96,14400,0,293,107,276,103,126,16,1387,218,92,93,13.7,2.0,0.4,0.2,33.3,0.0,0.7,0.2,0.6,0.2,0.3,0.1,3.2,0.5,0.2,0.2
53,Washington,WA,53019,Ferry County,53019,"Ferry County, Washington",2203.240318000242,7260,0,4100,30,3025,145,2249,248,206,86,732,124,477,121,368,119,2107,13,1242,23,1878,236,122,51,33,70,2069,71,57,34,813,167,70,31,187,55,223,52,31.3,3.5,7.6,3.1,24.2,3.9,8.6,2.1,5.1,1.7,29.0,0.2,17.1,0.3,26.1,3.3,4.0,1.7,0.5,1.0,28.5,1.0,1.4,0.8,19.8,4.1,2.3,1.0,6.2,1.8,3.1,0.7,0.9474,0.9737,0.3684,0.5526,0.1842,3.0263,0.7632,0.8684,0.1316,1.0,0.1842,0.1579,2.3421,0.3684,0.6842,0.6842,0.6842,0.1579,0.9474,0.2895,0.7895,0.8421,3.0264,0.8158,9.079,0.7632,1,1,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,6533,732,111,15,16,130,68,25,35,1081,130,57,26,726,148,35,49,24.2,3.5,0.2,0.2,1.8,0.9,0.3,0.5,14.9,1.8,0.8,0.4,10.0,2.0,0.5,0.7
