ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
54,West Virginia,WV,54001,Barbour County,54001965500,Census Tract 9655; Barbour County; West Virginia,131.73783058461,3450,551,1746,160,1282,207,952,386,143,104,127,74,262,111,222,129,755,160,704,219,573,158,20,20,0,52,396,783,0,18,239,78,0,18,49,31,0,13,27.6,10.3,9.9,7.6,9.9,5.5,10.8,4.5,6.4,3.7,21.9,5.0,20.4,4.6,16.6,4.5,1.6,1.5,0.0,1.6,11.5,22.6,0.0,1.0,13.7,4.8,0.0,1.4,3.8,2.5,0.0,0.4,0.5331,0.8033,0.1011,0.4743,0.5607,2.4725,0.4871,0.5938,0.5441,0.3548,0.1783,0.0,1.671,0.1875,0.7224,0.7224,0.7224,0.0,0.5523,0.0,0.2279,0.0,0.7802,0.0404,5.6461,0.1544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1116,217,96,0,13,32,53,61,87,0,13,0,13,303,160,0,13,16.9,6.7,0.0,1.1,0.9,1.5,1.8,2.6,0.0,1.1,0.0,1.1,8.8,4.7,0.0,1.1
54,West Virginia,WV,54001,Barbour County,54001965600,Census Tract 9656; Barbour County; West Virginia,15.171070750718,3559,320,1785,179,1516,192,825,282,98,80,445,196,323,145,193,159,758,166,637,218,473,188,57,59,26,62,323,469,91,77,118,77,0,18,119,68,526,34,27.2,8.8,6.6,5.1,29.4,12.4,14.0,5.6,5.6,4.6,21.3,4.9,17.9,5.6,13.6,5.0,3.8,3.9,0.8,1.8,9.1,13.2,5.1,4.3,6.6,4.3,0.0,1.2,7.8,4.5,14.8,1.6,0.5147,0.5846,0.8419,0.6489,0.4596,3.0497,0.7224,0.5423,0.3254,0.1875,0.4357,0.8897,2.3806,0.5735,0.6287,0.6287,0.6287,0.7284,0.3505,0.0,0.5441,0.9467,2.5697,0.6801,8.6287,0.7592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5204,312,137,195,102,22,25,23,34,0,13,0,13,83,84,0,13,20.6,8.4,5.5,2.9,0.6,0.7,0.6,1.0,0.0,1.0,0.0,1.0,2.3,2.4,0.0,1.0
54,West Virginia,WV,54001,Barbour County,54001965700,Census Tract 9657; Barbour County; West Virginia,164.114026920406,4632,645,2120,175,1758,196,1614,466,201,141,310,157,273,153,213,120,1108,193,839,268,661,210,83,76,0,52,107,913,0,18,481,172,11,23,78,68,0,13,35.0,8.8,11.2,6.7,17.6,8.7,7.9,4.3,4.6,2.6,23.9,4.7,18.1,4.3,14.3,4.2,4.7,4.3,0.0,1.2,2.3,19.7,0.0,0.8,22.7,8.0,0.6,1.3,4.4,3.8,0.0,0.3,0.7114,0.8548,0.4246,0.2868,0.3162,2.5938,0.5478,0.7335,0.3529,0.2335,0.5496,0.0,1.8695,0.2886,0.1618,0.1618,0.1618,0.0,0.778,0.4945,0.2868,0.0,1.5593,0.204,6.1844,0.2206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313,476,155,12,25,0,13,0,13,0,13,0,13,65,93,30,36,27.1,8.5,0.3,0.6,0.0,0.8,0.0,0.8,0.0,0.8,0.0,0.8,1.4,2.0,0.6,0.8
54,West Virginia,WV,54001,Barbour County,54001965800,Census Tract 9658; Barbour County; West Virginia,30.035785394618,3886,504,1513,150,1233,155,1415,352,205,110,283,93,424,127,219,96,614,101,941,216,631,168,79,51,47,74,400,673,37,43,209,69,0,18,155,66,85,6,37.2,7.8,12.4,6.6,23.0,7.0,17.7,5.4,5.8,2.6,15.8,2.9,24.2,4.1,16.6,4.2,6.4,4.1,1.3,2.0,10.3,17.3,2.4,2.8,13.8,4.5,0.0,1.5,12.6,5.3,2.2,0.3,0.7776,0.8824,0.6728,0.8125,0.4853,3.6306,0.8787,0.1673,0.7978,0.3548,0.6967,0.9449,2.9615,0.8676,0.6875,0.6875,0.6875,0.6037,0.5541,0.0,0.7849,0.7684,2.7111,0.7279,9.9907,0.9173,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3344,219,61,5,8,128,62,0,13,26,43,0,13,241,186,0,13,17.8,5.3,0.1,0.2,3.3,1.6,0.0,1.0,0.7,1.1,0.0,1.0,6.2,4.5,0.0,1.0
54,West Virginia,WV,54003,Berkeley County,54003971101,Census Tract 9711.01; Berkeley County; West Virginia,9.903828656518,7361,1256,2836,336,2708,336,1307,613,253,213,671,233,233,111,526,364,778,192,2049,753,1092,452,317,167,0,72,1702,1692,0,25,235,140,179,206,162,120,14,7,18.6,8.3,6.6,5.5,24.8,8.0,5.0,2.3,7.2,5.1,10.6,2.8,27.8,6.8,15.0,6.2,11.8,6.0,0.0,1.0,23.1,22.6,0.0,0.9,8.3,4.9,6.6,7.6,6.0,4.5,0.2,0.1,0.2151,0.5846,0.7335,0.1397,0.6415,2.3144,0.421,0.0423,0.9504,0.2592,0.932,0.0,2.1839,0.4596,0.9191,0.9191,0.9191,0.0,0.4,0.9816,0.4357,0.4982,2.3155,0.5404,7.7329,0.5607,0,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,1,0,0,1,4,7025,242,108,607,368,579,351,268,226,0,18,0,18,248,189,0,18,8.9,4.3,8.2,5.1,7.9,4.6,3.6,2.8,0.0,0.5,0.0,0.5,3.4,2.6,0.0,0.5
54,West Virginia,WV,54003,Berkeley County,54003971103,Census Tract 9711.03; Berkeley County; West Virginia,3.233343245048,1797,191,1021,219,746,84,217,132,0,13,52,50,226,131,64,62,464,151,328,65,191,69,20,23,0,52,159,281,0,18,386,204,0,18,69,82,0,13,12.1,7.3,0.0,4.1,7.0,6.7,17.3,9.9,3.6,3.3,25.8,7.9,18.3,3.7,10.6,3.9,2.7,3.1,0.0,3.0,8.8,15.6,0.0,1.8,37.8,14.8,0.0,2.4,9.2,10.6,0.0,0.7,0.0735,0.0,0.0313,0.8015,0.1728,1.0791,0.079,0.8125,0.3621,0.0699,0.3143,0.0,1.5588,0.1489,0.6066,0.6066,0.6066,0.0,0.9725,0.0,0.6379,0.0,1.6104,0.2243,4.8549,0.0846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1324,115,61,15,30,69,76,20,30,0,13,0,13,55,56,0,13,15.4,8.5,0.8,1.7,3.8,4.1,1.1,1.7,0.0,2.1,0.0,2.1,3.1,3.2,0.0,2.1
54,West Virginia,WV,54003,Berkeley County,54003971104,Census Tract 9711.04; Berkeley County; West Virginia,8.87065290929,3919,794,1502,222,1465,225,808,416,40,36,280,127,147,89,240,124,742,234,813,279,752,276,64,46,74,96,197,1130,23,33,121,91,0,18,30,35,0,13,20.6,9.8,2.3,2.2,19.1,8.2,5.1,3.1,6.2,3.5,18.9,5.4,20.7,3.9,19.3,6.8,4.4,3.1,2.0,2.5,5.0,28.8,1.5,2.2,8.1,6.3,0.0,1.2,2.0,2.4,0.0,0.3,0.2813,0.1526,0.5147,0.1507,0.5221,1.6214,0.1985,0.3695,0.5588,0.4982,0.511,0.9743,2.9118,0.8511,0.3787,0.3787,0.3787,0.5486,0.3945,0.0,0.1029,0.0,1.046,0.079,5.9579,0.182,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1468,149,98,67,83,5,11,56,73,0,13,0,13,69,110,0,13,10.2,6.7,1.7,2.2,0.1,0.3,1.4,1.9,0.0,1.0,0.0,1.0,1.8,2.8,0.0,1.0
54,West Virginia,WV,54003,Berkeley County,54003971105,Census Tract 9711.05; Berkeley County; West Virginia,6.208098536616,4528,546,2418,434,2309,420,278,165,102,73,244,116,295,183,105,137,969,369,936,227,1138,302,53,56,0,52,955,749,0,18,654,337,12,24,39,40,0,13,6.2,3.6,4.1,3.1,10.6,4.6,8.7,5.5,2.3,2.9,21.4,7.3,20.7,4.9,25.1,6.1,2.3,2.4,0.0,1.2,21.1,16.3,0.0,0.7,27.0,10.9,0.5,1.0,1.7,1.9,0.0,0.3,0.0147,0.3364,0.125,0.3235,0.0662,0.8658,0.0441,0.5441,0.5588,0.7886,0.261,0.0,2.1525,0.4449,0.9081,0.9081,0.9081,0.0,0.8606,0.4669,0.0864,0.0,1.4139,0.171,5.3403,0.1176,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1862,297,180,453,222,166,133,40,53,0,13,0,13,294,230,2,5,12.9,7.8,10.0,4.8,3.7,2.9,0.9,1.2,0.0,0.8,0.0,0.8,6.5,4.9,0.0,0.1
54,West Virginia,WV,54003,Berkeley County,54003971203,Census Tract 9712.03; Berkeley County; West Virginia,23.174313856644,3512,667,1343,181,1235,167,743,285,52,56,223,94,267,169,127,85,712,250,1209,496,579,231,12,22,0,52,99,951,0,18,248,110,40,48,0,13,0,13,21.2,7.0,4.5,4.5,18.1,7.2,12.1,7.2,3.6,2.4,20.3,6.1,34.4,9.3,16.5,5.0,1.0,1.8,0.0,1.7,2.8,27.1,0.0,1.3,18.5,8.5,3.2,3.9,0.0,3.0,0.0,0.4,0.296,0.375,0.4577,0.5478,0.1728,1.8493,0.261,0.4798,0.9963,0.3474,0.1066,0.0,1.9301,0.3143,0.2004,0.2004,0.2004,0.0,0.6972,0.8824,0.0,0.0,1.5796,0.2151,5.5594,0.1434,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,2206,124,97,11,18,17,21,0,13,0,13,0,13,71,78,0,13,10.0,7.6,0.3,0.5,0.5,0.6,0.0,1.1,0.0,1.1,0.0,1.1,2.0,2.3,0.0,1.1
54,West Virginia,WV,54003,Berkeley County,54003971204,Census Tract 9712.04; Berkeley County; West Virginia,24.13032094154,2983,463,1907,190,1369,197,310,174,112,82,189,96,100,56,88,107,848,201,378,138,376,144,19,37,0,52,52,655,0,18,87,71,0,18,11,16,0,13,10.4,5.6,7.6,5.8,13.8,6.7,4.1,2.4,3.0,3.6,28.4,6.5,12.7,3.6,12.7,5.1,1.4,2.7,0.0,1.8,1.7,22.0,0.0,0.9,4.6,3.7,0.0,1.3,0.8,1.2,0.0,0.4,0.0588,0.6654,0.239,0.1029,0.114,1.1801,0.0901,0.9136,0.0809,0.1415,0.1599,0.0,1.2959,0.0717,0.1121,0.1121,0.1121,0.0,0.2807,0.0,0.0313,0.0,0.312,0.0074,2.9001,0.0018,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1162,158,92,24,37,0,13,0,13,0,13,0,13,28,44,0,13,11.5,6.5,0.8,1.2,0.0,1.2,0.0,1.2,0.0,1.2,0.0,1.2,0.9,1.5,0.0,1.2
54,West Virginia,WV,54003,Berkeley County,54003971205,Census Tract 9712.05; Berkeley County; West Virginia,18.18396017852,4410,630,1736,196,1636,201,729,379,19,29,326,141,171,94,251,131,481,132,1193,310,443,182,90,85,2,50,329,899,0,18,142,84,44,62,5,9,0,13,16.5,8.3,0.8,1.2,19.9,8.3,5.7,3.1,5.7,3.1,10.9,2.7,27.1,4.6,10.1,4.0,5.5,5.2,0.0,1.2,7.5,20.4,0.0,1.0,8.2,4.7,2.7,3.8,0.3,0.6,0.0,0.3,0.1654,0.0478,0.546,0.171,0.4688,1.399,0.1397,0.046,0.932,0.0551,0.6232,0.0,1.6563,0.182,0.5496,0.5496,0.5496,0.0,0.3982,0.8327,0.0147,0.0,1.2456,0.1268,4.8505,0.0827,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4943,169,63,112,111,12,23,15,28,0,13,0,13,158,102,32,45,10.3,4.0,2.5,2.6,0.3,0.5,0.3,0.6,0.0,0.8,0.0,0.8,3.6,2.3,0.7,1.0
