ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
54,West Virginia,WV,54001,Barbour County,54001,"Barbour County, West Virginia",341.058713650352,15527,0,7164,21,5789,278,4806,690,647,230,1165,283,1282,243,847,236,3235,102,3121,110,2338,315,239,108,73,101,1226,261,128,89,1047,196,11,27,401,119,611,36,32.3,4.6,10.1,3.7,20.1,4.8,12.1,2.3,5.5,1.5,20.8,0.7,20.1,0.7,15.2,2.0,4.1,1.9,0.5,0.7,7.9,1.7,1.8,1.2,14.6,2.7,0.2,0.5,6.9,2.1,3.9,0.2,0.7778,0.8333,0.7407,0.4074,0.2963,3.0555,0.7778,0.2593,0.4815,0.0926,0.3148,0.8148,1.963,0.2037,0.6667,0.6667,0.6667,0.5185,0.3704,0.0185,0.3333,0.7407,1.9814,0.2407,7.6666,0.5185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12977,1224,216,212,88,182,0,84,89,26,43,0,20,692,280,30,36,21.1,3.7,1.4,0.6,1.2,0.0,0.5,0.6,0.2,0.3,0.0,0.2,4.5,1.8,0.2,0.2
54,West Virginia,WV,54003,Berkeley County,54003,"Berkeley County, West Virginia",321.147106481958,123283,0,51292,67,48528,419,22404,1755,3004,648,10785,1011,8046,893,7550,1004,18452,163,28386,0,16717,1114,2514,423,660,275,21992,383,1597,370,5451,636,933,341,2664,566,868,39,18.4,1.4,4.6,1.0,22.2,2.1,9.4,1.0,6.2,0.8,15.0,0.1,23.0,0.0,13.7,0.9,5.1,0.9,0.6,0.2,17.8,0.3,3.2,0.7,10.6,1.2,1.9,0.7,5.5,1.2,0.7,0.0,0.037,0.1667,0.8519,0.1667,0.4444,1.6667,0.1667,0.0185,1.0,0.0556,0.6667,0.9074,2.6482,0.7222,0.9444,0.9444,0.9444,0.7222,0.2222,0.8333,0.1296,0.2222,2.1295,0.2963,7.3888,0.4074,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,3,107612,5059,643,8084,609,6432,0,1281,260,77,62,18,33,5413,726,687,409,10.4,1.3,6.6,0.5,5.2,0.0,1.0,0.2,0.1,0.1,0.0,0.1,4.4,0.6,0.6,0.3
54,West Virginia,WV,54005,Boone County,54005,"Boone County, West Virginia",501.53389563072,21705,0,10205,26,7992,239,5582,758,764,232,1295,235,2409,382,1258,312,4573,62,4519,86,5158,570,376,140,60,88,586,53,111,42,2721,328,26,21,645,139,120,29,26.0,3.5,9.8,3.0,16.2,2.9,15.6,2.5,5.8,1.4,21.1,0.3,20.8,0.4,24.0,2.7,4.7,1.7,0.3,0.4,2.7,0.2,1.0,0.4,26.7,3.2,0.4,0.3,8.1,1.8,0.6,0.1,0.4074,0.8148,0.3148,0.7037,0.3519,2.5926,0.5926,0.3519,0.7222,0.7222,0.537,0.6481,2.9814,0.8889,0.0,0.0,0.0,0.1852,0.8889,0.0556,0.537,0.1481,1.8148,0.1481,7.3888,0.4074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18041,1233,189,58,54,71,70,34,15,0,24,0,24,423,108,0,24,15.4,2.4,0.3,0.2,0.3,0.3,0.2,0.1,0.0,0.2,0.0,0.2,1.9,0.5,0.0,0.2
54,West Virginia,WV,54007,Braxton County,54007,"Braxton County, West Virginia",510.734382737244,12505,0,6318,19,4567,235,4157,650,640,207,789,181,1620,317,1168,329,3012,69,2373,30,2237,276,204,114,0,80,1350,371,58,31,1635,219,20,25,374,168,428,13,34.4,5.4,14.4,4.5,17.3,3.9,17.4,3.4,9.7,2.7,24.1,0.6,19.0,0.2,18.5,2.3,4.5,2.5,0.0,0.7,10.8,3.0,0.9,0.5,25.9,3.5,0.4,0.5,8.2,3.6,3.4,0.1,0.8333,0.9815,0.4074,0.8519,0.963,4.0371,0.9444,0.8148,0.2593,0.3333,0.463,0.0,1.8704,0.1481,0.8333,0.8333,0.8333,0.1667,0.8704,0.0556,0.5556,0.7037,2.352,0.4074,9.0928,0.8148,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10795,1042,216,131,81,137,76,11,17,33,20,0,20,1038,367,0,20,22.8,4.5,1.0,0.6,1.1,0.6,0.1,0.1,0.3,0.2,0.0,0.3,8.3,2.9,0.0,0.3
54,West Virginia,WV,54009,Brooke County,54009,"Brooke County, West Virginia",89.19566048109,22349,0,10721,34,9593,226,4447,668,581,184,1543,327,1218,266,1189,327,5380,28,3927,72,4101,418,460,200,165,113,1351,180,650,296,1054,352,87,66,676,191,996,43,20.9,3.1,5.7,1.8,16.1,3.4,7.5,1.6,5.4,1.5,24.1,0.1,17.6,0.3,18.5,1.9,4.8,2.1,0.8,0.5,6.0,0.8,6.1,2.8,9.8,3.3,0.9,0.7,7.0,2.0,4.5,0.2,0.1296,0.3704,0.2963,0.0741,0.2222,1.0926,0.0556,0.8148,0.1111,0.3333,0.5926,0.9444,2.7962,0.8333,0.5,0.5,0.5,0.9074,0.1852,0.4074,0.3519,0.7778,2.6297,0.5741,7.0185,0.3333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,2,20853,1653,328,334,74,233,0,122,45,19,32,3,7,640,191,0,24,17.2,3.3,1.5,0.3,1.0,0.0,0.5,0.2,0.1,0.1,0.0,0.1,2.9,0.9,0.0,0.2
54,West Virginia,WV,54011,Cabell County,54011,"Cabell County, West Virginia",281.023504403068,93965,0,46101,75,38854,610,28650,1618,2592,375,10788,837,6401,596,6875,793,18192,92,18386,0,17431,1149,2276,373,254,152,9940,151,4878,511,3725,561,470,248,3997,498,4332,75,31.9,1.8,6.1,0.9,27.8,2.1,10.2,1.0,7.5,0.9,19.4,0.1,19.6,0.0,18.9,1.2,5.8,1.0,0.3,0.2,10.6,0.2,10.6,1.1,8.1,1.2,1.2,0.6,10.3,1.2,4.6,0.1,0.7593,0.463,0.9815,0.2778,0.7778,3.2594,0.8519,0.1111,0.3889,0.4259,0.8519,0.6481,2.4259,0.5,0.7963,0.7963,0.7963,0.963,0.0926,0.5556,0.8704,0.8148,3.2964,0.9444,9.778,0.8704,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,117345,6928,703,4022,423,1407,0,1156,181,119,66,4,6,3094,486,138,99,17.8,1.8,4.3,0.5,1.5,0.0,1.2,0.2,0.1,0.1,0.0,0.1,3.3,0.5,0.1,0.1
54,West Virginia,WV,54013,Calhoun County,54013,"Calhoun County, West Virginia",279.262495883782,6279,0,3225,14,2416,173,2527,444,269,132,216,73,624,151,571,327,1572,32,1194,73,1508,275,112,81,0,72,258,70,24,23,948,162,32,42,187,83,26,3,40.5,7.1,12.2,6.0,8.9,3.0,13.2,3.1,9.1,5.2,25.0,0.5,19.0,1.2,24.1,4.4,4.6,3.3,0.0,1.2,4.1,1.1,0.8,0.7,29.4,5.0,1.3,1.7,7.7,3.2,0.4,0.0,0.963,0.9444,0.0,0.5556,0.9074,3.3704,0.8889,0.9259,0.2593,0.7778,0.4815,0.0,2.4445,0.537,0.2037,0.2037,0.2037,0.1481,0.9259,0.6111,0.4815,0.0185,2.1851,0.3148,8.2037,0.6852,1,1,0,0,1,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,5,4860,619,137,3,5,19,24,2,3,0,18,0,18,234,73,0,18,25.6,5.1,0.0,0.1,0.3,0.4,0.0,0.1,0.0,0.6,0.0,0.6,3.7,1.2,0.0,0.6
54,West Virginia,WV,54015,Clay County,54015,"Clay County, West Virginia",341.938655938534,8049,0,3957,13,2865,154,2746,522,325,163,486,168,935,209,397,172,1709,28,1764,64,1855,252,136,87,0,72,245,18,14,24,1188,241,82,89,225,99,75,7,34.6,6.6,11.2,5.5,17.0,5.8,16.7,3.6,5.0,2.2,21.2,0.3,21.9,0.8,23.2,3.1,4.7,3.0,0.0,0.9,3.0,0.2,0.4,0.6,30.0,6.1,2.9,3.1,7.9,3.4,0.9,0.1,0.8889,0.8889,0.3519,0.7593,0.1111,3.0001,0.7222,0.3704,0.9444,0.6296,0.537,0.0,2.4814,0.5741,0.037,0.037,0.037,0.0741,0.9444,0.9815,0.5,0.3148,2.8148,0.6852,8.3333,0.7037,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,2,3,6258,546,118,5,8,8,15,0,18,5,12,0,18,227,23,0,18,19.1,3.9,0.1,0.1,0.1,0.2,0.0,0.5,0.1,0.1,0.0,0.5,2.8,0.3,0.0,0.5
54,West Virginia,WV,54017,Doddridge County,54017,"Doddridge County, West Virginia",319.722728713412,7847,0,3279,16,2345,195,1719,570,135,96,256,101,1091,299,551,229,1634,15,1137,86,1252,259,71,42,0,72,509,77,17,24,575,146,55,61,60,43,1097,10,25.5,8.4,4.3,3.0,10.9,4.2,18.0,4.7,8.2,3.4,20.8,0.2,14.5,1.1,18.5,3.8,3.0,1.8,0.0,1.0,6.5,1.0,0.5,0.7,17.5,4.4,2.4,2.6,2.6,1.9,14.0,0.1,0.3333,0.1296,0.037,0.8889,0.8704,2.2592,0.4074,0.2593,0.0185,0.3333,0.0741,0.0,0.6852,0.0,0.5556,0.5556,0.5556,0.0926,0.5556,0.9444,0.0,0.9815,2.5741,0.5185,6.0741,0.0926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,5293,583,131,135,65,129,69,0,18,46,60,0,18,199,98,0,18,24.9,5.6,1.7,0.8,1.6,0.9,0.0,0.5,0.6,0.8,0.0,0.5,2.5,1.3,0.0,0.5
54,West Virginia,WV,54019,Fayette County,54019,"Fayette County, West Virginia",661.539951711926,40545,0,19227,33,15938,341,12322,1301,1143,229,3346,405,4429,443,3155,514,8878,89,8336,92,9541,625,810,215,27,110,3249,128,568,140,2700,280,159,85,1623,267,1526,42,31.6,3.3,7.5,1.6,21.0,2.5,15.0,1.5,8.0,1.3,21.9,0.2,20.6,0.2,24.3,1.6,5.0,1.3,0.1,0.3,8.0,0.3,3.0,0.7,14.0,1.5,1.0,0.5,10.2,1.7,3.8,0.1,0.7407,0.6852,0.7778,0.6852,0.8519,3.7408,0.9074,0.5,0.6481,0.8148,0.6296,0.2593,2.8518,0.8519,0.6852,0.6852,0.6852,0.6667,0.3148,0.4444,0.8519,0.7222,3.0,0.8148,10.2778,0.9259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34079,3410,338,1824,180,529,0,0,27,24,25,15,25,841,214,16,17,21.4,2.1,4.5,0.4,1.3,0.0,0.0,0.1,0.1,0.1,0.0,0.1,2.1,0.5,0.0,0.1
