ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
55,Wisconsin,WI,55001,Adams County,55001950100,Census Tract 9501; Adams County; Wisconsin,90.329258269702,3268,89,3276,185,1668,99,500,172,51,34,345,91,155,66,51,43,1386,123,289,106,527,110,23,20,11,36,249,211,0,12,310,102,10,12,34,30,4,2,15.3,5.3,4.1,2.6,20.7,5.3,5.4,2.3,1.6,1.3,42.4,4.2,8.8,3.1,16.1,3.4,1.4,1.2,0.3,1.1,7.6,6.5,0.0,0.4,9.5,3.1,0.6,0.7,2.0,1.8,0.1,0.1,0.4957,0.6743,0.4301,0.434,0.1083,2.1424,0.4008,0.9941,0.0361,0.8096,0.1057,0.3924,2.3379,0.4242,0.2723,0.2723,0.2723,0.0,0.9035,0.3204,0.2232,0.1982,1.6453,0.2081,6.3979,0.2943,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2194,106,42,0,9,61,48,2,3,0,9,0,9,124,100,62,87,6.4,2.5,0.0,0.6,1.9,1.5,0.1,0.1,0.0,0.6,0.0,0.6,3.8,3.1,1.9,2.6
55,Wisconsin,WI,55001,Adams County,55001950201,Census Tract 9502.01; Adams County; Wisconsin,42.274239639945996,1393,122,1509,101,678,82,360,103,14,13,207,61,111,46,70,30,432,62,238,53,272,57,26,18,21,36,75,169,12,20,237,60,7,7,23,20,0,9,25.8,7.0,2.7,2.3,30.5,8.2,10.3,4.3,5.0,2.1,31.0,3.8,17.1,3.2,19.5,3.9,3.8,2.6,1.6,2.7,5.4,12.1,0.8,1.3,15.7,3.9,1.0,1.0,3.4,2.9,0.0,0.6,0.7814,0.4419,0.7781,0.7938,0.5391,3.3343,0.7668,0.9547,0.2054,0.9402,0.415,0.769,3.2843,0.8923,0.1437,0.1437,0.1437,0.1983,0.975,0.4609,0.4163,0.0,2.0505,0.3729,8.8128,0.6735,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,680,192,67,0,9,14,18,0,9,21,18,0,9,40,28,0,9,28.3,7.7,0.0,1.4,1.0,1.3,0.0,1.4,1.5,1.3,0.0,1.4,2.9,2.0,0.0,1.4
55,Wisconsin,WI,55001,Adams County,55001950203,Census Tract 9502.03; Adams County; Wisconsin,44.15152818196,968,106,966,77,465,49,299,76,17,10,159,43,130,46,90,39,326,42,102,40,276,56,6,11,0,36,50,151,0,12,305,55,5,11,14,15,0,9,30.9,7.1,4.4,2.7,34.2,8.5,15.3,5.1,9.3,4.0,33.7,3.9,10.5,3.7,28.5,5.7,1.3,2.4,0.0,3.8,5.2,15.6,0.0,1.2,31.6,5.2,1.1,2.4,3.0,3.2,0.0,0.9,0.8496,0.7104,0.8437,0.9094,0.8549,4.168,0.9251,0.9724,0.044,0.9947,0.0946,0.0,2.1057,0.3027,0.1319,0.1319,0.1319,0.0,0.998,0.4944,0.3624,0.0,1.8548,0.2784,8.2604,0.5782,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,1,4,465,148,37,0,9,5,5,0,9,0,9,0,9,25,20,20,21,31.8,6.7,0.0,2.0,0.5,0.5,0.0,2.0,0.0,2.0,0.0,2.0,2.6,2.0,2.1,2.2
55,Wisconsin,WI,55001,Adams County,55001950204,Census Tract 9502.04; Adams County; Wisconsin,136.502287951696,1839,203,1963,143,921,109,455,120,47,34,267,67,181,57,168,76,632,100,248,68,420,78,8,7,3,35,152,284,7,13,410,85,23,20,24,14,0,9,24.7,5.9,5.9,3.7,29.0,6.4,12.1,3.5,9.1,3.8,34.4,4.2,13.5,3.0,22.8,4.1,0.9,0.8,0.2,2.0,8.3,15.4,0.4,0.7,20.9,3.9,2.5,2.2,2.6,1.6,0.0,0.5,0.7663,0.826,0.7446,0.8601,0.8464,4.0434,0.9113,0.9757,0.082,0.9724,0.063,0.3248,2.4179,0.478,0.3169,0.3169,0.3169,0.1517,0.9915,0.7623,0.302,0.0,2.2075,0.4445,8.9857,0.703,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,0,0,1,3,1062,153,34,1,3,122,74,0,9,0,9,0,9,27,18,2,3,16.6,3.8,0.1,0.2,6.6,3.9,0.0,1.1,0.0,1.1,0.0,1.1,1.5,1.0,0.1,0.2
55,Wisconsin,WI,55001,Adams County,55001950400,Census Tract 9504; Adams County; Wisconsin,91.21388899447,4795,261,2579,144,2090,140,1413,267,126,56,520,97,526,108,382,127,1249,150,920,104,1131,154,64,32,27,40,654,339,162,57,358,82,28,23,212,64,157,7,30.4,5.5,6.2,2.7,24.9,4.3,14.8,3.0,8.2,2.7,26.0,2.9,19.2,1.6,24.1,3.3,3.0,1.5,0.6,0.9,13.6,7.0,6.3,2.2,13.9,2.9,1.4,1.1,10.1,2.9,3.3,0.2,0.845,0.8424,0.629,0.9048,0.8017,4.0229,0.9093,0.8904,0.3294,0.9829,0.3047,0.5315,3.0389,0.8063,0.521,0.521,0.521,0.5233,0.9659,0.5745,0.8024,0.8563,3.7224,0.9652,11.3052,0.9442,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,3,5907,429,103,91,58,318,102,99,44,14,13,0,9,124,50,8,12,20.5,4.3,1.9,1.2,6.6,2.0,2.1,0.9,0.3,0.3,0.0,0.4,2.6,1.0,0.2,0.2
55,Wisconsin,WI,55001,Adams County,55001950501,Census Tract 9505.01; Adams County; Wisconsin,44.023103706924,1633,212,1979,134,759,151,466,120,40,25,239,100,214,82,44,27,615,141,245,73,391,97,11,14,4,35,128,293,0,12,553,95,8,10,92,79,0,9,28.5,6.3,6.7,4.0,31.5,11.6,17.2,5.4,2.7,1.6,37.7,6.4,15.0,3.9,23.9,4.7,1.4,1.8,0.3,2.2,7.8,17.9,0.0,0.6,27.9,4.7,1.1,1.3,12.1,8.9,0.0,0.6,0.8234,0.8733,0.7965,0.9278,0.2416,3.6626,0.8456,0.9869,0.1201,0.981,0.1057,0.3924,2.5861,0.5752,0.2815,0.2815,0.2815,0.0,0.9961,0.4944,0.8496,0.0,2.3401,0.501,8.8703,0.6833,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,1,0,0,0,1,4,579,293,138,0,9,85,49,0,9,8,9,0,9,35,38,0,9,38.6,11.4,0.0,1.2,5.2,2.8,0.0,1.2,0.5,0.5,0.0,1.2,2.1,2.3,0.0,1.2
55,Wisconsin,WI,55001,Adams County,55001950502,Census Tract 9505.02; Adams County; Wisconsin,96.35414214087,3276,189,2021,86,1139,81,617,124,76,50,332,60,392,105,144,60,775,80,381,78,654,113,32,17,17,37,709,256,126,43,595,100,24,13,31,18,704,75,24.0,4.5,6.4,4.1,29.1,4.8,14.3,3.5,5.6,2.2,23.7,2.4,11.6,2.2,25.4,4.0,2.8,1.5,0.5,1.2,21.6,7.7,6.2,2.1,29.4,4.6,2.1,1.1,2.7,1.5,21.5,1.9,0.7492,0.8549,0.7479,0.8963,0.5962,3.8445,0.8811,0.8163,0.0525,0.9888,0.2712,0.4974,2.6262,0.6041,0.6962,0.6962,0.6962,0.5174,0.9974,0.7058,0.3211,0.977,3.5187,0.9357,10.6856,0.8982,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,2,3,2593,243,59,320,60,218,81,25,25,57,29,0,9,83,39,6,12,21.3,4.8,9.8,1.8,6.7,2.3,0.8,0.8,1.7,0.9,0.0,0.6,2.5,1.2,0.2,0.4
55,Wisconsin,WI,55001,Adams County,55001950700,Census Tract 9507; Adams County; Wisconsin,100.79751399594,3558,235,2496,113,1456,84,567,122,63,40,285,55,224,59,214,67,902,80,520,77,540,99,32,20,28,35,394,317,58,41,427,71,24,17,37,13,4,1,15.9,3.3,3.4,2.2,19.6,3.6,8.0,2.0,6.0,1.8,25.4,2.5,14.6,1.8,15.2,2.4,2.2,1.4,0.8,1.0,11.1,8.9,2.3,1.6,17.1,2.8,1.6,1.2,2.5,0.9,0.1,0.0,0.5161,0.5798,0.3802,0.6632,0.6382,2.7775,0.5926,0.8688,0.1083,0.7511,0.197,0.6037,2.5289,0.5483,0.4331,0.4331,0.4331,0.3303,0.981,0.6139,0.2915,0.1982,2.4149,0.5378,8.1544,0.5677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2488,191,48,95,49,108,56,12,15,23,19,7,11,129,70,20,24,13.1,3.1,2.7,1.3,3.0,1.5,0.3,0.4,0.6,0.5,0.2,0.3,3.6,1.9,0.6,0.7
55,Wisconsin,WI,55003,Ashland County,55003940000,Census Tract 9400; Ashland County; Wisconsin,218.957358095074,1999,189,932,84,770,87,516,136,100,47,79,28,80,28,144,52,269,59,517,87,333,76,33,25,3,35,1181,219,13,14,192,53,48,25,74,31,3,2,25.9,6.4,9.7,4.4,10.3,3.4,5.9,2.0,7.2,2.4,13.5,2.9,25.9,3.1,16.7,3.2,4.3,3.2,0.2,1.9,59.1,9.4,1.4,1.5,20.6,5.1,6.3,3.2,9.6,3.9,0.2,0.1,0.7846,0.9494,0.0309,0.4846,0.7321,2.9816,0.6675,0.2546,0.8104,0.8431,0.4787,0.3248,2.7116,0.6592,0.9022,0.9022,0.9022,0.2548,0.9908,0.9534,0.7846,0.2861,3.2697,0.8746,9.8651,0.8035,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,2,4,1531,70,28,40,47,128,85,1,3,929,144,0,9,83,37,0,9,9.1,3.6,2.0,2.3,6.4,4.1,0.1,0.1,46.5,5.1,0.0,1.0,4.2,1.8,0.0,1.0
55,Wisconsin,WI,55003,Ashland County,55003950300,Census Tract 9503; Ashland County; Wisconsin,2.167449600442,3014,275,1280,88,1240,77,725,171,52,41,380,105,49,55,169,81,468,75,557,125,598,185,35,33,0,36,537,375,119,59,16,24,0,12,101,52,376,12,27.4,5.8,3.2,2.7,30.6,8.3,2.7,2.9,5.6,2.7,15.5,2.9,18.5,3.1,19.9,5.5,2.9,2.7,0.0,1.2,17.8,12.3,9.3,4.6,1.3,1.8,0.0,1.0,8.1,4.2,12.5,1.2,0.8083,0.545,0.7787,0.1714,0.5962,2.8996,0.6353,0.3504,0.2841,0.9475,0.2882,0.0,1.8702,0.1898,0.6188,0.6188,0.6188,0.6159,0.6008,0.0,0.7308,0.9567,2.9042,0.7452,8.2928,0.5874,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,4827,274,89,31,31,239,113,11,18,200,107,0,9,56,70,0,9,22.1,7.4,1.0,1.1,7.9,3.5,0.4,0.6,6.6,3.5,0.0,0.7,1.9,2.3,0.0,0.7
55,Wisconsin,WI,55003,Ashland County,55003950400,Census Tract 9504; Ashland County; Wisconsin,3.295135009128,2044,251,1130,93,981,113,578,238,52,59,207,98,69,49,151,81,492,95,399,104,233,91,93,69,15,36,343,387,205,80,12,19,91,78,94,76,147,5,30.4,11.9,4.6,5.1,21.1,9.7,4.4,3.1,7.9,4.1,24.1,5.5,19.5,3.6,12.3,5.2,9.5,6.9,0.8,1.8,16.8,18.8,18.2,6.9,1.1,1.7,9.3,7.9,9.6,7.5,7.2,0.9,0.845,0.7275,0.457,0.3388,0.7814,3.1497,0.7162,0.832,0.3438,0.5391,0.8326,0.6037,3.1512,0.8529,0.5932,0.5932,0.5932,0.7965,0.5844,0.9842,0.7846,0.9357,4.0854,0.9934,10.9795,0.9192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,3145,270,101,22,46,0,9,87,67,65,72,6,11,163,120,0,9,27.5,9.6,1.1,2.3,0.0,1.0,4.3,3.2,3.2,3.5,0.3,0.5,8.0,6.1,0.0,1.0
