ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
55,Wisconsin,WI,55001,Adams County,55001,"Adams County, Wisconsin",645.645962881508,20730,0,16789,101,9176,312,4677,387,434,111,2354,222,1933,207,1163,173,6317,49,2943,40,4211,303,202,56,111,68,2411,139,365,88,3195,224,129,42,467,133,869,77,23.6,1.9,5.0,1.3,25.7,2.3,11.6,1.2,5.8,0.9,30.5,0.2,14.2,0.2,21.1,1.5,2.2,0.6,0.6,0.3,11.6,0.7,2.1,0.5,19.0,1.3,1.4,0.5,5.1,1.4,4.2,0.4,0.9296,0.9155,0.9577,0.9859,0.493,4.2817,0.9859,0.9577,0.0,1.0,0.0,0.4225,2.3802,0.4789,0.6761,0.6761,0.6761,0.169,1.0,0.4225,0.6479,0.831,3.0704,0.7183,10.4084,0.8873,1,1,1,1,0,4,1,0,1,0,0,2,0,0,0,1,0,0,0,1,7,15968,1755,192,507,62,931,0,138,30,123,39,7,11,587,145,118,95,19.1,1.9,2.4,0.3,4.5,0.0,0.7,0.1,0.6,0.2,0.0,0.1,2.8,0.7,0.6,0.5
55,Wisconsin,WI,55003,Ashland County,55003,"Ashland County, Wisconsin",1044.969150578274,16041,0,9415,40,6846,185,3966,405,357,97,1520,175,548,107,1026,189,3273,31,3434,33,2676,287,321,102,41,56,2974,57,491,125,634,92,182,82,420,113,606,14,25.7,2.6,4.4,1.2,22.2,2.5,4.9,1.0,6.5,1.2,20.4,0.2,21.4,0.2,16.9,1.8,4.7,1.5,0.3,0.4,18.5,0.4,5.2,1.3,6.7,1.0,2.7,1.2,6.1,1.6,3.8,0.1,0.9718,0.8169,0.662,0.2113,0.6479,3.3099,0.7606,0.5352,0.6479,0.9014,0.6338,0.2113,2.9296,0.8028,0.8732,0.8732,0.8732,0.5775,0.6901,0.9577,0.8592,0.8028,3.8873,1.0,11.0,0.9577,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,3,17531,1437,155,248,117,524,0,116,37,1449,157,7,11,617,169,13,16,21.0,2.2,1.5,0.7,3.3,0.0,0.7,0.2,9.0,1.0,0.0,0.1,3.8,1.1,0.1,0.1
55,Wisconsin,WI,55005,Barron County,55005,"Barron County, Wisconsin",863.052886310464,46683,0,23846,63,19197,287,10009,835,739,176,4532,365,3124,251,3408,408,10607,123,9965,0,6466,423,1183,190,290,153,3877,118,1066,202,1310,181,390,141,991,155,761,17,21.8,1.8,3.2,0.8,23.6,1.9,9.4,0.8,7.4,0.9,22.7,0.3,21.3,0.0,14.0,0.9,6.2,1.0,0.7,0.3,8.3,0.3,4.5,0.8,5.5,0.8,2.1,0.7,5.2,0.8,1.6,0.0,0.8028,0.4648,0.8873,0.8732,0.7887,3.8168,0.9155,0.6761,0.6197,0.5915,0.9155,0.507,3.3098,0.9577,0.3944,0.3944,0.3944,0.507,0.5493,0.831,0.662,0.4225,2.9718,0.7042,10.4928,0.9014,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,46128,3659,358,814,179,1380,0,270,62,208,48,0,20,1095,233,110,70,19.1,1.8,1.7,0.4,3.0,0.0,0.6,0.1,0.4,0.1,0.0,0.1,2.3,0.5,0.2,0.1
55,Wisconsin,WI,55007,Bayfield County,55007,"Bayfield County, Wisconsin",1477.880455120658,16214,0,13243,70,7557,190,2883,244,278,67,1537,125,525,100,940,114,4740,14,2718,28,2715,165,243,40,24,51,2652,60,277,68,824,94,184,46,276,69,117,7,18.0,1.5,3.6,0.9,20.3,1.6,4.2,0.8,5.8,0.7,29.2,0.1,16.8,0.2,16.9,1.0,3.2,0.5,0.2,0.3,16.4,0.4,2.0,0.5,6.2,0.7,2.4,0.6,3.7,0.9,0.7,0.0,0.493,0.6056,0.338,0.0986,0.493,2.0282,0.338,0.9296,0.0845,0.9014,0.0282,0.0845,2.0282,0.2535,0.8451,0.8451,0.8451,0.1408,0.6338,0.9296,0.1972,0.0141,1.9155,0.2676,6.817,0.3099,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,0,1,3,11819,906,118,127,27,390,0,80,14,1277,102,0,15,757,121,21,13,12.0,1.5,0.8,0.2,2.4,0.0,0.5,0.1,7.9,0.6,0.0,0.1,4.7,0.7,0.1,0.1
55,Wisconsin,WI,55009,Brown County,55009,"Brown County, Wisconsin",530.091552452964,268393,0,113199,159,109096,557,42591,2232,4205,566,24391,1279,12862,870,14488,1522,41750,126,62444,0,29958,1621,6246,646,5780,685,56601,507,13511,1065,1416,263,2332,372,5360,725,7274,138,16.3,0.9,2.9,0.4,22.4,1.2,7.1,0.5,5.5,0.6,15.6,0.1,23.3,0.0,11.3,0.6,5.7,0.6,2.3,100.0,21.1,0.2,12.0,0.9,1.3,0.2,2.1,0.3,4.9,0.7,2.7,0.1,0.3662,0.3239,0.7324,0.4225,0.4366,2.2816,0.4085,0.0704,0.8873,0.2113,0.9014,0.9718,3.0422,0.8732,0.9014,0.9014,0.9014,0.9296,0.0986,0.831,0.5775,0.6761,3.1128,0.7465,9.338,0.7465,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,0,0,1,4,306272,11072,700,6872,516,25363,0,8315,487,4652,413,58,47,10474,913,867,413,10.1,0.6,2.6,0.2,9.4,0.0,3.1,0.2,1.7,0.2,0.0,0.1,3.9,0.3,0.3,0.2
55,Wisconsin,WI,55011,Buffalo County,55011,"Buffalo County, Wisconsin",675.790761473112,13329,0,6523,59,5616,132,1914,209,165,46,1317,155,792,119,687,108,3051,20,2665,39,1882,147,244,76,61,60,721,26,280,72,338,56,30,13,209,76,124,16,14.5,1.6,2.3,0.6,23.5,2.7,8.1,1.2,5.2,0.8,22.9,0.1,20.0,0.3,14.2,1.1,4.3,1.3,0.5,0.5,5.4,0.2,4.3,1.1,5.2,0.9,0.6,0.2,3.7,1.3,0.9,0.1,0.169,0.0845,0.8732,0.6761,0.3944,2.1972,0.3803,0.7183,0.3803,0.6056,0.338,0.3521,2.3943,0.507,0.0563,0.0563,0.0563,0.4789,0.5211,0.0423,0.1972,0.0704,1.3099,0.0845,5.9577,0.169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10809,767,85,43,38,342,0,4,5,7,8,0,15,321,47,4,6,13.7,1.5,0.3,0.3,2.6,0.0,0.0,0.1,0.1,0.1,0.0,0.1,2.4,0.4,0.0,0.1
55,Wisconsin,WI,55013,Burnett County,55013,"Burnett County, Wisconsin",821.595934642752,16561,0,15279,48,6989,157,3651,316,374,81,1583,133,937,124,1172,162,4998,23,2772,14,2921,156,223,55,49,50,1655,27,232,58,1297,113,134,43,224,47,129,30,22.2,1.9,5.2,1.1,22.6,1.8,7.3,1.0,7.1,1.0,30.2,0.1,16.7,0.1,17.7,0.9,3.2,0.8,0.3,0.3,10.0,0.2,1.5,0.4,8.5,0.7,1.9,0.6,3.2,0.7,0.8,0.2,0.8592,0.9296,0.7606,0.4789,0.7324,3.7607,0.9014,0.9437,0.0563,0.9577,0.0282,0.2113,2.1972,0.338,0.5211,0.5211,0.5211,0.0141,0.8028,0.7887,0.0423,0.0423,1.6902,0.2254,8.1692,0.5493,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,3,13225,1157,104,114,27,349,0,95,17,508,72,19,15,554,84,16,10,16.6,1.5,0.7,0.2,2.1,0.0,0.6,0.1,3.1,0.4,0.1,0.1,3.3,0.5,0.1,0.1
55,Wisconsin,WI,55015,Calumet County,55015,"Calumet County, Wisconsin",318.249812518038,52361,0,21776,45,20712,247,5954,794,682,220,3638,421,1881,285,1495,320,8261,30,11974,0,4954,411,981,190,448,183,5506,212,1020,221,396,88,219,85,781,198,207,8,11.4,1.5,2.3,0.7,17.6,2.0,5.2,0.8,2.9,0.6,15.8,0.1,22.9,0.0,9.5,0.8,4.7,0.9,0.9,0.4,10.5,0.4,4.7,1.0,1.8,0.4,1.1,0.4,3.8,1.0,0.4,0.0,0.0563,0.0845,0.0282,0.2254,0.0141,0.4085,0.0141,0.1127,0.831,0.0141,0.6338,0.6901,2.2817,0.4366,0.5493,0.5493,0.5493,0.5211,0.1127,0.2113,0.2394,0.0,1.0845,0.0282,4.324,0.0563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39335,1788,255,509,115,2459,0,1254,146,155,36,1,3,968,251,160,147,8.6,1.2,1.0,0.2,4.7,0.0,2.4,0.3,0.3,0.1,0.0,0.1,1.8,0.5,0.3,0.3
55,Wisconsin,WI,55017,Chippewa County,55017,"Chippewa County, Wisconsin",1008.3549871069999,66254,0,28784,96,26326,271,11561,1065,1027,256,5829,534,3444,348,3515,429,12336,66,14368,0,7126,454,1049,209,387,146,4736,97,1177,309,1050,159,290,81,1097,281,2790,140,18.2,1.7,3.0,0.8,22.1,2.0,7.3,0.7,5.5,0.7,18.6,0.1,21.7,0.0,11.2,0.7,4.0,0.8,0.6,0.2,7.1,0.1,4.1,1.1,3.6,0.6,1.1,0.3,4.2,1.1,4.2,0.2,0.5352,0.3662,0.6479,0.4789,0.4366,2.4648,0.4648,0.3099,0.6901,0.1972,0.2535,0.4225,1.8732,0.1268,0.3099,0.3099,0.3099,0.4366,0.3099,0.2113,0.3099,0.831,2.0987,0.2958,6.7466,0.2958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56713,3132,328,1011,114,1257,0,940,113,181,72,1,2,1303,212,43,44,11.9,1.2,1.5,0.2,1.9,0.0,1.4,0.2,0.3,0.1,0.0,0.1,2.0,0.3,0.1,0.1
55,Wisconsin,WI,55019,Clark County,55019,"Clark County, Wisconsin",1209.697098597678,34703,0,14799,105,12649,194,7636,612,562,107,2440,177,3841,233,7141,569,5836,26,10231,0,4025,219,595,94,773,121,2912,74,554,111,1008,107,494,81,1190,104,590,19,22.4,1.8,3.4,0.6,19.3,1.4,17.8,1.1,20.9,1.7,16.8,0.1,29.5,0.0,11.8,0.6,4.7,0.7,2.4,0.4,8.4,0.2,3.7,0.7,6.8,0.7,3.9,0.6,9.4,0.8,1.7,0.1,0.9014,0.5634,0.1831,1.0,0.9859,3.6338,0.8451,0.169,0.9859,0.2817,0.6338,0.9859,3.0563,0.8873,0.4225,0.4225,0.4225,0.3521,0.7042,0.9859,0.9859,0.4507,3.4788,0.9155,10.5914,0.9296,1,0,0,1,1,3,0,1,0,0,1,2,0,0,0,0,1,1,0,2,7,27174,2820,193,84,32,1926,0,128,42,60,18,0,20,647,62,67,66,22.3,1.5,0.2,0.1,5.5,0.0,0.4,0.1,0.2,0.1,0.0,0.1,1.9,0.2,0.2,0.2
