ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV150,M_POV150,E_UNEMP,M_UNEMP,E_HBURD,M_HBURD,E_NOHSDP,M_NOHSDP,E_UNINSUR,M_UNINSUR,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_LIMENG,M_LIMENG,E_MINRTY,M_MINRTY,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV150,MP_POV150,EP_UNEMP,MP_UNEMP,EP_HBURD,MP_HBURD,EP_NOHSDP,MP_NOHSDP,EP_UNINSUR,MP_UNINSUR,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_LIMENG,MP_LIMENG,EP_MINRTY,MP_MINRTY,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV150,EPL_UNEMP,EPL_HBURD,EPL_NOHSDP,EPL_UNINSUR,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,EPL_LIMENG,SPL_THEME2,RPL_THEME2,EPL_MINRTY,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV150,F_UNEMP,F_HBURD,F_NOHSDP,F_UNINSUR,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_LIMENG,F_THEME2,F_MINRTY,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_DAYPOP,E_NOINT,M_NOINT,E_AFAM,M_AFAM,E_HISP,M_HISP,E_ASIAN,M_ASIAN,E_AIAN,M_AIAN,E_NHPI,M_NHPI,E_TWOMORE,M_TWOMORE,E_OTHERRACE,M_OTHERRACE,EP_NOINT,MP_NOINT,EP_AFAM,MP_AFAM,EP_HISP,MP_HISP,EP_ASIAN,MP_ASIAN,EP_AIAN,MP_AIAN,EP_NHPI,MP_NHPI,EP_TWOMORE,MP_TWOMORE,EP_OTHERRACE,MP_OTHERRACE
56,Wyoming,WY,56001,Albany County,56001,"Albany County, Wyoming",4274.325004827776,37525,0,18634,50,16290,323,11031,881,961,226,5531,627,726,177,2910,457,4705,75,5812,105,3841,465,633,186,99,102,7143,213,1775,306,1733,289,94,81,792,210,2426,70,31.5,2.5,4.4,1.0,34.0,3.8,3.4,0.8,7.8,1.2,12.5,0.2,15.5,0.3,10.3,1.2,3.9,1.1,0.3,0.3,19.0,0.6,9.5,1.6,9.3,1.5,0.5,0.5,4.9,1.3,6.5,0.2,1.0,0.7727,1.0,0.0,0.0455,2.8182,0.6818,0.0455,0.0,0.0455,0.5909,0.2727,0.9546,0.0,0.7727,0.7727,0.7727,0.9545,0.2273,0.1364,0.9091,0.9091,3.1364,0.8636,7.6819,0.4091,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,3,5,36659,1567,248,314,190,3719,0,1389,141,143,61,50,68,1506,324,22,36,9.6,1.6,0.8,0.5,9.9,0.0,3.7,0.4,0.4,0.2,0.1,0.2,4.0,0.9,0.1,0.1
56,Wyoming,WY,56003,Big Horn County,56003,"Big Horn County, Wyoming",3136.955873810704,11690,0,5355,27,4262,168,2303,385,318,93,688,125,944,196,1610,250,2510,45,2908,31,1914,218,128,46,164,128,1625,66,44,42,867,155,94,36,129,59,258,36,20.2,3.4,6.0,1.7,16.1,2.9,11.9,2.5,14.1,2.2,21.5,0.4,24.9,0.3,16.8,1.9,3.0,1.1,1.5,1.2,13.9,0.6,0.8,0.8,16.2,2.9,2.2,0.8,3.0,1.4,2.2,0.3,0.6818,0.9545,0.0909,1.0,0.7727,3.4999,0.8636,0.5455,0.8182,0.8182,0.3182,0.9545,3.4546,1.0,0.4545,0.4545,0.4545,0.0,0.5909,0.6818,0.2273,0.5909,2.0909,0.3182,9.4999,0.8636,0,1,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,11259,623,134,52,51,1132,0,80,44,50,38,30,28,254,88,27,25,14.6,3.1,0.4,0.4,9.7,0.0,0.7,0.4,0.4,0.3,0.3,0.2,2.2,0.8,0.2,0.2
56,Wyoming,WY,56005,Campbell County,56005,"Campbell County, Wyoming",4802.063271768372,46857,0,19900,56,17509,409,6639,995,761,243,3322,501,2413,414,6394,1152,5377,101,12591,30,4829,612,1080,354,330,141,6518,299,1600,390,3625,441,164,103,525,181,546,32,14.4,2.2,3.0,1.0,19.0,2.8,8.0,1.4,13.8,2.5,11.5,0.2,26.9,0.1,10.4,1.3,6.2,2.0,0.8,0.3,13.9,0.6,8.1,2.0,18.2,2.2,0.9,0.6,3.0,1.0,1.2,0.1,0.1818,0.3636,0.5,0.8182,0.7273,2.5909,0.5909,0.0,0.9545,0.0909,0.9091,0.6818,2.6363,0.5909,0.4545,0.4545,0.4545,0.9091,0.7727,0.2273,0.2273,0.2273,2.3637,0.4545,8.0454,0.5,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,0,0,0,0,1,3,48555,1337,373,178,90,4147,0,34,43,457,182,15,24,1666,397,21,28,7.6,2.2,0.4,0.2,8.9,0.0,0.1,0.1,1.0,0.4,0.0,0.1,3.6,0.8,0.0,0.1
56,Wyoming,WY,56007,Carbon County,56007,"Carbon County, Wyoming",7897.799467876138,14609,0,8218,33,5847,272,3547,509,335,136,964,222,1004,252,1992,429,2673,79,3333,59,1764,283,405,131,88,101,3476,84,307,124,1386,206,83,49,212,109,608,56,25.3,3.6,4.8,1.9,16.5,3.7,9.9,2.4,14.2,3.1,18.3,0.5,22.8,0.4,12.6,2.0,6.9,2.2,0.6,0.7,23.8,0.6,3.8,1.5,16.9,2.5,1.4,0.8,3.6,1.8,4.2,0.4,0.8182,0.8182,0.1818,0.9545,0.8182,3.5909,0.9091,0.4091,0.5455,0.3182,0.9545,0.5909,2.8182,0.7727,0.9545,0.9545,0.9545,0.5,0.7273,0.4091,0.5455,0.8182,3.0001,0.8182,10.3637,0.9545,0,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,14294,708,174,205,7,2726,0,75,66,194,84,0,20,267,124,9,11,12.1,3.0,1.4,0.1,18.7,0.0,0.5,0.5,1.3,0.6,0.0,0.3,1.8,0.8,0.1,0.1
56,Wyoming,WY,56009,Converse County,56009,"Converse County, Wyoming",4254.992932128158,13729,0,6623,19,5656,261,2459,626,307,165,1072,256,736,259,1379,351,2397,73,3303,81,2133,315,150,73,113,115,1630,17,407,176,1089,255,91,70,256,156,70,20,18.1,4.6,4.3,2.3,19.0,4.4,7.7,2.7,10.1,2.6,17.5,0.5,24.1,0.6,15.6,2.3,2.6,1.3,0.9,0.9,11.9,0.1,6.2,2.7,16.4,3.8,1.6,1.2,4.5,2.7,0.5,0.1,0.5455,0.7273,0.5,0.7727,0.2273,2.7728,0.6364,0.3182,0.6818,0.6818,0.1818,0.7273,2.5909,0.5455,0.3636,0.3636,0.3636,0.7727,0.6364,0.5,0.7727,0.0455,2.7273,0.6818,8.4546,0.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12236,939,178,32,53,1162,0,19,36,10,15,0,20,407,65,0,20,16.6,3.3,0.2,0.4,8.5,0.0,0.1,0.3,0.1,0.1,0.0,0.3,3.0,0.5,0.0,0.3
56,Wyoming,WY,56011,Crook County,56011,"Crook County, Wyoming",2854.478701169166,7258,0,3672,17,2755,189,773,239,36,45,599,142,299,129,496,157,1570,41,1795,72,833,211,25,30,67,91,539,81,32,29,818,167,37,29,42,38,63,10,10.7,3.3,1.0,1.3,21.7,4.9,5.9,2.6,6.9,2.2,21.6,0.6,24.7,1.0,11.6,2.9,0.9,1.1,1.0,1.3,7.4,1.1,0.9,0.8,22.3,4.6,1.3,1.0,1.5,1.4,0.9,0.1,0.0455,0.0,0.6364,0.4091,0.0,1.091,0.0,0.5909,0.7273,0.1364,0.0455,0.8182,2.3183,0.3182,0.0,0.0,0.0,0.0455,0.9545,0.3636,0.0455,0.1364,1.5455,0.0455,4.9548,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5216,380,115,0,18,206,0,34,38,19,20,0,18,267,84,13,21,13.8,3.9,0.0,0.5,2.8,0.0,0.5,0.5,0.3,0.3,0.0,0.5,3.7,1.2,0.2,0.3
56,Wyoming,WY,56013,Fremont County,56013,"Fremont County, Wyoming",9183.586199585068,39402,0,17474,75,14617,299,9026,767,1542,239,3506,355,1804,222,7527,579,7548,33,9781,26,5722,418,858,196,50,101,12239,89,638,160,2878,239,508,136,763,179,901,57,23.5,2.0,8.2,1.3,24.0,2.4,6.9,0.8,19.4,1.5,19.2,0.1,24.8,0.1,14.7,1.1,5.8,1.3,0.1,0.3,31.1,0.2,3.7,0.9,16.5,1.4,3.5,0.9,5.2,1.2,2.3,0.1,0.7727,1.0,0.8182,0.6364,1.0,4.2273,1.0,0.4545,0.7727,0.5455,0.8182,0.0455,2.6364,0.6364,1.0,1.0,1.0,0.4545,0.6818,0.8636,1.0,0.6364,3.6363,1.0,11.5,1.0,0,1,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,4,37432,2155,214,216,44,3061,0,180,86,7127,246,28,33,1557,279,70,59,14.7,1.4,0.5,0.1,7.8,0.0,0.5,0.2,18.1,0.6,0.1,0.1,4.0,0.7,0.2,0.1
56,Wyoming,WY,56015,Goshen County,56015,"Goshen County, Wyoming",2225.611989119614,12592,0,5866,38,5069,172,1976,333,155,80,1154,207,597,132,1039,255,2871,65,2493,39,2073,301,189,94,35,88,1980,62,245,96,676,137,42,28,238,106,928,64,16.9,2.8,2.6,1.3,22.8,4.0,6.7,1.5,8.7,2.2,22.8,0.5,19.8,0.3,17.4,2.5,3.7,1.9,0.3,0.7,15.7,0.5,4.2,1.6,11.5,2.3,0.8,0.6,4.7,2.1,7.4,0.5,0.4545,0.2273,0.7273,0.5909,0.1818,2.1818,0.3636,0.7273,0.2273,0.9091,0.5455,0.2727,2.6819,0.6818,0.6818,0.6818,0.6818,0.5455,0.4091,0.1818,0.8182,0.9545,2.9091,0.7727,8.4546,0.6364,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,2,10659,996,174,58,44,1410,0,80,86,157,70,30,29,205,90,40,54,19.6,3.4,0.5,0.4,11.2,0.0,0.6,0.7,1.2,0.6,0.2,0.2,1.6,0.7,0.3,0.4
56,Wyoming,WY,56017,Hot Springs County,56017,"Hot Springs County, Wyoming",2004.430582345816,4616,0,2552,113,2105,149,1224,268,30,27,349,110,162,62,681,154,1210,123,964,116,858,163,51,42,3,50,496,104,45,27,409,104,2,4,89,57,93,15,27.3,6.0,1.4,1.2,16.6,5.1,4.9,1.9,15.0,3.4,26.2,2.7,20.9,2.5,18.9,3.6,2.4,2.0,0.1,1.1,10.7,2.3,1.7,1.1,16.0,4.3,0.0,0.2,4.2,2.7,2.0,0.3,0.9545,0.0455,0.2273,0.2273,0.8636,2.3182,0.4545,0.9091,0.3636,1.0,0.0909,0.0455,2.4091,0.4091,0.1818,0.1818,0.1818,0.1818,0.5455,0.0,0.6818,0.5,1.9091,0.1364,6.8182,0.3182,1,0,0,0,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,3,4437,269,80,0,13,190,84,6,11,99,58,0,13,160,78,41,44,12.8,3.5,0.0,0.8,4.1,1.8,0.1,0.2,2.1,1.2,0.0,0.8,3.5,1.7,0.9,0.9
56,Wyoming,WY,56019,Johnson County,56019,"Johnson County, Wyoming",4154.150221032098,8536,0,4614,21,3971,146,2176,444,96,69,727,215,458,183,971,380,2236,126,1657,28,1114,285,139,76,0,72,953,114,157,111,515,159,73,61,122,62,149,36,25.9,5.3,2.3,1.7,18.3,5.4,7.2,2.8,11.5,4.5,26.2,1.5,19.4,0.3,13.3,3.4,3.5,1.9,0.0,0.9,11.2,1.3,3.4,2.4,11.2,3.4,1.8,1.5,3.1,1.6,1.7,0.4,0.8636,0.1818,0.3636,0.7273,0.4545,2.5908,0.5455,0.9091,0.1364,0.3636,0.4545,0.0,1.8636,0.0455,0.2727,0.2727,0.2727,0.3636,0.3636,0.5455,0.3636,0.4091,2.0454,0.2727,6.7725,0.2727,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7522,605,208,16,30,469,0,57,70,187,109,0,18,165,124,59,96,15.2,5.2,0.2,0.4,5.5,0.0,0.7,0.8,2.2,1.3,0.0,0.4,1.9,1.5,0.7,1.1
